"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"大蔵三丁目公園","","https://ja.wikipedia.org/wiki/大蔵三丁目公園","","","Category:世田谷区の公園","参照",""
"岡本公園 (世田谷区)","","https://ja.wikipedia.org/wiki/岡本公園_(世田谷区)","","分類: 都市公園（風致公園）;所在地: 日本東京都世田谷区岡本2丁目;面積: 12,431.06m2;開園: 1977年（昭和52年）3月31日;運営者: 世田谷区;駐車場: 収容台数12　無料;事務所所在地: 東京都世田谷区岡本二丁目19番1号;公式サイト: 世田谷区のサイト","Category:世田谷区の公園","参照","1977年に開園した公園で、メインは江戸時代に建てられた建物を展示した民家園である。園内はかつて世田谷区内で見られた農村生活を身近に見られるように世田谷区の有形文化財第一号に指定された旧長崎家住宅主屋と旧浦野家土蔵、旧横尾家住宅椀木（うでぎ）門を復元し、世田谷周辺で江戸時代後期の典型的な農家の家屋敷を再現している。"
"きたみふれあい広場","","https://ja.wikipedia.org/wiki/きたみふれあい広場","北緯35度38分31.7秒東経139度35分15.2秒","分類: 区立公園;所在地: 日本東京都世田谷区;座標: 北緯35度38分31.7秒東経139度35分15.2秒﻿ / ﻿北緯35.642139度 東経139.587556度﻿ / 35.642139; 139.587556座標: 北緯35度38分31.7秒東経139度35分15.2秒﻿ / ﻿北緯35.642139度 東経139.587556度﻿ / 35.642139; 139.587556;面積: 38,824.83m2。;開園: 1997年3月31日、;駐車場: なし;事務所所在地: 東京都世田谷区喜多見9丁目25番5号","Category:世田谷区の公園","参照","小田急電鉄喜多見検車区上部の人工基盤の上に造成されており、広場を主体とした公園になっている。"
"砧公園","","https://ja.wikipedia.org/wiki/砧公園","北緯35度37分44.5秒東経139度37分16.5秒","分類: 都市公園;所在地: 日本東京都世田谷区;座標: 北緯35度37分44.5秒東経139度37分16.5秒﻿ / ﻿北緯35.629028度 東経139.621250度﻿ / 35.629028; 139.621250座標: 北緯35度37分44.5秒東経139度37分16.5秒﻿ / ﻿北緯35.629028度 東経139.621250度﻿ / 35.629028; 139.621250;面積: 39.1ha;開園: 1957年4月1日;運営者: 東京都公園協会2016～2025年度指定管理者;設備・遊具: サッカー場・野球場兼競技場;駐車場: 177台;事務所: 砧公園サービスセンター;事務所所在地: 東京都世田谷区砧公園1-1;公式サイト:","Category:世田谷区の公園","参照","サクラの花見の名所として有名である。周辺の自治体にある小学校、幼稚園からも児童が遠足で訪れる。"
"駒沢オリンピック公園","","https://ja.wikipedia.org/wiki/駒沢オリンピック公園","北緯35度37分32.9秒東経139度39分41.8秒","分類: 運動公園;所在地: 日本東京都世田谷区駒沢公園、東京都目黒区東が丘2丁目・八雲5丁目;座標: 北緯35度37分32.9秒東経139度39分41.8秒﻿ / ﻿北緯35.625806度 東経139.661611度﻿ / 35.625806; 139.661611座標: 北緯35度37分32.9秒東経139度39分41.8秒﻿ / ﻿北緯35.625806度 東経139.661611度﻿ / 35.625806; 139.661611;面積: 41.3ha;設計者: 本文参照;運営者: 東京都公園協会2011～2015年度指定管理者;設備・遊具: 陸上競技場球技場体育館他;アクセス: #アクセスを参照。;公式サイト: http://www.tef.or.jp/kopgp/","Category:世田谷区の公園","参照","所在地は世田谷区駒沢公園、目黒区東が丘二丁目・八雲五丁目。公園内には複数の運動施設があり、これらは駒沢オリンピック公園総合運動場（－そうごううんどうじょう）と呼ばれ、公益財団法人東京都スポーツ文化事業団が指定管理者として管理・運営を行っている。公園南側の深沢ハウス、東側の東京医療センター、北側の駒澤大学等と隣接。最寄駅は東急田園都市線の駒沢大学駅。"
"桜丘すみれば自然庭園","","https://ja.wikipedia.org/wiki/桜丘すみれば自然庭園","","分類: 都市緑地;所在地: 日本東京都世田谷区桜丘四丁目23-12;面積: 6,643.81 m2;前身: 植村傳助邸;開園: 2003年1月31日;運営者: 一般財団法人世田谷トラストまちづくり世田谷すみればネット;年来園者数: 21,995人（2014年度）;駐車場: なし;バリアフリー: 車椅子用トイレ;アクセス: 小田急小田原線千歳船橋駅下車 徒歩10分東急バス砧東町バス停下車 徒歩5分;告示: 平成15年1月31日第44号","Category:世田谷区の公園","参照","前身は大正時代に羅紗商として成功した植村傳助の邸宅である。武蔵野の風景を再現するという構想のもと、昭和初期に築造された邸宅と庭園の跡地は造園家の戸野琢磨と小形研三、植村家により数十年間に渡って維持保全されていた。"
"次大夫堀公園","","https://ja.wikipedia.org/wiki/次大夫堀公園","","分類: 区立公園;所在地: 日本東京都世田谷区;面積: 36,567.24m2。;開園: 1983年3月31日、;駐車場: 収容台数33台　有料（30分100円）;事務所所在地: 東京都世田谷区喜多見五丁目27番14号","Category:世田谷区の公園","参照","当公園は1983年に開園した公園で、園内のメインは民家園である。当公園ではかつて世田谷区内で見られた農村生活を身近に見られるように名主屋敷（主屋1棟、土蔵2棟）、民家2棟、表門、消防小屋などが復元され、公園内の次大夫堀や水田とあわせて、江戸時代後期から明治時代初期にかけての農村風景を再現されており、かつての暮らしぶりを体験できる。"
"成城三丁目緑地","","https://ja.wikipedia.org/wiki/成城三丁目緑地","北緯35度38分3.5秒東経139度35分55.8秒","分類: 緑地;所在地: 日本東京都世田谷区成城3丁目16番38号;座標: 北緯35度38分3.5秒東経139度35分55.8秒﻿ / ﻿北緯35.634306度 東経139.598833度﻿ / 35.634306; 139.598833座標: 北緯35度38分3.5秒東経139度35分55.8秒﻿ / ﻿北緯35.634306度 東経139.598833度﻿ / 35.634306; 139.598833;面積: 19,836.69平方メートル;開園: 2001年（平成13年）;運営者: 世田谷区;設備・遊具: 散策路・ベンチ;アクセス: #アクセスを参照;公式サイト: 世田谷区のサイト","Category:世田谷区の公園","参照","戦前は、喜多見や緑地のあった地には喜多見御料林が広がっていたが、 1947年に国有財産として払い下げられて林野庁が保有していた。1994年の都市計画によって世田谷区が緑地として整備して、1995年3月と2005年3月に段階経て供用を開始し、2001年までに世田谷区が土地を取得した。国分寺崖線に面していることから湧水が豊富であり、緑地にはセキショウが群生する湧水と関東ローム層の地層が見える湧水地がある。斜面緑地であったことから開発がされなかったので都内では珍しい自然が残されており、クヌギ林・コナラ林を中心にケヤキやサクラなど様々な植物が植栽され、サワガニなども生息する緑地である。散策路・庭園・広場・ベンチなどが整備されており、緑地の管理は小学生や地域住民を中心とした成城三丁目緑地コア会議が行なっている。フリーライターの山崎真は「公園の充実度は行政サービスの水準を測るバロメーター」として、成城三丁目緑地を世田谷区の公園のベスト５の中に選んでいる。"
"世田谷区立大蔵運動公園","","https://ja.wikipedia.org/wiki/世田谷区立大蔵運動公園","","分類: 都市公園（運動公園）;所在地: 日本東京都世田谷区大蔵4丁目6-1;面積: 112,816.44m2;開園: 1967年（昭和42年）7月1日;運営者: 世田谷区;公式サイト: 世田谷区のサイト","Category:世田谷区の公園","参照","陸上競技場スタンド"
"世田谷区立富士見公園","","https://ja.wikipedia.org/wiki/世田谷区立富士見公園","","","Category:世田谷区の公園","参照",""
"世田谷公園","","https://ja.wikipedia.org/wiki/世田谷公園","","分類: 都市公園（地区公園）;所在地: 日本東京都世田谷区池尻1丁目;面積: 78,957.182;開園: 1959年（昭和34年）8月22日;設計者: 伊藤邦衛（改修）;運営者: 世田谷区;設備・遊具: ミニSL・野球場・サッカー場;駐車場: 32台（有料）;公式サイト: 世田谷区のサイト","Category:世田谷区の公園","参照","1965年に東京都から世田谷区に移管された後、施設の老朽化に伴う改修にあたってその構想を一般募集し、それを基に改修が行なわれ1974年に完了し、新たに開園した。"
"世田谷区立西山野公園","","https://ja.wikipedia.org/wiki/世田谷区立西山野公園","","","Category:世田谷区の公園","参照","この記事には複数の問題があります。改善やノートページでの議論にご協力ください。"
"祖師谷公園","","https://ja.wikipedia.org/wiki/祖師谷公園","","","Category:世田谷区の公園","参照",""
"代沢せせらぎ公園","","https://ja.wikipedia.org/wiki/代沢せせらぎ公園","","分類: 都市公園（街区公園）;所在地: 日本東京都世田谷区代沢4丁目;面積: 1,812.62 m2;開園: 1997年（平成9年）3月20日;運営者: 世田谷区;アクセス: 池ノ上駅から徒歩;公式サイト: 世田谷区のサイト","Category:世田谷区の公園","参照","1991年より「住民参加型公園設計」を経て完成した公共施設であり、公園に隣接した北沢川緑道の両岸には桜並木が立ち並び、地元住民に愛されている。同種の公共施設では全国でも先駆者的な存在となっている。"
"馬事公苑","","https://ja.wikipedia.org/wiki/馬事公苑","北緯35度38分12.5秒東経139度38分2.2秒","所在地: 日本東京都世田谷区上用賀2-1-1;前身: 騎手養成・1964年東京オリンピック馬場馬術競技会場;開園: 1940年（昭和15年）9月29日;運営者: JRA日本中央競馬会;設備・遊具: 馬場・馬術;公式サイト: http://jra.jp/facilities/bajikouen/","Category:世田谷区の公園","参照","馬事公苑は、馬事関係の多方面の利用と馬事思想の普及を図る公共施設として馬術競技場、馬匹博覧会等の会場、競技馬の調教場、乗馬趣味の涵養のための乗馬機会の提供場所、競馬騎手講習会場に利用されるものとして設置された。かつては国営競馬、日本中央競馬会 (JRA) の騎手養成所が置かれており、1982年に競馬学校が開設されるまでは中央競馬の騎手の養成が行われていた。"
"羽根木公園","","https://ja.wikipedia.org/wiki/羽根木公園","北緯35度39分29秒東経139度39分18秒","分類: 都市公園（地区公園）;所在地: 日本東京都世田谷区代田四丁目38;面積: 79,650.71m2;開園: 1956年（昭和31年）10月1日;運営者: 世田谷区;駐車場: 32台（有料）;公式サイト: 世田谷区のサイト","Category:世田谷区の公園","参照","全体として丘状の地形になっている。古くは一帯に「六郎次」という野鍛冶が住んでいたと伝えられ、「六郎次山」と呼ばれていた。その後、根津財閥の所有地となったため、「根津山」と呼ばれた。1956年に都立公園として開園し、1965年に世田谷区に移管され区立公園となった。"
