"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"青海北ふ頭公園","","https://ja.wikipedia.org/wiki/青海北ふ頭公園","北緯35度37分11秒東経139度46分26.5秒","","Category:品川区の公園","参照","青海北ふ頭公園（あおみきたふとうこうえん）は、東京都江東区青海二丁目・品川区東八潮にある都立の海上公園（ふ頭公園）である。所管は東京都港湾局。5333m2。1996年4月1日開園。"
"池田山公園","","https://ja.wikipedia.org/wiki/池田山公園","北緯35度37分56.5秒東経139度43分24.6秒","分類: 都市公園（歴史公園）;所在地: 東京都品川区東五反田5－4－35;座標: 北緯35度37分56.5秒東経139度43分24.6秒﻿ / ﻿北緯35.632361度 東経139.723500度﻿ / 35.632361; 139.723500座標: 北緯35度37分56.5秒東経139度43分24.6秒﻿ / ﻿北緯35.632361度 東経139.723500度﻿ / 35.632361; 139.723500;面積: 7,022m2;開園: 1984年（昭和59年）4月1日;運営者: 品川区;駐車場: なし;アクセス: JR五反田駅徒歩15分、JR目黒駅徒歩15分;公式サイト: 品川区のサイト","Category:品川区の公園","参照","当地一帯は江戸時代は岡山藩主・池田氏の下屋敷があったところであり、付近一体の高台は「池田山」という名称で呼ばれた。廃藩置県以降も池田氏の屋敷として使われていた。やがて、池田山付近は宅地化され、邸宅が立ち並び池田山は山の手有数の高級住宅街として知られるようになった（そのなかの邸宅のひとつに、上皇后美智子の実家である正田家の邸宅があった。現在は建物はなく跡地はねむの木の庭という小さな区立公園になって一般に公開されている）。また、池田山公園のあるところは、池田家の下屋敷の奥庭の部分であった。戦後しばらく私人の邸宅があったところであったが、品川区が庭園を保存すべく土地を取得し公園として整備し、1985年に区立公園として開園されたものである。現在でも江戸時代の回遊式庭園が良好に整備・保存されており、一般に公開されている。"
"大井ふ頭中央海浜公園","","https://ja.wikipedia.org/wiki/大井ふ頭中央海浜公園","北緯35度35分31.8秒東経139度45分10.1秒","分類: 海上公園;所在地: 日本東京都品川区八潮4丁目1番19号;座標: 北緯35度35分31.8秒東経139度45分10.1秒﻿ / ﻿北緯35.592167度 東経139.752806度﻿ / 35.592167; 139.752806座標: 北緯35度35分31.8秒東経139度45分10.1秒﻿ / ﻿北緯35.592167度 東経139.752806度﻿ / 35.592167; 139.752806;面積: 454,271m2;開園: 1978年4月1日;運営者: 日比谷アメニス南部地区（18公園）グループ;アクセス: 大井競馬場前駅より徒歩8分;公式サイト:","Category:品川区の公園","参照","大井埠頭そばの京浜運河沿いに広がる広大な公園で、釣り・磯遊び、バーベキュー、野球場、雑木林、芝生の広場など様々な要素が詰まった公園である。近隣の団地（八潮パークタウン）在住者の他、城南地区を中心に多くの人が訪れる。その大きさは東京モノレールの車窓からも確認することができる公園である。単に、中央海浜公園とも呼ばれていることが多い。"
"潮風公園","","https://ja.wikipedia.org/wiki/潮風公園","北緯35度37分26.2秒東経139度46分7.5秒","","Category:品川区の公園","参照","お台場海浜公園と東八潮緑道公園を結ぶ。"
"しながわ区民公園","","https://ja.wikipedia.org/wiki/しながわ区民公園","北緯35度35分34.9秒東経139度44分20.4秒","分類: 都市公園（総合公園）;所在地: 日本東京都品川区南大井2丁目、勝島3丁目;座標: 北緯35度35分34.9秒東経139度44分20.4秒﻿ / ﻿北緯35.593028度 東経139.739000度﻿ / 35.593028; 139.739000座標: 北緯35度35分34.9秒東経139度44分20.4秒﻿ / ﻿北緯35.593028度 東経139.739000度﻿ / 35.593028; 139.739000;面積: 約127,419m2;開園: 1983年（昭和58年）4月1日;運営者: 品川区;駐車場: あり（有料）;事務所所在地: 東京都品川区;公式サイト: 公式サイト","Category:品川区の公園","参照",""
"しながわ中央公園","","https://ja.wikipedia.org/wiki/しながわ中央公園","北緯35度36分35.1秒東経139度43分39.8秒","分類: 都市公園（近隣公園）;所在地: 日本東京都品川区;座標: 北緯35度36分35.1秒東経139度43分39.8秒﻿ / ﻿北緯35.609750度 東経139.727722度﻿ / 35.609750; 139.727722座標: 北緯35度36分35.1秒東経139度43分39.8秒﻿ / ﻿北緯35.609750度 東経139.727722度﻿ / 35.609750; 139.727722;面積: 21,082m2;開園: 2003年4月1日;運営者: 品川区;駐車場: なし;事務所所在地: 東京都品川区西品川一丁目;公式サイト: 公式サイト","Category:品川区の公園","参照","公園の大半は元三菱マテリアルの工場があったところで、品川区が公園用地として取得後整備され2003年4月1日に開園したものである。翌2004年4月1日には噴水なども完成し、全面開園した。また公園の敷地の一部は工場跡地ではなく、品川区立トリム公園として1981年4月10日に開園していたもので、しながわ中央公園は既存のトリム公園を取り込む形で開園したものである。現在でもトリム広場がある。当公園は品川区役所の前にあり、近隣の住民を中心に多くの人に利用されている。"
"神明児童遊園","","https://ja.wikipedia.org/wiki/神明児童遊園","北緯35度36分29.6秒東経139度43分36秒","","Category:品川区の公園","参照","神明児童遊園（しんめいじどうゆうえん）は東京都品川区二葉にある品川区立の公園である。二葉図書館隣接部と補助26号線を挟んだ北側部に2分している。北側部にあるタコの形をしたコンクリート製滑り台がシンボルになっており、通称「タコ公園（しながわタコ公園）」。"
"戸越公園","","https://ja.wikipedia.org/wiki/戸越公園","北緯35度36分37.6秒東経139度43分20.3秒","","Category:品川区の公園","参照","戸越公園（とごしこうえん）は、東京都品川区豊町にある品川区立の公園である。"
"ねむの木の庭","","https://ja.wikipedia.org/wiki/ねむの木の庭","北緯35度37分49.1秒東経139度43分20.9秒","","Category:品川区の公園","参照","ねむの木の庭（ねむのきのにわ）は、東京都品川区東五反田五丁目にある品川区立の公園である。"
"東品川海上公園","","https://ja.wikipedia.org/wiki/東品川海上公園","北緯35度37分1.5秒東経139度44分56.2秒","","Category:品川区の公園","参照","東品川海上公園（ひがししながわかいじょうこうえん）は、東京都品川区東品川二丁目・三丁目にある区立公園である。1995年から整備を始め、2007年3月31日全面開園。"
