"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"岩殿丘陵","","https://ja.wikipedia.org/wiki/岩殿丘陵","","","Category:埼玉県の自然景勝地","箇条書き,制限あり",""
"奥多摩","","https://ja.wikipedia.org/wiki/奥多摩","北緯35度44分19秒東経139度0分51秒","所在地: 東京都・埼玉県・山梨県・神奈川県;位置: 北緯35度44分19秒東経139度0分51秒﻿ / ﻿北緯35.73861度 東経139.01417度﻿ / 35.73861; 139.01417座標: 北緯35度44分19秒東経139度0分51秒﻿ / ﻿北緯35.73861度 東経139.01417度﻿ / 35.73861; 139.01417;上位山系: 秩父山地;最高峰: 雲取山（2,017.1m）","Category:埼玉県の自然景勝地","箇条書き,制限あり","奥多摩エリアという場合におけるエリアの範囲は、諸説あるが、最も広く考えれば、多摩川の水源を育む山域すべてを包含する範囲で、奥秩父や大菩薩連嶺の一部とも重なる。一方、雲取山と後山川を結ぶ線の東側を指すことも多い。"
"奥武蔵","","https://ja.wikipedia.org/wiki/奥武蔵","","","Category:埼玉県の自然景勝地","箇条書き,制限あり",""
"尾ノ内渓谷","","https://ja.wikipedia.org/wiki/尾ノ内渓谷","北緯36度2分40秒東経138度51分50秒","","Category:埼玉県の自然景勝地","箇条書き,制限あり",""
"顔振峠","","https://ja.wikipedia.org/wiki/顔振峠","北緯35度55分35.5秒東経139度14分44秒","所在地: 埼玉県飯能市長沢;座標: 北緯35度55分35.5秒東経139度14分44秒﻿ / ﻿北緯35.926528度 東経139.24556度﻿ / 35.926528; 139.24556座標: 北緯35度55分35.5秒東経139度14分44秒﻿ / ﻿北緯35.926528度 東経139.24556度﻿ / 35.926528; 139.24556;標高: 約500 m;通過路: 埼玉県道61号越生長沢線関東ふれあいの道奥武蔵グリーンライン","Category:埼玉県の自然景勝地","箇条書き,制限あり","峠にある案内板によると、平安時代、源義経が京落ちで奥州へ逃れる際、あまりの絶景に何度も振り返ったため、また、その際のお供の武蔵坊弁慶があまりの急坂に顔を振りながら登った等が名前の由来になったと説明されている。"
"苅場坂峠","","https://ja.wikipedia.org/wiki/苅場坂峠","北緯35度58分8秒東経139度11分2秒","所在地: 埼玉県比企郡ときがわ町大字大野 ·飯能市大字北川;座標: 北緯35度58分8秒東経139度11分2秒﻿ / ﻿北緯35.96889度 東経139.18389度﻿ / 35.96889; 139.18389座標: 北緯35度58分8秒東経139度11分2秒﻿ / ﻿北緯35.96889度 東経139.18389度﻿ / 35.96889; 139.18389;標高: 818 m;通過路: 奥武蔵グリーンライン ·林道苅場坂線","Category:埼玉県の自然景勝地","箇条書き,制限あり","飯盛峠と大野峠の中間に位置する。"
"関八州見晴台","","https://ja.wikipedia.org/wiki/関八州見晴台","北緯35度56分48.5秒東経139度13分19秒","座標: 北緯35度56分48.5秒東経139度13分19秒﻿ / ﻿北緯35.946806度 東経139.22194度﻿ / 35.946806; 139.22194座標: 北緯35度56分48.5秒東経139度13分19秒﻿ / ﻿北緯35.946806度 東経139.22194度﻿ / 35.946806; 139.22194;最高標高: 771.1m;所属国・地域: 日本","Category:埼玉県の自然景勝地","箇条書き,制限あり",""
"黒山三滝","","https://ja.wikipedia.org/wiki/黒山三滝","北緯35度56分28秒東経139度14分41秒","所在地: 埼玉県入間郡越生町;位置: 北緯35度56分28秒東経139度14分41秒﻿ / ﻿北緯35.94111度 東経139.24472度﻿ / 35.94111; 139.24472;落差: 天狗滝：20 m;水系: 荒川水系三滝川","Category:埼玉県の自然景勝地","箇条書き,制限あり","荒川水系越辺川源流部の三滝川にかかる男滝（おだき）、女滝（めだき）と、支流の天狗滝の3つからなる。"
"桜山展望台","","https://ja.wikipedia.org/wiki/桜山展望台","北緯35度49分24.4秒東経139度20分41.7秒","用途: 展望台;管理運営: 入間市;構造形式: 鉄筋コンクリート構造;階数: 3階;高さ: 20m;竣工: 1987年3月25日;所在地: 埼玉県入間市大字下谷ケ貫925番地8;座標: 北緯35度49分24.4秒東経139度20分41.7秒﻿ / ﻿北緯35.823444度 東経139.344917度﻿ / 35.823444; 139.344917﻿ (桜山展望台)座標: 北緯35度49分24.4秒東経139度20分41.7秒﻿ / ﻿北緯35.823444度 東経139.344917度﻿ / 35.823444; 139.344917﻿ (桜山展望台)","Category:埼玉県の自然景勝地","箇条書き,制限あり","桜山展望台は、入間市市政施行20周年記念事業の一環として建設された。展望台は標高180メートルの位置にあり、空気の澄んだ晴れた日には、富士山や都内の高層ビル群が望め、また周囲の加治丘陵の自然を一望できる。"
"狭山丘陵","","https://ja.wikipedia.org/wiki/狭山丘陵","北緯35度46分54秒東経139度26分3秒","所在地: 日本埼玉県・東京都;位置: 北緯35度46分54秒東経139度26分3秒﻿ / ﻿北緯35.78167度 東経139.43417度﻿ / 35.78167; 139.43417座標: 北緯35度46分54秒東経139度26分3秒﻿ / ﻿北緯35.78167度 東経139.43417度﻿ / 35.78167; 139.43417;最高峰: 一等三角点「高根」（高根山）（194m）;延長: 11km;幅: 4km","Category:埼玉県の自然景勝地","箇条書き,制限あり","東京都では狭山丘陵を首都圏に浮かぶ「緑の島」と称して、官民合わせて保全に努めている。"
