"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"池上梅園","","https://ja.wikipedia.org/wiki/池上梅園","北緯35度34分52.6秒東経139度42分10.1秒","分類: 区立公園;所在地: 日本東京都大田区;座標: 北緯35度34分52.6秒東経139度42分10.1秒﻿ / ﻿北緯35.581278度 東経139.702806度﻿ / 35.581278; 139.702806座標: 北緯35度34分52.6秒東経139度42分10.1秒﻿ / ﻿北緯35.581278度 東経139.702806度﻿ / 35.581278; 139.702806;面積: 9,880.82m2。;開園: 1978年8月26日、;駐車場: あり（有料）;事務所所在地: 東京都大田区池上二丁目2番13号","Category:大田区の公園","参照","当公園は池上本門寺の西にあり、高低差を生かした梅園や茶室などがある公園になっている。"
"入新井西児童交通公園","","https://ja.wikipedia.org/wiki/入新井西児童交通公園","北緯35度35分5.9秒東経139度43分33秒","分類: 交通公園;所在地: 日本東京都大田区大森北4丁目27番地;座標: 北緯35度35分5.9秒東経139度43分33秒﻿ / ﻿北緯35.584972度 東経139.72583度﻿ / 35.584972; 139.72583座標: 北緯35度35分5.9秒東経139度43分33秒﻿ / ﻿北緯35.584972度 東経139.72583度﻿ / 35.584972; 139.72583;運営者: 大田区;設備・遊具: SL、幼児用遊具","Category:大田区の公園","参照","JR東海道本線・京浜東北線の大森駅東口から線路に沿って南にある。規模は決して大きくないが、幼児用の遊具や、乗物の貸し出しを行っている。混雑時は、乗物の運転は3週で交代とされている。"
"大井ふ頭中央海浜公園","","https://ja.wikipedia.org/wiki/大井ふ頭中央海浜公園","北緯35度35分31.8秒東経139度45分10.1秒","分類: 海上公園;所在地: 日本東京都品川区八潮4丁目1番19号;座標: 北緯35度35分31.8秒東経139度45分10.1秒﻿ / ﻿北緯35.592167度 東経139.752806度﻿ / 35.592167; 139.752806座標: 北緯35度35分31.8秒東経139度45分10.1秒﻿ / ﻿北緯35.592167度 東経139.752806度﻿ / 35.592167; 139.752806;面積: 454,271m2;開園: 1978年4月1日;運営者: 日比谷アメニス南部地区（18公園）グループ;アクセス: 大井競馬場前駅より徒歩8分;公式サイト:","Category:大田区の公園","参照","大井埠頭そばの京浜運河沿いに広がる広大な公園で、釣り・磯遊び、バーベキュー、野球場、雑木林、芝生の広場など様々な要素が詰まった公園である。近隣の団地（八潮パークタウン）在住者の他、城南地区を中心に多くの人が訪れる。その大きさは東京モノレールの車窓からも確認することができる公園である。単に、中央海浜公園とも呼ばれていることが多い。"
"大田文化の森","","https://ja.wikipedia.org/wiki/大田文化の森","北緯35度34分44.91秒東経139度43分12.93秒","","Category:大田区の公園","参照","大田文化の森（おおたぶんかのもり）は、東京都大田区中央二丁目にある公園・文化施設である。詳細については、大田文化の森条例（平成13年3月16日大田区条例第19号。以下条例という。）および大田文化の森条例施行規則（平成13年7月1日大田区規則第116号。以下規則という。）に定められている。"
"大森海苔のふるさと館","","https://ja.wikipedia.org/wiki/大森海苔のふるさと館","北緯35度34分37.62秒東経139度44分33.89秒","専門分野: 海苔;事業主体: 大田区;管理運営: 特定非営利活動法人海苔のふるさと会理事長 中村博;年運営費:;開館: 2008年（平成20年）4月;所在地: 〒143-0005東京都大田区平和の森公園2番2号;位置: 北緯35度34分37.62秒東経139度44分33.89秒﻿ / ﻿北緯35.5771167度 東経139.7427472度﻿ / 35.5771167; 139.7427472","Category:大田区の公園","参照","大森地域では、日本全国に先駆けて、海苔の生産が江戸時代中期から昭和時代中期まで伝統産業として続いてきたが、1963年（昭和38年）より始まった東京湾の埋め立て計画により終焉を迎えた。"
"大森ふるさとの浜辺公園","","https://ja.wikipedia.org/wiki/大森ふるさとの浜辺公園","北緯35度34分23秒東経139度44分30秒","所在地: 日本東京都大田区ふるさとの浜辺公園1番1号、平和の森公園2番2号、大森東一丁目34番2号;座標: 北緯35度34分23秒東経139度44分30秒﻿ / ﻿北緯35.57306度 東経139.74167度﻿ / 35.57306; 139.74167座標: 北緯35度34分23秒東経139度44分30秒﻿ / ﻿北緯35.57306度 東経139.74167度﻿ / 35.57306; 139.74167;面積: 12.8 ヘクタール（水面含む）;前身: 公有水面;開園: 2007年4月1日;運営者: 大田区;現況: 午前5時30分から午後9時まで開園;設備・遊具: 人工砂浜、人工干潟、釣磯場、ふるさとの広場、海辺の自然広場、ローラースライダー、売店、大森 海苔のふるさと館;駐車場: 147台;アクセス: 平和島駅徒歩約15分 、大森町駅徒歩約12分 、大森駅から京急バス平和島循環で平和島五丁目バス停下車徒歩約3分、大森駅・蒲田駅から京急バス大森東五丁目行きで終点下車徒歩約4分、流通センター駅徒歩約15分;事務所: 大田区地域基盤整備第一課;事務所所在地: 大田区大森西一丁目12番1号;公式サイト: 大森ふるさとの浜辺公園;国: 日本;都道府県: 東京都;特別区: 大田区;地域: 大森地域;• 合計: 0人;等時帯: UTC+9(日本標準時);郵便番号: 143-0007;市外局番: 03;ナンバープレート: 品川;所在地: 日本東京都大田区ふるさとの浜辺公園1番1号、平和の森公園2番2号、大森東一丁目34番2号;座標: 北緯35度34分23秒東経139度44分30秒﻿ / ﻿北緯35.57306度 東経139.74167度﻿ / 35.57306; 139.74167座標: 北緯35度34分23秒東経139度44分30秒﻿ / ﻿北緯35.57306度 東経139.74167度﻿ / 35.57306; 139.74167;面積: 12.8 ヘクタール（水面含む）;前身: 公有水面;開園: 2007年4月1日;運営者: 大田区;現況: 午前5時30分から午後9時まで開園;設備・遊具: 人工砂浜、人工干潟、釣磯場、ふるさとの広場、海辺の自然広場、ローラースライダー、売店、大森 海苔のふるさと館;駐車場: 147台;アクセス: 平和島駅徒歩約15分 、大森町駅徒歩約12分 、大森駅から京急バス平和島循環で平和島五丁目バス停下車徒歩約3分、大森駅・蒲田駅から京急バス大森東五丁目行きで終点下車徒歩約4分、流通センター駅徒歩約15分;事務所: 大田区地域基盤整備第一課;事務所所在地: 大田区大森西一丁目12番1号;公式サイト: 大森ふるさとの浜辺公園;国: 日本;都道府県: 東京都;特別区: 大田区;地域: 大森地域;• 合計: 0人;等時帯: UTC+9(日本標準時);郵便番号: 143-0007;市外局番: 03;ナンバープレート: 品川","Category:大田区の公園","参照","また隣接して平和の森公園があるほか、付近には都堀公園、平和島公園などもあり、当公園付近は大田区内でも身近に自然に触れられる数少ないエリアとなっている。"
"京浜島つばさ公園","","https://ja.wikipedia.org/wiki/京浜島つばさ公園","北緯35度34分15秒東経139度46分13秒","分類: 海上公園;所在地: 日本東京都大田区京浜島;座標: 北緯35度34分15秒東経139度46分13秒﻿ / ﻿北緯35.57083度 東経139.77028度﻿ / 35.57083; 139.77028座標: 北緯35度34分15秒東経139度46分13秒﻿ / ﻿北緯35.57083度 東経139.77028度﻿ / 35.57083; 139.77028;開園: 1979年4月1日;駐車場: あり","Category:大田区の公園","参照","京浜島の南東端、羽田空港B滑走路に面した海岸沿いに作られた細長い公園で、羽田空港を離着陸する飛行機がよく見える公園として知られ、テレビドラマの撮影でも使用されることがある。そのため、家族連れや航空ファンが訪れ、スポッティングや撮影が行われる。"
"城南島海浜公園","","https://ja.wikipedia.org/wiki/城南島海浜公園","北緯35度34分41秒東経139度47分0秒","分類: 海上公園;所在地: 日本東京都大田区城南島;座標: 北緯35度34分41秒東経139度47分0秒﻿ / ﻿北緯35.57806度 東経139.78333度﻿ / 35.57806; 139.78333座標: 北緯35度34分41秒東経139度47分0秒﻿ / ﻿北緯35.57806度 東経139.78333度﻿ / 35.57806; 139.78333;開園: 1991年7月6日;設計者: アーバンデザインコンサルタント;駐車場: あり","Category:大田区の公園","参照","潮干狩りも可能な人工海浜、都区内では唯一のオートキャンプ場を備えたキャンプ場などがある。また、当公園は羽田空港も近く、羽田空港を離着陸する飛行機を間近に眺められるビュースポットとしても知られている。公園の目と鼻の先に羽田空港B滑走路につながる誘導灯が見えるので、航空ファンが旅客機の撮影（スポッティング）に訪れることも多い。"
"聖跡蒲田梅屋敷公園","","https://ja.wikipedia.org/wiki/聖跡蒲田梅屋敷公園","北緯35度33分53秒東経139度43分37秒","","Category:大田区の公園","参照","聖跡蒲田梅屋敷公園（せいせきかまたうめやしきこうえん）とは、東京都大田区蒲田にある和風庭園である。その名の通り多くの梅が植えられている。"
"多摩川台公園","","https://ja.wikipedia.org/wiki/多摩川台公園","北緯35度35分24.5秒東経139度40分0.9秒","所在地: 日本東京都大田区田園調布一丁目;座標: 北緯35度35分24.5秒東経139度40分0.9秒﻿ / ﻿北緯35.590139度 東経139.666917度﻿ / 35.590139; 139.666917座標: 北緯35度35分24.5秒東経139度40分0.9秒﻿ / ﻿北緯35.590139度 東経139.666917度﻿ / 35.590139; 139.666917;面積: 面積66,661 m2;開園: 1953年;設計者: 高村弘平","Category:大田区の公園","参照","多摩川に沿って北西から南東に向かって舌状に広がる台地上に約600mにわたって面積66,661 m2で展開している。"
"東京港野鳥公園","","https://ja.wikipedia.org/wiki/東京港野鳥公園","北緯35度35分02.31秒東経139度45分38.35秒","分類: 海浜公園;所在地: 日本東京都大田区東海三丁目1;座標: 北緯35度35分02.31秒東経139度45分38.35秒﻿ / ﻿北緯35.5839750度 東経139.7606528度﻿ / 35.5839750; 139.7606528座標: 北緯35度35分02.31秒東経139度45分38.35秒﻿ / ﻿北緯35.5839750度 東経139.7606528度﻿ / 35.5839750; 139.7606528;面積: 約36ヘクタール;前身: 大井第七ふ頭公園;開園: 1978年4月1日;設計者: 東京都・日本野鳥の会;運営者: 東京港野鳥公園グループ;駐車場: 普通車15台（無料）;事務所: 東京港野鳥公園管理事務所;事務所所在地: 〒143-0001東京都大田区東海3-1;公式サイト: 東京港野鳥公園","Category:大田区の公園","参照","大田市場（公設卸売市場）に隣接し、湾岸道路や首都高速道路などに囲まれた環境にある公園である。面積は約36ヘクタール。1978年4月開園。利用者は年間約5万人。東京都港湾局の所管で、指定管理者は東京港野鳥公園グループ（東京港埠頭株式会社、公益財団法人日本野鳥の会）。毎年5月・11月には「東京港野鳥公園フェスティバル」が開催される。"
"西六郷公園","","https://ja.wikipedia.org/wiki/西六郷公園","","","Category:大田区の公園","参照",""
"平和島公園","","https://ja.wikipedia.org/wiki/平和島公園","北緯35度34分55.24秒東経139度44分33.19秒","","Category:大田区の公園","参照","平和島公園（へいわじまこうえん）は、東京都大田区平和島にある大田区立の公園である。野球場やプール（屋内と屋外）、バーベキューが可能な広場などからなっている。"
"平和の森公園 (大田区)","","https://ja.wikipedia.org/wiki/平和の森公園_(大田区)","北緯35度34分43秒東経139度44分29秒","所在地: 日本東京都大田区平和の森公園2番1号;座標: 北緯35度34分43秒東経139度44分29秒﻿ / ﻿北緯35.57861度 東経139.74139度﻿ / 35.57861; 139.74139座標: 北緯35度34分43秒東経139度44分29秒﻿ / ﻿北緯35.57861度 東経139.74139度﻿ / 35.57861; 139.74139;面積: 約99,000 m2;前身: 公有水面;開園: 1982年5月22日;運営者: 大田区;設備・遊具: フィールドアスレチック、テニスコート、弓道場、アーチェリー場 等;駐車場: 44台;アクセス: 平和島駅徒歩約13分 、大森駅東口より京急バス「レジャーランド平和島」行きまたは、「平和島循環」で「レジャーランド平和島」バス停徒歩3分;事務所: 平和の森公園事務所;事務所所在地: 大田区平和の森公園2番1号;公式サイト: 平和の森公園フィールドアスレチック;国: 日本;都道府県: 東京都;特別区: 大田区;地域: 大森地域;• 合計: 0人;等時帯: UTC+9(日本標準時);郵便番号: 143-0005;市外局番: 03;ナンバープレート: 品川;所在地: 日本東京都大田区平和の森公園2番1号;座標: 北緯35度34分43秒東経139度44分29秒﻿ / ﻿北緯35.57861度 東経139.74139度﻿ / 35.57861; 139.74139座標: 北緯35度34分43秒東経139度44分29秒﻿ / ﻿北緯35.57861度 東経139.74139度﻿ / 35.57861; 139.74139;面積: 約99,000 m2;前身: 公有水面;開園: 1982年5月22日;運営者: 大田区;設備・遊具: フィールドアスレチック、テニスコート、弓道場、アーチェリー場 等;駐車場: 44台;アクセス: 平和島駅徒歩約13分 、大森駅東口より京急バス「レジャーランド平和島」行きまたは、「平和島循環」で「レジャーランド平和島」バス停徒歩3分;事務所: 平和の森公園事務所;事務所所在地: 大田区平和の森公園2番1号;公式サイト: 平和の森公園フィールドアスレチック;国: 日本;都道府県: 東京都;特別区: 大田区;地域: 大森地域;• 合計: 0人;等時帯: UTC+9(日本標準時);郵便番号: 143-0005;市外局番: 03;ナンバープレート: 品川","Category:大田区の公園","参照","かつて存在した平和島運河を埋め立て造られた公園で、大田区立の公園として最大の面積を誇る。公園内には、広場や池のほかに、テニスコート、弓道場、アーチェリー場などのスポーツ施設がある。また、園内には大田区の文化財や史跡を模した23区内では唯一のフィールドアスレチック協会公認のフィールドアスレチック（有料）があるのが特徴である。"
"本門寺公園","","https://ja.wikipedia.org/wiki/本門寺公園","北緯35度34分46.4秒東経139度42分20.4秒","所在地: 日本東京都大田区池上一丁目11番1号;座標: 北緯35度34分46.4秒東経139度42分20.4秒﻿ / ﻿北緯35.579556度 東経139.705667度﻿ / 35.579556; 139.705667座標: 北緯35度34分46.4秒東経139度42分20.4秒﻿ / ﻿北緯35.579556度 東経139.705667度﻿ / 35.579556; 139.705667;面積: 28,366.05m2;開園: 1938年12月;運営者: 大田区;設備・遊具: 弁天池、子ども広場、グランド、デイキャンプ場;アクセス: 東急池上線池上駅徒歩約15分","Category:大田区の公園","参照","当公園は、日蓮宗の大本山・池上本門寺の東側の土地に広がる公園である。1938年に当時の東京市の公園として開園した。1951年1月30日に大田区に移管された。1996年にはデイキャンプ場が新しくなり、区内をはじめ多くの人に利用されている。その他に園内には弁天池という池があり、釣りをすることができる。"
