"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"生田緑地","","https://ja.wikipedia.org/wiki/生田緑地","北緯35度36分34秒東経139度33分29秒","分類: 都市公園（総合公園）;所在地: 日本神奈川県川崎市多摩区、宮前区;座標: 北緯35度36分34秒東経139度33分29秒﻿ / ﻿北緯35.60944度 東経139.55806度﻿ / 35.60944; 139.55806座標: 北緯35度36分34秒東経139度33分29秒﻿ / ﻿北緯35.60944度 東経139.55806度﻿ / 35.60944; 139.55806;面積: 95.5ha（計画179.3ha）;運営者: 川崎市;事務所: 生田緑地東口ビジターセンター;事務所所在地: 神奈川県川崎市多摩区枡形7丁目1-4;公式サイト: 生田緑地","Category:川崎市の公園","表2・箇条書き","なお、桝形山（ますがたやま）及び飯室山（いいむろやま）の大部分は生田緑地内に含まれている。"
"稲田公園","","https://ja.wikipedia.org/wiki/稲田公園","北緯35度37分10.3秒東経139度33分43.6秒","国: 日本;地方: 関東地方;都道府県: 神奈川県;市: 川崎市;市町村コード: 14135-6;面積: 20.50km2;総人口: 223,251人 （推計人口、2021年6月1日）;人口密度: 10,890人/km2;隣接自治体隣接行政区: 川崎市（高津区、宮前区、麻生区）東京都：世田谷区、調布市、狛江市、稲城市;区の木: ナシ、ハナミズキ;区の花: モモ、スミレ;所在地: 〒214-8570神奈川県川崎市多摩区登戸1775番地1北緯35度37分10.3秒東経139度33分43.6秒﻿ / ﻿北緯35.619528度 東経139.562111度﻿ / 35.619528; 139.562111座標: 北緯35度37分10.3秒東経139度33分43.6秒﻿ / ﻿北緯35.619528度 東経139.562111度﻿ / 35.619528; 139.562111;外部リンク: 多摩区役所;特記事項: 世帯数：96,908世帯（2005年12月1日）","Category:川崎市の公園","表2・箇条書き","細長い川崎市の最北端に位置し、新宿、渋谷、岩本町(秋葉原)、大手町(丸の内）など都内との交通網が発達しているため、川崎駅付近などの川崎中心部との商業的なつながりは薄いが、稲田堤、中野島、登戸といった区中北西部は府中を始めとする多摩地域、宿河原などの東部は高津区とのつながりがやや強い。南武線がその例である。北は多摩川を境に東京都と接する。南には多摩丘陵が広がり、生田緑地は市民の憩いの場となっている。多摩川梨で有名である。特に登戸から矢野口にかけては生産地の中心である。"
"浮島町公園","","https://ja.wikipedia.org/wiki/浮島町公園","北緯35度31分18秒東経139度47分16秒","分類: 都市公園（近隣公園）;所在地: 日本神奈川県川崎市川崎区浮島町12-1;座標: 北緯35度31分18秒東経139度47分16秒﻿ / ﻿北緯35.52167度 東経139.78778度﻿ / 35.52167; 139.78778座標: 北緯35度31分18秒東経139度47分16秒﻿ / ﻿北緯35.52167度 東経139.78778度﻿ / 35.52167; 139.78778;面積: 22,639 m2;開園: 1965年（昭和40年）7月29日;運営者: 川崎市;駐車場: なし;公式サイト: 公式サイト","Category:川崎市の公園","表2・箇条書き","元々は首都高速道路公団（当時）が運営していたキューブ浮島というミラービルの情報展示施設があったが、取り壊されて跡地には発電用風車が建てられた。公園の管理は、「海風の森をMAZUつくる会」に委任されている。この会により、雑草取りや木々の剪定、花壇の手入れなどが行われている。風車が3基設置されており、風力発電を行っているほか、芝生や森林、ビオトープなどが設置されている。また、川崎市が取り組んでいるヒートアイランド現象を食い止める取り組みの一環として植林作業が行われている。"
"おさかなポスト","","https://ja.wikipedia.org/wiki/おさかなポスト","","","Category:川崎市の公園","表2・箇条書き",""
"弘法松公園","","https://ja.wikipedia.org/wiki/弘法松公園","北緯35度36分8秒東経139度30分55秒","","Category:川崎市の公園","表2・箇条書き",""
"春秋苑","","https://ja.wikipedia.org/wiki/春秋苑","","所在地: 日本神奈川県川崎市多摩区南生田８丁目１−１;面積: 200,000m²;開園: 1958年（昭和33年）;運営者: 信行寺;現況: 年中開放;設備・遊具: 会食施設、法要施設・多目的ホール、駐車場、管理棟・売店、永代供養施設・納骨施設;駐車場: あり;アクセス: 小田急線生田駅より、送迎バスが運行中;事務所所在地: 神奈川県川崎市多摩区南生田８丁目１−１;公式サイト: 春秋苑","Category:川崎市の公園","表2・箇条書き",""
"大師公園","","https://ja.wikipedia.org/wiki/大師公園","北緯35度31分55秒東経139度43分52秒","分類: 都市公園（地区公園）;所在地: 日本神奈川県川崎市川崎区大師公園1;座標: 北緯35度31分55秒東経139度43分52秒﻿ / ﻿北緯35.53194度 東経139.73111度﻿ / 35.53194; 139.73111座標: 北緯35度31分55秒東経139度43分52秒﻿ / ﻿北緯35.53194度 東経139.73111度﻿ / 35.53194; 139.73111;面積: 87,956 m2;開園: 1949年（昭和24年）11月1日;運営者: 川崎市（指定管理者：川崎市緑地公園協会）;駐車場: 63台、有料;公式サイト: 公式サイト","Category:川崎市の公園","表2・箇条書き","野球場、テニスコート、大師プール（屋外）、くじら広場、わんぱく広場、芝生広場、大師こども文化センター、老人いこいの家、防災備蓄倉庫、駐車場"
"等々力緑地","","https://ja.wikipedia.org/wiki/等々力緑地","北緯35度35分13.92秒東経139度38分59.85秒","分類: 都市公園（総合公園）;所在地: 日本神奈川県川崎市中原区等々力1-1;座標: 北緯35度35分13.92秒東経139度38分59.85秒﻿ / ﻿北緯35.5872000度 東経139.6499583度﻿ / 35.5872000; 139.6499583座標: 北緯35度35分13.92秒東経139度38分59.85秒﻿ / ﻿北緯35.5872000度 東経139.6499583度﻿ / 35.5872000; 139.6499583;面積: 43.5ha;設計者: 高村弘平(遊園)他;運営者: 川崎市;設備・遊具: 陸上競技場野球場テニスコートプールとどろきアリーナ他;公式サイト: 公式サイト","Category:川崎市の公園","表2・箇条書き","陸上競技場の他、体育館、野球場、プール、テニスコートなどのスポーツ施設のほか、博物館も立地している。"
"早野聖地公園","","https://ja.wikipedia.org/wiki/早野聖地公園","北緯35度34分20.9秒東経139度31分9.2秒","分類: 都市計画墓園;所在地: 川崎市麻生区早野732;座標: 北緯35度34分20.9秒東経139度31分9.2秒﻿ / ﻿北緯35.572472度 東経139.519222度﻿ / 35.572472; 139.519222座標: 北緯35度34分20.9秒東経139度31分9.2秒﻿ / ﻿北緯35.572472度 東経139.519222度﻿ / 35.572472; 139.519222;面積: 208,337平方メートル;運営者: 川崎市;公式サイト: 公式サイト","Category:川崎市の公園","表2・箇条書き","敷地の四分の一程度が墓所として使われており一般墓所の他に壁面型墓所や芝生型墓所など新形式墓所も作られている。市内でも珍しく溜め池のある公園として知られ農業用含め7つの溜め池が点在し、釣り目当てで訪れる者も多いが釣り行為及び池で遊ぶことは事故などの危険性からすべての溜め池で全面禁止されている。"
"東扇島東公園","","https://ja.wikipedia.org/wiki/東扇島東公園","北緯35度30分17秒東経139度46分25秒","分類: 港湾環境整備施設（港湾緑地）;所在地: 日本神奈川県川崎市川崎区東扇島58番地;座標: 北緯35度30分17秒東経139度46分25秒﻿ / ﻿北緯35.50472度 東経139.77361度﻿ / 35.50472; 139.77361座標: 北緯35度30分17秒東経139度46分25秒﻿ / ﻿北緯35.50472度 東経139.77361度﻿ / 35.50472; 139.77361;面積: 152,350平方メートル;開園: 2008年（平成20年）4月26日;運営者: 川崎市港湾局;設備・遊具: 人工海浜、バーベキュー広場;駐車場: 有料230台;事務所: 東扇島東公園管理事務所;事務所所在地: 神奈川県川崎市川崎区東扇島58-1;公式サイト: 公式サイト","Category:川崎市の公園","表2・箇条書き","東京臨海広域防災公園（有明の丘地区）と共に、東京湾臨海部基幹的広域防災拠点の東扇島地区として整備されたもので、非常災害時には緊急物資輸送拠点として機能する。敷地内には内閣府所管の防災拠点施設と国土交通省の首都圏臨海防災センターが設置されている。"
