"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"IPCわんわん動物園","IPCわんわん動物園","https://ja.wikipedia.org/wiki/IPCわんわん動物園","北緯34度56分18.97秒東経137度11分12.81秒","専門分野: 犬;管理運営: 株式会社アイピーシー;開園: 1994年（平成5年）1月;所在地: 〒444-0007愛知県岡崎市大平町川田46-1;位置: 北緯34度56分18.97秒東経137度11分12.81秒﻿ / ﻿北緯34.9386028度 東経137.1868917度﻿ / 34.9386028; 137.1868917;公式サイト: IPCわんわん動物園","Category:日本の動物園","箇条書き,制限あり","「わんわん動物園」という名称が表している通り、この動物園で飼育・展示されている動物は少数の鳥や猫の仲間を除き、ほとんどが犬の仲間である。"
"赤塚山公園","赤塚山公園","https://ja.wikipedia.org/wiki/赤塚山公園","北緯34度50分50.1秒東経137度21分28.37秒","分類: 総合公園;所在地: 日本愛知県豊川市市田町東堤上1-30;座標: 北緯34度50分50.1秒東経137度21分28.37秒﻿ / ﻿北緯34.847250度 東経137.3578806度﻿ / 34.847250; 137.3578806座標: 北緯34度50分50.1秒東経137度21分28.37秒﻿ / ﻿北緯34.847250度 東経137.3578806度﻿ / 34.847250; 137.3578806;面積: 25.1ha;開園: 1993年7月;運営者: 豊川市;設備・遊具: 小動物園、淡水魚水族館、花しょうぶ園、梅園;駐車場: 327台;バリアフリー: 多目的トイレ;公式サイト: http://www.akatsukayama.jp/","Category:日本の動物園","箇条書き,制限あり","1993年（平成5年）7月に、豊川市制50周年を記念して赤塚山に開設された。小規模な動物園や淡水魚水族館、花しょうぶ園、梅園などで構成されており、市民の憩いの場として親しまれている。また市外からの来園者も多く、年間約50万人が訪れる。"
"秋田市大森山動物園","秋田市大森山動物園","https://ja.wikipedia.org/wiki/秋田市大森山動物園","北緯39度40分19.74秒東経140度04分38.58秒","正式名称: 秋田市大森山動物園;愛称: ミルヴェ;前身: 秋田市児童動物園;専門分野: 総合;所有者: 秋田市;管理運営: 秋田市商工部;開園: 1973年（昭和48年）9月1日;所在地: 〒010-1654秋田県秋田市浜田字潟端154番地;位置: 北緯39度40分19.74秒東経140度04分38.58秒﻿ / ﻿北緯39.6721500度 東経140.0773833度﻿ / 39.6721500; 140.0773833座標: 北緯39度40分19.74秒東経140度04分38.58秒﻿ / ﻿北緯39.6721500度 東経140.0773833度﻿ / 39.6721500; 140.0773833;アクセス: JR秋田新幹線奥羽本線・羽越本線秋田駅JR羽越本線・新屋駅近くの西部SCから大森山動物園行きバス（終点下車）","Category:日本の動物園","箇条書き,制限あり","秋田市大森山公園内に、1973年（昭和48年）に開園した。前身は千秋公園内にあった秋田市児童動物園である。約15haの園内で、2020年11月現在は93種類、597点の動物が飼育されている。年間入園者数は2015年に最高値の28.5万人を記録した。また、同年に入園者数は1000万人に到達した。"
"秋吉台サファリランド","秋吉台サファリランド","https://ja.wikipedia.org/wiki/秋吉台サファリランド","北緯34度17分04秒東経131度19分58秒","正式名称: 秋吉台自然動物公園;所有者: 田中金属株式会社;園長: 池辺祐介;開園: 1977年;所在地: 〒754-0302山口県美祢市美東町赤1212;位置: 北緯34度17分04秒東経131度19分58秒﻿ / ﻿北緯34.28431度 東経131.33289度﻿ / 34.28431; 131.33289座標: 北緯34度17分04秒東経131度19分58秒﻿ / ﻿北緯34.28431度 東経131.33289度﻿ / 34.28431; 131.33289;アクセス: 絵堂ICより5分新山口駅から防長交通バスで秋芳洞を経て約1時間、東萩駅から防長交通バスで約45分;公式サイト: www.safariland.jp","Category:日本の動物園","箇条書き,制限あり","1977年（昭和52年）開園。湯田温泉を中心に山口県内各地でホテル事業を展開するタナカホテルグループによって運営されている。民営であるが周辺の大正洞・景清洞とセット入場券を販売するなど、美東町の観光資源として有効活用しようという動きも見られる。"
"阿蘇カドリー・ドミニオン","阿蘇カドリー・ドミニオン","https://ja.wikipedia.org/wiki/阿蘇カドリー・ドミニオン","北緯32度55分51.6秒東経131度4分0.2秒","愛称: カドリー・ドミニオン;専門分野: 動物園、テーマパーク、クマ牧場;所有者: 株式会社阿蘇熊牧場;園長: 宮沢厚;頭数: 800頭;種数: 100種;来園者数: 410,857(H20);主な飼育動物: ヒグマなどクマをはじめ多種;開園: 1973年7月1日;所在地: 〒869-2225熊本県阿蘇市黒川2163;位置: 北緯32度55分51.6秒東経131度4分0.2秒﻿ / ﻿北緯32.931000度 東経131.066722度﻿ / 32.931000; 131.066722座標: 北緯32度55分51.6秒東経131度4分0.2秒﻿ / ﻿北緯32.931000度 東経131.066722度﻿ / 32.931000; 131.066722;アクセス: JR豊肥本線 阿蘇駅下車。熊本方面へ約1.5km;公式サイト: www.cuddly.co.jp;種類: 株式会社;市場情報: 非上場;本社所在地:  日本〒869-2225熊本県阿蘇市黒川2163;設立: 1973年6月12日;業種: サービス業;法人番号: 8330001012251;事業内容: テーマパーク「阿蘇カドリー・ドミニオン」の運営;代表者: 代表取締役 大久保智司;資本金: 40百万円;発行済株式総数: 4万株;売上高: 535百万円（2016年3月期）;経常利益: △30百万円（2016年3月期）;純利益: △16百万円（2016年3月期）;純資産: 202百万円（2016年3月期）;総資産: 957百万円（2016年3月期）;従業員数: 61名（うち、正社員52名）（2016年4月30日現在）;愛称: カドリー・ドミニオン;専門分野: 動物園、テーマパーク、クマ牧場;所有者: 株式会社阿蘇熊牧場;園長: 宮沢厚;頭数: 800頭;種数: 100種;来園者数: 410,857(H20);主な飼育動物: ヒグマなどクマをはじめ多種;開園: 1973年7月1日;所在地: 〒869-2225熊本県阿蘇市黒川2163;位置: 北緯32度55分51.6秒東経131度4分0.2秒﻿ / ﻿北緯32.931000度 東経131.066722度﻿ / 32.931000; 131.066722座標: 北緯32度55分51.6秒東経131度4分0.2秒﻿ / ﻿北緯32.931000度 東経131.066722度﻿ / 32.931000; 131.066722;アクセス: JR豊肥本線 阿蘇駅下車。熊本方面へ約1.5km;公式サイト: www.cuddly.co.jp;種類: 株式会社;市場情報: 非上場;本社所在地:  日本〒869-2225熊本県阿蘇市黒川2163;設立: 1973年6月12日;業種: サービス業;法人番号: 8330001012251;事業内容: テーマパーク「阿蘇カドリー・ドミニオン」の運営;代表者: 代表取締役 大久保智司;資本金: 40百万円;発行済株式総数: 4万株;売上高: 535百万円（2016年3月期）;経常利益: △30百万円（2016年3月期）;純利益: △16百万円（2016年3月期）;純資産: 202百万円（2016年3月期）;総資産: 957百万円（2016年3月期）;従業員数: 61名（うち、正社員52名）（2016年4月30日現在）","Category:日本の動物園","箇条書き,制限あり","2014年の阿蘇山噴火による影響や、2012年の動物ショー後に動物が従業員にケガをさせた事故等により、入場者数が大きく減少したことで経営悪化し、2016年3月25日付けで地域経済活性化支援機構に支援を申出。取引銀行の熊本銀行と、大阪府泉佐野市に本社を置く「スターゲイトホテル」がスポンサーとなり、経営再生を進める予定。"
"熱川バナナワニ園","熱川バナナワニ園","https://ja.wikipedia.org/wiki/熱川バナナワニ園","北緯34度48分58秒東経139度4分4秒","愛称: バナナワニ園;専門分野: ワニ・レッサーパンダ・熱帯植物;管理運営: 株式会社熱川バナナワニ園;主な飼育動物: ワニ、レッサーパンダ、アマゾンマナティー;開園: 1958年（昭和33年）9月20日;所在地: 〒413-0302静岡県賀茂郡東伊豆町奈良本1253-10;位置: 北緯34度48分58秒東経139度4分4秒﻿ / ﻿北緯34.81611度 東経139.06778度﻿ / 34.81611; 139.06778座標: 北緯34度48分58秒東経139度4分4秒﻿ / ﻿北緯34.81611度 東経139.06778度﻿ / 34.81611; 139.06778;アクセス: 伊豆急行線伊豆熱川駅徒歩;公式サイト: http://bananawani.jp/","Category:日本の動物園","箇条書き,制限あり","伊豆の熱川温泉にある動植物園。1958年（昭和33年）9月20日に開園。1971年3月1日には分園が開園している。2008年に、ワニ園の改修工事が行われ、全体を覆う屋根ができたほか、ワニを横や下から観察できるようになった。"
"足立区生物園","足立区生物園","https://ja.wikipedia.org/wiki/足立区生物園","北緯35度47分32.8秒東経139度48分26秒","正式名称: 足立区生物園;愛称: 生物園;所有者: 足立区;管理運営: 体験型いきものパークマネジメント共同事業体（株式会社自然教育研究センター、東武緑地株式会社、株式会社松竹園）;面積: 7,200m2;開園: 1993年10月1日;所在地: 〒121-0064東京都足立区保木間二丁目17番1号;位置: 北緯35度47分32.8秒東経139度48分26秒﻿ / ﻿北緯35.792444度 東経139.80722度﻿ / 35.792444; 139.80722座標: 北緯35度47分32.8秒東経139度48分26秒﻿ / ﻿北緯35.792444度 東経139.80722度﻿ / 35.792444; 139.80722;公式サイト: http://www1.adachi.ne.jp/seibutu/","Category:日本の動物園","箇条書き,制限あり","1F、2Fの屋内展示と屋外展示場からなる。チョウの大温室は1F2F吹き抜けとなっている。屋外展示場にはふれあいコーナーがあり、様々な動物に触れることが出来る。2010年4月、屋外展示場にオージードームが開設された。"
"アドベンチャーワールド","アドベンチャーワールド","https://ja.wikipedia.org/wiki/アドベンチャーワールド","北緯33度40分0.16秒東経135度22分22.49秒","専門分野: サファリパーク・ジャイアントパンダの繁殖;所有者: 民間;管理運営: 株式会社アワーズ;開園: 1978年;専門分野: 水族館;事業主体: 民間;管理運営: 株式会社アワーズ;専門分野: サファリパーク・ジャイアントパンダの繁殖;所有者: 民間;管理運営: 株式会社アワーズ;開園: 1978年;専門分野: 水族館;事業主体: 民間;管理運営: 株式会社アワーズ","Category:日本の動物園","箇条書き,制限あり","広大なサファリゾーンでは、1周約1500m（約25分）の列車型牽引バス「ケニア号」・1人〜3人乗りの自転車・2階建てバス・ゴルフ用カートやジープなどの乗物を使って周遊する。ケニア号以外はすべてオプションであり、窓口で料金を支払う必要がある。徒歩でも1.5kmほどのコースを自由に散策することができる。ただしライオンやクマなどの猛獣ゾーンへはゲートがあり、徒歩・自転車・カートでの立ち入りができない。"
"阿仁熊牧場","阿仁熊牧場","https://ja.wikipedia.org/wiki/阿仁熊牧場","北緯39度54分47秒東経140度32分10秒","正式名称: 北秋田市阿仁熊牧場;愛称: くまくま園;専門分野: 動物園（クマ牧場）;所有者: 北秋田市;管理運営: 北秋田市;園長: 小松武志;頭数: 65頭・ツキノワグマ48頭・ヒグマ17頭;種数: 2種(ツキノワグマ,ヒグマ);来園者数: 1万9044人　Ｈ27;主な飼育動物: ツキノワグマ;開園: 1990年;所在地: 〒018-4731秋田県北秋田市阿仁打当字陳場1番地39;位置: 北緯39度54分47秒東経140度32分10秒﻿ / ﻿北緯39.91306度 東経140.53611度﻿ / 39.91306; 140.53611座標: 北緯39度54分47秒東経140度32分10秒﻿ / ﻿北緯39.91306度 東経140.53611度﻿ / 39.91306; 140.53611;アクセス: 秋田内陸線「阿仁マタギ駅」下車2km","Category:日本の動物園","箇条書き,制限あり","2017年現在、東北地方唯一の熊牧場である。また、日本で唯一の自治体が設置したクマ牧場であるが、運営は民間会社であった。2016年度からは市が直接運営している。熊に与えるための餌も販売している。"
"奄美アイランド植物園","奄美アイランド植物園","https://ja.wikipedia.org/wiki/奄美アイランド植物園","北緯28度14分45.8秒東経129度24分35.2秒","正式名称: 奄美アイランド植物園;事業主体: 財団法人奄美文化財団;所在地: 〒894-1304鹿児島県奄美市住用町大字山間811-1;位置: 北緯28度14分45.8秒東経129度24分35.2秒﻿ / ﻿北緯28.246056度 東経129.409778度﻿ / 28.246056; 129.409778座標: 北緯28度14分45.8秒東経129度24分35.2秒﻿ / ﻿北緯28.246056度 東経129.409778度﻿ / 28.246056; 129.409778","Category:日本の動物園","箇条書き,制限あり","庭園には500種類以上のサボテンと多肉植物、バナナ、熱帯果樹、ベゴニア、カラテア 、ヘリコニア、蘭などの温室がある。 動物園には ミーアキャット、オオキツネザル、リスザルなどの動物や水族館がある。文化センターには東南アジア先住民の芸術が展示されている。"
