"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"旭山記念公園","旭山記念公園","https://ja.wikipedia.org/wiki/旭山記念公園","北緯43度02分22秒東経141度18分50秒","分類: 特殊公園;所在地: 日本札幌市中央区界川・双子山;座標: 北緯43度02分22秒東経141度18分50秒﻿ / ﻿北緯43.03944度 東経141.31389度﻿ / 43.03944; 141.31389座標: 北緯43度02分22秒東経141度18分50秒﻿ / ﻿北緯43.03944度 東経141.31389度﻿ / 43.03944; 141.31389;面積: 20.3ヘクタール;開園: 1970年9月26日;運営者: 札幌市公園緑化協会;設備・遊具: 森林、展望台、噴水、広場、吊り橋、四阿、遊具;駐車場: 第1駐車場58台第2駐車場61台（冬季閉鎖）;バリアフリー: 身障者用トイレ3ヶ所、車いす用水飲台、貸出用車いす5台、貸出用ベビーカー1台;アクセス: ジェイ・アール北海道バス（琴似営業所）「旭山公園前」バス停下車;告示: 都市計画決定：昭和42年3月15日建設省告示第600号;事務所: 旭山記念公園管理事務所（森の家）;事務所所在地: 札幌市中央区界川4丁目;備考: 広域避難場所;公式サイト: 旭山記念公園","Category:札幌市の公園","箇条書き,制限あり","藻岩山と円山の中間に位置し、札幌市創建100年記念事業の一環として造成した。標高137.5mにある展望台を中心に広場や森の中に園路を整備しており、展望広場は札幌市街を一望できて夜景の名所となっている。園路は自然歩道「藻岩山ルート」に通じている。毎年夏には『さっぽろ旭山音楽祭』を開催している。"
"明日風公園","明日風公園","https://ja.wikipedia.org/wiki/明日風公園","北緯43度08分21秒東経141度13分43秒","分類: 地区公園;所在地: 日本札幌市手稲区明日風;座標: 北緯43度08分21秒東経141度13分43秒﻿ / ﻿北緯43.13917度 東経141.22861度﻿ / 43.13917; 141.22861座標: 北緯43度08分21秒東経141度13分43秒﻿ / ﻿北緯43.13917度 東経141.22861度﻿ / 43.13917; 141.22861;面積: 4.8ヘクタール;開園: 2010年;運営者: 札幌市公園緑化協会（指定管理者）;設備・遊具: 広場、築山、遊具、テニスコート、パークゴルフ場、園路;駐車場: 20台;バリアフリー: 身障者対応トイレ、車椅子用水飲台;アクセス: ジェイ・アール北海道バス札樽線「明日風5丁目」「明日風3丁目」「明日風3丁目東」バス停下車;告示: 都市計画決定：平成14年11月12日札幌市告示第1306号;公式サイト: 明日風公園","Category:札幌市の公園","箇条書き,制限あり","手稲山口土地区画整理事業により基盤整備を開始。平成18年度に市民との意見交換会や周辺施設へのヒアリング調査などを基に公園計画案を作成し、平成19年度から平成21年度にかけて造成した。手稲山の自然景観と、手稲鉱山の歴史的な要素を設計のコンセプトにしている。当初の名称は曙西公園であったが、2007年（平成19年）10月に施行した住居表示と整合するため現在の名称に変更した。2011年（平成23年）に札幌市の一時避難場所に指定された。"
"厚別公園","厚別公園","https://ja.wikipedia.org/wiki/厚別公園","北緯43度01分03秒東経141度27分51秒","分類: 運動公園;所在地: 日本札幌市厚別区上野幌;座標: 北緯43度01分03秒東経141度27分51秒﻿ / ﻿北緯43.01750度 東経141.46417度﻿ / 43.01750; 141.46417座標: 北緯43度01分03秒東経141度27分51秒﻿ / ﻿北緯43.01750度 東経141.46417度﻿ / 43.01750; 141.46417;面積: 12.6ヘクタール;開園: 1987年;運営者: 札幌市公園緑化協会（指定管理者）;設備・遊具: 陸上競技場、広場、パーゴラ、壁泉;駐車場: 第一駐車場169台、第二駐車場119台;バリアフリー: 身障者対応トイレ、車椅子用水飲台;アクセス: 札幌市営地下鉄東西線大谷地駅下車 徒歩10分北海道中央バス「平岡9条3丁目」「厚別公園」バス停下車 徒歩5分、「雇用促進住宅入口」バス停下車 徒歩10分北海道中央バス・ジェイ・アール北海道バス「上野幌2条1丁目」バス停下車 徒歩5分;告示: 都市計画決定：昭和58年3月31日北海道告示第600号;事務所: 厚別公園管理事務所;事務所所在地: 札幌市厚別区上野幌3条1丁目2番1号;備考: 広域避難場所;公式サイト: 厚別公園","Category:札幌市の公園","箇条書き,制限あり","『第44回国民体育大会』（はまなす国体）メイン会場となる競技場建設のため1984年（昭和59年）に着工し、1986年（昭和61年）に完成した。1987年（昭和62年）には『全国高等学校総合体育大会』（'87北海道総体）を開催し、1989年（平成元年）にはまなす国体を開催した。1996年（平成8年）から2014年（平成26年）まで、コンサドーレ札幌（現在の北海道コンサドーレ札幌）のホームスタジアムになっていた。"
"石山緑地","石山緑地","https://ja.wikipedia.org/wiki/石山緑地","北緯42度58分11秒東経141度20分31秒","分類: 都市緑地;所在地: 日本札幌市南区石山;座標: 北緯42度58分11秒東経141度20分31秒﻿ / ﻿北緯42.96972度 東経141.34194度﻿ / 42.96972; 141.34194座標: 北緯42度58分11秒東経141度20分31秒﻿ / ﻿北緯42.96972度 東経141.34194度﻿ / 42.96972; 141.34194;面積: 11.8ヘクタール;設計者: キタバ・ランドスケープ;運営者: 藻南・石山・常盤・さくらの森グループ（指定管理者）;設備・遊具: 広場、野外ステージ、噴水、遊水路、壁泉、四阿、パーゴラ、遊具、テニスコート、ゲートボール場、老人福祉施設;駐車場: 3ヶ所計48台;アクセス: 北海道中央バス（西岡営業所）「石山東3丁目」バス停下車 徒歩4分;告示: 平成5年3月31日;事務所: 藻南公園管理事務所;事務所所在地: 札幌市南区川沿10条1丁目2-58;公式サイト: 石山緑地〜施設案内","Category:札幌市の公園","箇条書き,制限あり","札幌軟石の採掘跡地を公園化しており、道路を挟んで北ブロックと南ブロックに分かれている。"
"大通公園","大通公園","https://ja.wikipedia.org/wiki/大通公園","北緯43度03分35秒東経141度20分47秒","分類: 特殊公園;所在地: 日本札幌市中央区大通西;座標: 北緯43度03分35秒東経141度20分47秒﻿ / ﻿北緯43.05972度 東経141.34639度﻿ / 43.05972; 141.34639座標: 北緯43度03分35秒東経141度20分47秒﻿ / ﻿北緯43.05972度 東経141.34639度﻿ / 43.05972; 141.34639;面積: 7.89ヘクタール;運営者: 札幌市公園緑化協会（指定管理者）;設備・遊具: 壁泉、噴水、広場、遊具、水路、園路;駐車場: 札幌大通地下駐車場（366台）;バリアフリー: ユニバーサルトイレ;アクセス: 札幌市営地下鉄大通駅または東西線西11丁目駅下車;告示: 昭和55年6月6日;事務所: 大通公園管理事務所;事務所所在地: 札幌市中央区大通西7;公式サイト: 大通公園","Category:札幌市の公園","箇条書き,制限あり","札幌市中心部に位置し、東西約1.5 km、面積約7.8 haの特殊公園であり、幅105 m、6車線の都市計画道路3・1・2「大通」の一部になっているほか、札幌市の「風致地区」「景観計画重点区域」に指定されている。芝生や花壇を整備しており、ライラック、ハルニレ、ケヤキをはじめとした92種、約4,700本の樹木がある。また、各種イベント（『さっぽろ雪まつり』『さっぽろライラックまつり』『YOSAKOIソーラン祭り』『さっぽろ夏まつり』『さっぽろオータムフェスト』『さっぽろホワイトイルミネーション』など）が開催されている。"
"偕楽園 (札幌市)","偕楽園 (札幌市)","https://ja.wikipedia.org/wiki/偕楽園_(札幌市)","北緯43度4分5.2秒東経141度20分40秒","分類: 都市緑地;所在地: 日本札幌市北区北6 - 7条 西7丁目;座標: 北緯43度4分5.2秒東経141度20分40秒﻿ / ﻿北緯43.068111度 東経141.34444度﻿ / 43.068111; 141.34444座標: 北緯43度4分5.2秒東経141度20分40秒﻿ / ﻿北緯43.068111度 東経141.34444度﻿ / 43.068111; 141.34444;面積: 2797m2;前身: 偕楽園;現況: 年中開放;バリアフリー: 車椅子用水飲台;告示: 2002年（平成14年）3月29日","Category:札幌市の公園","箇条書き,制限あり","跡地は都市緑地「偕楽園緑地」として整備されている。"
"川下公園","川下公園","https://ja.wikipedia.org/wiki/川下公園","北緯43度03分48秒東経141度26分40秒","分類: 総合公園;所在地: 日本札幌市白石区川下;座標: 北緯43度03分48秒東経141度26分40秒﻿ / ﻿北緯43.06333度 東経141.44444度﻿ / 43.06333; 141.44444座標: 北緯43度03分48秒東経141度26分40秒﻿ / ﻿北緯43.06333度 東経141.44444度﻿ / 43.06333; 141.44444;面積: 19.5ヘクタール;開園: 1999年（全面供用）;運営者: 札幌市公園緑化協会（指定管理者）;設備・遊具: プール、浴室、レストラン、野球場、テニスコート、パークゴルフ場、グラウンド・ゴルフ、クロスカントリースキー、広場、壁泉、水路、噴水、展望台、園路;駐車場: 計263台（リラックスプラザ前駐車場、野球場前駐車場、ピクニック広場前駐車場）;バリアフリー: 身障者対応トイレ、車椅子貸出、スロープ（リラックスプラザ）;アクセス: 北海道中央バス（白石営業所）「川下公園前」バス停下車 徒歩1分、「白石高校前」バス停下車 徒歩5分;告示: 都市計画決定：昭和62年8月17日北海道告示第1375号;事務所: 川下公園管理事務所;事務所所在地: 札幌市白石区川下2651番地3外;備考: 広域避難場所;公式サイト: 川下公園","Category:札幌市の公園","箇条書き,制限あり","白石区初の総合公園として1999年（平成11年）に全面オープン。札幌市の木であるライラックを世界中から集めて200種1,700本を植栽した「ライラックの森」があり、札幌市の委託を受けて札幌市公園緑化協会が1991年（平成3年）に策定した「川下公園ライラックの森基本構想」に基づいて造成した。ライラック収集は札幌の気候に適した品種の選定を行い、多くはカナダのロイヤル・ボタニカル・ガーデンズから枝の供給を受けて接ぎ木によって増殖した。ほかにはアメリカ、中国、ドイツなどからも収集している。また、ウィリアム・スミス・クラークがアメリカに寄贈したライラックの子孫も植えている。『さっぽろライラックまつり』川下会場になっているほか、各種イベントを開催している。"
"五天山公園","五天山公園","https://ja.wikipedia.org/wiki/五天山公園","北緯43度02分47秒東経141度15分35秒","分類: 総合公園;所在地: 日本札幌市西区福井;座標: 北緯43度02分47秒東経141度15分35秒﻿ / ﻿北緯43.04639度 東経141.25972度﻿ / 43.04639; 141.25972座標: 北緯43度02分47秒東経141度15分35秒﻿ / ﻿北緯43.04639度 東経141.25972度﻿ / 43.04639; 141.25972;面積: 24.7ヘクタール;前身: 採石場;開園: 2006年（パークゴルフ場）2009年4月25日（全面開園）;運営者: 五天山・宮丘パークマネージメントグループ（指定管理者）;設備・遊具: 学習館、売店、食堂、水車、テニスコート、パークゴルフ場、遊具、広場、花壇、園路;駐車場: 544台（夜間閉鎖）;バリアフリー: 身障者対応トイレ;アクセス: ジェイ・アール北海道バス（琴似営業所）「福井10丁目」バス停下車 徒歩5分、「五天山公園」バス停下車（停車しないバスあり）;告示: 都市計画決定：平成11年11月16日北海道告示第1893号;事務所: 五天山公園管理事務所;事務所所在地: 札幌市西区福井423番地;公式サイト: 五天山・宮丘公園","Category:札幌市の公園","箇条書き,制限あり","同区で初めての総合公園として採石場跡地に造成し、2009年（平成21年）に全面オープンした。北海道道82号西野真駒内清田線沿いにあり、五天山を背景に各種施設を整備しているほか、五天山中腹にも2ヵ所の見晴らし台を設けている。四季を通じて様々なイベントを開催している。"
"札幌芸術の森","札幌芸術の森","https://ja.wikipedia.org/wiki/札幌芸術の森","北緯42度56分02秒東経141度20分14秒","分類: 特殊公園;所在地: 日本札幌市南区芸術の森;座標: 北緯42度56分02秒東経141度20分14秒﻿ / ﻿北緯42.93389度 東経141.33722度﻿ / 42.93389; 141.33722座標: 北緯42度56分02秒東経141度20分14秒﻿ / ﻿北緯42.93389度 東経141.33722度﻿ / 42.93389; 141.33722;面積: 39ヘクタール;開園: 1986年7月27日;設計者: 板谷邦夫;運営者: 公益財団法人札幌市芸術文化財団;設備・遊具: 美術館、アトリエ、窯、喫茶店、レストラン、音楽ホール、野外ステージ、ロッジ;駐車場: 約650台;アクセス: 北海道中央バス（西岡営業所）「芸術の森入口」または「芸術の森センター」バス停下車道央自動車道北広島ICから約21km札樽自動車道札幌北ICから約23km;告示: 都市計画決定：昭和59年4月9日北海道告示第611号;事務所所在地: 札幌市南区芸術の森2丁目75番地;備考: 札幌芸術の森美術館：小学生以上有料（展示会ごとに変動）野外美術館：1,000円（11月上旬から4月下旬）佐藤忠良記念子どもアトリエ：野外美術館入館料で入場可（冬季休館中は無料）その他施設：各料金参照;公式サイト: 札幌芸術の森","Category:札幌市の公園","箇条書き,制限あり","1977年（昭和52年）、札幌青年会議所が提唱した「さっぽろアートパーク構想」に端を発し、1981年（昭和56年）に札幌市がプロジェクトチームを設けて具体的な計画を策定した。札幌市郊外40ヘクタールの敷地内に芸術関連の施設や作品を配置しており、鑑賞、発表、制作、研修、情報交流の機能を備えている。芸術の森地区の中核となる施設であり、「創造都市さっぽろ」の原動力の1つになっている。札幌市立大学芸術の森キャンパスや札幌アートヴィレッジが隣接している。"
"篠路五ノ戸の森緑地","篠路五ノ戸の森緑地","https://ja.wikipedia.org/wiki/篠路五ノ戸の森緑地","北緯43度08分34.4秒東経141度22分28.9秒","分類: 都市緑地;所在地: 日本北海道札幌市北区篠路3条10丁目;座標: 北緯43度08分34.4秒東経141度22分28.9秒﻿ / ﻿北緯43.142889度 東経141.374694度﻿ / 43.142889; 141.374694座標: 北緯43度08分34.4秒東経141度22分28.9秒﻿ / ﻿北緯43.142889度 東経141.374694度﻿ / 43.142889; 141.374694;面積: 22566m2;設備・遊具: コンビネーション遊具、エアホーン;駐車場: 8台","Category:札幌市の公園","箇条書き,制限あり","もとは農家の屋敷林であった森を、札幌市が譲り受け、都市緑地として整備した。湿地や小川が残っているため生態系が豊かで、約200種の植物が見られるビオトープとなっている。"
