"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"東京都立秋川丘陵自然公園","","https://ja.wikipedia.org/wiki/東京都立秋川丘陵自然公園","","","Category:東京都の公園","箇条書き,制限あり",""
"秋留台公園","","https://ja.wikipedia.org/wiki/秋留台公園","","分類: 運動公園;所在地: 日本東京都あきる野市二宮・平沢;面積: 118,447.07m2;開園: 1988年5月31日;運営者: 東京都公園協会2011～2015年度指定管理者;設備・遊具: 第3種公認陸上競技場;駐車場: 乗用車248台 バス7台;アクセス: 五日市線東秋留駅・秋川駅徒歩15分;事務所: 秋留台公園サービスセンター;事務所所在地: 東京都あきる野市二宮673-1;公式サイト: 公式サイト","Category:東京都の公園","箇条書き,制限あり",""
"稲城中央公園","","https://ja.wikipedia.org/wiki/稲城中央公園","北緯35度38分01秒東経139度29分10秒","分類: 総合公園;所在地: 日本東京都稲城市長峰一丁目1番地向陽台四丁目1番地の1;座標: 北緯35度38分01秒東経139度29分10秒﻿ / ﻿北緯35.63361度 東経139.48611度﻿ / 35.63361; 139.48611;面積: 約200,000 m2（約60,500坪）;設備・遊具: 稲城市総合体育館、稲城中央公園総合グラウンド、野球場（1面）、くじら橋、レストラン、ジョギングコース、里山、アスレチック;駐車場: 約300台;告示: 1991年","Category:東京都の公園","箇条書き,制限あり","稲城市域のほぼ中央に位置し、多摩ニュータウン開発の中でスポーツ施設を包含する大規模な「地区公園」として設置された。同市の都市計画マスタープランにおいては「まちの骨格となる緑地」と位置づけられる「緑の環」の中の「レクリエーション交流緑地」として総合公園に分類されている。"
"井の頭恩賜公園","","https://ja.wikipedia.org/wiki/井の頭恩賜公園","北緯35度42分3秒東経139度34分27秒","所在地: 日本東京都三鷹市、武蔵野市;座標: 北緯35度42分3秒東経139度34分27秒﻿ / ﻿北緯35.70083度 東経139.57417度﻿ / 35.70083; 139.57417座標: 北緯35度42分3秒東経139度34分27秒﻿ / ﻿北緯35.70083度 東経139.57417度﻿ / 35.70083; 139.57417;面積: 42ha;設備・遊具: 競技場（400mトラック）、テニスコート（6面）、野外ステージ、ボート場;駐車場: 60台;告示: 1917年5月1日2014年4月24日東京都告示第681号;事務所: 井の頭恩賜公園管理所;事務所所在地: 東京都武蔵野市御殿山1-18-31;公式サイト: 井の頭恩賜公園","Category:東京都の公園","箇条書き,制限あり","1917年（大正6年）5月1日開園。三宝寺池（石神井公園）および善福寺池と並び、武蔵野三大湧水池として知られる井の頭池を中心とした公園である。東京都西部公園緑地事務所が管理している。日本さくら名所100選に選定されている。"
"大神山公園","","https://ja.wikipedia.org/wiki/大神山公園","北緯27度5分36秒東経142度11分31秒","分類: 都立公園;所在地: 日本東京都小笠原村;座標: 北緯27度5分36秒東経142度11分31秒﻿ / ﻿北緯27.09333度 東経142.19194度﻿ / 27.09333; 142.19194座標: 北緯27度5分36秒東経142度11分31秒﻿ / ﻿北緯27.09333度 東経142.19194度﻿ / 27.09333; 142.19194;面積: 153,125.94 m2;開園: 1981年（昭和56年）4月30日;アクセス: 竹芝客船ターミナルから小笠原海運「おがさわら丸」にて父島二見港下船;事務所: 大神山公園サービスセンター;事務所所在地: 東京都小笠原村父島東町;備考: 園内に小笠原ビジターセンターを併設;公式サイト: 公園に行こう！ 小笠原ビジターセンター・大神山公園","Category:東京都の公園","箇条書き,制限あり","二見港の桟橋から都道240号を挟んで向かい側にある丘陵地の「大神山地区」と、二見湾大村海岸に面した平坦地である「大村中央地区」に分かれている。大村中央地区には小笠原ビジターセンターが併設されている。"
"大島公園動物園","","https://ja.wikipedia.org/wiki/大島公園動物園","","頭数: 約350頭;種数: 約60種;主な飼育動物: カラスバトなど;開園: 1935年（昭和10年）;所在地: 〒100-0103東京都大島町泉津字福重3号;アクセス: 元町港・岡田港・大島空港より大島公園行バスにて終点下車、徒歩2分;公式サイト: 大島公園動物園","Category:東京都の公園","箇条書き,制限あり",""
"小笠原国立公園","","https://ja.wikipedia.org/wiki/小笠原国立公園","北緯27度02分16秒東経142度10分30秒","指定区域: 日本　東京都東京都小笠原村（父島列島、母島列島、聟島列島、西之島、北硫黄島）北緯27度02分16秒東経142度10分30秒﻿ / ﻿北緯27.03778度 東経142.17500度﻿ / 27.03778; 142.17500;分類: 国立公園;面積: 6,629 ha;指定日: 1972年10月16日;運営者: 環境省;年来園者数: 2万人（2006年）;現況: 世界遺産（自然遺産）;事務所: 関東地方環境事務所;事務所所在地: 〒330-6018 埼玉県さいたま市中央区新都心11-2 明治安田生命さいたま新都心ビル18F;公式サイト: 小笠原国立公園（環境省）","Category:東京都の公園","箇条書き,制限あり","西之島、北硫黄島"
"東京都立奥多摩湖畔公園 山のふるさと村","","https://ja.wikipedia.org/wiki/東京都立奥多摩湖畔公園_山のふるさと村","","","Category:東京都の公園","箇条書き,制限あり",""
"金山緑地公園","","https://ja.wikipedia.org/wiki/金山緑地公園","","開園: 1986年5月;設計者: 鈴木昌道;運営者: 清瀬市;駐車場: あり","Category:東京都の公園","箇条書き,制限あり","1986年5月に開園。所在地は東京都清瀬市中里四丁目650。"
"北山公園 (東京都)","","https://ja.wikipedia.org/wiki/北山公園_(東京都)","北緯35度45分59.5秒東経139度27分32.5秒","","Category:東京都の公園","箇条書き,制限あり",""
