"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"青山公園","","https://ja.wikipedia.org/wiki/青山公園","北緯35度39分49秒東経139度43分29秒","分類: 総合公園;所在地: 日本東京都港区;座標: 北緯35度39分49秒東経139度43分29秒﻿ / ﻿北緯35.66361度 東経139.72472度﻿ / 35.66361; 139.72472座標: 北緯35度39分49秒東経139度43分29秒﻿ / ﻿北緯35.66361度 東経139.72472度﻿ / 35.66361; 139.72472;面積: 38,465.49m2;開園: 1970年（昭和45年）6月1日;運営者: 東京都公園協会2011～2015年度指定管理者;駐車場: なし;事務所: 青山公園サービスセンター;事務所所在地: 東京都港区南青山二丁目32番2号（青山霊園内）;公式サイト: 公式サイト","Category:東京都港区の公園","箇条書き,制限あり","公園は、「南地区」（六本木7丁目）と「北地区」（南青山2丁目）という、お互いに500メートル以上離れた2地区に分かれている。北地区は港区が管理する「青葉公園」と入り組んでいる。"
"青山霊園","","https://ja.wikipedia.org/wiki/青山霊園","北緯35度40分0秒東経139度43分20秒","開園: 1874年（明治7年）9月1日;所在地: 東京都港区南青山二丁目32番2号;国: 日本;座標: 北緯35度40分0秒東経139度43分20秒﻿ / ﻿北緯35.66667度 東経139.72222度﻿ / 35.66667; 139.72222座標: 北緯35度40分0秒東経139度43分20秒﻿ / ﻿北緯35.66667度 東経139.72222度﻿ / 35.66667; 139.72222;種別: 公営;運営者: 公益財団法人東京都公園協会;総面積: 26.3ha墓所面積 12.8ha;ウェブサイト: http://www.tokyo-park.or.jp/park/format/index072.html;Find a Grave: 青山霊園","Category:東京都港区の公園","箇条書き,制限あり","1872年（明治5年）、美濃郡上藩（現在の岐阜県郡上市）の藩主・青山家の下屋敷跡に開設された。当初は神葬祭墓地であった。1874年（明治7年）9月1日、市民のための公共墓地となった。1889年（明治22年）、東京府から東京市に移管された。1926年（大正15年）、斎場の建物のすべてが東京市に寄附され、日本で初めての公営墓地となった。"
"有栖川宮記念公園","","https://ja.wikipedia.org/wiki/有栖川宮記念公園","北緯35度39分07秒東経139度43分33秒","分類: 都市公園（風致公園）;所在地: 日本東京都港区南麻布5-7-29北緯35度39分07秒東経139度43分33秒﻿ / ﻿北緯35.65204度 東経139.72584度﻿ / 35.65204; 139.72584座標: 北緯35度39分07秒東経139度43分33秒﻿ / ﻿北緯35.65204度 東経139.72584度﻿ / 35.65204; 139.72584;面積: 67,131.11m2;開園: 1934年（昭和9年）11月;運営者: 港区;設備・遊具: 木製複合遊具、スプリング遊具、ほか;アクセス: 東京メトロ日比谷線広尾駅より徒歩3分;事務所所在地: 園内東側;公式サイト: http://www.arisugawa-park.jp/","Category:東京都港区の公園","箇条書き,制限あり","かつての有栖川宮の御用地（有栖川宮御用地）に造られた公園で、現在は港区が所管している。単に「有栖川公園（ありすがわこうえん）」とも呼ばれる。"
"イタリア公園","","https://ja.wikipedia.org/wiki/イタリア公園","北緯35度39分34.2秒東経139度45分33.1秒","分類: 都市公園;所在地: 日本東京都港区;座標: 北緯35度39分34.2秒東経139度45分33.1秒﻿ / ﻿北緯35.659500度 東経139.759194度﻿ / 35.659500; 139.759194座標: 北緯35度39分34.2秒東経139度45分33.1秒﻿ / ﻿北緯35.659500度 東経139.759194度﻿ / 35.659500; 139.759194;面積: 3,660 m2;開園: 2003年;運営者: 港区;アクセス: 汐留駅から徒歩5分;公式サイト: 公式ウェブサイト","Category:東京都港区の公園","箇条書き,制限あり",""
"一の橋公園","","https://ja.wikipedia.org/wiki/一の橋公園","北緯35度39分21.1秒東経139度44分15.2秒","分類: 都市公園（街区公園）;所在地: 日本東京都港区東麻布3丁目;面積: 4,828 m2;運営者: 港区;公式サイト: 一の橋公園（港区HP）","Category:東京都港区の公園","箇条書き,制限あり","現在付近では東京都による古川地下調節池工事が行われており、公園は2010年（平成22年）2月中旬から利用中止となっている。"
"お台場海浜公園","","https://ja.wikipedia.org/wiki/お台場海浜公園","北緯35度37分50.9秒東経139度46分35.8秒","所在地: 日本東京都港区台場一丁目4番地;面積: 510,809,79 m2（うち水域435,395.00 m2）;開園: 1975年12月1日;設計者: 東京ランドスケープ研究所;公式サイト: https://www.tptc.co.jp/park/01_02","Category:東京都港区の公園","箇条書き,制限あり","かつては貯木場であったが、昭和40年代から公園としての整備が開始され1996年（平成8年）に今の形でリニューアルオープンした。所管は東京都港湾局で、現在は指定管理者に管理を委任している。"
"お台場レインボー公園","","https://ja.wikipedia.org/wiki/お台場レインボー公園","","","Category:東京都港区の公園","箇条書き,制限あり","お台場レインボー公園（おだいばれいんぼーこうえん）は、東京都港区台場一丁目にある公園である。1996年開園、面積は約11000m2。"
"亀塚公園","","https://ja.wikipedia.org/wiki/亀塚公園","","","Category:東京都港区の公園","箇条書き,制限あり",""
"旧芝離宮恩賜庭園","","https://ja.wikipedia.org/wiki/旧芝離宮恩賜庭園","北緯35度39分18秒東経139度45分32.4秒","分類: 都立庭園・名勝;所在地: 東京都港区海岸一丁目;座標: 北緯35度39分18秒東経139度45分32.4秒﻿ / ﻿北緯35.65500度 東経139.759000度﻿ / 35.65500; 139.759000座標: 北緯35度39分18秒東経139度45分32.4秒﻿ / ﻿北緯35.65500度 東経139.759000度﻿ / 35.65500; 139.759000;面積: 42,035.40m2;運営者: 東京都公園協会2011～2015年度指定管理者;設備・遊具: 弓道場;告示: 1924年4月20日開園;公式サイト: 公式ホームページ","Category:東京都港区の公園","箇条書き,制限あり","旧芝離宮恩賜庭園は江戸幕府の老中・大久保忠朝の上屋敷内に作庭した大名庭園楽寿園を起源とする回遊式庭園である。作庭当時は海岸に面しており、浜離宮恩賜庭園同様汐入の庭であった。現在では周囲の埋め立てとビル群により海の眺望は失われた。一部が鉄道の増設用地に提供され面積が狭くなった。"
"港南緑水公園","","https://ja.wikipedia.org/wiki/港南緑水公園","北緯35度37分43.0秒東経139度45分4.9秒","分類: 都市公園;所在地: 日本東京都港区港南四丁目;座標: 北緯35度37分43.0秒東経139度45分4.9秒﻿ / ﻿北緯35.628611度 東経139.751361度﻿ / 35.628611; 139.751361座標: 北緯35度37分43.0秒東経139度45分4.9秒﻿ / ﻿北緯35.628611度 東経139.751361度﻿ / 35.628611; 139.751361;面積: 20,206 m2;前身: 陸上自衛隊芝浦分屯地;開園: 2006年(全面開園2012年4月);運営者: 東京都港区;現況: 年中24時間開放;設備・遊具: ブランコ、滑り台、自然観察池、運河デッキ;駐車場: なし;バリアフリー: バリアフリー公衆トイレ;アクセス: JR・京急品川駅徒歩13分都営バス港南小学校前下車徒歩1分;事務所: 港南緑水公園管理事務所;事務所所在地: 〒108-0075東京都港区港南四丁目7番47号;公式サイト: 港南緑水公園","Category:東京都港区の公園","箇条書き,制限あり","港区民参画により設計案をつくり、「水辺空間、自然とのふれあいの場の創出」「子どもから高齢者までが遊び、集う公園」「防災機能の拡充」などの整備方針を定め、7億8000万円の整備費を投じて2012年4月に全面開園した。"
