"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"横浜市緑の協会","","https://ja.wikipedia.org/wiki/横浜市緑の協会","","","Category:横浜市の公園","箇条書き,制限あり",""
"横浜市の市民の森","","https://ja.wikipedia.org/wiki/横浜市の市民の森","","","Category:横浜市の公園","箇条書き,制限あり",""
"アメリカ山公園","","https://ja.wikipedia.org/wiki/アメリカ山公園","北緯35度26分29秒東経139度39分6秒","分類: 都市公園（風致公園）;所在地: 日本横浜市中区山手町97-1;面積: 5,519 m2;開園: 2009年8月7日（一部開園）2012年4月1日（全面開園）;運営者: 横浜市アメリカ山公園パートナーズ（西武造園株式会社）;設備・遊具: 庭園、トイレ;駐車場: なし;アクセス: みなとみらい線元町・中華街駅東側改札口（元町口）直結;事務所: 環境創造局 南部公園緑地事務所 都心部公園担当;事務所所在地: 横浜市中区真砂町2-22（関内中央ビル）;備考: 開園時間は朝6時から夜11時、入園料は無料、年中無休だが公園管理の際に休園日を設ける場合がある。;公式サイト: https://www.seibu-la.co.jp/mt_america/","Category:横浜市の公園","箇条書き,制限あり","横浜開港150周年となる2009年（平成21年）8月7日に一部開園。その後、2012年（平成24年）4月1日に全面開園となった。"
"海芝公園","","https://ja.wikipedia.org/wiki/海芝公園","北緯35度29分9.3秒東経139度42分1秒","所在地: 横浜市鶴見区末広町二丁目北緯35度29分9.3秒東経139度42分1秒﻿ / ﻿北緯35.485917度 東経139.70028度﻿ / 35.485917; 139.70028﻿ (海芝浦駅);駅番号: JI52;所属事業者: 東日本旅客鉄道（JR東日本）;所属路線: ■鶴見線（海芝浦支線）;キロ程: 1.7 km（浅野起点）鶴見から4.7 km;電報略号: ウミ;駅構造: 地上駅;ホーム: 1面1線;乗車人員-統計年度-: 3,250人/日（降車客含まず）-2008年-;開業年月日: 1940年（昭和15年）11月1日;備考: 無人駅（乗車駅証明書発行機 有）横浜市内駅","Category:横浜市の公園","箇条書き,制限あり","東芝の事業子会社である東芝エネルギーシステムズの京浜事業所が改札より隣接している。同社の社員や子会社の東芝プラントシステムなど、会社より認められた関係者でないと、事業所の構内に入る事ができない。"
"海の公園","","https://ja.wikipedia.org/wiki/海の公園","北緯35度20分22.2秒東経139度38分6.5秒","分類: 都市公園(総合公園);所在地: 日本神奈川県横浜市金沢区海の公園10;座標: 北緯35度20分22.2秒東経139度38分6.5秒﻿ / ﻿北緯35.339500度 東経139.635139度﻿ / 35.339500; 139.635139座標: 北緯35度20分22.2秒東経139度38分6.5秒﻿ / ﻿北緯35.339500度 東経139.635139度﻿ / 35.339500; 139.635139;面積: 170,155m2;開園: 1988年7月;運営者: 横浜市（指定管理者：公益財団法人横浜市緑の協会）;駐車場: 1688台（有料）;公式サイト: http://www.umino-kouen.net/","Category:横浜市の公園","箇条書き,制限あり","金沢地先埋め立て事業の一環として整備された。横浜市内で唯一海水浴場が有る海浜公園。海水浴場の砂は対岸の千葉県富津市の山砂を運び、海底に5年ほど仮置きしたものを使用した。公園部分の埋め立てには、能見台の開発で発生した土を使用した。八景島駅前の海岸には安山岩を使用し磯遊びが出来るようにした。"
"大倉山公園 (横浜市)","","https://ja.wikipedia.org/wiki/大倉山公園_(横浜市)","北緯35度31分31.1秒東経139度37分38.7秒","分類: 都市公園(地区公園);所在地: 日本神奈川県横浜市港北区大倉山二丁目;座標: 北緯35度31分31.1秒東経139度37分38.7秒﻿ / ﻿北緯35.525306度 東経139.627417度﻿ / 35.525306; 139.627417座標: 北緯35度31分31.1秒東経139度37分38.7秒﻿ / ﻿北緯35.525306度 東経139.627417度﻿ / 35.525306; 139.627417;面積: 約6.9ha;開園: 1984年(都市公園として);設計者: 高村弘平;運営者: 横浜市;設備・遊具: 池","Category:横浜市の公園","箇条書き,制限あり","敷地6.9万平米(=6.9ha)。うち1.1haの梅林には約20種150本の梅が植えられ、観梅の時期には多くの人出がある。"
"大塚・歳勝土遺跡","","https://ja.wikipedia.org/wiki/大塚・歳勝土遺跡","北緯35度33分5.1秒東経139度34分50.0秒","分類: 都市公園（歴史公園）;所在地: 日本横浜市都筑区大棚西1;座標: 北緯35度33分5.1秒東経139度34分50.0秒﻿ / ﻿北緯35.551417度 東経139.580556度﻿ / 35.551417; 139.580556座標: 北緯35度33分5.1秒東経139度34分50.0秒﻿ / ﻿北緯35.551417度 東経139.580556度﻿ / 35.551417; 139.580556;面積: 54,640m2;開園: 1996年3月25日;運営者: 横浜市;公式サイト: 大塚・歳勝土遺跡公園（横浜市歴史博物館）","Category:横浜市の公園","箇条書き,制限あり","1972年（昭和47年）に港北ニュータウンの開発に伴う事前の発掘調査で存在が明らかとなる。大塚遺跡は高台に作られた弥生時代中期の環濠集落であることが確認された。歳勝土遺跡では、大塚遺跡の環濠とその周囲に広がる土塁に近接した一帯から方形周溝墓群が発見されて、年代的にも同時代であることが確かめられ、環濠集落（大塚遺跡）に住んだ人びとの墓地であることが明らかになった。"
"大通り公園","","https://ja.wikipedia.org/wiki/大通り公園","北緯35度26分25.2秒東経139度37分52秒","分類: 都市公園(地区公園);所在地: 日本神奈川県横浜市中区蓬莱町、南区高根町ほか;座標: 北緯35度26分25.2秒東経139度37分52秒﻿ / ﻿北緯35.440333度 東経139.63111度﻿ / 35.440333; 139.63111座標: 北緯35度26分25.2秒東経139度37分52秒﻿ / ﻿北緯35.440333度 東経139.63111度﻿ / 35.440333; 139.63111;面積: 約3.6ha;前身: 運河;開園: 1978年9月9日;運営者: 横浜市;駐車場: 近隣民間有料駐車場を利用;アクセス: 関内駅および伊勢佐木長者町駅、阪東橋駅より近距離にある;事務所: 環境創造局 南部公園緑地事務所 都心部公園担当;事務所所在地: 横浜市中区真砂町2-22（関内中央ビル）","Category:横浜市の公園","箇条書き,制限あり","この公園の真下に横浜市営地下鉄ブルーラインが通っている。"
"岡村公園","","https://ja.wikipedia.org/wiki/岡村公園","北緯35度24分54.7秒東経139度36分44.4秒","分類: 都市公園（地区公園）;所在地: 日本神奈川県横浜市磯子区岡村2-17;座標: 北緯35度24分54.7秒東経139度36分44.4秒﻿ / ﻿北緯35.415194度 東経139.612333度﻿ / 35.415194; 139.612333座標: 北緯35度24分54.7秒東経139度36分44.4秒﻿ / ﻿北緯35.415194度 東経139.612333度﻿ / 35.415194; 139.612333;面積: 68,139m2;開園: 1950年5月25日;運営者: 横浜緑地（指定管理者）;設備・遊具: テニスコート6面、野球場、遊具広場、梅林;駐車場: 62台;アクセス: 京浜急行・横浜市営地下鉄上大岡駅より京浜急行バス上7系統「岡村梅林入口」下車すぐ。JR根岸線根岸駅または磯子駅より横浜市営バス78系統、市営地下鉄弘明寺駅より、横浜市営バス9系統「天神前」下車10分。JR根岸線磯子駅より徒歩30分。;公式サイト: www.kanagawaparks.com/okamura/","Category:横浜市の公園","箇条書き,制限あり","岡村天満宮の南側の丘に位置し、かつては「天満宮の梅林」として、杉田梅林と並ぶ景勝地として知られた。1937年（昭和12年）頃、現在テニスコートとなっている付近に岡村天満宮の新たな社殿を建て、鶴岡八幡宮に匹敵する大きな神社にする計画が建てられたが、不景気や満州事変・支那事変による社会情勢の変化で立ち消えになった。"
"開港広場公園","","https://ja.wikipedia.org/wiki/開港広場公園","北緯35度26分50.3秒東経139度38分39.2秒","分類: 都市公園（街区公園）;所在地: 日本横浜市中区山下町1;座標: 北緯35度26分50.3秒東経139度38分39.2秒﻿ / ﻿北緯35.447306度 東経139.644222度﻿ / 35.447306; 139.644222座標: 北緯35度26分50.3秒東経139度38分39.2秒﻿ / ﻿北緯35.447306度 東経139.644222度﻿ / 35.447306; 139.644222;面積: 2,479m2;開園: 1982年12月18日;設計者: 高橋志保彦建築設計事務所;アクセス: みなとみらい線日本大通り駅から徒歩2分市営地下鉄・JR根岸線関内駅から徒歩15分","Category:横浜市の公園","箇条書き,制限あり","1854年（安政元年）3月3日。マシュー・ペリー提督は、現在横浜開港資料館の講堂がある付近の応接所で日本側全権委員との間で日米和親条約を締結した。これに先立ち、同年2月23日には幕府に献上するための汽車模型の試運転、その翌日には電信の送信実験が行われ、日本人が西洋の実情を知るとともに日本の近代化の幕を開ける契機となった。横浜が交渉の地となった経緯として、「鎌倉か浦賀を交渉の場としたい」とする幕府側に対し、「首都である江戸で行うのが国際的な慣行である」とするペリー側が江戸湾の奥まで艦隊を進めた結果、幕府側の妥協を引き出したものである。実際には江戸付近は水深が浅く、街を艦隊の砲弾の射程距離に納めるには危険があった。横浜は十分な水深と艦隊を停泊させるスペースがあり、湾口からの波浪が本牧岬により防がれていることから、条件は良好であった。幕府側にとっても、江戸や、東海道の宿場町の神奈川に入れずに食い止めたことで面子が立った。"
