"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"旭橋 (旭川市)","","https://ja.wikipedia.org/wiki/旭橋_(旭川市)","北緯43度46分42秒東経142度21分36秒","国: 日本;所在地: 北海道旭川市;交差物件: 石狩川;設計者施工者: 吉町太郎一、桶浦大三、塩塚重蔵;建設: 1929年- 1932年;座標: 北緯43度46分42秒東経142度21分36秒﻿ / ﻿北緯43.77833度 東経142.36000度﻿ / 43.77833; 142.36000座標: 北緯43度46分42秒東経142度21分36秒﻿ / ﻿北緯43.77833度 東経142.36000度﻿ / 43.77833; 142.36000;形式: ブレースト・リブ・バランスド・カンチレバー・タイドアーチ橋;全長: 224.9m;幅: 18.3m;最大支間長: 90.9m","Category:石狩川の橋","箇条書き","国道40号（昭和通）の橋であり、かつては大日本帝国陸軍第7師団司令部に通じる道路として重要な役割を担ってきた。現在は上下流にも橋梁があり、交通が分散されている。"
"石狩大橋","","https://ja.wikipedia.org/wiki/石狩大橋","北緯43度07分27秒東経141度32分35秒","","Category:石狩川の橋","箇条書き",""
"石狩河口橋","","https://ja.wikipedia.org/wiki/石狩河口橋","北緯43度13分45秒東経141度21分09秒","国: 日本北海道;所在地: 石狩振興局石狩市船場町・北生振;交差物件: 一級河川石狩川;設計者施工者: 札幌開発建設部;建設: 1976年;座標: 北緯43度13分45秒東経141度21分09秒﻿ / ﻿北緯43.22917度 東経141.35250度﻿ / 43.22917; 141.35250;形式: 斜張橋;材料: 鋼床版;全長: 1,412.7m;幅: 8.0m（車道）+2.0m（歩道）;高さ: 34m;最大支間長: 160m","Category:石狩川の橋","箇条書き","石狩川の最下流部、河口から約5kmの地点に架かる。斜張橋および合成桁からなり、全長は1412.7m。北海道内の国道に架かる橋としては桔梗高架橋（函館市）に次ぐ延長（平成20年4月1日現在）の長大橋である。斜張橋部分の主塔はA型、斜材ケーブルは2組を2面吊りの放射形配置としている。"
"石狩川橋","","https://ja.wikipedia.org/wiki/石狩川橋","北緯43度33分38.2秒東経141度53分3.9秒","","Category:石狩川の橋","箇条書き","石狩川橋（いしかりがわばし）は、北海道の石狩川に架かる橋であり、以下の2つがある。位置は全く異なる。"
"伊納大橋","","https://ja.wikipedia.org/wiki/伊納大橋","北緯43度45分56.1秒東経142度16分34.4秒","","Category:石狩川の橋","箇条書き",""
"栄園橋","","https://ja.wikipedia.org/wiki/栄園橋","","","Category:石狩川の橋","箇条書き",""
"北旭川大橋","","https://ja.wikipedia.org/wiki/北旭川大橋","北緯43度48分44秒東経142度24分34.5秒","国: 日本;所在地: 北海道旭川市;交差物件: 石狩川;設計者施工者: 住重・松尾・川重・トピーJV、日車・IHIJV;建設: 1987年- 1990年;座標: 北緯43度48分44秒東経142度24分34.5秒﻿ / ﻿北緯43.81222度 東経142.409583度﻿ / 43.81222; 142.409583;形式: ローゼ橋;材料: 鋼;全長: 345m;最大支間長: 95.0m","Category:石狩川の橋","箇条書き","旭川新道事業の一環として建設され、1991年（平成3年）に開通。北海道内初となる単弦ローゼ桁構造を採用し、補剛桁は3主桁並列鋼床版箱桁とした。"
"江神橋","","https://ja.wikipedia.org/wiki/江神橋","北緯43度46分56.1秒東経142度17分23秒","","Category:石狩川の橋","箇条書き",""
"江竜橋","","https://ja.wikipedia.org/wiki/江竜橋","北緯43度38分30.3秒東経141度54分49.4秒","","Category:石狩川の橋","箇条書き",""
"札幌大橋","","https://ja.wikipedia.org/wiki/札幌大橋","北緯43度10分23.5秒東経141度25分14.2秒","国: 日本;所在地: 札幌市北区篠路町拓北 - 石狩郡当別町ビトエ;座標: 北緯43度10分23.5秒東経141度25分14.2秒﻿ / ﻿北緯43.173194度 東経141.420611度﻿ / 43.173194; 141.420611;形式: 3径間連続鋼床版2主鈑桁、3径間連続鋼床版箱桁、3径間連続鋼床版2主鈑桁2連4径間連続合成床版鈑桁、2径間連続合成床版鈑桁、3径間連続合成床版箱桁+3径間連続合成床版鈑桁（下流橋）;材料: 鋼;全長: 985.3 m982.5 m（下流橋）;幅: 13.0 m10.45 m（下流橋）;最大支間長: 150 mxxx m（下流橋）","Category:石狩川の橋","箇条書き","国道337号道央圏連絡道路当別バイパスの一部となっている。"
