"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"神奈川県立あいかわ公園","","https://ja.wikipedia.org/wiki/神奈川県立あいかわ公園","北緯35度32分27.3秒東経139度15分24.6秒","分類: 都市公園(広域公園);所在地: 日本神奈川県愛甲郡愛川町半原;座標: 北緯35度32分27.3秒東経139度15分24.6秒﻿ / ﻿北緯35.540917度 東経139.256833度﻿ / 35.540917; 139.256833座標: 北緯35度32分27.3秒東経139度15分24.6秒﻿ / ﻿北緯35.540917度 東経139.256833度﻿ / 35.540917; 139.256833;面積: 51.8ha（都市計画決定面積53.5ha）;開園: 2002年（平成14年）4月27日;運営者: 神奈川県(指定管理者：公益財団法人宮ヶ瀬ダム周辺振興財団);年来園者数: 約50万人（平成29年）;設備・遊具: 壁の迷路、巨大ツリー、ターザンライド、林間アスレチック、スライダー、ふわふわドーム、砦遊具、動物遊具;駐車場: 南駐車場451台。北駐車場206台。駐車場利用料金は、平日は無料。土・日・祝日及びGW・夏休みは有料。普通車500円、大型・中型1,500円、二輪車100円。;事務所: 県立あいかわ公園パークセンター;事務所所在地: 神奈川県愛甲郡愛川町半原5423;公式サイト: 指定管理者による公式サイト","Category:神奈川県の公園","箇条書き,制限あり","宮ヶ瀬湖（宮ヶ瀬ダム）の東側に隣接しており、「雄大なダムと首都圏最大級のダム湖の眺望」及び「様々な地域文化とのふれあいが楽しめる憩いと交流のレクリエーション拠点」として整備されている。"
"厚木中央公園","","https://ja.wikipedia.org/wiki/厚木中央公園","北緯35度26分38.7秒東経139度21分43.5秒","分類: 都市公園（近隣公園）;所在地: 日本神奈川県厚木市寿町3-424-1;座標: 北緯35度26分38.7秒東経139度21分43.5秒﻿ / ﻿北緯35.444083度 東経139.362083度﻿ / 35.444083; 139.362083座標: 北緯35度26分38.7秒東経139度21分43.5秒﻿ / ﻿北緯35.444083度 東経139.362083度﻿ / 35.444083; 139.362083;面積: 19,416.79m2;開園: 1997年4月;運営者: 厚木市;設備・遊具: 遊戯広場;駐車場: 500台;アクセス: 小田急線本厚木駅北口から徒歩で約10分;公式サイト: 厚木市のサイト","Category:神奈川県の公園","箇条書き,制限あり","厚木中央公園は厚木市役所の北側、厚木中学校の東側に位置し、1931年（昭和16年）から操業していた日本バルカー工業相模工場の跡地に整備され、1997年（平成9年）4月に開園した。総面積は約1.9ha。季節を問わず市民の憩いの場となっている。中央には多目的広場とケヤキ広場があり、西側の憩いの広場には四方の池とそれを囲むように球形のオブジェ（合わせて28個）が並んである。このオブジェは噴水となっており、上部から水が湧き出し表面をつたう。夏場は子どもの格好の遊び場であり、また涼を感じられる場である。また、4基のガス灯（天然ガス利用）が設置され、夜はレトロな気分に浸れる。地下には市営駐車場が整備されている。災害時には市の指定避難場所となっており、地下備蓄倉庫や耐震性地下貯水槽などの防災機能を備えた公園でもある。毎年行われるあつぎ鮎まつりの際は、この公園に特設ステージおよび模擬店が設けられ、花火が見える格好の場所であるため当日は来園者で混雑する。2010年（平成22年）9月18日・9月19日には、ここでB-1グランプリin厚木が開催された。"
"綾瀬スポーツ公園","","https://ja.wikipedia.org/wiki/綾瀬スポーツ公園","北緯35度26分9秒東経139度26分54秒","分類: 都市公園（運動公園）;所在地: 神奈川県綾瀬市本蓼川345;座標: 北緯35度26分9秒東経139度26分54秒﻿ / ﻿北緯35.43583度 東経139.44833度﻿ / 35.43583; 139.44833座標: 北緯35度26分9秒東経139度26分54秒﻿ / ﻿北緯35.43583度 東経139.44833度﻿ / 35.43583; 139.44833;面積: 13.11ha;開園: 2011年（平成23年）4月1日;運営者: 綾瀬市;駐車場: 475台（有料）","Category:神奈川県の公園","箇条書き,制限あり","旧本蓼川スポーツ施設（本蓼川第1野球場、ソフトボール場、第1多目的広場など）を再整備し、2011年（平成23年）4月1日に開園した。計画時の名称は、稲荷山運動公園であったが、公募の結果、綾瀬スポーツ公園という現在の名称となった。2015年（平成27年）3月に全面開園した。"
"荒井城址公園","","https://ja.wikipedia.org/wiki/荒井城址公園","北緯35度9分16秒東経139度8分1秒","分類: 公園;所在地: 日本真鶴町真鶴1789;座標: 北緯35度9分16秒東経139度8分1秒﻿ / ﻿北緯35.15444度 東経139.13361度﻿ / 35.15444; 139.13361座標: 北緯35度9分16秒東経139度8分1秒﻿ / ﻿北緯35.15444度 東経139.13361度﻿ / 35.15444; 139.13361;運営者: 真鶴町;設備・遊具: ピクニック広場、アスレチック広場;駐車場: なし","Category:神奈川県の公園","箇条書き,制限あり","真鶴半島の付け根、真鶴駅から徒歩5分の高台に位置する。11世紀に荒井実継の荒井城があった城跡を公園に整備したもので、空堀跡が残る。1987年（昭和62年）開園。ライトアップもあるしだれ桜の時期ににぎわいを見せることで著名。"
"石垣山一夜城歴史公園","","https://ja.wikipedia.org/wiki/石垣山一夜城歴史公園","北緯35度14分7.5秒東経139度7分40秒","分類: 歴史公園;所在地: 日本神奈川県小田原市早川字梅ケ窪1383番の11番;座標: 北緯35度14分7.5秒東経139度7分40秒﻿ / ﻿北緯35.235417度 東経139.12778度﻿ / 35.235417; 139.12778座標: 北緯35度14分7.5秒東経139度7分40秒﻿ / ﻿北緯35.235417度 東経139.12778度﻿ / 35.235417; 139.12778;面積: 5.8ha;前身: 石垣山一夜城;運営者: 小田原市;設備・遊具: 展望台、トイレ;駐車場: あり","Category:神奈川県の公園","箇条書き,制限あり","豊臣秀吉が、小田原城攻撃の際に築城した石垣山城跡地を整備した公園。"
"泉の森","","https://ja.wikipedia.org/wiki/泉の森","北緯35度28分45秒東経139度26分34秒","分類: 特別緑地保全地区;所在地: 日本神奈川県大和市上草柳1728番地;面積: 42ha;運営者: 大和市;駐車場: 合計156台（臨時を含む）;アクセス: 大和市コミュニティバス「泉の森」下車相模大塚駅から徒歩約15分大和駅から徒歩約25分鶴間駅から徒歩約25分;事務所: 自然観察センター;公式サイト: http://www.yamato-zaidan.or.jp/izumi","Category:神奈川県の公園","箇条書き,制限あり","一帯はかつて引地川沿いの谷戸田だった。しかし都市化が進むと雨量の流入が多くなり、洪水が発生するようになった。そこで1982年（昭和57年）に上草柳調整池を整備し、周囲を公園として開放した。"
"一之宮公園","","https://ja.wikipedia.org/wiki/一之宮公園","北緯35度22分4.1秒東経139度22分41.4秒","分類: 都市公園（近隣公園）;所在地: 日本〒253-0111神奈川県高座郡寒川町一之宮3丁目2172－1;座標: 北緯35度22分4.1秒東経139度22分41.4秒﻿ / ﻿北緯35.367806度 東経139.378167度﻿ / 35.367806; 139.378167座標: 北緯35度22分4.1秒東経139度22分41.4秒﻿ / ﻿北緯35.367806度 東経139.378167度﻿ / 35.367806; 139.378167;面積: 15048.65㎡;開園: 1984年（昭和59年）;運営者: 寒川町","Category:神奈川県の公園","箇条書き,制限あり","一之宮公園は神奈川県高座郡寒川町にある公園（都市公園)で、かつてあった相模線の支線跡を活用してつくられた施設である。"
"海老名運動公園","","https://ja.wikipedia.org/wiki/海老名運動公園","北緯35度25分45秒東経139度22分41.8秒","分類: 都市公園（運動公園）;所在地: 日本神奈川県海老名市社家4032-1;座標: 北緯35度25分45秒東経139度22分41.8秒﻿ / ﻿北緯35.42917度 東経139.378278度﻿ / 35.42917; 139.378278座標: 北緯35度25分45秒東経139度22分41.8秒﻿ / ﻿北緯35.42917度 東経139.378278度﻿ / 35.42917; 139.378278;運営者: 海老名市（指定管理者：相鉄企業株式会社）;アクセス: 小田急小田原線・JR相模線厚木駅から徒歩25分、JR相模線社家駅から徒歩15分。;公式サイト: http://ebispo.jp/","Category:神奈川県の公園","箇条書き,制限あり","総合スポーツ施設として整備されている。「かながわの公園50選」にも選ばれている。"
"海老名中央公園","","https://ja.wikipedia.org/wiki/海老名中央公園","北緯35度27分8秒東経139度23分37秒","分類: 都市公園（近隣公園）;所在地: 日本神奈川県海老名市中央一丁目;座標: 北緯35度27分8秒東経139度23分37秒﻿ / ﻿北緯35.45222度 東経139.39361度﻿ / 35.45222; 139.39361座標: 北緯35度27分8秒東経139度23分37秒﻿ / ﻿北緯35.45222度 東経139.39361度﻿ / 35.45222; 139.39361;面積: 約0.9ha;開園: 1985年6月1日;運営者: 海老名市;駐車場: あり（197台）;バリアフリー: 障がい者・母子利用可能多目的トイレ;告示: 1986年（昭和61年）5月22日;公式サイト: 海老名中央公園（海老名市HP）","Category:神奈川県の公園","箇条書き,制限あり","主な施設として、野外ステージや人工の小川を配し夏場は涼を感じられる親水広場がある「つどいの広場」、モニュメントやベンチを配した「かたらいの広場」、そして観光の象徴として1992年（平成4年）12月19日に完成した朱塗りの七重の塔が設置されている「いこいの広場」がある。この塔は相模国分寺の七重の塔を基にして、実物大の約3分の1の大きさで作られた模型である。"
"大磯運動公園","","https://ja.wikipedia.org/wiki/大磯運動公園","北緯35度18分47秒東経139度17分26秒","","Category:神奈川県の公園","箇条書き,制限あり",""
