"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"赤沢渓谷","","https://ja.wikipedia.org/wiki/赤沢渓谷","","","Category:長野県の自然景勝地","箇条書き,制限あり","小川は阿寺山地の阿寺山の西斜面に発する。源流域では「赤沢」と呼ばれており、一帯は赤沢自然休養林として整備されている。ここにはさまざまな沢を巡る遊歩道があり、復刻された木曽森林鉄道が走っている。赤沢は休養林一帯では「道川」とも呼ばれている。"
"赤沢自然休養林","","https://ja.wikipedia.org/wiki/赤沢自然休養林","北緯35度43分36.2秒東経137度37分26.6秒","","Category:長野県の自然景勝地","箇条書き,制限あり",""
"赤沢岳","","https://ja.wikipedia.org/wiki/赤沢岳","北緯36度33分43.0秒東経137度41分15.2秒","標高: 2677.8 m;所在地: 日本富山県中新川郡立山町、長野県大町市;位置: 北緯36度33分43.0秒東経137度41分15.2秒﻿ / ﻿北緯36.561944度 東経137.687556度﻿ / 36.561944; 137.687556座標: 北緯36度33分43.0秒東経137度41分15.2秒﻿ / ﻿北緯36.561944度 東経137.687556度﻿ / 36.561944; 137.687556;山系: 飛騨山脈（後立山連峰）","Category:長野県の自然景勝地","箇条書き,制限あり","後立山連峰上のピークで、針ノ木岳の北約2.5km地点にある。山頂は瓦礫帯で一部ハイマツが生え、眺めがよく周囲に立山連峰や後立山連峰の山々や五色ヶ原、黒部湖などが見える。"
"安曇野","","https://ja.wikipedia.org/wiki/安曇野","","","Category:長野県の自然景勝地","箇条書き,制限あり",""
"あやめ公園池","","https://ja.wikipedia.org/wiki/あやめ公園池","北緯35度57分31秒東経137度44分56秒","所在地: 長野県木曽郡木祖村菅;位置: 北緯35度57分31秒東経137度44分56秒﻿ / ﻿北緯35.95861度 東経137.74889度﻿ / 35.95861; 137.74889座標: 北緯35度57分31秒東経137度44分56秒﻿ / ﻿北緯35.95861度 東経137.74889度﻿ / 35.95861; 137.74889;面積: 0.0026km2;周囲長: 0.75km;最大水深: 3.7m;成因: 人造湖;淡水・汽水: 淡水","Category:長野県の自然景勝地","箇条書き,制限あり","やぶはら高原スキー場の手前、標高900メートルから1,100メートルの地点に位置する。40ヘクタールの農地を潤す農業用のため池（人造湖）で、周囲約750メートル、面積約2,600平方メートルである。水深は最も深い南側の排水口付近で3.7メートルあり、水中にはイワナ・ワカサギ・コイ・ドジョウ・フナなどが生息している。地元ではこうした在来魚の保護に努めており、ブラックバスのような外来魚は生息していない。一方、北側は浅く湿地になっており、ヨシやガマが茂る。北東部の一部はミズゴケに由来する泥炭層が発達しており、池塘も見られる。"
"一の瀬園地","","https://ja.wikipedia.org/wiki/一の瀬園地","","","Category:長野県の自然景勝地","箇条書き,制限あり",""
"岩鼻 (長野県)","","https://ja.wikipedia.org/wiki/岩鼻_(長野県)","","","Category:長野県の自然景勝地","箇条書き,制限あり",""
"牛留池","","https://ja.wikipedia.org/wiki/牛留池","北緯36度6分50秒東経137度36分52秒","所在地: 長野県松本市安曇の乗鞍高原;位置: 北緯36度6分50秒東経137度36分52秒﻿ / ﻿北緯36.11389度 東経137.61444度﻿ / 36.11389; 137.61444座標: 北緯36度6分50秒東経137度36分52秒﻿ / ﻿北緯36.11389度 東経137.61444度﻿ / 36.11389; 137.61444;淡水・汽水: 淡水","Category:長野県の自然景勝地","箇条書き,制限あり","休暇村乗鞍高原の東側100ｍほどに位置し、乗鞍岳が噴火してできた溶岩台地の窪地にある。ルリイトトンボなどの高山トンボや、サンショウウオ・モリアオガエルが生息し、ミツガシワやミズバショウが群生する。"
"後立山連峰","","https://ja.wikipedia.org/wiki/後立山連峰","北緯36度37分28秒東経137度44分49秒","所在地: 富山県・新潟県・長野県;位置: 北緯36度37分28秒東経137度44分49秒﻿ / ﻿北緯36.62444度 東経137.74694度﻿ / 36.62444; 137.74694;上位山系: 飛騨山脈（北アルプス）;最高峰: 白馬岳（2,932m）;所在地: 富山県・新潟県・長野県;位置: 北緯36度37分28秒東経137度44分49秒﻿ / ﻿北緯36.62444度 東経137.74694度﻿ / 36.62444; 137.74694;上位山系: 飛騨山脈（北アルプス）;最高峰: 白馬岳（2,932m）","Category:長野県の自然景勝地","箇条書き,制限あり","後立山連峰の山稜に沿って、富山県と新潟県の県境、および富山県と長野県の県境が設けられている。その最高峰は、標高2,932 mの白馬岳である。山の上部は森林限界の高山帯でハイマツなど高山植物の群生地があり、ライチョウの生息地となっている。"
"内山峡","","https://ja.wikipedia.org/wiki/内山峡","","","Category:長野県の自然景勝地","箇条書き,制限あり",""
