"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"伊吹山","1伊吹山いぶきやま1,377.31　一等伊吹山揖斐川町・滋賀県日本百名山","https://ja.wikipedia.org/wiki/伊吹山","北緯35度25分04秒東経136度24分23秒","標高: 1,377.31[1]m;所在地: 日本滋賀県米原市岐阜県揖斐郡揖斐川町、不破郡関ケ原町;位置: 北緯35度25分04秒東経136度24分23秒座標: 北緯35度25分04秒 東経136度24分23秒[2];山系: 伊吹山地[2];種類: 堆積岩（石灰岩）;最高気温記録 °C（°F）: 9.9(49.8);平均最高気温 °C（°F）: −2.8(27);平均最低気温 °C（°F）: −7.4(18.7);最低気温記録 °C（°F）: −16.3(2.7);降水量mm （inch）: -","ぎふ百山","表形式"
"三国岳","2三国岳みくにだけ911大垣市・三重県・滋賀県鈴鹿山脈","https://ja.wikipedia.org/wiki/三国岳","","","ぎふ百山","表形式"
"養老山 (岐阜県)","3養老山ようろうさん859.31　一等養老山養老町・大垣市養老山地","https://ja.wikipedia.org/wiki/養老山_(岐阜県)","北緯35度15分47秒東経136度31分24秒","標高: 859.31[1]m;所在地: 日本岐阜県養老郡養老町大垣市;位置: 北緯35度15分47秒東経136度31分24秒[2];山系: 養老山地;種類: 堆積岩（石灰岩）","ぎふ百山","表形式"
"池田山 (岐阜県)","4池田山いけだやま923.85　二等池田山池田町・揖斐川町・垂井町","https://ja.wikipedia.org/wiki/池田山_(岐阜県)","北緯35度26分28秒東経136度31分01秒","標高: 923.85[1]m;所在地: 岐阜県揖斐郡池田町、揖斐川町、不破郡垂井町;位置: 北緯35度26分28秒東経136度31分01秒[1];山系: 伊吹山地","ぎふ百山","表形式"
"小島山 (存在しないページ)","5小島山おじまやま863.60　三等市場揖斐川町","https://ja.wikipedia.org/w/index.php?title=小島山&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"鎗ヶ先山 (存在しないページ)","6鎗ヶ先山やりがさきやま965.56　三等鎗ケ先揖斐川町","https://ja.wikipedia.org/w/index.php?title=鎗ヶ先山&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"虎子山 (存在しないページ)","7虎子山とらすやま1,183.21　三等古田揖斐川町","https://ja.wikipedia.org/w/index.php?title=虎子山&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"貝月山","8貝月山かいづきやま1,234.25　二等品又揖斐川町","https://ja.wikipedia.org/wiki/貝月山","北緯35度31分04秒東経136度25分19秒","標高: 1,234.20[1]m;所在地: 日本岐阜県揖斐郡揖斐川町;位置: 北緯35度31分04秒東経136度25分19秒座標: 北緯35度31分04秒 東経136度25分19秒[1];山系: 伊吹山地","ぎふ百山","表形式"
"金糞岳","9金糞岳かなくそだけ1,317揖斐川町・滋賀県","https://ja.wikipedia.org/wiki/金糞岳","北緯35度33分00秒東経136度20分14秒","標高: 1,317[1]m;所在地: 滋賀県長浜市岐阜県揖斐郡揖斐川町;位置: 北緯35度33分00秒東経136度20分14秒座標: 北緯35度33分00秒 東経136度20分14秒[1];山系: 伊吹山地","ぎふ百山","表形式"
"土蔵岳 (存在しないページ)","10土蔵岳つちくらだけ1,008揖斐川町・滋賀県","https://ja.wikipedia.org/w/index.php?title=土蔵岳&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"小津権現山","11小津権現山おづごんげんやま1,157.79　二等小津揖斐川町小津三山","https://ja.wikipedia.org/wiki/小津権現山","北緯35度35分51秒東経136度29分40秒","標高: 1,157.70[1]m;所在地: 日本岐阜県揖斐郡揖斐川町;位置: 北緯35度35分51秒東経136度29分40秒座標: 北緯35度35分51秒 東経136度29分40秒[1];山系: 越美山地","ぎふ百山","表形式"
"花房山 (岐阜県)","12花房山はなぶさやま1,189.51　三等水飲揖斐川町小津三山","https://ja.wikipedia.org/wiki/花房山_(岐阜県)","北緯35度37分12.547秒東経136度31分9.603秒","標高: 1,189.49[1]m;所在地: 日本岐阜県揖斐郡揖斐川町;位置: 北緯35度37分12.547秒東経136度31分9.603秒座標: 北緯35度37分12.547秒 東経136度31分9.603秒[1];山系: 越美山地","ぎふ百山","表形式"
"雷倉 (存在しないページ)","13雷倉かみなりくら1,168.62　二等矢谷揖斐川町・本巣市小津三山","https://ja.wikipedia.org/w/index.php?title=雷倉&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"タンポ (揖斐川町) (存在しないページ)","14タンポたんぽ1,065.75　一等月夜谷山揖斐川町・本巣市","https://ja.wikipedia.org/w/index.php?title=タンポ_(揖斐川町)&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"天狗山 (揖斐川町) (存在しないページ)","15天狗山てんぐやま1,149.15　二等川尻揖斐川町","https://ja.wikipedia.org/w/index.php?title=天狗山_(揖斐川町)&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"蕎麦粒山","16蕎麦粒山そむぎやま1,296.71　二等蕎坪山揖斐川町","https://ja.wikipedia.org/wiki/蕎麦粒山","","","ぎふ百山","表形式"
"五蛇池山 (存在しないページ)","17五蛇池山ごしゃいけやま1,147.58　三等五蛇池揖斐川町","https://ja.wikipedia.org/w/index.php?title=五蛇池山&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"上谷山 (存在しないページ)","18上谷山うえんだにやま1,082.94　二等開田揖斐川町","https://ja.wikipedia.org/w/index.php?title=上谷山&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"黒壁 (揖斐川町) (存在しないページ)","19黒壁くろかべ1,316.33　三等高丸揖斐川町別名「高丸」","https://ja.wikipedia.org/w/index.php?title=黒壁_(揖斐川町)&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"三周ヶ岳","20三周ヶ岳さんしゅうがだけ1,292.02　一等三周岳揖斐川町夜叉ヶ池","https://ja.wikipedia.org/wiki/三周ヶ岳","北緯35度41分01秒東経136度18分00秒","標高: 1292.02[1]m;所在地: 日本揖斐郡揖斐川町;位置: 北緯35度41分01秒東経136度18分00秒座標: 北緯35度41分01秒 東経136度18分00秒[2];山系: 越美山地[3]（両白山地）","ぎふ百山","表形式"
"美濃俣丸 (存在しないページ)","21美濃俣丸みのまたまる1,253.80　三等三周岳揖斐川町・福井県","https://ja.wikipedia.org/w/index.php?title=美濃俣丸&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"不動山 (存在しないページ)","22不動山千回沢山ふどうさんせんがざわやま1,240.311,246.01　三等二等不動山荒谷揖斐川町揖斐川町","https://ja.wikipedia.org/w/index.php?title=不動山&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"笹ヶ峰 (岐阜・福井県境) (存在しないページ)","23笹ヶ峰ささがみね1,284.59　三等長所揖斐川町・福井県","https://ja.wikipedia.org/w/index.php?title=笹ヶ峰_(岐阜・福井県境)&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"釈迦嶺 (存在しないページ)","24釈迦嶺しゃかりょう1,175.12　三等釈迦嶺揖斐川町","https://ja.wikipedia.org/w/index.php?title=釈迦嶺&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"金草岳","25金草岳かなくさだけ1,227.14　二等塚奥山揖斐川町・福井県","https://ja.wikipedia.org/wiki/金草岳","北緯35度47分13.116秒東経136度21分35.786977秒","標高: 1,227.09[注釈 1][1]m;所在地: 日本岐阜県揖斐郡揖斐川町福井県今立郡池田町、南条郡南越前町;位置: 北緯35度47分13.116秒東経136度21分35.786977秒座標: 北緯35度47分13.116秒 東経136度21分35.786977秒[1];山系: 越美山地","ぎふ百山","表形式"
"冠山 (岐阜・福井県境)","26冠山かんむりやま1,256.60　三等冠山揖斐川町・福井県日本三百名山","https://ja.wikipedia.org/wiki/冠山_(岐阜・福井県境)","北緯35度46分47秒東経136度24分34秒","標高: 1,256.57[1]m;所在地: 日本岐阜県揖斐郡揖斐川町福井県今立郡池田町;位置: 北緯35度46分47秒東経136度24分34秒座標: 北緯35度46分47秒 東経136度24分34秒[2];山系: 両白山地（越美山地）","ぎふ百山","表形式"
"若丸山 (存在しないページ)","27若丸山わかまるやま1,285.73　二等若丸山本巣市・福井県","https://ja.wikipedia.org/w/index.php?title=若丸山&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"能郷白山","28能郷白山のうごうはくさん1,617.33　一等能郷白山本巣市・揖斐川町・福井県日本二百名山","https://ja.wikipedia.org/wiki/能郷白山","北緯35度45分45秒東経136度30分51秒","標高: 1,617.33[1]m;所在地: 日本岐阜県本巣市、揖斐郡揖斐川町福井県大野市;位置: 北緯35度45分45秒東経136度30分51秒座標: 北緯35度45分45秒 東経136度30分51秒[2];山系: 両白山地（越美山地）;初登頂: （718年泰澄上人が開山）","ぎふ百山","表形式"
"高屋山 (存在しないページ)","29高屋山たかやさん1,136.06　三等高屋本巣市","https://ja.wikipedia.org/w/index.php?title=高屋山&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"大白木山 (存在しないページ)","30大白木山おじろぎやま1,234.46　二等黒津本巣市","https://ja.wikipedia.org/w/index.php?title=大白木山&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"越山 (存在しないページ)","31越山おやま1,129.25　三等赤岩本巣市・福井県","https://ja.wikipedia.org/w/index.php?title=越山&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"屏風山 (福井県・岐阜県) (存在しないページ)","32屏風山びょうぶさん1,354.20　二等屏風山本巣市・福井県","https://ja.wikipedia.org/w/index.php?title=屏風山_(福井県・岐阜県)&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"舟伏山 (本巣市・山県市)","33舟伏山ふなぶせやま1,040.27　二等船伏山本巣市・山県市","https://ja.wikipedia.org/wiki/舟伏山_(本巣市・山県市)","北緯35度39分29.7737秒東経136度40分53.2515秒","標高: 1,040.28[注釈 1][1]m;所在地: 日本岐阜県本巣市、山県市;位置: 北緯35度39分29.7737秒東経136度40分53.2515秒座標: 北緯35度39分29.7737秒 東経136度40分53.2515秒[1];山系: 越美山地","ぎふ百山","表形式"
"日永岳 (存在しないページ)","34日永岳ひながだけ1,215.72　三等日永岳関市・山県市","https://ja.wikipedia.org/w/index.php?title=日永岳&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"ドウの天井 (存在しないページ)","35ドウの天井どうのてんじょう1,332.66　二等上大須関市・山県市","https://ja.wikipedia.org/w/index.php?title=ドウの天井&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"蕪山 (存在しないページ)","36蕪山かぶらやま1,068.86　二等松葉関市","https://ja.wikipedia.org/w/index.php?title=蕪山&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"左門岳","37左門岳さもんだけ1,223.62　三等左門岳本巣市・関市","https://ja.wikipedia.org/wiki/左門岳","北緯35度46分54秒東経136度40分05秒","標高: 1,224.20[1]m;所在地: 日本福井県大野市・岐阜県本巣市・関市;位置: 北緯35度46分54秒東経136度40分05秒座標: 北緯35度46分54秒 東経136度40分05秒[1];山系: 両白山地越美山地[2]","ぎふ百山","表形式"
"滝波山 (存在しないページ)","38滝波山たきなみやま1,412.46　三等滝波山関市","https://ja.wikipedia.org/w/index.php?title=滝波山&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"今淵ヶ岳 (存在しないページ)","39今淵ヶ岳いまぶちがだけ1,048.42　三等今淵岳美濃市高賀三山","https://ja.wikipedia.org/w/index.php?title=今淵ヶ岳&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"瓢ヶ岳 (存在しないページ)","40瓢ヶ岳ふくべがたけ1,162.63　三等瓢ケ岳美濃市・郡上市高賀三山","https://ja.wikipedia.org/w/index.php?title=瓢ヶ岳&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
"高賀山","41高賀山こうかさん1,224.20　一等高賀山関市・郡上市高賀三山","https://ja.wikipedia.org/wiki/高賀山","北緯35度40分19秒東経136度51分33秒","標高: 1,224.20[1]m;所在地: 日本岐阜県郡上市、関市;位置: 北緯35度40分19秒東経136度51分33秒座標: 北緯35度40分19秒 東経136度51分33秒[2];山系: 越美山地[3]","ぎふ百山","表形式"
"大洞山","42大洞山おおぼらやま1,034.56　一等黒津本巣市・福井県","https://ja.wikipedia.org/wiki/大洞山","","","ぎふ百山","表形式"
"母袋烏帽子岳 (存在しないページ)","43母袋烏帽子岳もたいえぼしだけ1,340.88　二等栗巣郡上市","https://ja.wikipedia.org/w/index.php?title=母袋烏帽子岳&amp;action=edit&amp;redlink=1","","","ぎふ百山","表形式"
