"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"赤城山","1赤城山1828m26笠ヶ岳 (尾瀬)2058m51十二ヶ岳1201m76戸神山772m","https://ja.wikipedia.org/wiki/赤城山","北緯36度33分39秒東経139度11分37秒","標高: 1,827.6 m;所在地: 日本群馬県前橋市・桐生市・渋川市・沼田市・利根郡昭和村;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯36度33分39秒東経139度11分37秒﻿ / ﻿北緯36.5608度 東経139.1936度﻿ / 36.5608; 139.1936座標: 北緯36度33分39秒東経139度11分37秒﻿ / ﻿北緯36.5608度 東経139.1936度﻿ / 36.5608; 139.1936;山系: 独立峰;種類: 複成火山（活火山ランクC）","ぐんま百名山","表形式"
"赤久縄山","2赤久縄山1522m27笠ヶ岳 (谷川)1852m52白毛門1720m77鳴神山980m","https://ja.wikipedia.org/wiki/赤久縄山","北緯36度8分37秒東経138度50分36秒","標高: 1,523 m;所在地: 日本群馬県神流町・藤岡市;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯36度8分37秒東経138度50分36秒﻿ / ﻿北緯36.14361度 東経138.84333度﻿ / 36.14361; 138.84333座標: 北緯36度8分37秒東経138度50分36秒﻿ / ﻿北緯36.14361度 東経138.84333度﻿ / 36.14361; 138.84333;山系: 上武山地御荷鉾山系","ぐんま百名山","表形式"
"朝日岳 (群馬県)","3朝日岳1945m28笠丸山1189m53白砂山2140m78日暮山1207m","https://ja.wikipedia.org/wiki/朝日岳_(群馬県)","北緯36度52分50秒東経138度58分21秒","標高: 1,945.26[1]m;所在地: 日本群馬県利根郡みなかみ町新潟県南魚沼市;位置: 北緯36度52分50秒東経138度58分21秒座標: 北緯36度52分50秒 東経138度58分21秒[2];山系: 三国山脈","ぐんま百名山","表形式"
"浅間隠山","4浅間隠山1757m29迦葉山1322m54四郎岳2156m79日光白根山2578m","https://ja.wikipedia.org/wiki/浅間隠山","北緯36度27分13秒東経138度39分09秒","標高: 1,757 m;所在地: 日本群馬県吾妻郡東吾妻町・長野原町;位置: 北緯36度27分13秒東経138度39分09秒座標: 北緯36度27分13秒 東経138度39分09秒","ぐんま百名山","表形式"
"浅間山","5浅間山2568m30鹿岳1015m55皇海山2144m80根本山1199m","https://ja.wikipedia.org/wiki/浅間山","北緯36度24分23秒東経138度31分23秒","標高: 2,568[注釈 1]m;所在地: 日本群馬県吾妻郡嬬恋村長野県北佐久郡軽井沢町・御代田町;位置: 北緯36度24分23秒東経138度31分23秒座標: 北緯36度24分23秒 東経138度31分23秒[注釈 1];山系: 浅間山系;種類: 成層火山（活火山ランクA）","ぐんま百名山","表形式"
"四阿山","6四阿山2354m31金山236m56錫ヶ岳2388m81八間山1935m","https://ja.wikipedia.org/wiki/四阿山","北緯36度32分30秒東経138度24分47秒","標高: 2,354 m;所在地: 長野県上田市・須坂市、群馬県吾妻郡嬬恋村;位置: 北緯36度32分30秒東経138度24分47秒座標: 北緯36度32分30秒 東経138度24分47秒;種類: 成層火山","ぐんま百名山","表形式"
"吾妻耶山","7吾妻耶山1323m32鹿俣山1637m57諏訪山 (上野村)1549m82鼻曲山1655m","https://ja.wikipedia.org/wiki/吾妻耶山","北緯36度44分45.36秒東経138度55分34.43秒","標高: 1,341 m;所在地: 日本群馬県利根郡みなかみ町;位置: 北緯36度44分45.36秒東経138度55分34.43秒座標: 北緯36度44分45.36秒 東経138度55分34.43秒;山系: 三国山脈","ぐんま百名山","表形式"
"吾妻山","8吾妻山481m33観音山227m58諏訪山 (神流町)1207m83榛名山1449m","https://ja.wikipedia.org/wiki/吾妻山","北緯37度44分17秒東経140度08分26秒","所在地: 日本山形県・福島県;位置: 北緯37度44分17秒東経140度08分26秒座標: 北緯37度44分17秒 東経140度08分26秒;上位山系: 奥羽山脈;最高峰: 西吾妻山（2,035m）;種類: 成層火山や単成火山などからなる火山群[1]","ぐんま百名山","表形式"
"阿能川岳 (存在しないページ)","9阿能川岳1611m34鬼怒沼山2141m59石尊山571m84桧沢岳1133m","https://ja.wikipedia.org/w/index.php?title=阿能川岳&amp;action=edit&amp;redlink=1","","","ぐんま百名山","表形式"
"荒船山","10荒船山1423m35草津白根山2171m60仙ノ倉山2026m85平ヶ岳2141m","https://ja.wikipedia.org/wiki/荒船山","北緯36度12分14秒東経138度38分13秒","標高: 1,423 m;所在地: 日本群馬県甘楽郡下仁田町長野県佐久市;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯36度12分14秒東経138度38分13秒﻿ / ﻿北緯36.20389度 東経138.63694度﻿ / 36.20389; 138.63694座標: 北緯36度12分14秒東経138度38分13秒﻿ / ﻿北緯36.20389度 東経138.63694度﻿ / 36.20389; 138.63694;種類: メサ","ぐんま百名山","表形式"
"有笠山 (存在しないページ)","11有笠山888m36栗生山968m61崇台山299m86武能岳1760m","https://ja.wikipedia.org/w/index.php?title=有笠山&amp;action=edit&amp;redlink=1","","","ぐんま百名山","表形式"
"稲包山","12稲包山1598m37黒滝山870m62大源太山1764m87武尊山2158m","https://ja.wikipedia.org/wiki/稲包山","北緯36度44分36.0秒東経138度47分23.7秒","標高: 1,597.9 m;所在地: 日本群馬県利根郡みなかみ町群馬県吾妻郡中之条町;位置: 北緯36度44分36.0秒東経138度47分23.7秒座標: 北緯36度44分36.0秒 東経138度47分23.7秒;山系: 三国山脈","ぐんま百名山","表形式"
"稲含山","13稲含山1370m38黒斑山2414m63平標山1984m88巻機山1967m","https://ja.wikipedia.org/wiki/稲含山","北緯36度10分10秒東経138度49分31秒","標高: 1370.0 m;所在地: 日本群馬県甘楽郡下仁田町・甘楽町;位置: 北緯36度10分10秒東経138度49分31秒座標: 北緯36度10分10秒 東経138度49分31秒","ぐんま百名山","表形式"
"岩櫃山","14岩櫃山803m39景鶴山2004m64高岩1084m89万太郎山1954m","https://ja.wikipedia.org/wiki/岩櫃山","北緯36度33分25秒東経138度47分46秒","標高: 802.6 m;所在地: 日本群馬県吾妻郡東吾妻町;位置: 北緯36度33分25秒東経138度47分46秒座標: 北緯36度33分25秒 東経138度47分46秒","ぐんま百名山","表形式"
