"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"礼文岳","1礼文岳れぶんだけ490礼文島北海道礼文町","https://ja.wikipedia.org/wiki/礼文岳","北緯45度22分21秒東経141度00分57秒","標高: 490 m;所在地: 北海道礼文郡礼文町;位置: 北緯45度22分21秒東経141度00分57秒;山系: 島","しま山100選","表形式"
"利尻山","2利尻山りしりざん1,721利尻島北海道利尻町、利尻富士町","https://ja.wikipedia.org/wiki/利尻山","北緯45度10分43秒東経141度14分31秒","標高: 1,721[1]m;所在地: 日本北海道宗谷総合振興局利尻郡利尻町・利尻富士町;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ / 45.17861; 141.24194座標: 北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ / 45.17861; 141.24194[2];山系: 独立峰;種類: 成層火山","しま山100選","表形式"
"奥尻島","3球島山きゅうじまやま369奥尻島北海道奥尻町","https://ja.wikipedia.org/wiki/奥尻島","北緯42度08分57秒東経139度28分02秒","所在地: 日本北海道;所在海域: 日本海;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯42度08分57秒東経139度28分02秒﻿ / ﻿北緯42.14917度 東経139.46722度﻿ / 42.14917; 139.46722座標: 北緯42度08分57秒東経139度28分02秒﻿ / ﻿北緯42.14917度 東経139.46722度﻿ / 42.14917; 139.46722;面積: 142.97 km²;最高標高: 584 m;最高峰: 神威山","しま山100選","表形式"
"大島 (宮城県気仙沼市)","4亀山かめやま234大島宮城県気仙沼市","https://ja.wikipedia.org/wiki/大島_(宮城県気仙沼市)","北緯38度51分42秒東経141度37分44秒","所在地: 日本（宮城県）;所在海域: 太平洋;座標: 北緯38度51分42秒東経141度37分44秒座標: 北緯38度51分42秒 東経141度37分44秒;面積: 8.50[1]km²;海岸線長: 22 km;最高標高: 235 m","しま山100選","表形式"
"金華山 (宮城県)","5金華山きんかさん444金華山宮城県石巻市","https://ja.wikipedia.org/wiki/金華山_(宮城県)","北緯38度17分20秒東経141度34分12.2秒","所在地: 日本･宮城県石巻市;所在海域: 太平洋;所属諸島: 牡鹿諸島;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯38度17分20秒東経141度34分12.2秒﻿ / ﻿北緯38.28889度 東経141.570056度﻿ / 38.28889; 141.570056座標: 北緯38度17分20秒東経141度34分12.2秒﻿ / ﻿北緯38.28889度 東経141.570056度﻿ / 38.28889; 141.570056;面積: 10.28 km²;海岸線長: 17.3 km;最高標高: 444 m;最高峰: 金華山;所在地: 日本･宮城県石巻市;所在海域: 太平洋;所属諸島: 牡鹿諸島;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯38度17分20秒東経141度34分12.2秒﻿ / ﻿北緯38.28889度 東経141.570056度﻿ / 38.28889; 141.570056座標: 北緯38度17分20秒東経141度34分12.2秒﻿ / ﻿北緯38.28889度 東経141.570056度﻿ / 38.28889; 141.570056;面積: 10.28 km²;海岸線長: 17.3 km;最高標高: 444 m;最高峰: 金華山","しま山100選","表形式"
"大高森","6大高森おおたかもり105宮戸島宮城県東松島市","https://ja.wikipedia.org/wiki/大高森","北緯38度20分26秒東経141度9分9秒","標高: 106[1]m;所在地: 宮城県東松島市大字宮戸字大高森1;位置: 北緯38度20分26秒東経141度9分9秒[1];標高: 106[1]m;所在地: 宮城県東松島市大字宮戸字大高森1;位置: 北緯38度20分26秒東経141度9分9秒[1]","しま山100選","表形式"
"三原山","7三原山みはらやま758大島東京都大島町","https://ja.wikipedia.org/wiki/三原山","北緯34度43分28秒東経139度23分40秒","標高: 758 m;所在地: 日本東京都大島町;位置: 北緯34度43分28秒東経139度23分40秒座標: 北緯34度43分28秒 東経139度23分40秒;山系: 独立峰;種類: 中央火口丘;最新噴火: 1986年","しま山100選","表形式"
"利島","8宮塚山みやつかやま508利島東京都利島村","https://ja.wikipedia.org/wiki/利島","北緯34度31分13秒東経139度16分45秒","所在地: 日本（東京都）;所属諸島: 伊豆諸島;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯34度31分13秒東経139度16分45秒﻿ / ﻿北緯34.52028度 東経139.27917度﻿ / 34.52028; 139.27917座標: 北緯34度31分13秒東経139度16分45秒﻿ / ﻿北緯34.52028度 東経139.27917度﻿ / 34.52028; 139.27917;面積: 4.12 km²;海岸線長: 7.7 km;最高標高: 507.5 m;最高峰: 宮塚山","しま山100選","表形式"
"新島","9宮塚山みやつかやま432新島東京都新島村","https://ja.wikipedia.org/wiki/新島","北緯34度22分東経139度16分","所在地: 日本（東京都）;所在海域: 太平洋;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯34度22分東経139度16分﻿ / ﻿北緯34.367度 東経139.267度﻿ / 34.367; 139.267座標: 北緯34度22分東経139度16分﻿ / ﻿北緯34.367度 東経139.267度﻿ / 34.367; 139.267;面積: 23.17 km²;最高標高: 432 m;最高峰: 宮塚山;インペリアル換算: インペリアル換算123456789101112  4.3 5342  4.8 5443  7.8 5846  7.2 6553  8.6 7160  9.6 7667  8.8 8273  9.5 8576  7.9 8072  13 7363  7.2 6655  4.5 5747気温（°F）総降水量（in）;所在地: 日本（東京都）;所在海域: 太平洋;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯34度22分東経139度16分﻿ / ﻿北緯34.367度 東経139.267度﻿ / 34.367; 139.267座標: 北緯34度22分東経139度16分﻿ / ﻿北緯34.367度 東経139.267度﻿ / 34.367; 139.267;面積: 23.17 km²;最高標高: 432 m;最高峰: 宮塚山;インペリアル換算: インペリアル換算123456789101112  4.3 5342  4.8 5443  7.8 5846  7.2 6553  8.6 7160  9.6 7667  8.8 8273  9.5 8576  7.9 8072  13 7363  7.2 6655  4.5 5747気温（°F）総降水量（in）","しま山100選","表形式"
"式根島","10丸山まるやま99式根島東京都新島村","https://ja.wikipedia.org/wiki/式根島","北緯34度19分34秒東経139度12分36秒","所在地: 日本東京都新島村;所在海域: 太平洋;座標: 北緯34度19分34秒東経139度12分36秒座標: 北緯34度19分34秒 東経139度12分36秒;面積: 3.67 km²;最高標高: 109 m","しま山100選","表形式"
"天上山 (東京都)","11天上山てんじょうさん572神津島東京都神津島村","https://ja.wikipedia.org/wiki/天上山_(東京都)","北緯34度13分09.1秒東経139度09分10.6秒","標高: 571.8[1]m;所在地: 東京都神津島村;位置: 北緯34度13分09.1秒東経139度09分10.6秒座標: 北緯34度13分09.1秒 東経139度09分10.6秒;山系: 神津島;種類: 溶岩ドーム[2];最新噴火: 838年[2]","しま山100選","表形式"
"御蔵島","12長滝山ながたきやま850御蔵島東京都御蔵島村","https://ja.wikipedia.org/wiki/御蔵島","北緯33度52分27秒東経139度36分7秒","所在地: 日本東京都御蔵島村;所在海域: 太平洋（フィリピン海）;所属諸島: 伊豆諸島;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯33度52分27秒東経139度36分7秒﻿ / ﻿北緯33.87417度 東経139.60194度﻿ / 33.87417; 139.60194座標: 北緯33度52分27秒東経139度36分7秒﻿ / ﻿北緯33.87417度 東経139.60194度﻿ / 33.87417; 139.60194;面積: 20.55 km²;海岸線長: 16.4 km;最高標高: 851 m;最高峰: 御山","しま山100選","表形式"
"八丈島","13八丈富士はちじょうふじ854八丈島東京都八丈町","https://ja.wikipedia.org/wiki/八丈島","北緯33度06分34秒東経139度47分29秒","所在地: 日本（東京都）;所在海域: 太平洋（フィリピン海）;所属諸島: 伊豆諸島;座標: 北緯33度06分34秒東経139度47分29秒座標: 北緯33度06分34秒 東経139度47分29秒;面積: 69.11 km²;海岸線長: 58.91 km;最高標高: 854.3 m;最高峰: 八丈富士;インペリアル換算: インペリアル換算123456789101112  7.5 5546  8 5646  12 6048  8.9 6655  9.9 7061  15 7466  8.8 8173  7.1 8575  13 8272  18 7465  9.9 6757  7.2 6049気温（°F）総降水量（in）;最高気温記録 °C（°F）: 20.7(69.3);平均最高気温 °C（°F）: 12.7(54.9);日平均気温 °C（°F）: 10.1(50.2);平均最低気温 °C（°F）: 7.5(45.5);最低気温記録 °C（°F）: −1.8(28.8);降水量mm （inch）: 190.0(7.48);平均降水日数 （≥0.5 mm）: 15.8;% 湿度: 71;平均月間日照時間: 85.7;所在地: 日本（東京都）;所在海域: 太平洋（フィリピン海）;所属諸島: 伊豆諸島;座標: 北緯33度06分34秒東経139度47分29秒座標: 北緯33度06分34秒 東経139度47分29秒;面積: 69.11 km²;海岸線長: 58.91 km;最高標高: 854.3 m;最高峰: 八丈富士;インペリアル換算: インペリアル換算123456789101112  7.5 5546  8 5646  12 6048  8.9 6655  9.9 7061  15 7466  8.8 8173  7.1 8575  13 8272  18 7465  9.9 6757  7.2 6049気温（°F）総降水量（in）;最高気温記録 °C（°F）: 20.7(69.3);平均最高気温 °C（°F）: 12.7(54.9);日平均気温 °C（°F）: 10.1(50.2);平均最低気温 °C（°F）: 7.5(45.5);最低気温記録 °C（°F）: −1.8(28.8);降水量mm （inch）: 190.0(7.48);平均降水日数 （≥0.5 mm）: 15.8;% 湿度: 71;平均月間日照時間: 85.7","しま山100選","表形式"
"青ヶ島","14大凸部おおとんぶ423青ヶ島東京都青ヶ島村","https://ja.wikipedia.org/wiki/青ヶ島","北緯32度27分28秒東経139度45分33秒","所在地: 日本東京都青ヶ島村;所在海域: 太平洋(フィリピン海);所属諸島: 伊豆諸島;座標: 北緯32度27分28秒東経139度45分33秒;面積: 5.97 km²;海岸線長: 9 km;最高標高: 423 m;最高峰: 大凸部;人口: 170人;人口密度: 35.8人/ｋm²","しま山100選","表形式"
"乳房山","15乳房山ちぶさやま463母島東京都小笠原村","https://ja.wikipedia.org/wiki/乳房山","北緯26度39分34秒東経142度09分41秒","標高: 462.6 m;所在地: 東京都小笠原村母島;位置: 北緯26度39分34秒東経142度09分41秒座標: 北緯26度39分34秒 東経142度09分41秒;山系: 海嶺","しま山100選","表形式"
