"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"富里湖","北海道北見市常呂川仁頃川富里ダム北見市北見市富里湖森林公園","https://ja.wikipedia.org/wiki/富里ダム#富里湖","北緯43度51分19秒東経143度45分12秒","所在地: 北海道北見市字富里;位置: 北緯43度51分19秒東経143度45分12秒﻿ / ﻿北緯43.85528度 東経143.75333度﻿ / 43.85528; 143.75333;河川: 常呂川水系仁頃川;ダム湖: 富里湖（ダム湖百選）;ダム型式: ロックフィルダム;堤高: 44.3 m;堤頂長: 280 m;堤体積: 444,000 m³;流域面積: 8.7 km²;湛水面積: 21 ha;総貯水容量: 2,800,000 m³;有効貯水容量: 26,300,000 m³;利用目的: 灌漑;事業主体: 国土交通省北海道開発局;施工業者: 日本国土開発;着手年/竣工年: 1969年/1987年;出典: 「ダム便覧」富里ダム","ダム湖百選","表形式","国土交通省北海道開発局が国営畑地帯総合土地改良パイロット事業北見地区の事業の1つとして建設し、北見市が管理する灌漑用のダムである。"
"聖台ダム公園","北海道上川郡美瑛町石狩川宇英別川聖台ダム北海道土木学会選奨土木遺産かおり風景100選","https://ja.wikipedia.org/wiki/聖台ダム#聖台ダム公園","北緯43度36分43秒東経142度31分27秒","所在地: 北海道上川郡美瑛町字中宇莫別;位置: 北緯43度36分43秒東経142度31分27秒﻿ / ﻿北緯43.61194度 東経142.52417度﻿ / 43.61194; 142.52417;河川: 石狩川水系宇莫別川;ダム湖: 聖台貯水池（ダム湖百選）;ダム型式: アースダム;堤高: 29.7 m;堤頂長: 485.4 m;堤体積: 318,000 m³;湛水面積: 51 ha;総貯水容量: 3,767,000 m³;有効貯水容量: 3,215,000 m³;利用目的: 灌漑;事業主体: 北海道;着手年/竣工年: 1932年/1937年;出典:","ダム湖百選","表形式","2008年（平成20年）に土木学会から土木学会選奨土木遺産に指定されている。"
"かなやま湖","北海道空知郡南富良野町石狩川空知川金山ダム国土交通省北海道開発局富良野芦別道立自然公園かおり風景100選","https://ja.wikipedia.org/wiki/金山ダム#かなやま湖","北緯43度07分47.0秒東経142度26分35.1秒","所在地: 北海道空知郡南富良野町金山(かなやま);位置: 北緯43度07分47.0秒東経142度26分35.1秒﻿ / ﻿北緯43.129722度 東経142.443083度﻿ / 43.129722; 142.443083;河川: 石狩川水系空知川;ダム湖: かなやま湖（ダム湖百選）;ダム型式: 中空重力式コンクリートダム;堤高: 57.3 m;堤頂長: 288.5 m;堤体積: 220,000 m³;流域面積: 470.0 km²;湛水面積: 920.0 ha;総貯水容量: 150,450,000 m³;有効貯水容量: 130,420,000 m³;利用目的: 洪水調節・不特定利水・灌漑・上水道・発電;事業主体: 国土交通省北海道開発局;電気事業者: 北海道電力;発電所名（認可出力）: 金山発電所(25,000kW);施工業者: 鹿島建設;着手年/竣工年: 1959年/1967年;出典: 「ダム便覧」 金山ダム;備考: 富良野芦別道立自然公園","ダム湖百選","表形式","国土交通省北海道開発局札幌開発建設部が管理する特定多目的ダムで、空知川の治水と滝川市・富良野地域への水源確保及び電力供給を目的に建設された。北海道内のダム型式としては唯一となる中空重力式コンクリートダムで、高さは57.3メートルである。"
"定山湖","北海道札幌市南区石狩川豊平川豊平峡ダム国土交通省北海道開発局支笏洞爺国立公園水源の森百選","https://ja.wikipedia.org/wiki/豊平峡ダム#温泉と紅葉の名所","北緯42度54分57秒東経141度09分13秒","所在地: 左岸:北海道札幌市南区定山渓国有林84林班（石狩振興局）右岸:北海道札幌市南区定山渓国有林84林班;位置: 北緯42度54分57秒東経141度09分13秒﻿ / ﻿北緯42.91583度 東経141.15361度﻿ / 42.91583; 141.15361;河川: 石狩川水系豊平川;ダム湖: 定山湖（ダム湖百選）;ダム型式: アーチ式コンクリートダム;堤高: 102.5 m;堤頂長: 305.0 m;堤体積: 285,000 m³;流域面積: 184.0 km²;湛水面積: 150.0 ha;総貯水容量: 47,100,000 m³;有効貯水容量: 37,100,000 m³;利用目的: 洪水調節・上水道・発電;事業主体: 国土交通省北海道開発局（石狩川開発建設部）;電気事業者: 北海道電力;発電所名（認可出力）: 豊平峡発電所（51,900kW）;施工業者: 大成建設・地崎工業;着手年/竣工年: 1965年/1972年","ダム湖百選","表形式","国土交通省北海道開発局石狩川開発建設部が管理する特定多目的ダムで、豊平川の治水、また札幌市の水源として定山渓ダム（小樽内川）と共に豊平川ダム統合管理事務所によって運用されている。高さ102.5mのアーチ式コンクリートダムで、道内では奥新冠ダム（新冠川）とこのダムの2基しかアーチダムは存在しない。ダム湖は定山湖（じょうざんこ）と呼ばれ、支笏洞爺国立公園内にあり紅葉の名所としても著名である。"
"笹流貯水池","北海道函館市亀田川笹流川笹流ダム函館市企業局上下水道部土木学会選奨土木遺産日本初のバットレスダム","https://ja.wikipedia.org/wiki/笹流ダム","北緯41度50分05.8秒東経140度46分23.3秒","左岸所在地: 北海道函館市陣川町;右岸所在地: 北海道函館市赤川町;位置: 北緯41度50分05.8秒東経140度46分23.3秒﻿ / ﻿北緯41.834944度 東経140.773139度﻿ / 41.834944; 140.773139;河川: 亀田川水系笹流川;ダム湖: 笹流貯水池（ダム湖百選）;ダム型式: バットレスダム;堤高: 25.3 m;堤頂長: 199.4 m;堤体積: 16,000 m³;流域面積: 5.4 km²;湛水面積: 7.6 ha;総貯水容量: 607,000 m³;有効貯水容量: 506,000 m³;利用目的: 上水道;事業主体: 函館市企業局上下水道部;施工業者: 函館市直営;着手年/竣工年: 1920年/1923年;出典: 「北海道のダム 1986」・『ダム便覧』笹流ダム;備考: 土木学会選奨土木遺産","ダム湖百選","表形式","函館市企業局上下水道部が管理する水道専用ダムである。日本に現在6基しか存在しない型式・バットレスダムの一つであり、日本で最初に建設されたバットレスダムでもある。現在でも函館市民の水がめとして稼働しているが、歴史的価値の高いダムであることから土木学会によって土木学会選奨土木遺産に指定されている。"
"かわうち湖","青森県むつ市川内川川内川川内ダム青森県本州最北のダム湖","https://ja.wikipedia.org/wiki/川内ダム#かわうち湖","北緯41度16分30秒東経140度53分41秒","所在地: 青森県むつ市川内町福浦山;位置: 北緯41度16分30秒東経140度53分41秒﻿ / ﻿北緯41.27500度 東経140.89472度﻿ / 41.27500; 140.89472;河川: 川内川水系川内川;ダム湖: かわうち湖（ダム湖百選）;ダム型式: 重力式コンクリートダム河川維持用水;堤高: 55 m;堤頂長: 137 m;堤体積: 94,000 m³;流域面積: 48 km²;湛水面積: 147 ha;総貯水容量: 16,500,000 m³;有効貯水容量: 14,500,000 m³;利用目的: 洪水調節・不特定利水・防災・河川維持;事業主体: 青森県;着手年/竣工年: 1973年/1994年;出典: 「ダム便覧」川内ダム","ダム湖百選","表形式","本州最北端のダムとして知られている。"
"岩洞湖","岩手県盛岡市北上川丹藤川岩洞ダム岩手県外山早坂高原県立自然公園","https://ja.wikipedia.org/wiki/岩洞ダム#岩洞湖","北緯39度49分37秒東経141度22分24秒","所在地: 左岸:岩手県盛岡市藪川右岸:岩手県盛岡市藪川;位置: 北緯39度49分37秒東経141度22分24秒﻿ / ﻿北緯39.82694度 東経141.37333度﻿ / 39.82694; 141.37333;河川: 北上川水系丹藤川;ダム湖: 岩洞湖（ダム湖百選）;ダム型式: 傾斜土質遮水壁型ロックフィルダム;堤高: 40.0 m;堤頂長: 351.0 m;堤体積: 850,000 m³;流域面積: 212.1 km²;湛水面積: 577.0 ha;総貯水容量: 65,600,000 m³;有効貯水容量: 46,300,000 m³;利用目的: 灌漑・発電;事業主体: 岩手県;電気事業者: 岩手県企業局;発電所名（認可出力）: 岩洞第1発電所(41,000kW)岩洞第2発電所(8,300kW);施工業者: 大成建設;着手年/竣工年: －/1960年","ダム湖百選","表形式","農林省（農林水産省）東北農政局が国営岩手山麓開拓建設事業の中心事業として建設した農業用ダムで、現在は岩手県企業局が管理する県営ダム。かんがいが主目的であるが水力発電の目的も持つ多目的ダムである。堤高40メートルのロックフィルダムである。ダム湖は岩洞湖（がんどうこ）と呼ばれるがこちらが有名で、地域のレクリェーションスポットとして観光客が多い。"
"御所湖","岩手県盛岡市北上川雫石川御所ダム国土交通省東北地方整備局岩手県立御所湖広域公園","https://ja.wikipedia.org/wiki/御所ダム#御所湖","北緯39度41分36.7秒東経141度01分47.8秒","所在地: 左岸:岩手県盛岡市繋字山根右岸:岩手県盛岡市繋字下猿田;位置: 北緯39度41分36.7秒東経141度01分47.8秒﻿ / ﻿北緯39.693528度 東経141.029944度﻿ / 39.693528; 141.029944;河川: 北上川水系雫石川;ダム湖: 御所湖（ダム湖百選）;ダム型式: コンバインダム;堤高: 52.5 m;堤頂長: 327.0 m;堤体積: 1,200,000 m³;流域面積: 635.0 km²;湛水面積: 640.0 ha;総貯水容量: 65,000,000 m³;有効貯水容量: 45,000,000 m³;利用目的: 洪水調節・不特定利水上水道・発電;事業主体: 国土交通省東北地方整備局;電気事業者: 岩手県企業局;発電所名（認可出力）: 御所発電所(13,000kW);施工業者: 鹿島建設・西松建設;着手年/竣工年: 1967年/1981年;備考: 水特法九条指定ダム","ダム湖百選","表形式","国土交通省東北地方整備局が管理する特定多目的ダムで、北上川上流改定改修計画に基づき建設された「北上川五大ダム」で最後に完成したダムである。堤高52.5m、型式は重力式コンクリートダムとロックフィルダムが複合したコンバインダムである。ダム湖は御所湖（ごしょこ）と呼ばれ、盛岡市の一大観光地となっている。"
"田瀬湖","岩手県花巻市岩手県遠野市北上川猿ヶ石川田瀬ダム国土交通省東北地方整備局","https://ja.wikipedia.org/wiki/田瀬ダム#田瀬湖","北緯39度20分35秒東経141度19分07秒","所在地: 岩手県花巻市東和町田瀬;位置: 北緯39度20分35秒東経141度19分07秒﻿ / ﻿北緯39.34306度 東経141.31861度﻿ / 39.34306; 141.31861;河川: 北上川水系猿ヶ石川;ダム湖: 田瀬湖【ダム湖百選】;ダム型式: 重力式コンクリートダム;堤高: 81.5 m;堤頂長: 320.0 m;堤体積: 420,000 m³;流域面積: 740.0 km²;湛水面積: 600.0 ha;総貯水容量: 146,500,000 m³;有効貯水容量: 101,800,000 m³;利用目的: 洪水調節・灌漑・発電;事業主体: 国土交通省東北地方整備局;電気事業者: 電源開発;発電所名（認可出力）: 東和発電所 (27,000kW);施工業者: 西松建設;着手年/竣工年: 1941年/1954年;出典:;備考: 旧名猿ヶ石堰堤（えんてい）1944年- 1950年事業中断1994年- 1998年施設改良画像はダム下流面より。","ダム湖百選","表形式","国土交通省東北地方整備局が管理する高さ81.5メートルの重力式コンクリートダム。国土交通省直轄ダムとしては日本で最初に施工が開始されたダムである。北上川水系の治水および灌漑、水力発電を目的に北上川上流改修計画により立案された北上川五大ダム計画の一つとして建設された多目的ダム。ダムによって形成された人造湖・田瀬湖（たせこ）は北上川水系最大規模の人造湖であり、地域のレクリェーションスポットとして活用され財団法人ダム水源地環境整備センターからダム湖百選の一つに選定されている。"
"錦秋湖","岩手県和賀郡西和賀町北上川和賀川湯田ダム国土交通省東北地方整備局湯田温泉峡県立自然公園","https://ja.wikipedia.org/wiki/湯田ダム#錦秋湖","北緯39度18分06.0秒東経140度53分06.5秒","所在地: 左岸:岩手県和賀郡西和賀町杉名畑右岸:岩手県和賀郡西和賀町杉名畑;位置: 北緯39度18分06.0秒東経140度53分06.5秒﻿ / ﻿北緯39.301667度 東経140.885139度﻿ / 39.301667; 140.885139;河川: 北上川水系和賀川;ダム湖: 錦秋湖（ダム湖百選）;ダム型式: 重力式アーチダム;堤高: 89.5 m;堤頂長: 265.0 m;堤体積: 379,000 m³;流域面積: 583.0 km²;湛水面積: 630.0 ha;総貯水容量: 114,160,000 m³;有効貯水容量: 93,710,000 m³;利用目的: 洪水調節・不特定利水・発電;事業主体: 国土交通省東北地方整備局;電気事業者: 岩手県企業局（仙人発電所）日本重化学株式会社（和賀川発電所）;発電所名（認可出力）: 仙人発電所(37,600kW)和賀川発電所(15,500kW);施工業者: 西松建設;着手年/竣工年: 1953年/1964年","ダム湖百選","表形式","国土交通省東北地方整備局が管理する特定多目的ダムで、北上特定地域総合開発計画（KVA）に基づき計画された「北上川五大ダム」の第三番手として計画・建設された。堤高89.5メートル、型式は全国に十二基しか存在しない重力式アーチダムで、東北地方では唯一の存在である。水没住民との補償交渉が難航した初期事例としても知られている。ダム湖は錦秋湖（きんしゅうこ）と呼ばれ、北上川水系では田瀬湖に次ぐ大規模な人造湖であり、観光地でもある。"
