"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"斎尾廃寺跡","（さいのおはいじあと）〔東伯郡琴浦町〕1952年3月29日","https://ja.wikipedia.org/wiki/斎尾廃寺跡","北緯35度28分53.4秒東経133度42分41.4秒","","中国地方の史跡一覧","箇条書き,制限あり",""
"智頭往来","（ちづおうらい）〔八頭郡智頭町〕志戸坂峠越（しとさかとうげごえ）2008年5月21日","https://ja.wikipedia.org/wiki/因幡街道","","","中国地方の史跡一覧","箇条書き,制限あり",""
"志戸坂峠越","（しとさかとうげごえ）2008年5月21日","https://ja.wikipedia.org/w/index.php?title=志戸坂峠越&amp;action=edit&amp;redlink=1","","","中国地方の史跡一覧","箇条書き,制限あり",""
"土師百井廃寺跡","（はじももいはいじあと）〔八頭郡八頭町〕","https://ja.wikipedia.org/w/index.php?title=土師百井廃寺跡&amp;action=edit&amp;redlink=1","","","中国地方の史跡一覧","箇条書き,制限あり",""
"若桜鬼ヶ城","跡（わかさおにがじょうあと）〔八頭郡若桜町〕","https://ja.wikipedia.org/wiki/若桜鬼ヶ城","北緯35度20分11.7秒東経134度23分53.6秒","別名: 鬼ヶ城、若桜城;城郭構造: 連郭式山城;天守構造: 複合式天守（非現存）;築城主: 矢部暉種;築城年: 正治2年（1200年）以後;主な改修者: 木下重堅、山崎家盛;主な城主: 矢部氏代々、山中幸盛、八木豊信、木下重堅、山崎家盛、山崎家治;廃城年: 元和3年（1617年）;遺構: 郭、石垣、虎口、竪堀、櫓台;指定文化財: 国の史跡;位置: 北緯35度20分11.7秒東経134度23分53.6秒﻿ / ﻿北緯35.336583度 東経134.398222度﻿ / 35.336583; 134.398222座標: 北緯35度20分11.7秒東経134度23分53.6秒﻿ / ﻿北緯35.336583度 東経134.398222度﻿ / 35.336583; 134.398222;地図: 若桜鬼ヶ城","中国地方の史跡一覧","箇条書き,制限あり","因幡三名城（この他に鳥取城、鹿野城）のひとつに数えられる名城である。"
"岩井廃寺塔跡","（いわいはいじとうあと）〔岩美郡岩美町〕","https://ja.wikipedia.org/w/index.php?title=岩井廃寺塔跡&amp;action=edit&amp;redlink=1","","","中国地方の史跡一覧","箇条書き,制限あり",""
"山陰道","（さんいんどう）〔鳥取県岩美郡岩美町・島根県鹿足郡津和野町〕蒲生峠越（がもうとうげごえ）徳城峠越（とくじょうとうげごえ）野坂峠越（のさかとうげごえ）","https://ja.wikipedia.org/wiki/山陰道","","","中国地方の史跡一覧","箇条書き,制限あり",""
"蒲生峠","越（がもうとうげごえ）","https://ja.wikipedia.org/wiki/蒲生峠","北緯35度31分07秒東経134度24分50秒","所在地: 日本兵庫県美方郡新温泉町鳥取県岩美郡岩美町;座標: 北緯35度31分07秒東経134度24分50秒﻿ / ﻿北緯35.518556度 東経134.413861度﻿ / 35.518556; 134.413861座標: 北緯35度31分07秒東経134度24分50秒﻿ / ﻿北緯35.518556度 東経134.413861度﻿ / 35.518556; 134.413861;標高: 347.2m;山系: 中国山地;通過路: 山陰道・国道9号・県道119号","中国地方の史跡一覧","箇条書き,制限あり","蒲生峠は中国山地の牛ヶ峰山（標高712.8m）の北側の鞍部にあり、峠の頂上は標高335mである。古代に制定された山陰道の道筋にあり、古くは但馬国と因幡国との国境になっていた。"
"野坂峠","越（のさかとうげごえ）","https://ja.wikipedia.org/wiki/野坂峠","北緯34度26分7.7秒東経131度45分58.6秒","所在地: 島根県津和野町・山口県山口市野坂峠- 地理院地図野坂峠- Google マップ;座標: 北緯34度26分7.7秒東経131度45分58.6秒﻿ / ﻿北緯34.435472度 東経131.766278度﻿ / 34.435472; 131.766278座標: 北緯34度26分7.7秒東経131度45分58.6秒﻿ / ﻿北緯34.435472度 東経131.766278度﻿ / 34.435472; 131.766278;標高: 370 m;山系: 中国山地;通過路: 国道9号","中国地方の史跡一覧","箇条書き,制限あり","この峠は国道9号が通っている。最高標高は370mであり、最高標高点付近はトンネルになっている。トンネルの長さは194m。野坂山の東麓にある。"
"鳥取藩台場跡","（とっとりはんだいばあと）〔東伯郡北栄町・湯梨浜町・境港市・米子市・岩美郡岩美町〕由良台場跡（ゆらだいばあと）境台場跡（さかいだいばあと）淀江台場跡（よどえだいばあと）橋津台場跡（はしづだいばあと）浦富台場跡（うらとみだいばあと）赤崎台場跡（あかさきだいばあと）","https://ja.wikipedia.org/wiki/鳥取藩台場跡","","","中国地方の史跡一覧","箇条書き,制限あり",""
"因幡国庁跡","（いなばこくちょうあと）〔鳥取市国府町〕","https://ja.wikipedia.org/wiki/因幡国庁跡","北緯35度28分30.4秒東経134度15分58.0秒","","中国地方の史跡一覧","箇条書き,制限あり",""
"伊福吉部徳足比売墓跡","（いふきべのとこたりひめのはかあと）〔鳥取市〕","https://ja.wikipedia.org/w/index.php?title=伊福吉部徳足比売墓跡&amp;action=edit&amp;redlink=1","","","中国地方の史跡一覧","箇条書き,制限あり",""
"梶山古墳","（かじやまこふん）〔鳥取市〕","https://ja.wikipedia.org/wiki/梶山古墳","北緯35度27分5.39秒東経134度17分41秒","所在地: 鳥取県鳥取市国府町岡益;位置: 北緯35度27分5.39秒東経134度17分41秒﻿ / ﻿北緯35.4514972度 東経134.29472度﻿ / 35.4514972; 134.29472;形状: 変形八角形墳（方形壇あり）;規模: 対角長17m一辺2.5-8.5m;築造時期: 6世紀末-7世紀初頭;被葬者: （伝）麻績王（麻続王）;史跡: 国の史跡「梶山古墳」;特記事項: 装飾古墳;地図: 梶山古墳","中国地方の史跡一覧","箇条書き,制限あり","1978年（昭和53年）に中国地方で初めてとなる彩色壁画が発見されて注目された。その後の発掘調査で、日本最古の方形壇を持つ変型八角形古墳であることも確認された。"
"栃本廃寺跡","（とちもとはいじあと）〔鳥取市〕","https://ja.wikipedia.org/w/index.php?title=栃本廃寺跡&amp;action=edit&amp;redlink=1","","","中国地方の史跡一覧","箇条書き,制限あり",""
"鳥取城","跡 附 太閤ヶ平（とっとりじょうせき つけたり たいこうがなる）〔鳥取市〕","https://ja.wikipedia.org/wiki/鳥取城","北緯35度30分36秒東経134度14分28秒","別名: 久松城、久松山城;城郭構造: 梯郭式平山城および山城;天守構造: 独立式望楼型3重（1573年頃、非現存）複合式層塔型2層2階地下1階（1605年改、非現存）;築城主: 但馬山名氏？;築城年: 天文年間（1532年- 1555年）;主な改修者: 吉川経家、宮部継潤、池田長吉;主な城主: 山名氏、吉川氏、宮部氏、池田氏;廃城年: 1871年（明治4年）;遺構: 石垣、堀、井戸;指定文化財: 国の史跡;再建造物: 城門、擬宝珠橋;位置: 北緯35度30分36秒東経134度14分28秒﻿ / ﻿北緯35.51000度 東経134.24111度﻿ / 35.51000; 134.24111座標: 北緯35度30分36秒東経134度14分28秒﻿ / ﻿北緯35.51000度 東経134.24111度﻿ / 35.51000; 134.24111;地図: 鳥取城","中国地方の史跡一覧","箇条書き,制限あり","戦国時代中頃の天文年間、因幡の守護である山名誠通が久松山の自然地形を利用した山城として築城したとされてきたが、近年の研究では誠通の因幡山名氏と対立する但馬山名氏（山名祐豊）の付城として成立した可能性が支持されている。正式に城主が確認されるのは、元亀年間の武田高信からである。高信は誠通の滅亡後、但馬山名氏の分家として再興された因幡山名氏の家臣であったが、しだいに力をつけ永禄年間には鳥取城を拠点とした。湯所口の戦い以降、守護家に対して優勢になった高信は天神山城を攻撃し、因幡守護の山名豊数を鹿野城に逃亡させ名目上の守護・山名豊弘を擁立し下剋上を果たした。高信はその後も豊数の弟で主筋である山名豊国としばしば対立し、安芸の毛利氏と誼を通じるようになる。"
"鳥取藩主池田家墓所","（とっとりはんしゅいけだけぼしょ）〔鳥取市〕","https://ja.wikipedia.org/wiki/鳥取藩主池田家墓所","北緯35度29分5.9秒東経134度16分9.0秒","","中国地方の史跡一覧","箇条書き,制限あり",""
"布勢古墳","（ふせこふん）〔鳥取市〕","https://ja.wikipedia.org/wiki/布勢古墳","北緯35度30分19秒東経134度10分38秒","","中国地方の史跡一覧","箇条書き,制限あり",""
"青谷上寺地遺跡","（あおやかみじちいせき）〔鳥取市青谷町〕","https://ja.wikipedia.org/wiki/青谷上寺地遺跡","北緯35度30分48.0秒東経133度59分30.0秒","","中国地方の史跡一覧","箇条書き,制限あり",""
"北山古墳","（きたやまこふん）〔東伯郡湯梨浜町〕","https://ja.wikipedia.org/wiki/北山古墳_(湯梨浜町)","北緯35度27分50.72秒東経133度53分6.56秒","別名: 北山1号墳;所属: 北山古墳群;所在地: 鳥取県東伯郡湯梨浜町野花・長和田;位置: 北緯35度27分50.72秒東経133度53分6.56秒﻿ / ﻿北緯35.4640889度 東経133.8851556度﻿ / 35.4640889; 133.8851556座標: 北緯35度27分50.72秒東経133度53分6.56秒﻿ / ﻿北緯35.4640889度 東経133.8851556度﻿ / 35.4640889; 133.8851556;形状: 前方後円墳;規模: 墳丘長110m高さ12m（後円部）;埋葬施設: 第1主体：（推定）竪穴式石室第2主体：箱式石棺;出土品: 管玉・短甲片・銅鏡・刀など;築造時期: 5世紀前半;史跡: 国の史跡「北山古墳」;特記事項: 鳥取県第1位の規模;地図: 北山古墳","中国地方の史跡一覧","箇条書き,制限あり","鳥取県では最大規模の古墳で、5世紀前半（古墳時代中期）頃の築造と推定される。"
"橋津古墳群","（はしづこふんぐん）〔東伯郡湯梨浜町〕","https://ja.wikipedia.org/wiki/橋津古墳群","北緯35度30分16秒東経133度52分55秒","","中国地方の史跡一覧","箇条書き,制限あり",""
"伯耆一宮経塚","（ほうきいちのみやきょうづか）〔東伯郡湯梨浜町〕","https://ja.wikipedia.org/wiki/倭文神社_(湯梨浜町)","北緯35度29分25.34秒東経133度54分10.68秒","所在地: 鳥取県東伯郡湯梨浜町大字宮内754;位置: 北緯35度29分25.34秒東経133度54分10.68秒﻿ / ﻿北緯35.4903722度 東経133.9029667度﻿ / 35.4903722; 133.9029667;主祭神: 建葉槌命;社格等: 式内社（小）伯耆国一宮旧国幣小社別表神社;創建: 不詳;本殿の様式: 流造;例祭: 5月1日","中国地方の史跡一覧","箇条書き,制限あり","機織に携わった氏族である倭文氏が祖神の建葉槌命を祀ったのが起源とされている。ただし、社伝には下照姫命に関するものが多く、大正時代までは下照姫命が主祭神であると考えられていた。社伝によれば、出雲から渡った下照姫命が現在の湯梨浜町宇野に着船し、御冠山に登って現在地に鎮まったという。着船したと伝えられる場所には、下照姫命が化粧を直したという「化粧水」や、腰を掛けたという「お腰掛岩」などが残っている。これについて、『式内社調査報告』では、元々は織物の神である建葉槌命を祀っていたのが、当地で織物が作られなくなったことにより建葉槌命の存在が忘れられ、共に祀られていた下照姫命だけが残ったと記している。"
"三徳山","（みとくさん）〔東伯郡三朝町〕 - 三仏寺","https://ja.wikipedia.org/wiki/三徳山","北緯35度23分09.3秒東経133度57分48.6秒","標高: 899.6 m;所在地: 日本鳥取県東伯郡三朝町;位置: 北緯35度23分09.3秒東経133度57分48.6秒﻿ / ﻿北緯35.385917度 東経133.963500度﻿ / 35.385917; 133.963500座標: 北緯35度23分09.3秒東経133度57分48.6秒﻿ / ﻿北緯35.385917度 東経133.963500度﻿ / 35.385917; 133.963500","中国地方の史跡一覧","箇条書き,制限あり","三徳山全域が三徳山三仏寺（天台宗）の境内となっており、投入堂（なげいれどう）の通称で広く知られる奥院の建物は、中腹の断崖に浮かぶように建てられた他に類を見ない建築物で、国宝に指定されている。全山が国の名勝・史跡に指定されている。世界遺産に推薦を申請したが、継続審議となった。"
"阿弥大寺古墳群","（あみだいじこふんぐん）〔倉吉市〕","https://ja.wikipedia.org/w/index.php?title=阿弥大寺古墳群&amp;action=edit&amp;redlink=1","","","中国地方の史跡一覧","箇条書き,制限あり",""
"大原廃寺塔跡","（おおはらはいじとうあと）〔倉吉市〕","https://ja.wikipedia.org/w/index.php?title=大原廃寺塔跡&amp;action=edit&amp;redlink=1","","","中国地方の史跡一覧","箇条書き,制限あり",""
"大御堂廃寺跡","（おおみどうはいじあと）〔倉吉市〕","https://ja.wikipedia.org/wiki/大御堂廃寺跡","","","中国地方の史跡一覧","箇条書き,制限あり",""
"三明寺古墳","（さんみょうじこふん）〔倉吉市〕","https://ja.wikipedia.org/wiki/三明寺古墳","北緯35度26分27.30秒東経133度49分55.95秒","所属: 向山古墳群;所在地: 鳥取県倉吉市巌城（字三明寺）;位置: 北緯35度26分27.30秒東経133度49分55.95秒﻿ / ﻿北緯35.4409167度 東経133.8322083度﻿ / 35.4409167; 133.8322083座標: 北緯35度26分27.30秒東経133度49分55.95秒﻿ / ﻿北緯35.4409167度 東経133.8322083度﻿ / 35.4409167; 133.8322083;形状: 円墳（または方墳・多角形墳）;規模: 直径18m高さ6m;埋葬施設: 両袖式横穴式石室;築造時期: 7世紀初頭（または7世紀前半）;史跡: 国の史跡「三明寺古墳」;地図: 三明寺古墳","中国地方の史跡一覧","箇条書き,制限あり","鳥取県中部、倉吉市街地から北方の向山丘陵の中腹に築造された古墳である。石室は古くから開口していたことが知られる。"
"伯耆国府跡","（ほうきこくふあと）〔倉吉市〕国庁跡（こくちょうあと）法華寺畑遺跡（ほっけじばたいせき）不入岡遺跡（ふにおかいせき）〔倉吉市〕伯耆国衙跡の近くの丘陵上で見つかった大規模な掘立柱建物郡で遺跡名は地名）","https://ja.wikipedia.org/w/index.php?title=伯耆国府跡&amp;action=edit&amp;redlink=1","","","中国地方の史跡一覧","箇条書き,制限あり",""
"法華寺畑遺跡","（ほっけじばたいせき）","https://ja.wikipedia.org/w/index.php?title=法華寺畑遺跡&amp;action=edit&amp;redlink=1","","","中国地方の史跡一覧","箇条書き,制限あり",""
"不入岡遺跡","（ふにおかいせき）〔倉吉市〕伯耆国衙跡の近くの丘陵上で見つかった大規模な掘立柱建物郡で遺跡名は地名）","https://ja.wikipedia.org/w/index.php?title=不入岡遺跡&amp;action=edit&amp;redlink=1","","","中国地方の史跡一覧","箇条書き,制限あり",""
"伯耆国分寺跡","（ほうきこくぶんじあと）〔倉吉市〕","https://ja.wikipedia.org/wiki/伯耆国分寺跡","北緯35度25分57.2秒東経133度47分23.3秒","","中国地方の史跡一覧","箇条書き,制限あり",""
"船上山","行宮跡（せんじょうさんあんぐうあと）〔東伯郡琴浦町〕","https://ja.wikipedia.org/wiki/船上山","北緯35度25分42秒東経133度35分29秒","標高: 687 m;所在地: 日本鳥取県東伯郡琴浦町;位置: 北緯35度25分42秒東経133度35分29秒﻿ / ﻿北緯35.42833度 東経133.59139度﻿ / 35.42833; 133.59139座標: 北緯35度25分42秒東経133度35分29秒﻿ / ﻿北緯35.42833度 東経133.59139度﻿ / 35.42833; 133.59139;山系: 大山山系","中国地方の史跡一覧","箇条書き,制限あり",""
"大山寺","旧境内（だいせんじきゅうけいだい）〔西伯郡大山町〕2016年10月3日","https://ja.wikipedia.org/wiki/大山寺_(鳥取県大山町)","北緯35度23分27.5秒東経133度32分5.6秒","所在地: 鳥取県西伯郡大山町大山9;位置: 北緯35度23分27.5秒東経133度32分5.6秒﻿ / ﻿北緯35.390972度 東経133.534889度﻿ / 35.390972; 133.534889座標: 北緯35度23分27.5秒東経133度32分5.6秒﻿ / ﻿北緯35.390972度 東経133.534889度﻿ / 35.390972; 133.534889;山号: 角磐山;宗派: 天台宗;寺格: 別格本山;本尊: 地蔵菩薩;創建年: 伝・養老2年（718年）;開基: 伝・金蓮;札所等: 中国三十三観音29番伯耆観音霊場14番・15番出雲國神仏霊場10番;文化財: 阿弥陀堂・木造阿弥陀如来及び両脇侍像ほか（国の重要文化財）;法人番号: 4270005003562","中国地方の史跡一覧","箇条書き,制限あり","大山寺は奈良時代に成立した山岳信仰の霊場であり、養老2年（718年）に俊方（金蓮上人）によって開かれたとされる。『選集抄』や『大山寺縁起』によると、俊方はある日大山で鹿を弓で射たが、その対象が鹿ではなく地蔵尊だったと知った。俊方は殺生は罪深いことだったと悟り、出家して「金蓮」を名乗り、草庵をむすび地蔵菩薩を祀った。この草庵が大山寺の起源とされる。なお、この「起源」の説話が影響しているのか、現在でも、大山には石造りの地蔵が多数みられる。"
"妻木晩田遺跡","（むきばんだいせき）〔西伯郡大山町・米子市〕","https://ja.wikipedia.org/wiki/妻木晩田遺跡","北緯35度27分54.3秒東経133度26分46秒","","中国地方の史跡一覧","箇条書き,制限あり",""
"青木遺跡","（あおきいせき）〔米子市〕","https://ja.wikipedia.org/wiki/青木遺跡_(米子市)","北緯35度23分54.7秒東経133度22分0.9秒","","中国地方の史跡一覧","箇条書き,制限あり",""
"上淀廃寺跡","（かみよどはいじあと）〔米子市〕","https://ja.wikipedia.org/wiki/上淀廃寺跡","北緯35度27分15.0秒東経133度26分45.1秒","","中国地方の史跡一覧","箇条書き,制限あり",""
