"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"氷ノ山","1 ひょうのせん氷ノ山兵庫県鳥取県1,509.6地理院地図Googleマップ北緯35度21分14秒東経134度30分50秒﻿ / ﻿北緯35.353959度 東経134.513842度﻿ / 35.353959; 134.513842﻿ (氷ノ山)日本二百名山新・花の百名山","https://ja.wikipedia.org/wiki/氷ノ山","北緯35度21分14秒東経134度30分49秒","標高: 1,509.6 m;所在地: 日本兵庫県養父市鳥取県八頭郡若桜町;位置: 北緯35度21分14秒東経134度30分49秒座標: 北緯35度21分14秒 東経134度30分49秒;山系: 中国山地氷ノ山山系","中国百名山","表形式"
"扇ノ山","2 おうぎのせん扇ノ山兵庫県鳥取県1,309.9地理院地図Googleマップ北緯35度26分23秒東経134度26分27秒﻿ / ﻿北緯35.439806度 東経134.440891度﻿ / 35.439806; 134.440891﻿ (扇ノ山)日本三百名山","https://ja.wikipedia.org/wiki/扇ノ山","北緯35度26分23秒東経134度26分27秒","標高: 1,309.9[1]m;所在地: 日本兵庫県美方郡新温泉町（旧温泉町）・鳥取県鳥取市（旧国府町）・八頭郡八頭町（旧郡家町・旧八東町）・若桜町;位置: 北緯35度26分23秒東経134度26分27秒座標: 北緯35度26分23秒 東経134度26分27秒[2]","中国百名山","表形式"
"後山","3 うしろやま後山兵庫県岡山県1,344.6地理院地図Googleマップ北緯35度11分13秒東経134度24分40秒﻿ / ﻿北緯35.186821度 東経134.411243度﻿ / 35.186821; 134.411243﻿ (後山)岡山県最高峰","https://ja.wikipedia.org/wiki/後山","北緯35度11分13秒東経134度24分40秒","標高: 1344.56 m;所在地: 兵庫県宍粟市・岡山県美作市;位置: 北緯35度11分13秒東経134度24分40秒座標: 北緯35度11分13秒 東経134度24分40秒;山系: 中国山地;種類: 隆起準平原","中国百名山","表形式"
"滝山 (奈義町・津山市) (存在しないページ)","4 画 像 募 集 中たきやま滝山岡山県1,196.5地理院地図Googleマップ北緯35度10分03秒東経134度09分03秒﻿ / ﻿北緯35.167482度 東経134.150829度﻿ / 35.167482; 134.150829﻿ (滝山)","https://ja.wikipedia.org/w/index.php?title=滝山_(奈義町・津山市)&amp;action=edit&amp;redlink=1","","","中国百名山","表形式"
"那岐山","5 なぎさん那岐山鳥取県岡山県1,255地理院地図Googleマップ北緯35度10分10秒東経134度10分40秒﻿ / ﻿北緯35.169377度 東経134.177889度﻿ / 35.169377; 134.177889﻿ (那岐山)日本三百名山","https://ja.wikipedia.org/wiki/那岐山","北緯35度10分11秒東経134度10分40秒","標高: 1,255.0 m;所在地: 日本岡山県勝田郡奈義町鳥取県八頭郡智頭町;位置: 北緯35度10分11秒東経134度10分40秒座標: 北緯35度10分11秒 東経134度10分40秒;山系: 那岐山系（中国山地）;種類: 残丘","中国百名山","表形式"
"爪ヶ城 (存在しないページ)","6 画 像 募 集 中つめがじょう爪ヶ城岡山県1,115地理院地図Googleマップ北緯35度09分34秒東経134度07分31秒﻿ / ﻿北緯35.159316度 東経134.125239度﻿ / 35.159316; 134.125239﻿ (爪ヶ城)","https://ja.wikipedia.org/w/index.php?title=爪ヶ城&amp;action=edit&amp;redlink=1","","","中国百名山","表形式"
"二上山 (鳥取県)","7 ふたかみやま二上山鳥取県333地理院地図Googleマップ北緯35度32分25秒東経134度19分09秒﻿ / ﻿北緯35.540389度 東経134.319094度﻿ / 35.540389; 134.319094﻿ (二上山)","https://ja.wikipedia.org/wiki/二上山_(鳥取県)","北緯35度32分25.3秒東経134度19分8.2秒","標高: 330 m;所在地: 日本鳥取県岩美郡岩美町;位置: 北緯35度32分25.3秒東経134度19分8.2秒座標: 北緯35度32分25.3秒 東経134度19分8.2秒","中国百名山","表形式"
"久松山","8 きゅうしょうざん久松山鳥取県263.1地理院地図Googleマップ北緯35度30分37秒東経134度14分27秒﻿ / ﻿北緯35.510289度 東経134.240750度﻿ / 35.510289; 134.240750﻿ (久松山)鳥取城址","https://ja.wikipedia.org/wiki/久松山","北緯35度30分37.0秒東経134度14分26.6秒","標高: 263 m;所在地: 日本鳥取県鳥取市;位置: 北緯35度30分37.0秒東経134度14分26.6秒座標: 北緯35度30分37.0秒 東経134度14分26.6秒","中国百名山","表形式"
"三角山 (鳥取県)","9 みすみやま三角山鳥取県508地理院地図Googleマップ北緯35度20分17秒東経134度13分09秒﻿ / ﻿北緯35.338108度 東経134.219078度﻿ / 35.338108; 134.219078﻿ (三角山)","https://ja.wikipedia.org/wiki/三角山_(鳥取県)","北緯35度20分17.2秒東経134度13分8.5秒","標高: 516[1]m;所在地: 日本鳥取県鳥取市（旧用瀬町）;位置: 北緯35度20分17.2秒東経134度13分8.5秒座標: 北緯35度20分17.2秒 東経134度13分8.5秒;山系: 中国山地","中国百名山","表形式"
"三原山 (鳥取県) (存在しないページ)","10 画 像 募 集 中みはらやま三原山鳥取県1,115.2地理院地図Googleマップ北緯35度18分06秒東経134度03分53秒﻿ / ﻿北緯35.301566度 東経134.064716度﻿ / 35.301566; 134.064716﻿ (三原山)","https://ja.wikipedia.org/w/index.php?title=三原山_(鳥取県)&amp;action=edit&amp;redlink=1","","","中国百名山","表形式"
