"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"王塚古墳","（おうづかこふん）〔嘉穂郡桂川町〕1952年3月29日","https://ja.wikipedia.org/wiki/王塚古墳","北緯33度35分19.55秒東経130度39分50.2秒","所在地: 福岡県嘉穂郡桂川町大字寿命;位置: 北緯33度35分19.55秒東経130度39分50.2秒﻿ / ﻿北緯33.5887639度 東経130.663944度﻿ / 33.5887639; 130.663944;形状: 前方後円墳;規模: 全長約86m、高さ約9.5m;出土品: 装飾古墳、馬具・武器・銅鏡・装飾品・土器類;築造時期: 6世紀中頃;被葬者: 不明;史跡: 1952年（昭和27年）特別史跡","九州・沖縄地方の史跡一覧","箇条書き,制限あり","1934年（昭和9年）9月30日に採土工事中に前方部が削られ、横穴式石室の前室右壁隅が開口し、偶然発見されたもので、6世紀中ごろに作られたとされている。形状は前方後円墳であるが、先の工事によって墳丘の半分以上は失われている。"
"大野城","跡（おおのじょうあと）〔太宰府市・糟屋郡宇美町・大野城市〕1952年3月31日","https://ja.wikipedia.org/wiki/大野城_(筑前国)","北緯33度32分23.7秒東経130度31分17.6秒","城郭構造: 古代山城;築城主: 大和朝廷;築城年: 天智天皇4年（665年）;廃城年: 不明;遺構: 土塁・石塁・水門・城門・建物跡・水溜め;指定文化財: 国の特別史跡「大野城跡」;位置: 北緯33度32分23.7秒東経130度31分17.6秒﻿ / ﻿北緯33.539917度 東経130.521556度﻿ / 33.539917; 130.521556﻿ (大野城 (筑前国))座標: 北緯33度32分23.7秒東経130度31分17.6秒﻿ / ﻿北緯33.539917度 東経130.521556度﻿ / 33.539917; 130.521556﻿ (大野城 (筑前国));地図: 大野城","九州・沖縄地方の史跡一覧","箇条書き,制限あり","大野城は、大宰府政庁跡の北側背後に聳える、標高410メートルの四王寺山（大城山）に所在する。山頂を中心に馬蹄形状の尾根から谷を廻る土塁と石塁の外周城壁は、約6.8キロメートルである。そして、南側と北側の土塁が二重となり（城壁総長は8.4km）防備を固める。城域は東西約1.5キロメートル×南北約3キロメートルの、日本一の大規模な古代山城である。城門は太宰府口城門など9か所が開く。また、谷部では、浸透式で自然排水の百間石垣・水ノ手石垣などに加え、水口のある屯水石垣などが確認されている。"
"大宰府","跡（だざいふあと）〔太宰府市〕1953年3月31日","https://ja.wikipedia.org/wiki/大宰府","北緯33度30分52.35秒東経130度30分54.52秒","","九州・沖縄地方の史跡一覧","箇条書き,制限あり",""
"水城","跡（みずきあと）〔太宰府市・大野城市・春日市〕1953年3月31日","https://ja.wikipedia.org/wiki/水城","北緯33度31分4.97秒東経130度29分33.56秒","城郭構造: 古代の城;築城主: 大和朝廷;築城年: 天智天皇3年（664年）;廃城年: 不明;遺構: 土塁・城門跡・外濠跡;指定文化財: 国の特別史跡「水城跡」;位置: 北緯33度31分4.97秒東経130度29分33.56秒﻿ / ﻿北緯33.5180472度 東経130.4926556度﻿ / 33.5180472; 130.4926556座標: 北緯33度31分4.97秒東経130度29分33.56秒﻿ / ﻿北緯33.5180472度 東経130.4926556度﻿ / 33.5180472; 130.4926556;地図: 水城","九州・沖縄地方の史跡一覧","箇条書き,制限あり","『日本書紀』に、「・・・。また、筑紫国に大堤（おおつつみ）を築き水を貯へしむ、名づけて水城（みずき）と曰ふ」と、記載された城である。"
"基肄（椽）城","跡（きいじょうあと）〔佐賀県三養基郡基山町・福岡県筑紫野市〕","https://ja.wikipedia.org/wiki/基肄城","北緯33度26分42秒東経130度30分47秒","城郭構造: 古代山城;築城主: 大和朝廷;築城年: 天智天皇4年（665年）;廃城年: 不明;遺構: 土塁・石塁・城門・水門・礎石;指定文化財: 国の特別史跡「基肄（椽）城跡」;位置: 北緯33度26分42秒東経130度30分47秒﻿ / ﻿北緯33.44500度 東経130.51306度﻿ / 33.44500; 130.51306﻿ (基肄城)座標: 北緯33度26分42秒東経130度30分47秒﻿ / ﻿北緯33.44500度 東経130.51306度﻿ / 33.44500; 130.51306﻿ (基肄城);地図: 基肄城","九州・沖縄地方の史跡一覧","箇条書き,制限あり","基肄城は、白村江の戦いで唐・新羅連合軍に大敗した後、大和朝廷が倭（日本）の防衛のために築いた古代山城である。665年（天智天皇4年）、大野城とともに築いたことが『日本書紀』に記載されている。城郭の建設を担当したのはいずれも亡命百済人で、「兵法に閑（なら）う」と評された、軍事技術の専門家の憶礼福留（おくらいふくる）と四比福夫（しひふくぶ）である。また、大野城・基肄城とともに長門国にも亡命百済人が城を建設しているが、城の名称は記載されず、所在地も不明である。そして、『続日本紀』 の698年（文武天皇2年）には、大野城・基肄城・鞠智城の三城の修復記事が記載され、『万葉集』にも、「記夷城（きいのき）」と、記載されている。"
"穴ヶ葉山古墳","（あながはやまこふん）〔築上郡上毛町〕1939年9月7日","https://ja.wikipedia.org/w/index.php?title=穴ヶ葉山古墳&amp;action=edit&amp;redlink=1","","","九州・沖縄地方の史跡一覧","箇条書き,制限あり",""
"大ノ瀬官衙遺跡","（だいのせかんがいせき）〔築上郡上毛町〕1998年12月8日","https://ja.wikipedia.org/wiki/大ノ瀬官衙遺跡","北緯33度35分17.0秒東経131度09分13.3秒","","九州・沖縄地方の史跡一覧","箇条書き,制限あり",""
"唐原山城跡","（とうばるさんじょうあと）〔築上郡上毛町〕","https://ja.wikipedia.org/w/index.php?title=唐原山城跡&amp;action=edit&amp;redlink=1","","","九州・沖縄地方の史跡一覧","箇条書き,制限あり",""
"友枝瓦窯跡","（ともえだかわらがまあと）〔築上郡上毛町〕1922年10月12日","https://ja.wikipedia.org/w/index.php?title=友枝瓦窯跡&amp;action=edit&amp;redlink=1","","","九州・沖縄地方の史跡一覧","箇条書き,制限あり",""
"求菩提山","（くぼてさん）〔豊前市・築上郡築上町〕2001年8月13日","https://ja.wikipedia.org/wiki/求菩提山","北緯33度32分24秒東経131度00分42秒","標高: 782 m;所在地: 福岡県豊前市・築上郡築上町;位置: 北緯33度32分24秒東経131度00分42秒﻿ / ﻿北緯33.54000度 東経131.01167度﻿ / 33.54000; 131.01167座標: 北緯33度32分24秒東経131度00分42秒﻿ / ﻿北緯33.54000度 東経131.01167度﻿ / 33.54000; 131.01167;山系: 筑紫山地","九州・沖縄地方の史跡一覧","箇条書き,制限あり","古くから修験道の霊山として修行が行われ、1870年頃の明治時代前期まで山伏信仰が行われていた。中世初期までは英彦山の影響下にあったが、中世末期には聖護院に属し、座主の格式を得て近世までは約180坊を有する勢力を持った。その後、幕末期には54坊を数える程度まで衰微し、明治時代の神仏分離によって求菩提山護国寺は国玉神社となった。"
"船迫窯跡","（ふなさこかまあと）〔築上郡築上町〕1999年1月28日","https://ja.wikipedia.org/wiki/船迫窯跡","北緯33度39分35秒東経130度59分57秒","","九州・沖縄地方の史跡一覧","箇条書き,制限あり",""
"御所ヶ谷神籠石","（ごしょがたにこうごいし）〔行橋市・京都郡みやこ町〕1953年11月14日","https://ja.wikipedia.org/wiki/御所ヶ谷神籠石","北緯33度40分28.2秒東経130度55分52.2秒","城郭構造: 古代山城（神籠石系山城）;築城主: 不明;築城年: 不明;遺構: 土塁・石塁・水門・城門跡・礎石;指定文化財: 国の史跡「御所ヶ谷神籠石」;位置: 座標: 北緯33度40分28.2秒東経130度55分52.2秒﻿ / ﻿北緯33.674500度 東経130.931167度﻿ / 33.674500; 130.931167;地図: 御所ヶ谷神籠石","九州・沖縄地方の史跡一覧","箇条書き,制限あり","御所ヶ谷神籠石は発掘調査の結果、古代山城であることが確定した。しかし、日本書紀などの史書に記載が無く、築城主・築城年は不明である。663年の白村江の戦いで、唐・新羅連合軍に大敗したことを契機に、7世紀後半頃に築かれたと考えられている。"
"綾塚古墳","（あやづかこふん）〔京都郡みやこ町〕1973年4月14日","https://ja.wikipedia.org/wiki/綾塚古墳","北緯33度42分18秒東経130度54分59秒","","九州・沖縄地方の史跡一覧","箇条書き,制限あり",""
"橘塚古墳","（たちばなづかこふん）〔京都郡みやこ町〕1970年6月26日","https://ja.wikipedia.org/wiki/橘塚古墳","北緯33度42分15秒東経130度55分20秒","","九州・沖縄地方の史跡一覧","箇条書き,制限あり",""
"豊前国分寺跡","（ぶぜんこくぶんじあと）〔京都郡みやこ町〕1976年7月15日","https://ja.wikipedia.org/wiki/豊前国分寺跡","","","九州・沖縄地方の史跡一覧","箇条書き,制限あり",""
