"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"しょさんべつ天文台"," しょさんべつ天文台 - 苫前郡初山別村 - 口径65cm反射式望遠鏡","https://ja.wikipedia.org/wiki/しょさんべつ天文台","北緯44度33分45.3秒東経141度46分27.5秒","","公開天文台一覧","参照","しょさんべつ天文台（しょさんべつてんもんだい）は日本の北海道苫前郡初山別村にある天文台。"
"なよろ市立天文台きたすばる"," なよろ市立天文台きたすばる - 名寄市 - 口径160cm反射式望遠鏡","https://ja.wikipedia.org/wiki/なよろ市立天文台きたすばる","北緯44度22分27秒東経142度28分58.1秒","運営者: 名寄市;所在地: 北海道名寄市日進157-1;座標: 北緯44度22分27秒東経142度28分58.1秒﻿ / ﻿北緯44.37417度 東経142.482806度﻿ / 44.37417; 142.482806座標: 北緯44度22分27秒東経142度28分58.1秒﻿ / ﻿北緯44.37417度 東経142.482806度﻿ / 44.37417; 142.482806;開設: 2010年4月;ウェブサイト: www.nayoro-star.jp/kitasubaru/;ピリカ望遠鏡: ピリカ望遠鏡口径1.6 m","公開天文台一覧","参照","前身は高等学校教諭であった木原秀雄が開設した私設天文台であり、1992年に木原氏から名寄市へ寄贈され名寄市立木原天文台として開台。2005年12月より北海道大学と名寄市が研究による相互協定を締結している。2010年4月より、なよろ市立天文台「きたすばる」として開台した。"
"北網圏北見文化センター"," 北網圏北見文化センター - 北見市 - 口径20cm屈折式望遠鏡","https://ja.wikipedia.org/wiki/北網圏北見文化センター","北緯43度49分06秒東経143度54分13秒","事業主体: 北見市;管理運営: オホーツク美装興業;開館: 1984年11月1日;所在地: 〒090-0015日本北海道北見市公園町1;位置: 北緯43度49分06秒東経143度54分13秒﻿ / ﻿北緯43.81833度 東経143.90361度﻿ / 43.81833; 143.90361;アクセス: 北海道北見バス「文化センター前」バス停下車徒歩2分、「児童相談所前」バス停下車徒歩3分;外部リンク: 北網圏北見文化センター","公開天文台一覧","参照",""
"旭川市科学館 サイパル"," 旭川市科学館 サイパル - 旭川市 - 口径65cm反射式望遠鏡、口径20cm屈折式望遠鏡","https://ja.wikipedia.org/wiki/旭川市科学館_サイパル","北緯43度45分22.7秒東経142度22分13.8秒","愛称: サイパル;専門分野: 科学館;事業主体: 旭川市;開館: 2005年（平成17年）7月23日;所在地: 〒078-8391北海道旭川市宮前1条3丁目3番32号;位置: 北緯43度45分22.7秒東経142度22分13.8秒﻿ / ﻿北緯43.756306度 東経142.370500度﻿ / 43.756306; 142.370500;外部リンク: 旭川市科学館 サイパル","公開天文台一覧","参照","1963年（昭和38年）に前身となる「旭川市青少年科学館」が常磐公園内に開館。"
"美瑛町郷土学館「美宙」・美宙天文台 (存在しないページ)"," 美瑛町郷土学館「美宙」・美宙天文台 - 上川郡美瑛町 - 口径40cm反射式望遠鏡","https://ja.wikipedia.org/w/index.php?title=美瑛町郷土学館「美宙」・美宙天文台&amp;action=edit&amp;redlink=1","","","公開天文台一覧","参照",""
"銀河の森天文台 (存在しないページ)"," 銀河の森天文台 - 足寄郡陸別町 - 口径115cm反射式望遠鏡","https://ja.wikipedia.org/w/index.php?title=銀河の森天文台&amp;action=edit&amp;redlink=1","","","公開天文台一覧","参照",""
"札幌市天文台"," 札幌市天文台 - 札幌市中央区 - 口径20cm屈折式望遠鏡","https://ja.wikipedia.org/wiki/札幌市天文台","北緯43度2分43秒東経141度21分8.8秒","","公開天文台一覧","参照",""
"札幌市青少年科学館"," 札幌市青少年科学館 - 札幌市厚別区 - 口径60cm反射式望遠鏡、25cm屈折式望遠鏡、口径10cm屈折式望遠鏡","https://ja.wikipedia.org/wiki/札幌市青少年科学館","北緯43度02分10秒東経141度28分20秒","専門分野: 理工系;館長: 京谷篤;事業主体: 札幌市教育委員会;管理運営: 札幌市生涯学習振興財団（指定管理者）;延床面積: 10,017 m²;開館: 1981年10月4日;所在地: 〒004-0051日本札幌市厚別区厚別中央1条5丁目2-20;位置: 北緯43度02分10秒東経141度28分20秒﻿ / ﻿北緯43.03611度 東経141.47222度﻿ / 43.03611; 141.47222座標: 北緯43度02分10秒東経141度28分20秒﻿ / ﻿北緯43.03611度 東経141.47222度﻿ / 43.03611; 141.47222;アクセス: 札幌市営地下鉄東西線新さっぽろ駅1番出口正面北海道旅客鉄道（JR北海道）新札幌駅から徒歩約5分;外部リンク: 札幌市青少年科学館","公開天文台一覧","参照","「科学および科学技術に関する知識の普及・啓発を通して、創造性豊かな青少年を育成するため」に設置しており、世界初となる人工降雪装置の導入はじめ、低温展示室など積雪寒冷地にある科学館としての特徴を打ち出している。展示については科学事象の発見や理解と想像力を育むための参加体験を重視しているほか、実験や体験学習などによって来館者が活動することができる場を提供している。前庭の「科学館公園」には噴水、日時計や動く彫刻「水の遊び〜四つのポンプ」を設置しており、イベント会場としても利用することができる。2013年（平成25年）に山崎直子（元宇宙飛行士）が「名誉館長」に就任した。"
"帯広市児童会館"," 帯広市児童会館 - 帯広市 - 口径20cm屈折式望遠鏡","https://ja.wikipedia.org/wiki/帯広市児童会館","北緯42度54分19秒東経143度11分10秒","事業主体: 帯広市;管理運営: 帯広市こども未来部;開館: 1964年9月27日;所在地: 〒080-0846日本北海道帯広市字緑ヶ丘2;位置: 北緯42度54分19秒東経143度11分10秒﻿ / ﻿北緯42.90528度 東経143.18611度﻿ / 42.90528; 143.18611座標: 北緯42度54分19秒東経143度11分10秒﻿ / ﻿北緯42.90528度 東経143.18611度﻿ / 42.90528; 143.18611;アクセス: 北海道旅客鉄道（JR北海道）帯広駅から車で約10分帯広駅バスターミナルから「緑ヶ丘6丁目・美術館入口」バス停下車徒歩4分;外部リンク: 児童会館 | 帯広市ホームページ","公開天文台一覧","参照","緑ヶ丘公園にあり、児童文化センターには宿泊施設があり、寝食をともにしながら集団生活と生活体験を行う宿泊学習を行っている。また、各種の文化行事・クラブ行事はじめ、子育て支援として木の遊園地・もっくん広場を設置している。青少年科学館は科学知識の普及および幼少期から科学に親しむための科学行事を提供しており、科学展示室・プラネタリウム・実験室を公開して楽しく学べる科学館を目指している。帯広市図書館・帯広百年記念館・おびひろ動物園と各施設の特色を活かしながら、連携したイベントを開催している。"
"国立天文台"," 国立天文台水沢VLBI観測所 - 岩手県奥州市 - 20m電波望遠鏡、口径35cm反射式望遠鏡","https://ja.wikipedia.org/wiki/国立天文台","北緯35度40分30.7秒東経139度32分16.2秒","正式名称: 国立天文台;英語名称: National Astronomical Observatory of Japan;略称: NAOJ;組織形態: 大学共同利用機関;所在地: 日本〒181-8588東京都三鷹市大沢2-21-1北緯35度40分30.7秒東経139度32分16.2秒﻿ / ﻿北緯35.675194度 東経139.537833度﻿ / 35.675194; 139.537833;予算: 154億円（2008年度実績）* 運営公費金等 140億円* 科研費等補助金 14億円;人数: 常勤職員257人（2009年3月31日時点）1人（台長）132人（研究教育職）34人（研究技師）90人（その他）大学院生計58人（2009年3月31日時点）25人（総研大）31人（東京大学）2人（東邦大学）;台長: 常田佐久;設立年月日: 1988年;前身: 東京天文台（1888年）;上位組織: 自然科学研究機構;所管: 文部科学省;拠点: #施設を参照;ウェブサイト: https://www.nao.ac.jp/","公開天文台一覧","参照","日本国外のハワイ観測所などいくつかの観測所や、三鷹キャンパスなどで研究活動をしており、総称として国立天文台と呼ばれる。本部は東京都三鷹市の三鷹キャンパス内にある。"
