"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"大千軒岳","1 だいせんげんだけ大千軒岳渡島管内檜山管内1,071.6地理院地図Googleマップ北緯41度34分46秒東経140度09分39秒﻿ / ﻿北緯41.579319度 東経140.160818度﻿ / 41.579319; 140.160818﻿ (大千軒岳)日本三百名山花の百名山キリシタン殉教の山","https://ja.wikipedia.org/wiki/大千軒岳","北緯41度34分46秒東経140度9分39秒","標高: 1,071.87 m;所在地: 北海道松前郡松前町・上ノ国町;位置: 北緯41度34分46秒東経140度9分39秒座標: 北緯41度34分46秒 東経140度9分39秒","北海道の百名山","表形式"
"恵山 (火山)","2 えさん恵山渡島管内618.1地理院地図Googleマップ北緯41度48分17秒東経141度09分58秒﻿ / ﻿北緯41.804707度 東経141.166031度﻿ / 41.804707; 141.166031﻿ (恵山)新日本百名山恵山岬灯台水無海浜温泉","https://ja.wikipedia.org/wiki/恵山_(火山)","北緯41度48分17秒東経141度09分58秒","標高: 618 m;所在地: 日本北海道渡島総合振興局函館市;位置: 北緯41度48分17秒東経141度09分58秒;山系: 独立峰;種類: 成層火山・溶岩ドーム","北海道の百名山","表形式"
"横津岳","3 よこつだけ横津岳渡島管内1,166.9地理院地図Googleマップ北緯41度56分16秒東経140度46分17秒﻿ / ﻿北緯41.937805度 東経140.771388度﻿ / 41.937805; 140.771388﻿ (横津岳)航空レーダー基地","https://ja.wikipedia.org/wiki/横津岳","北緯41度56分16秒東経140度46分17秒","標高: 1166.9 m;所在地: 北海道亀田郡七飯町;位置: 北緯41度56分16秒東経140度46分17秒;山系: 横津岳山地;種類: 成層火山[1]","北海道の百名山","表形式"
"北海道駒ヶ岳","4 こまがたけ駒ヶ岳渡島管内1,131地理院地図Googleマップ北緯42度03分48秒東経140度40分38秒﻿ / ﻿北緯42.063394度 東経140.677258度﻿ / 42.063394; 140.677258﻿ (駒ヶ岳)日本二百名山渡島駒ヶ岳大沼国定公園渡島富士","https://ja.wikipedia.org/wiki/北海道駒ヶ岳","北緯42度03分48秒東経140度40分38秒","標高: 1,131[1]m;所在地: 日本北海道森町、鹿部町、七飯町;位置: 北緯42度03分48秒東経140度40分38秒座標: 北緯42度03分48秒 東経140度40分38秒[1];山系: 独立峰;種類: 成層火山（活火山ランクA）","北海道の百名山","表形式"
"乙部岳 (存在しないページ)","5 画 像 募 集 中おとべだけ乙部岳檜山管内1,016.6地理院地図Googleマップ北緯42度02分22秒東経140度16分29秒﻿ / ﻿北緯42.039370度 東経140.274586度﻿ / 42.039370; 140.274586﻿ (乙部岳)","https://ja.wikipedia.org/w/index.php?title=乙部岳&amp;action=edit&amp;redlink=1","","","北海道の百名山","表形式"
"雄鉾岳 (存在しないページ)","6 画 像 募 集 中おぽこだけ雄鉾岳渡島管内999.3地理院地図Googleマップ北緯42度09分14秒東経140度06分59秒﻿ / ﻿北緯42.153959度 東経140.116415度﻿ / 42.153959; 140.116415﻿ (雄鉾岳)","https://ja.wikipedia.org/w/index.php?title=雄鉾岳&amp;action=edit&amp;redlink=1","","","北海道の百名山","表形式"
"遊楽部岳 (存在しないページ)","7 画 像 募 集 中ゆうらっぷだけ遊楽部岳渡島管内檜山管内1,277地理院地図Googleマップ北緯42度13分18秒東経140度00分58秒﻿ / ﻿北緯42.221603度 東経140.016162度﻿ / 42.221603; 140.016162﻿ (遊楽部岳)見市岳","https://ja.wikipedia.org/w/index.php?title=遊楽部岳&amp;action=edit&amp;redlink=1","","","北海道の百名山","表形式"
"長万部岳 (存在しないページ)","8 画 像 募 集 中おしゃまんべだけ長万部岳渡島管内檜山管内972.4地理院地図Googleマップ北緯42度35分09秒東経140度11分22秒﻿ / ﻿北緯42.585872度 東経140.189455度﻿ / 42.585872; 140.189455﻿ (長万部岳)","https://ja.wikipedia.org/w/index.php?title=長万部岳&amp;action=edit&amp;redlink=1","","","北海道の百名山","表形式"
"大平山 (島牧郡) (存在しないページ)","9 画 像 募 集 中おおびらやま大平山後志管内1,190.6地理院地図Googleマップ北緯42度38分09秒東経140度08分08秒﻿ / ﻿北緯42.635959度 東経140.135584度﻿ / 42.635959; 140.135584﻿ (大平山)","https://ja.wikipedia.org/w/index.php?title=大平山_(島牧郡)&amp;action=edit&amp;redlink=1","","","北海道の百名山","表形式"
"狩場山","10 かりばやま狩場山後志管内檜山管内1,519.9地理院地図Googleマップ北緯42度36分48秒東経139度56分26秒﻿ / ﻿北緯42.613354度 東経139.940607度﻿ / 42.613354; 139.940607﻿ (狩場山)日本三百名山賀老の滝茂津多岬","https://ja.wikipedia.org/wiki/狩場山","北緯42度36分48秒東経139度56分26秒","標高: 1,519.9m;所在地: 日本北海道檜山振興局久遠郡せたな町後志総合振興局島牧郡島牧村;位置: 北緯42度36分48秒東経139度56分26秒座標: 北緯42度36分48秒 東経139度56分26秒;山系: 狩場山地;種類: 成層火山","北海道の百名山","表形式"
"雷電山 (後志支庁)","11 らいでんやま雷電山後志管内1,211.7地理院地図Googleマップ北緯42度54分13秒東経140度28分11秒﻿ / ﻿北緯42.903633度 東経140.469623度﻿ / 42.903633; 140.469623﻿ (雷電山)雷電温泉朝日温泉 (北海道)","https://ja.wikipedia.org/wiki/雷電山_(後志支庁)","北緯42度54分13秒東経140度28分11秒","標高: 1,211.3 m;所在地: 日本北海道岩内郡岩内町・磯谷郡蘭越町;位置: 北緯42度54分13秒東経140度28分11秒座標: 北緯42度54分13秒 東経140度28分11秒;山系: ニセコ連峰;種類: 成層火山","北海道の百名山","表形式"
"積丹岳","12 画 像 募 集 中しゃこたんだけ積丹岳後志管内1,255.3地理院地図Googleマップ北緯43度16分14秒東経140度28分49秒﻿ / ﻿北緯43.270613度 東経140.480326度﻿ / 43.270613; 140.480326﻿ (積丹岳)","https://ja.wikipedia.org/wiki/積丹岳","北緯43度16分14秒東経140度28分49秒","標高: 1,255.3 m;所在地: 日本北海道積丹町;位置: 北緯43度16分14秒東経140度28分49秒座標: 北緯43度16分14秒 東経140度28分49秒","北海道の百名山","表形式"
"昆布岳","13 こんぶだけ昆布岳後志管内胆振管内1,045.1地理院地図Googleマップ北緯42度42分37秒東経140度39分20秒﻿ / ﻿北緯42.710370度 東経140.655469度﻿ / 42.710370; 140.655469﻿ (昆布岳)","https://ja.wikipedia.org/wiki/昆布岳","北緯42度42分37秒東経140度39分20秒","標高: 1,045.1 m;所在地: 日本北海道虻田郡豊浦町・虻田郡ニセコ町;位置: 北緯42度42分37秒東経140度39分20秒座標: 北緯42度42分37秒 東経140度39分20秒;山系: 昆布火山体;種類: 成層火山","北海道の百名山","表形式"
"チセヌプリ","14 ちせぬぷりチセヌプリ後志管内1,134.2地理院地図Googleマップ北緯42度53分17秒東経140度35分48秒﻿ / ﻿北緯42.888119度 東経140.596716度﻿ / 42.888119; 140.596716﻿ (チセヌプリ)神仙沼ニセコ湯本温泉","https://ja.wikipedia.org/wiki/チセヌプリ","北緯42度53分17秒東経140度35分48秒","標高: 1,134.2 m;所在地: 日本北海道岩内郡共和町・磯谷郡蘭越町;位置: 北緯42度53分17秒東経140度35分48秒座標: 北緯42度53分17秒 東経140度35分48秒;山系: ニセコ連峰;種類: 溶岩円頂丘（鐘状）","北海道の百名山","表形式"
