"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"五稜郭","跡（ごりょうかくあと）〔函館市〕1922年10月12日","https://ja.wikipedia.org/wiki/五稜郭","北緯41度47分48.84秒東経140度45分25.06秒","別名: 亀田（御）役所土塁、柳野城;城郭構造: 稜堡式;天守構造: なし;築城主: 江戸幕府;築城年: 1866年;主な改修者: なし;主な城主: なし;廃城年: 1869年;遺構: 土塁、石垣、堀、兵糧庫;指定文化財: 特別史跡;再建造物: 奉行所、板庫、土蔵;位置: 北緯41度47分48.84秒東経140度45分25.06秒﻿ / ﻿北緯41.7969000度 東経140.7569611度﻿ / 41.7969000; 140.7569611﻿ (五稜郭)座標: 北緯41度47分48.84秒東経140度45分25.06秒﻿ / ﻿北緯41.7969000度 東経140.7569611度﻿ / 41.7969000; 140.7569611﻿ (五稜郭);地図: 五稜郭;用途: 資料館;設計者: 文化財保存計画協会;施工: 竹中工務店・加藤組土建・石井組・野辺工務店・明匠建工;建築主: 函館市;事業主体: 函館市;管理運営: 名美興業（指定管理者）;構造形式: 木造;建築面積: 1,033.38 m²;延床面積: 979.40 m²;階数: 平屋建;竣工: 2010年;所在地: 〒040-0001函館市五稜郭町44-3;別名: 亀田（御）役所土塁、柳野城;城郭構造: 稜堡式;天守構造: なし;築城主: 江戸幕府;築城年: 1866年;主な改修者: なし;主な城主: なし;廃城年: 1869年;遺構: 土塁、石垣、堀、兵糧庫;指定文化財: 特別史跡;再建造物: 奉行所、板庫、土蔵;位置: 北緯41度47分48.84秒東経140度45分25.06秒﻿ / ﻿北緯41.7969000度 東経140.7569611度﻿ / 41.7969000; 140.7569611﻿ (五稜郭)座標: 北緯41度47分48.84秒東経140度45分25.06秒﻿ / ﻿北緯41.7969000度 東経140.7569611度﻿ / 41.7969000; 140.7569611﻿ (五稜郭);地図: 五稜郭;用途: 資料館;設計者: 文化財保存計画協会;施工: 竹中工務店・加藤組土建・石井組・野辺工務店・明匠建工;建築主: 函館市;事業主体: 函館市;管理運営: 名美興業（指定管理者）;構造形式: 木造;建築面積: 1,033.38 m²;延床面積: 979.40 m²;階数: 平屋建;竣工: 2010年;所在地: 〒040-0001函館市五稜郭町44-3","北海道・東北地方の史跡一覧","箇条書き,制限あり","予算書時点から五稜郭の名称は用いられていたが、築造中は亀田役所土塁（かめだやくしょどるい）または亀田御役所土塁（かめだおんやくしょどるい）とも呼ばれた。元は湿地でネコヤナギが多く生えていた土地であることから、柳野城（やなぎのじょう）の別名を持つ。"
"大館跡","（おおだてあと）〔松前郡松前町〕","https://ja.wikipedia.org/wiki/大館跡","北緯41度26分10秒東経140度06分32秒","","北海道・東北地方の史跡一覧","箇条書き,制限あり",""
"松前氏城跡","（まつまえししろあと）〔松前郡松前町・檜山郡厚沢部町〕1935年6月7日福山城跡（ふくやまじょうあと）館城跡（たてじょうあと）","https://ja.wikipedia.org/w/index.php?title=松前氏城跡&amp;action=edit&amp;redlink=1","","","北海道・東北地方の史跡一覧","箇条書き,制限あり",""
"福山城","跡（ふくやまじょうあと）","https://ja.wikipedia.org/wiki/松前城","北緯41度25分49.17秒東経140度6分30.96秒","別名: 福山城;城郭構造: 平山城;天守構造: 独立式層塔型3重3階（1855年（安政元年）築 非現存）（1960年RC造外観復元）;築城主: 松前崇広;築城年: 安政元年（1855年）;主な城主: 松前氏;廃城年: 1874年;遺構: 本丸御門、御殿玄関、石垣、土塁堀;指定文化財: 国の重要文化財（本丸御門）国の史跡北海道有形文化財（御殿玄関）;再建造物: 天守;位置: 北緯41度25分49.17秒東経140度6分30.96秒﻿ / ﻿北緯41.4303250度 東経140.1086000度﻿ / 41.4303250; 140.1086000;地図: 松前城;階層（内部階）:;3階: 21尺;2階: 30尺;1階: 39尺;総高（櫓台上から棟）: 5丈4尺6寸;出典: 『復原『名城天守』』;別名: 福山城;城郭構造: 平山城;天守構造: 独立式層塔型3重3階（1855年（安政元年）築 非現存）（1960年RC造外観復元）;築城主: 松前崇広;築城年: 安政元年（1855年）;主な城主: 松前氏;廃城年: 1874年;遺構: 本丸御門、御殿玄関、石垣、土塁堀;指定文化財: 国の重要文化財（本丸御門）国の史跡北海道有形文化財（御殿玄関）;再建造物: 天守;位置: 北緯41度25分49.17秒東経140度6分30.96秒﻿ / ﻿北緯41.4303250度 東経140.1086000度﻿ / 41.4303250; 140.1086000;地図: 松前城;階層（内部階）:;3階: 21尺;2階: 30尺;1階: 39尺;総高（櫓台上から棟）: 5丈4尺6寸;出典: 『復原『名城天守』』","北海道・東北地方の史跡一覧","箇条書き,制限あり","江戸時代末期に海防強化のため松前藩が江戸幕府に命じられ、居城であった福山館を拡張する形で築城し、1855年（安政元年）に完成した。石田城と並び日本における最後期、かつ、北海道内で唯一つの日本式城郭である。"
"館城","跡（たてじょうあと）","https://ja.wikipedia.org/wiki/館城","北緯41度52分46.3秒東経140度20分35.7秒","","北海道・東北地方の史跡一覧","箇条書き,制限あり",""
"松前藩主松前家墓所","（まつまえはんしゅまつまえけぼしょ）〔松前郡松前町〕","https://ja.wikipedia.org/wiki/松前藩主松前家墓所","北緯41度25分53秒東経140度06分21秒","","北海道・東北地方の史跡一覧","箇条書き,制限あり",""
"戸切地陣屋","跡（まつまえはんへきりちじんやあと）〔北斗市〕","https://ja.wikipedia.org/wiki/戸切地陣屋","北緯41度51分15.2秒東経140度37分9.8秒","分類: 歴史公園;所在地:  日本北海道北斗市野崎;面積: 10.18ヘクタール;前身: 松前藩戸切地陣屋;運営者: 北斗市;駐車場: 300台;アクセス: 函館江差自動車道北斗中央ICから車で約10分","北海道・東北地方の史跡一覧","箇条書き,制限あり","戸切地陣屋跡史跡公園（へきりちじんやあとしせきこうえん）は、北海道北斗市にある公園。1977年（昭和52年）に町有地となり、1979年（昭和54年）から国、道の補助を受けて環境整備を行い、2001年（平成13年）に完成した。「日本の歴史公園100選」選定。"
"茂別館跡","（もべつたてあと）〔北斗市〕","https://ja.wikipedia.org/wiki/茂別館跡","北緯41度46分13秒東経140度36分15秒","","北海道・東北地方の史跡一覧","箇条書き,制限あり",""
"大船遺跡","（おおふねいせき）〔函館市〕","https://ja.wikipedia.org/wiki/大船遺跡","北緯41度57分27.7秒東経140度55分31.6秒","","北海道・東北地方の史跡一覧","箇条書き,制限あり",""
"垣ノ島遺跡","（かきのしまいせき）〔函館市〕","https://ja.wikipedia.org/wiki/垣ノ島遺跡","北緯41度55分43.9秒東経140度56分51.0秒","","北海道・東北地方の史跡一覧","箇条書き,制限あり",""
