"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"礼文岳","1 れぶんだけ礼文岳宗谷管内490.0地理院地図Googleマップ北緯45度22分21秒東経141度00分57秒﻿ / ﻿北緯45.372520度 東経141.015803度﻿ / 45.372520; 141.015803﻿ (礼文岳)新日本百名山花の百名山新・花の百名山礼文島最北限・花の浮島","https://ja.wikipedia.org/wiki/礼文岳","北緯45度22分21秒東経141度00分57秒","標高: 490 m;所在地: 北海道礼文郡礼文町;位置: 北緯45度22分21秒東経141度00分57秒;山系: 島","北海道百名山","表形式"
"利尻岳","2 りしりざん利尻山宗谷管内1,721地理院地図Googleマップ北緯45度10分49秒東経141度14分29秒﻿ / ﻿北緯45.180415度 東経141.241384度﻿ / 45.180415; 141.241384﻿ (利尻山)日本百名山新日本百名山花の百名山新・花の百名山利尻富士利尻島","https://ja.wikipedia.org/wiki/利尻岳","北緯45度10分43秒東経141度14分31秒","標高: 1,721[1]m;所在地: 日本北海道宗谷総合振興局利尻郡利尻町・利尻富士町;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ / 45.17861; 141.24194座標: 北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ / 45.17861; 141.24194[2];山系: 独立峰;種類: 成層火山","北海道百名山","表形式"
"ピッシリ山 (存在しないページ)","3 画 像 募 集 中ぴっしりざんピッシリ山上川管内留萌管内1,031.5地理院地図Googleマップ北緯44度21分20秒東経142度01分55秒﻿ / ﻿北緯44.355624度 東経142.032063度﻿ / 44.355624; 142.032063﻿ (ピッシリ山)","https://ja.wikipedia.org/w/index.php?title=ピッシリ山&amp;action=edit&amp;redlink=1","","","北海道百名山","表形式"
"三頭山 (北海道) (存在しないページ)","4 画 像 募 集 中さんとうさん三頭山上川管内1,009.1地理院地図Googleマップ北緯44度05分30秒東経142度05分09秒﻿ / ﻿北緯44.091549度 東経142.085817度﻿ / 44.091549; 142.085817﻿ (三頭山)","https://ja.wikipedia.org/w/index.php?title=三頭山_(北海道)&amp;action=edit&amp;redlink=1","","","北海道百名山","表形式"
"ピヤシリ山","5 画 像 募 集 中ぴやしりやまピヤシリ山上川管内オホーツク管内986.6地理院地図Googleマップ北緯44度26分01秒東経142度35分03秒﻿ / ﻿北緯44.433695度 東経142.584098度﻿ / 44.433695; 142.584098﻿ (ピヤシリ山)名寄ピヤシリスキー場","https://ja.wikipedia.org/wiki/ピヤシリ山","北緯44度26分01.3秒東経142度35分02.7秒","標高: 987.1 m;所在地: 日本北海道名寄市・下川町・雄武町;位置: 北緯44度26分01.3秒東経142度35分02.7秒座標: 北緯44度26分01.3秒 東経142度35分02.7秒;山系: 北見山地","北海道百名山","表形式"
"ウエンシリ岳 (存在しないページ)","6 うえんしりだけウエンシリ岳上川管内オホーツク管内1,142.3地理院地図Googleマップ北緯44度13分44秒東経142度52分35秒﻿ / ﻿北緯44.228801度 東経142.876338度﻿ / 44.228801; 142.876338﻿ (ウエンシリ岳)","https://ja.wikipedia.org/w/index.php?title=ウエンシリ岳&amp;action=edit&amp;redlink=1","","","北海道百名山","表形式"
"天塩岳","7 てしおだけ天塩岳上川管内オホーツク管内1,557.6地理院地図Googleマップ北緯43度57分52秒東経142度53分17秒﻿ / ﻿北緯43.964372度 東経142.887986度﻿ / 43.964372; 142.887986﻿ (天塩岳)日本二百名山一等三角点百名山天塩川源流","https://ja.wikipedia.org/wiki/天塩岳","北緯43度57分51秒東経142度53分16秒","標高: 1,557.6m;所在地: 日本北海道士別市・紋別郡滝上町;位置: 北緯43度57分51秒東経142度53分16秒座標: 北緯43度57分51秒 東経142度53分16秒","北海道百名山","表形式"
"ニセイカウシュッペ山","8 にせいかうしゅっぺやまニセイカウシュッペ山上川管内1,883地理院地図Googleマップ北緯43度46分47秒東経142度59分04秒﻿ / ﻿北緯43.779656度 東経142.984401度﻿ / 43.779656; 142.984401﻿ (ニセイカウシュッペ山)日本三百名山","https://ja.wikipedia.org/wiki/ニセイカウシュッペ山","北緯43度46分48秒東経142度59分07秒","標高: 1,883[1]m;所在地: 日本北海道上川郡上川町;位置: 北緯43度46分48秒東経142度59分07秒座標: 北緯43度46分48秒 東経142度59分07秒[1];山系: 石狩山地、北大雪火山群;種類: 成層火山","北海道百名山","表形式"
"平山 (北海道) (存在しないページ)","9 ひらやま平山上川管内オホーツク管内1,771地理院地図Googleマップ北緯43度45分36秒東経143度00分26秒﻿ / ﻿北緯43.759925度 東経143.007142度﻿ / 43.759925; 143.007142﻿ (平山)","https://ja.wikipedia.org/w/index.php?title=平山_(北海道)&amp;action=edit&amp;redlink=1","","","北海道百名山","表形式"
"武利岳 (存在しないページ)","10 むりいだけ武利岳上川管内オホーツク管内1,876.2地理院地図Googleマップ北緯43度43分59秒東経143度10分35秒﻿ / ﻿北緯43.732935度 東経143.176511度﻿ / 43.732935; 143.176511﻿ (武利岳)","https://ja.wikipedia.org/w/index.php?title=武利岳&amp;action=edit&amp;redlink=1","","","北海道百名山","表形式"
