"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"渋野丸山古墳","（しぶのまるやまこふん）〔徳島市〕","https://ja.wikipedia.org/wiki/渋野丸山古墳","北緯34度0分33.66秒東経134度31分44.02秒","所属: 渋野古墳群;所在地: 徳島県徳島市渋野町三ツ岩・学頭;位置: 北緯34度0分33.66秒東経134度31分44.02秒﻿ / ﻿北緯34.0093500度 東経134.5288944度﻿ / 34.0093500; 134.5288944座標: 北緯34度0分33.66秒東経134度31分44.02秒﻿ / ﻿北緯34.0093500度 東経134.5288944度﻿ / 34.0093500; 134.5288944;形状: 前方後円墳;規模: 墳丘長105m高さ18m（後円部）;埋葬施設: 不明;出土品: 埴輪・土師器;築造時期: 5世紀前半;史跡: 国の史跡「渋野丸山古墳」;特記事項: 四国地方第2位/徳島県第1位の規模;地図: 富田茶臼山快天山渋野丸山渋野丸山古墳愛宕山古墳山ノ神古墳","四国地方の史跡一覧","箇条書き,制限あり","徳島県では最大、四国地方では第2位の規模の古墳で、5世紀前半（古墳時代中期前半）の築造と推定される。"
"徳島城","跡（とくしまじょうあと）〔徳島市〕2006年1月26日","https://ja.wikipedia.org/wiki/徳島城","北緯34度4分30.69秒東経134度33分18.99秒","別名: 渭山城、渭津城;城郭構造: 梯郭式平山城;天守構造: 不明（1588年・非現存）東二の丸御三階櫓(1615年以降);築城主: 蜂須賀家政;築城年: 天正13年（1585年）;主な城主: 蜂須賀氏;廃城年: 明治2年（1869年）;遺構: 石垣、堀、庭園;指定文化財: 国の史跡、国の名勝（表御殿庭園）;再建造物: 鷲の門;位置: 北緯34度4分30.69秒東経134度33分18.99秒﻿ / ﻿北緯34.0751917度 東経134.5552750度﻿ / 34.0751917; 134.5552750座標: 北緯34度4分30.69秒東経134度33分18.99秒﻿ / ﻿北緯34.0751917度 東経134.5552750度﻿ / 34.0751917; 134.5552750;地図: 徳島城徳島市の地図を表示徳島城徳島県の地図を表示徳島城日本の地図を表示","四国地方の史跡一覧","箇条書き,制限あり","徳島城はJR徳島駅の北側にあり、徳島市の中心部に位置する。"
"徳島藩主蜂須賀家墓所","（とくしまはんしゅはちすかけぼしょ）〔徳島市〕","https://ja.wikipedia.org/wiki/徳島藩主蜂須賀家墓所","北緯34度4分58.2秒東経134度33分19.6秒","","四国地方の史跡一覧","箇条書き,制限あり",""
"鳴門板野古墳群","（なるといたのこふんぐん）〔鳴門市〕2016年10月3日","https://ja.wikipedia.org/wiki/鳴門板野古墳群","北緯34度10分22秒東経134度34分11秒","","四国地方の史跡一覧","箇条書き,制限あり",""
"阿波国分尼寺跡","（あわこくぶんにじあと）〔名西郡石井町〕","https://ja.wikipedia.org/wiki/阿波国分尼寺跡","北緯34度4分4.2秒東経134度27分55.8秒","","四国地方の史跡一覧","箇条書き,制限あり",""
"勝瑞城","館跡（しょうずいじょうかんあと）〔板野郡藍住町〕2001年1月29日","https://ja.wikipedia.org/wiki/勝瑞城","北緯34度7分57.37秒東経134度31分22.56秒","別名: 阿波屋形、下屋形、勝瑞屋形、勝瑞城館;城郭構造: 平城、複郭式館城;天守構造: 建造されず;築城主: 小笠原長清;築城年: 鎌倉時代初期（他説あり）;主な改修者: 三好実休;主な城主: 細川氏、三好氏;廃城年: 天正10年（1582年）;遺構: 土塁、水堀、土橋;指定文化財: 国の史跡;再建造物: 勝瑞城址公園（建設中）復元土塁、復元堀;位置: 北緯34度7分57.37秒東経134度31分22.56秒﻿ / ﻿北緯34.1326028度 東経134.5229333度﻿ / 34.1326028; 134.5229333;地図: 勝瑞城","四国地方の史跡一覧","箇条書き,制限あり","勝瑞城は鎌倉時代から安土時代まで、淡路国、讃岐国、阿波国の政治、経済、文化の中心地として、天下の勝瑞として名をなし、日本の中世史上重要な城跡である。旧吉野川の南岸の自然堤防上に位置し、東側には今切川、南側には湿地帯に接している。現在は吉野川の本支流に囲まれた吉野川平野の低湿地帯中央部に位置するが、当時は湿地帯が多く、川幅も広く攻めにくい地形であったと思われる。海岸線も現在より内陸部にあり水上交通も便利で、紀伊水道を隔ててはいるが、京畿への往来も容易であった。当地域は暴れ川「四国三郎」の分支流の多い場所で、平地の要塞というよりも、守護の居館、政庁としての性格の強い城で、城の構えは広大であった。室町時代の守護所の様態をよく伝える貴重な遺構である。"
"郡里廃寺跡","（こおざとはいじあと）〔美馬市〕","https://ja.wikipedia.org/wiki/郡里廃寺跡","","","四国地方の史跡一覧","箇条書き,制限あり",""
"段の塚穴","（だんのつかあな）〔美馬市〕","https://ja.wikipedia.org/wiki/段の塚穴","北緯34度3分35.03秒東経134度4分31.05秒","所在地: 徳島県美馬市美馬町坊僧;位置: 北緯34度3分35.03秒東経134度4分31.05秒﻿ / ﻿北緯34.0597306度 東経134.0752917度﻿ / 34.0597306; 134.0752917﻿ (段の塚穴 太鼓塚古墳);形状: 円墳;規模: 直径37m高さ10m;埋葬施設: 両袖式横穴式石室（段の塚穴型）;出土品: 鉄製品・須恵器など;築造時期: 古墳時代後期;特記事項: 石梁付石室;所在地: 徳島県美馬市美馬町東宗重;位置: 北緯34度3分35.45秒東経134度4分28.90秒﻿ / ﻿北緯34.0598472度 東経134.0746944度﻿ / 34.0598472; 134.0746944﻿ (段の塚穴 棚塚古墳);形状: 円墳;規模: 直径20m高さ7m;埋葬施設: 両袖式横穴式石室（段の塚穴型）;築造時期: 古墳時代後期;特記事項: 石棚付石室;所在地: 徳島県美馬市美馬町坊僧;位置: 北緯34度3分35.03秒東経134度4分31.05秒﻿ / ﻿北緯34.0597306度 東経134.0752917度﻿ / 34.0597306; 134.0752917﻿ (段の塚穴 太鼓塚古墳);形状: 円墳;規模: 直径37m高さ10m;埋葬施設: 両袖式横穴式石室（段の塚穴型）;出土品: 鉄製品・須恵器など;築造時期: 古墳時代後期;特記事項: 石梁付石室;所在地: 徳島県美馬市美馬町東宗重;位置: 北緯34度3分35.45秒東経134度4分28.90秒﻿ / ﻿北緯34.0598472度 東経134.0746944度﻿ / 34.0598472; 134.0746944﻿ (段の塚穴 棚塚古墳);形状: 円墳;規模: 直径20m高さ7m;埋葬施設: 両袖式横穴式石室（段の塚穴型）;築造時期: 古墳時代後期;特記事項: 石棚付石室;所在地: 徳島県美馬市美馬町坊僧;位置: 北緯34度3分35.03秒東経134度4分31.05秒﻿ / ﻿北緯34.0597306度 東経134.0752917度﻿ / 34.0597306; 134.0752917﻿ (段の塚穴 太鼓塚古墳);形状: 円墳;規模: 直径37m高さ10m;埋葬施設: 両袖式横穴式石室（段の塚穴型）;出土品: 鉄製品・須恵器など;築造時期: 古墳時代後期;特記事項: 石梁付石室;所在地: 徳島県美馬市美馬町東宗重;位置: 北緯34度3分35.45秒東経134度4分28.90秒﻿ / ﻿北緯34.0598472度 東経134.0746944度﻿ / 34.0598472; 134.0746944﻿ (段の塚穴 棚塚古墳);形状: 円墳;規模: 直径20m高さ7m;埋葬施設: 両袖式横穴式石室（段の塚穴型）;築造時期: 古墳時代後期;特記事項: 石棚付石室","四国地方の史跡一覧","箇条書き,制限あり","太鼓塚古墳（たいこづかこふん）は、美馬市美馬町坊僧にある古墳。"
"丹田古墳","（たんだこふん）〔三好郡東みよし町〕","https://ja.wikipedia.org/wiki/丹田古墳","北緯34度1分26.25秒東経133度56分9.98秒","所在地: 徳島県三好郡東みよし町西庄加茂山;位置: 北緯34度1分26.25秒東経133度56分9.98秒﻿ / ﻿北緯34.0239583度 東経133.9361056度﻿ / 34.0239583; 133.9361056座標: 北緯34度1分26.25秒東経133度56分9.98秒﻿ / ﻿北緯34.0239583度 東経133.9361056度﻿ / 34.0239583; 133.9361056;形状: 前方後円墳または前方後方墳（柄鏡式）;規模: 墳丘長37m高さ3m（後円部または後方部）;埋葬施設: 竪穴式石室;出土品: 銅鏡・鉄剣・鉄斧;築造時期: 4世紀代;史跡: 国の史跡「丹田古墳」;特記事項: 積石塚;地図: 丹田古墳","四国地方の史跡一覧","箇条書き,制限あり","徳島県西部、吉野川中流域南岸の加茂山の尾根上に築造された古墳である。1969年（昭和44年）に発掘調査が実施されている。"
"阿波遍路道","（あわへんろみち）〔勝浦郡勝浦町・阿南市・三好市・名西郡神山町・小松島市〕2010年8月5日、2013年3月27日追加指定・名称変更、2015年10月7日追加指定・名称変更、2016年10月3日追加指定・名称変更、2017年2月9日追加指定・名称変更焼山寺道（しょうさんじみち）一宮道（いちのみやみち）恩山寺道（おんざんじみち）立江寺道（たつえじみち）鶴林寺道（かくりんじみち）鶴林寺境内（かくりんじけいだい）太龍寺道（たいりゅうじみち）かも道（かもみち）太龍寺境内（たいりゅうじけいだい）いわや道（いわやみち）平等寺道（びょうどうじみち）雲辺寺道（うんぺんじみち）","https://ja.wikipedia.org/w/index.php?title=阿波遍路道&amp;action=edit&amp;redlink=1","","","四国地方の史跡一覧","箇条書き,制限あり",""
