"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"国営滝野すずらん丘陵公園","1983年07月395.7ha ","https://ja.wikipedia.org/wiki/滝野すずらん丘陵公園","北緯42度54分49秒東経141度23分13秒","分類: 国営公園;所在地: 日本札幌市南区滝野;座標: 北緯42度54分49秒東経141度23分13秒﻿ / ﻿北緯42.91361度 東経141.38694度﻿ / 42.91361; 141.38694座標: 北緯42度54分49秒東経141度23分13秒﻿ / ﻿北緯42.91361度 東経141.38694度﻿ / 42.91361; 141.38694;面積: 395.7ヘクタール;開園: 1983年7月30日（一部開園）2010年5月22日（全面開園）;運営者: 国土交通省;年来園者数: 57万6231人（2014年度）;設備・遊具: 園路、散策路、庭園、森林、遊具、展望台、天文台、オートキャンプ場、パークゴルフ場、スキー場、野外教育施設、ビジターセンター;駐車場: 渓流口駐車場150台中央口駐車場960台東口駐車場610台鱒見口駐車場160台（冬季閉鎖）滝野の森駐車場150台南駐車場180台;バリアフリー: AED（自動体外式除細動器）電動車椅子多目的トイレ;アクセス: 札幌市営地下鉄南北線真駒内駅から北海道中央バス（西岡営業所）で約32分札幌市営地下鉄東豊線福住駅（福住バスターミナル）から北海道中央バス（大曲営業所）で約50分（4月～11月の土日祝と夏季のみ）;告示: 計画決定：昭和53年1月17日北海道告示第99号;事務所: 札幌市公園緑化協会共同体滝野管理センター;事務所所在地: 札幌市南区滝野247番地;公式サイト: 国営滝野すずらん丘陵公園オフィシャルウェブサイト","国営公園","表形式2","札幌市中心部から約20kmに位置し、周辺には札幌芸術の森や札幌ふれあいの森などがある市内南部のレクリエーションエリアとなっている。通年利用を目指した公園としてグリーンシーズン（夏）、ホワイトシーズン（冬）を設けている（シーズン切替時の一時休園あり）。"
"国営みちのく杜の湖畔公園","1989年08月287.5ha ","https://ja.wikipedia.org/wiki/国営みちのく杜の湖畔公園","北緯38度10分48秒東経140度40分2.9秒","分類: 都市公園> 国営公園;所在地: 日本宮城県柴田郡川崎町大字川内の一部および大字小野の一部;座標: 北緯38度10分48秒東経140度40分2.9秒﻿ / ﻿北緯38.18000度 東経140.667472度﻿ / 38.18000; 140.667472座標: 北緯38度10分48秒東経140度40分2.9秒﻿ / ﻿北緯38.18000度 東経140.667472度﻿ / 38.18000; 140.667472;面積: 287.5 ha;前身: 釜房湖畔公園;開園: 1989年（平成元年）8月4日;設計者: 高野ランドスケープ・プランニング（高野文彰)他;運営者: H28-31国営みちのく杜の湖畔公園運営維持管理業務みちのく公園マネジメント共同体。;年来園者数: 76万7585人（2015年度）;事務所: みちのく公園管理センター;事務所所在地: 宮城県柴田郡川崎町大字小野字二本松53-9;公式サイト: http://www.michinoku-park.info","国営公園","表形式2","全国初めてのダム周辺環境事業として建設省（現・国土交通省）が着手した釜房湖畔公園は、1980年（昭和55年）に完成。広大な河川敷地に、球技広場や水の広場などの各種施設が整備された。翌年、釜房湖畔公園の趣旨を受け継いで事業着手されたのが、東北初の国営公園「国営みちのく杜の湖畔公園」である。南東北の主要都市、仙台市・山形市・福島市を20～50km圏内におく宮城県柴田郡川崎町に位置する。平成元年8月4日に「文化と水のゾーン」の一部、約62haを開園した。"
"国営ひたち海浜公園","1991年10月350ha ","https://ja.wikipedia.org/wiki/国営ひたち海浜公園","北緯36度24分2秒東経140度35分29秒","分類: 国営公園・都市公園;所在地: 日本茨城県ひたちなか市;座標: 北緯36度24分2秒東経140度35分29秒﻿ / ﻿北緯36.40056度 東経140.59139度﻿ / 36.40056; 140.59139座標: 北緯36度24分2秒東経140度35分29秒﻿ / ﻿北緯36.40056度 東経140.59139度﻿ / 36.40056; 140.59139;面積: 350ha;前身: アメリカ軍水戸射爆撃場;開園: 1991年（平成3年）10月5日;運営者: 日本国（国土交通省関東地方整備局）;年来園者数: 213.6万人;現況: 公園面積のうち、約55%が開園済み;設備・遊具: 本文参照;駐車場: 4,350台（3か所の合計、有料）;アクセス: 勝田駅から茨城交通バス、約20分;告示: 水戸勝田都市計画公園の変更（昭和58年茨城県告示第645号）;事務所: 国営常陸海浜公園事務所;事務所所在地: 茨城県ひたちなか市馬渡字大沼605-4;公式サイト: 公式サイト","国営公園","表形式2","この地域は、1938年（昭和13年）に水戸陸軍飛行学校、大日本帝国陸軍水戸飛行場（前渡飛行場）が建設され、第二次世界大戦後の1946年（昭和21年）6月には、アメリカ軍水戸射爆撃場として利用されていた。その広大な跡地は、1973年（昭和48年）3月15日に日本国政府に返還され「首都圏整備計画」の一環として整備されたものである。"
"国営武蔵丘陵森林公園","1974年07月304ha ","https://ja.wikipedia.org/wiki/国営武蔵丘陵森林公園","北緯36度5分10.68秒東経139度22分12秒","分類: 国営公園;所在地: 日本埼玉県比企郡滑川町、熊谷市;座標: 北緯36度5分10.68秒東経139度22分12秒﻿ / ﻿北緯36.0863000度 東経139.37000度﻿ / 36.0863000; 139.37000座標: 北緯36度5分10.68秒東経139度22分12秒﻿ / ﻿北緯36.0863000度 東経139.37000度﻿ / 36.0863000; 139.37000;面積: 304ha;開園: 1974年7月22日;年来園者数: 870,000人（2009年度）;駐車場: 計1643台 （南、中央、西、北口）;バリアフリー: 車椅子を無料で貸出;事務所所在地: 〒355-0802埼玉県比企郡滑川町山田1920;公式サイト: 国営武蔵丘陵森林公園","国営公園","表形式2","1974年7月22日に全国初の国営公園として開園した。公園は雑木林を中心に、池沼、湿地、草地など多様な環境を有しており、貴重な動植物が生育・生息する場所となっている。また、当園は関東最大級のヤマユリの名所でもあるほか、季節に応じた花修景を実施している。また、サイクリングコースやオリエンテーリングのパーマネントコースも整備されている。"
"国営昭和記念公園","1983年10月165.3ha ","https://ja.wikipedia.org/wiki/国営昭和記念公園","北緯35度42分26.68秒東経139度23分39.48秒","分類: 国営公園;所在地: 日本東京都立川市、昭島市;座標: 北緯35度42分26.68秒東経139度23分39.48秒﻿ / ﻿北緯35.7074111度 東経139.3943000度﻿ / 35.7074111; 139.3943000座標: 北緯35度42分26.68秒東経139度23分39.48秒﻿ / ﻿北緯35.7074111度 東経139.3943000度﻿ / 35.7074111; 139.3943000;面積: 165.3 ha;開園: 1983年10月26日;設計者: 東京ランドスケープ研究所（全体案）;運営者: H27-30国営昭和記念公園運営維持管理業務　昭和記念公園　パークス共同体;年来園者数: 404万人(2016年度);駐車場: 大型車93台、普通車2531台;事務所: 国営昭和記念公園事務所;事務所所在地: 〒190-8558東京都立川市緑町3173;公式サイト: 公式ホームページ","国営公園","表形式2","「昭和天皇御在位五十年記念事業」の一環として、「現在及び将来を担う国民が自然的環境の中で健全な心身を育み、英知を養う場とする」ために、戦後米軍が旧立川飛行場を接収した立川市と昭島市の両市にまたがる立川基地跡地のうち、180haを記念公園として建設することが閣議決定され、「緑の回復と人間性の向上」をテーマに1978年（昭和53年）度より国土交通省の手で施設整備が進められてきた。1983年（昭和58年）10月26日、昭和天皇臨席のもとに約70haで開園した後、レインボープールや子供の森、日本庭園、砂川口、盆栽苑等次々と施設が整備され、2005年（平成17年）11月にはみどりの文化ゾーンが共用され、同時に昭和天皇記念館が開館した。"
"2010年","07月13.2ha ","https://ja.wikipedia.org/wiki/2010年","","","国営公園","表形式2",""
"国営越後丘陵公園","1998年07月400ha ","https://ja.wikipedia.org/wiki/国営越後丘陵公園","北緯37度25分15.3秒東経138度44分37.9秒","分類: 国営公園;所在地: 日本新潟県長岡市宮本東方町字三ツ又1950番1北緯37度25分15.3秒東経138度44分37.9秒﻿ / ﻿北緯37.420917度 東経138.743861度﻿ / 37.420917; 138.743861;面積: 約400ha;開園: 1998年7月30日;運営者: H28-31 国営越後丘陵公園運営維持管理業務公園財団・グリーン産業・ＪＲ東日本コンサルタンツ共同体;年来園者数: 550,179人(2015年度);現況: 開園面積298.4ha;設備・遊具: 木製遊具・水遊具など;駐車場: 合計1751台;バリアフリー: 車椅子貸し出し・スロープ・エレベーター;アクセス: バスで「越後丘陵公園」または「陽光台4丁目」下車;事務所: 国営越後丘陵公園事務所;事務所所在地: 新潟県長岡市宮本東方町字三ツ又1950番1;備考: 現在整備中;公式サイト: 公式ウェブサイト","国営公園","表形式2","国営事業の長岡ニュータウンの開発で大規模に開かれた山であったが、交通が不便であったことやバブル崩壊などによりニュータウンが売れず、大部分が残った。そのため救済策としてニュータウンにするための土地の一部を国が都市公園として開発した、北陸地方では唯一の国営公園である。"
"国営アルプスあづみの公園","2004年07月353ha ","https://ja.wikipedia.org/wiki/国営アルプスあづみの公園","北緯36度19分15.1秒東経137度50分42.4秒","分類: 国営公園;所在地: 日本長野県安曇野市・ 長野県大町市・北安曇郡松川村;座標: 北緯36度19分15.1秒東経137度50分42.4秒﻿ / ﻿北緯36.320861度 東経137.845111度﻿ / 36.320861; 137.845111座標: 北緯36度19分15.1秒東経137度50分42.4秒﻿ / ﻿北緯36.320861度 東経137.845111度﻿ / 36.320861; 137.845111;面積: 約353ha;開園: 2004年7月24日;運営者: H28-31国営アルプスあづみの公園運営維持管理業務　アルプスあづみの公園マネジメント共同体;年来園者数: 37万人(2014年度);現況: 開園面積100ha(堀金・穂高地区)、開園面積253ha(大町・松川地区);設備・遊具: 木製遊具など;駐車場: 1050台(堀金・穂高地区) 600台(大町・松川地区);バリアフリー: 車椅子・シルバーカー貸し出し;事務所: 国営アルプスあづみの公園事務所;事務所所在地: 長野県安曇野市穂高牧149-12;公式サイト: 国営アルプスあづみの公園;分類: 国営公園;所在地: 日本長野県安曇野市・ 長野県大町市・北安曇郡松川村;座標: 北緯36度19分15.1秒東経137度50分42.4秒﻿ / ﻿北緯36.320861度 東経137.845111度﻿ / 36.320861; 137.845111座標: 北緯36度19分15.1秒東経137度50分42.4秒﻿ / ﻿北緯36.320861度 東経137.845111度﻿ / 36.320861; 137.845111;面積: 約353ha;開園: 2004年7月24日;運営者: H28-31国営アルプスあづみの公園運営維持管理業務　アルプスあづみの公園マネジメント共同体;年来園者数: 37万人(2014年度);現況: 開園面積100ha(堀金・穂高地区)、開園面積253ha(大町・松川地区);設備・遊具: 木製遊具など;駐車場: 1050台(堀金・穂高地区) 600台(大町・松川地区);バリアフリー: 車椅子・シルバーカー貸し出し;事務所: 国営アルプスあづみの公園事務所;事務所所在地: 長野県安曇野市穂高牧149-12;公式サイト: 国営アルプスあづみの公園","国営公園","表形式2","「自然と文化に抱かれた 豊かな自由時間活動の実現」をテーマにして、2004年7月24日に全国で16番目、甲信越地方では国営越後丘陵公園に次ぐ2番目の国営公園として、長野県南安曇郡堀金村・穂高町（当時）に堀金・穂高地区部分が暫定的にオープンした。2009年7月18日には大町・松川地区部分（大町市、北安曇郡松川村）が開園。2014年に堀金・穂高地区で新しいエリアがオープンし、新しく穂高口が新設された。"
"国営木曽三川公園","1987年10月473.5ha ","https://ja.wikipedia.org/wiki/国営木曽三川公園","北緯35度08分48.29秒東経136度40分04.70秒","分類: 国営公園;所在地: 日本;座標: 北緯35度08分48.29秒東経136度40分04.70秒﻿ / ﻿北緯35.1467472度 東経136.6679722度﻿ / 35.1467472; 136.6679722座標: 北緯35度08分48.29秒東経136度40分04.70秒﻿ / ﻿北緯35.1467472度 東経136.6679722度﻿ / 35.1467472; 136.6679722;面積: 258.0ha（供用済）473.5ha（計画）;開園: 1987年10月;運営者: 一般財団法人公園財団;事務所: 木曽三川公園管理センター;事務所所在地: 岐阜県海津市海津町油島255-3;公式サイト: 国営木曽三川公園","国営公園","表形式2",""
"淀川河川公園","1977年03月（238.8ha） ","https://ja.wikipedia.org/wiki/淀川河川公園","","","国営公園","表形式2",""
