"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"厚岸霧多布昆布森国定公園","厚岸霧多布昆布森国定公園2021年3月30日霧多布湿原、厚岸湾、厚岸湖、原生花園あやめヶ原など","https://ja.wikipedia.org/wiki/厚岸霧多布昆布森国定公園","北緯42度59分43秒東経144度55分10秒","分類: 国定公園;所在地: 日本北海道釧路郡釧路町、厚岸郡厚岸町、厚岸郡浜中町、川上郡標茶町;座標: 北緯42度59分43秒東経144度55分10秒﻿ / ﻿北緯42.99528度 東経144.91944度﻿ / 42.99528; 144.91944座標: 北緯42度59分43秒東経144度55分10秒﻿ / ﻿北緯42.99528度 東経144.91944度﻿ / 42.99528; 144.91944;面積: 41,487ヘクタール;前身: 厚岸道立自然公園;開園: 2021年;運営者: 北海道;告示: 環境省告示第24号;事務所: 釧路総合振興局保健環境部環境生活課;事務所所在地: 北海道釧路市浦見2丁目2-54","国定公園","表形式","釧路町東部の太平洋沿岸から厚岸町を経て浜中町霧多布にかけての海岸段丘、海食崖、湖沼、湿原などの変化に富んだ地形に恵まれている。釧路町昆布森から尻羽岬にかけての海岸一帯はトド岩、タコ岩などの奇岩を見ることができる。大黒島は海鳥の繁殖地になっており、「大黒島海鳥繁殖地」として国の「天然記念物」、「鳥獣保護区」に指定されている。また、厚岸湖・別寒辺牛湿原と霧多布湿原（藻散布沼・火散布沼を含む）が「ラムサール条約」登録湿地、国の「鳥獣保護区」に指定されている。嶮暮帰島は畑正憲がクマやウマを連れて約1年間移住した島である。"
"暑寒別天売焼尻国定公園","暑寒別天売焼尻国定公園1990年8月1日暑寒別山地、雨竜沼湿原、天売島、焼尻島、ルーラン奇勝など","https://ja.wikipedia.org/wiki/暑寒別天売焼尻国定公園","北緯43度43分45秒東経141度32分30秒","指定区域: 日本石狩振興局：石狩市空知総合振興局：樺戸郡新十津川町、雨竜郡雨竜町、雨竜郡北竜町留萌振興局：増毛郡増毛町、苫前郡羽幌町北緯43度43分45秒東経141度32分30秒﻿ / ﻿北緯43.72917度 東経141.54167度﻿ / 43.72917; 141.54167座標: 北緯43度43分45秒東経141度32分30秒﻿ / ﻿北緯43.72917度 東経141.54167度﻿ / 43.72917; 141.54167;分類: 国定公園;面積: 43,559ヘクタール;指定日: 1990年8月1日;運営者: 北海道;年来園者数: 220,000人;事務所: 北海道石狩振興局保健環境部環境生活課北海道空知総合振興局保健環境部環境生活課北海道留萌振興局保健環境部環境生活課;事務所所在地: 札幌市中央区北3条西7 道庁別館北海道岩見沢市8条西5北海道留萌市住之江町2-1-2;公式サイト: 暑寒別天売焼尻国定公園","国定公園","表形式","雨竜沼湿原"
"網走国定公園","網走国定公園1958年7月1日網走五湖、小清水原生花園、天都山など","https://ja.wikipedia.org/wiki/網走国定公園","北緯44度07分52秒東経143度48分09秒","指定区域: 日本オホーツク総合振興局：網走市、網走郡大空町、斜里郡斜里町、斜里郡小清水町、常呂郡佐呂間町、北見市、紋別郡湧別町北緯44度07分52秒東経143度48分09秒﻿ / ﻿北緯44.13111度 東経143.80250度﻿ / 44.13111; 143.80250座標: 北緯44度07分52秒東経143度48分09秒﻿ / ﻿北緯44.13111度 東経143.80250度﻿ / 44.13111; 143.80250;分類: 国定公園;面積: 37,261ヘクタール;前身: 網走道立自然公園;指定日: 1958年7月1日;運営者: 北海道;年来園者数: 1,667,000人;告示: 昭和33年厚生省告示第182号平成4年環境庁告示第16号（変更）;事務所: 北海道オホーツク総合振興局保健環境部環境生活課;事務所所在地: 北海道網走市北7条西3;公式サイト: 網走国定公園","国定公園","表形式","サロマ湖は日本国内で3番目、北海道内で最大の湖沼面積を誇る湖であり、オホーツク海との間の砂州には300種類を越える植物が確認されており、ワッカ原生花園になっている。湖岸のキムアネップ崎基部やサンゴ岬周辺にはアッケシソウ（サンゴソウ）群落を見ることができ、鶴沼地区は北海道の天然記念物に指定されている。能取湖の卯原内地区はじめ、湖岸の各地に塩湿地植物のアッケシソウ群落を見ることができ、オホーツク海側砂丘には海岸草原がある。また、能取半島の能取岬にかけて海食崖が見られ、半島の内陸側は森林に覆われている。網走湖とリヤウシ湖はオホーツク海からの海跡湖であり、一部が地盤の沈降によってできている。網走川周辺には湿地帯が形成され、女満別地区の樹林地にミズバショウなどの湿地植物群落がある。天都山は国の名勝に指定されている。藻琴湖や濤沸湖もオホーツク海との海跡湖であり、周辺に湿地帯が広がっている。濤沸湖はラムサール条約に登録されており、オホーツク海に面した砂州は海岸段丘として発達し、ハマナスやエゾキスゲなどの海岸草原は小清水原生花園として知られている。ワッカ原生花園と小清水原生花園は北海道遺産に選定されている。斜里海岸の草原群落は北海道の天然記念物に指定されている。"
"ニセコ積丹小樽海岸国定公園","ニセコ積丹小樽海岸国定公園1963年7月24日ニセコ連峰の一部、積丹、小樽海岸など","https://ja.wikipedia.org/wiki/ニセコ積丹小樽海岸国定公園","","指定区域: 日本後志総合振興局：小樽市、磯谷郡蘭越町、虻田郡ニセコ町、虻田郡倶知安町、岩内郡共和町、岩内郡岩内町、積丹郡積丹町、古平郡古平町、余市郡余市町、古宇郡泊村、古宇郡神恵内村;分類: 国定公園;面積: 19,009ヘクタール;前身: ニセコ道立自然公園;指定日: 1963年7月24日;運営者: 北海道;年来園者数: 4,354,000人;事務所: 北海道後志総合振興局保健環境部環境生活課;事務所所在地: 北海道虻田郡倶知安町北1条東2;公式サイト: ニセコ積丹小樽海岸国定公園","国定公園","表形式",""
"日高山脈襟裳国定公園","日高山脈襟裳国定公園1981年10月1日日高山脈、襟裳岬、アポイ岳など","https://ja.wikipedia.org/wiki/日高山脈襟裳国定公園","北緯42度43分10秒東経142度40分58秒","指定区域: 日本日高振興局：沙流郡日高町、沙流郡平取町、新冠郡新冠町、日高郡新ひだか町、浦河郡浦河町、様似郡様似町、幌泉郡えりも町十勝総合振興局：帯広市、上川郡清水町、河西郡芽室町、河西郡中札内村、広尾郡大樹町、広尾郡広尾町北緯42度43分10秒東経142度40分58秒﻿ / ﻿北緯42.71944度 東経142.68278度﻿ / 42.71944; 142.68278座標: 北緯42度43分10秒東経142度40分58秒﻿ / ﻿北緯42.71944度 東経142.68278度﻿ / 42.71944; 142.68278;分類: 国定公園;面積: 103,447ヘクタール;前身: 襟裳道立自然公園;指定日: 1981年10月1日;運営者: 北海道;年来園者数: 393,000人;事務所: 北海道日高振興局保健環境部環境生活課北海道十勝総合振興局保健環境部環境生活課;事務所所在地: 北海道浦河郡浦河町栄丘東通56北海道帯広市東3南3;公式サイト: 日高山脈襟裳国定公園","国定公園","表形式","日高山脈、広尾町から襟裳岬にかけての海岸線、アポイ岳周辺の地域からなる。日高山脈は日本国内で最も原始的な自然を残しており、固有種や隔離分布する植物を数多く見ることができるのが特徴になっている。登山に関しては難度の高い山域として知られており、一般的な登山コースを整備していないため、ほかの山域とは異なる知識や準備を必要としている。襟裳岬は岬から1.5kmに渡り岩礁が連続し、風が強い地域として知られている。また、日本の白砂青松100選や「百人浜・襟裳岬」として日本の渚百選に選定されている。アポイ岳は世界的にも珍しいかんらん岩からなる山塊や渓谷、特殊な土壌条件などによって低標高ながら高山植物を見ることができる自然環境にあり、登山道も整備している。「アポイ岳と高山植物群落」として国の特別天然記念物に指定されているほか、日本の地質百選に選定されている。また、ジオパークとして2008年（平成20年）に「日本ジオパーク」に、2015年（平成27年）には「世界ジオパーク」に認定された。襟裳岬、十勝幌尻岳、幌尻岳は国の名勝「ピリカノカ」に指定されている。"
"大沼国定公園","大沼国定公園1958年7月1日渡島駒ヶ岳（駒ヶ岳）及び大沼","https://ja.wikipedia.org/wiki/大沼国定公園","北緯42度00分44秒東経140度40分16秒","指定区域: 日本渡島総合振興局：亀田郡七飯町、茅部郡鹿部町、茅部郡森町北緯42度00分44秒東経140度40分16秒﻿ / ﻿北緯42.01222度 東経140.67111度﻿ / 42.01222; 140.67111座標: 北緯42度00分44秒東経140度40分16秒﻿ / ﻿北緯42.01222度 東経140.67111度﻿ / 42.01222; 140.67111;分類: 国定公園;面積: 9,083ヘクタール;前身: 道立大沼公園;指定日: 1958年7月1日;運営者: 北海道;年来園者数: 1,403,000人;事務所: 北海道渡島総合振興局保健環境部環境生活課;事務所所在地: 北海道函館市美原4丁目6-16;公式サイト: 大沼国定公園","国定公園","表形式","渡島半島南部に位置し、函館市の北約16kmの距離にある。活火山の北海道駒ヶ岳とその火山活動によってできた大沼、小沼、蓴菜（じゅんさい）沼の湖沼からなる。大沼には大小126の小島が浮かび、春から秋にかけてサイクリング、ランニング、ボート、遊覧船など、冬はスノーモービルやワカサギ釣りなどのアウトドアスポーツを楽しむことができる。"
"下北半島国定公園","下北半島国定公園1968年7月22日仏ヶ浦、恐山、大間崎、尻屋崎など下北半島の著名景勝地","https://ja.wikipedia.org/wiki/下北半島国定公園","","地域: 青森県;面積: 18,641ha;創立日: 1968年7月22日","国定公園","表形式","恐山"
"津軽国定公園","津軽国定公園1975年3月31日岩木山、十二湖、深浦海岸、十三湖など","https://ja.wikipedia.org/wiki/津軽国定公園","","","国定公園","表形式",""
"早池峰国定公園","早池峰国定公園1982年6月10日早池峰山","https://ja.wikipedia.org/wiki/早池峰国定公園","北緯39度33分31秒東経141度29分19秒","指定区域: 日本岩手県北緯39度33分31秒東経141度29分19秒﻿ / ﻿北緯39.55861度 東経141.48861度﻿ / 39.55861; 141.48861座標: 北緯39度33分31秒東経141度29分19秒﻿ / ﻿北緯39.55861度 東経141.48861度﻿ / 39.55861; 141.48861;分類: 国定公園;面積: 5,463 ha;指定日: 1982年6月10日;運営者: 岩手県;事務所: 岩手県庁環境生活部自然保護課自然公園担当;事務所所在地: 〒020-8570岩手県盛岡市内丸10-1","国定公園","表形式","早池峰山は山体が蛇紋岩質のため、他では見られない固有の植物種が育つ環境にあり、全国有数の高山植物の宝庫として登山家などに広く知られている。詳しくは早池峰山を始め、各項目を参照。"
"栗駒国定公園","栗駒国定公園1968年7月22日栗駒山地、夏油温泉、鬼首温泉郷、鳴子峡、小安峡など","https://ja.wikipedia.org/wiki/栗駒国定公園","","","国定公園","表形式",""
"蔵王国定公園","蔵王国定公園1963年8月8日蔵王山、山寺","https://ja.wikipedia.org/wiki/蔵王国定公園","北緯38度08分37秒東経140度26分24秒","地域: 宮城県,山形県;最寄り: 仙台市,川崎町,蔵王町,白石市,山形市,上山市;座標: 北緯38度08分37秒東経140度26分24秒﻿ / ﻿北緯38.14361度 東経140.44000度﻿ / 38.14361; 140.44000座標: 北緯38度08分37秒東経140度26分24秒﻿ / ﻿北緯38.14361度 東経140.44000度﻿ / 38.14361; 140.44000;面積: 39,635ha;創立日: 1963年8月8日;運営組織: 宮城県、山形県","国定公園","表形式","当園の総面積39,635haのうち、国有地は26,982ha（68.1%）、公有地は825ha（2.1%）、私有地は11,828ha（29.8%）。全体の97.3%が特別地域であり、うち御釜周辺から不忘山にかけてが特別保護地区に指定されている。"
"男鹿国定公園","男鹿国定公園1973年5月15日男鹿半島（入道崎、一ノ目潟など）","https://ja.wikipedia.org/wiki/男鹿国定公園","","","国定公園","表形式",""
"鳥海国定公園","鳥海国定公園1963年7月24日鳥海山、象潟、飛島など","https://ja.wikipedia.org/wiki/鳥海国定公園","","","国定公園","表形式",""
"越後三山只見国定公園","越後三山只見国定公園1973年5月15日越後三山（八海山など）、奥只見ダム周辺","https://ja.wikipedia.org/wiki/越後三山只見国定公園","","","国定公園","表形式","越後三山。越後駒ヶ岳（左）・中ノ岳（中央）・八海山（右）"
"水郷筑波国定公園","水郷筑波国定公園1959年3月3日※1筑波山、霞ヶ浦、十二橋周辺、鹿島神宮神域、犬吠埼など","https://ja.wikipedia.org/wiki/水郷筑波国定公園","北緯36度13分31.2秒東経140度6分24.1秒","指定区域: 日本関東平野東部;分類: 国定公園;面積: 34,956ha;指定日: 1959年3月3日;運営者: 千葉県;年来園者数: 1,755万人（2015年）;指定区域: 日本関東平野東部;分類: 国定公園;面積: 34,956ha;指定日: 1959年3月3日;運営者: 千葉県;年来園者数: 1,755万人（2015年）","国定公園","表形式","江戸時代から人々に親しまれた景勝地が多く、現在も年間の利用者が多い。また、鹿島、香取など近辺には著名な神社があり、筑波山も山岳信仰で名を高めた地であることから、文化的景観保護の意味合いも強い公園といえる。"
"妙義荒船佐久高原国定公園","妙義荒船佐久高原国定公園1969年4月10日妙義山、荒船山、佐久高原など","https://ja.wikipedia.org/wiki/妙義荒船佐久高原国定公園","","","国定公園","表形式",""
"南房総国定公園","南房総国定公園1958年8月1日房総内浦、房総外浦、鹿野山、清澄山など","https://ja.wikipedia.org/wiki/南房総国定公園","北緯35度7分45秒東経140度7分46秒","指定区域: 日本千葉県房総半島南部北緯35度7分45秒東経140度7分46秒﻿ / ﻿北緯35.12917度 東経140.12944度﻿ / 35.12917; 140.12944座標: 北緯35度7分45秒東経140度7分46秒﻿ / ﻿北緯35.12917度 東経140.12944度﻿ / 35.12917; 140.12944;分類: 国定公園;面積: 5,690ha;指定日: 1958年8月1日;運営者: 千葉県;年来園者数: 1,135万人（2015年）","国定公園","表形式","大半を海岸部が占めるが、飛び地的に内陸部にも指定地があるのが特徴。海岸部は内房の富津岬から外房の太東崎までの海岸線が指定されており、勝浦は海域公園（旧：海中公園）が指定されている。一帯には砂浜が多く、首都圏にも近いことから、海水浴場や別荘地、マリンリゾートとしての発達を見せている。また、気候が温暖なことから花卉栽培も盛んで、花畑が多い。"
"明治の森高尾国定公園","明治の森高尾国定公園1967年12月11日高尾山","https://ja.wikipedia.org/wiki/明治の森高尾国定公園","北緯35度37分31秒東経139度14分37秒","分類: 国定公園;所在地: 日本東京都八王子市町田市;座標: 北緯35度37分31秒東経139度14分37秒﻿ / ﻿北緯35.62528度 東経139.24361度﻿ / 35.62528; 139.24361座標: 北緯35度37分31秒東経139度14分37秒﻿ / ﻿北緯35.62528度 東経139.24361度﻿ / 35.62528; 139.24361;面積: 約7,700,000 m2;告示: 1967年（昭和42年）12月11日;公式サイト: 明治の森高尾国定公園","国定公園","表形式","面積は770haで、最も小さな国定公園である。全域が第2種特別地域に指定されている。年間利用者数は217万人。一部は高尾陣馬都立自然公園と重なる。高尾山は殺生を厳しく戒めてきた高尾山薬王院の寺域であるため、モミ、カシ、アカマツ、ブナの自然林が遺されている。明治の森高尾国定公園は、東海自然歩道および関東ふれあいの道の始点でもある。"
"丹沢大山国定公園","丹沢大山国定公園1965年3月25日丹沢湖、蛭ヶ岳、丹沢山、塔ノ岳、大山周辺","https://ja.wikipedia.org/wiki/丹沢大山国定公園","","","国定公園","表形式",""
"佐渡弥彦米山国定公園","佐渡弥彦米山国定公園1950年7月27日※2佐渡（外海府海岸、七浦海岸、小木海岸など）、弥彦山、米山、福浦八景など","https://ja.wikipedia.org/wiki/佐渡弥彦米山国定公園","","","国定公園","表形式",""
"能登半島国定公園","能登半島国定公園1968年5月1日能登金剛、曽々木海岸、禄剛崎、内浦海岸、能登島、雨晴海岸など","https://ja.wikipedia.org/wiki/能登半島国定公園","北緯37度31分44秒東経137度19分35秒","分類: 自然公園;所在地: 日本富山県・石川県;座標: 北緯37度31分44秒東経137度19分35秒﻿ / ﻿北緯37.52889度 東経137.32639度﻿ / 37.52889; 137.32639座標: 北緯37度31分44秒東経137度19分35秒﻿ / ﻿北緯37.52889度 東経137.32639度﻿ / 37.52889; 137.32639;面積: 96,720,000 m2;告示: 1968年5月1日;事務所: 富山県生活環境文化部自然保護課石川県環境部自然環境課;事務所所在地: 富山県富山市新総曲輪1-7石川県金沢市鞍月1-1;公式サイト: 能登半島・越前加賀海岸国定公園","国定公園","表形式","日本海側の“外浦”と富山湾側の“内浦”で対称的な景観が見られる。指定面積は9,672ha。1968年5月1日に指定された。"
