"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"立山","立山（3,015m）","https://ja.wikipedia.org/wiki/立山","北緯36度34分33秒東経137度37分11秒","標高: 3,015[1]m;所在地: 富山県中新川郡立山町芦峅寺;位置: 北緯36度34分33秒東経137度37分11秒[1];山系: 飛騨山脈、立山連峰","富山の百山","箇条書き"
"別山","別山（2,880m）","https://ja.wikipedia.org/wiki/別山","北緯36度35分51秒東経137度37分13秒","標高: 2,880[1]m;所在地: 日本富山県中新川郡立山町;位置: 北緯36度35分51秒東経137度37分13秒﻿ / ﻿北緯36.59750度 東経137.62028度﻿ / 36.59750; 137.62028座標: 北緯36度35分51秒東経137度37分13秒﻿ / ﻿北緯36.59750度 東経137.62028度﻿ / 36.59750; 137.62028;山系: 飛騨山脈（立山連峰）","富山の百山","箇条書き"
"浄土山","浄土山（2,831m）","https://ja.wikipedia.org/wiki/浄土山","北緯36度34分06秒東経137度36分13秒","標高: 2,831 m;所在地: 日本富山県中新川郡立山町;位置: 北緯36度34分06秒東経137度36分13秒座標: 北緯36度34分06秒 東経137度36分13秒;山系: 飛騨山脈（立山連峰）","富山の百山","箇条書き"
"龍王岳","龍王岳（2,872m）","https://ja.wikipedia.org/wiki/龍王岳","北緯36度33分54秒東経137度36分26.9秒","標高: 2872 m;所在地: 日本富山県中新川郡立山町;位置: 北緯36度33分54秒東経137度36分26.9秒﻿ / ﻿北緯36.56500度 東経137.607472度﻿ / 36.56500; 137.607472座標: 北緯36度33分54秒東経137度36分26.9秒﻿ / ﻿北緯36.56500度 東経137.607472度﻿ / 36.56500; 137.607472;山系: 立山連峰（飛騨山脈）","富山の百山","箇条書き"
"剱岳","剱岳（2,999m）","https://ja.wikipedia.org/wiki/剱岳","北緯36度37分24秒東経137度37分01秒","標高: 2,999[1][2]m;所在地: 富山県中新川郡上市町、立山町;位置: 北緯36度37分24秒東経137度37分01秒[2];山系: 飛騨山脈（立山連峰）;種類: 氷食尖峰","富山の百山","箇条書き"
"池平山","池平山（2,561m）","https://ja.wikipedia.org/wiki/池平山","北緯36度38分23秒東経137度37分38秒","標高: 2561 m;所在地: 日本富山県中新川郡立山町、上市町、黒部市;位置: 北緯36度38分23秒東経137度37分38秒座標: 北緯36度38分23秒 東経137度37分38秒;山系: 立山連峰","富山の百山","箇条書き"
"黒部別山","黒部別山（2,535m）","https://ja.wikipedia.org/wiki/黒部別山","北緯36度36分43秒東経137度39分40秒","標高: 2353 m;所在地: 日本富山県中新川郡立山町;位置: 北緯36度36分43秒東経137度39分40秒座標: 北緯36度36分43秒 東経137度39分40秒;山系: 立山連峰（飛騨山脈）","富山の百山","箇条書き"
"奥大日岳","奥大日岳（2,611m）","https://ja.wikipedia.org/wiki/奥大日岳","北緯36度35分54秒東経137度34分51秒","標高: 2,611 m;所在地: 富山県中新川郡立山町、上市町;位置: 北緯36度35分54秒東経137度34分51秒;山系: 飛騨山脈（大日連峰）","富山の百山","箇条書き"
"大日岳 (大日連峰)","大日岳（2,498m）","https://ja.wikipedia.org/wiki/大日岳_(大日連峰)","北緯36度35分58秒東経137度33分00秒","標高: 2,501 m;所在地: 日本富山県中新川郡立山町・上市町;位置: 北緯36度35分58秒東経137度33分00秒座標: 北緯36度35分58秒 東経137度33分00秒;山系: 飛騨山脈（大日連峰）","富山の百山","箇条書き"
"赤谷山","赤谷山（2,260m）","https://ja.wikipedia.org/wiki/赤谷山","北緯36度39分34.83秒東経137度36分37.87秒","標高: 2260 m;所在地: 日本富山県黒部市、中新川郡上市町;位置: 北緯36度39分34.83秒東経137度36分37.87秒座標: 北緯36度39分34.83秒 東経137度36分37.87秒;山系: 飛騨山脈","富山の百山","箇条書き"
"毛勝三山","猫又山2378","https://ja.wikipedia.org/wiki/毛勝三山","北緯36度42分04秒東経137度35分27秒","標高: 2,414.52[1]m;所在地: 日本富山県魚津市、黒部市;位置: 北緯36度42分04秒東経137度35分27秒;山系: 飛騨山脈（立山連峰）;標高: 2,415 m;所在地: 富山県魚津市、黒部市;位置: 北緯36度41分22秒東経137度35分09秒;山系: 飛騨山脈（立山連峰）;標高: 2,378.16[1]m;所在地: 富山県魚津市、黒部市、中新川郡上市町;位置: 北緯36度40分52秒東経137度35分25秒;山系: 飛騨山脈（立山連峰）;標高: 2,414.52[1]m;所在地: 日本富山県魚津市、黒部市;位置: 北緯36度42分04秒東経137度35分27秒;山系: 飛騨山脈（立山連峰）;標高: 2,415 m;所在地: 富山県魚津市、黒部市;位置: 北緯36度41分22秒東経137度35分09秒;山系: 飛騨山脈（立山連峰）;標高: 2,378.16[1]m;所在地: 富山県魚津市、黒部市、中新川郡上市町;位置: 北緯36度40分52秒東経137度35分25秒;山系: 飛騨山脈（立山連峰）;標高: 2,414.52[1]m;所在地: 日本富山県魚津市、黒部市;位置: 北緯36度42分04秒東経137度35分27秒;山系: 飛騨山脈（立山連峰）;標高: 2,415 m;所在地: 富山県魚津市、黒部市;位置: 北緯36度41分22秒東経137度35分09秒;山系: 飛騨山脈（立山連峰）;標高: 2,378.16[1]m;所在地: 富山県魚津市、黒部市、中新川郡上市町;位置: 北緯36度40分52秒東経137度35分25秒;山系: 飛騨山脈（立山連峰）","富山の百山","箇条書き"
