"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"大菩薩嶺","1大菩薩嶺だいぼさつれい2057大菩薩連嶺 2A（ロッジ長兵衛・大菩薩峠）1","https://ja.wikipedia.org/wiki/大菩薩嶺","北緯35度44分55秒東経138度50分43秒","標高: 2,056.9m;所在地: 山梨県甲州市、北都留郡丹波山村;位置: 北緯35度44分55秒東経138度50分43秒;山系: 奥秩父山塊（大菩薩連嶺）","山梨百名山","表形式"
"小金沢山","2小金沢山こがねざわやま2014大菩薩連嶺 2A（ロッジ長兵衛・石丸峠）2","https://ja.wikipedia.org/wiki/小金沢山","北緯35度43分01秒東経138度51分24秒","標高: 2,014.3 m;所在地: 山梨県大月市・甲州市;位置: 北緯35度43分01秒東経138度51分24秒座標: 北緯35度43分01秒 東経138度51分24秒;山系: 大菩薩連嶺","山梨百名山","表形式"
"雁ヶ腹摺山","3雁ヶ腹摺山がんがはらすりやま1874大菩薩連嶺 1A（大峠）3","https://ja.wikipedia.org/wiki/雁ヶ腹摺山","北緯35度41分12秒東経138度53分05秒","標高: 1,874 m;所在地: 日本山梨県大月市;位置: 北緯35度41分12秒東経138度53分05秒座標: 北緯35度41分12秒 東経138度53分05秒","山梨百名山","表形式"
"大蔵高丸","4大蔵高丸おおくらたかまる1781大菩薩連嶺 1A（湯の沢峠）4","https://ja.wikipedia.org/wiki/大蔵高丸","北緯35度40分22秒東経138度50分49秒","標高: 1781 m;所在地: 山梨県大月市・甲州市;位置: 北緯35度40分22秒東経138度50分49秒","山梨百名山","表形式"
"滝子山","5滝子山たきごやま1590大菩薩連嶺 2B（滝子沢駐車場・檜平）5","https://ja.wikipedia.org/wiki/滝子山","北緯35度37分49秒東経138度51分3秒","標高: 1,620 m;所在地: 山梨県大月市;位置: 北緯35度37分49秒東経138度51分3秒;山系: 大菩薩連嶺、奥秩父山塊","山梨百名山","表形式"
"笹子雁ヶ腹摺山","6笹子雁ヶ腹摺山ささごがんがはらすりやま1358大菩薩連嶺 1A（旧笹子トンネル登山口）6","https://ja.wikipedia.org/wiki/笹子雁ヶ腹摺山","北緯35度37分2秒東経138度47分37秒","標高: 1357.7 m;所在地: 山梨県大月市・甲州市;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度37分2秒東経138度47分37秒﻿ / ﻿北緯35.61722度 東経138.79361度﻿ / 35.61722; 138.79361座標: 北緯35度37分2秒東経138度47分37秒﻿ / ﻿北緯35.61722度 東経138.79361度﻿ / 35.61722; 138.79361;山系: 大菩薩連嶺、奥秩父山塊","山梨百名山","表形式"
"源次郎岳","7源次郎岳げんじろうだけ1477大菩薩連嶺 2A（嵯峨塩温泉バス停）7","https://ja.wikipedia.org/wiki/源次郎岳","北緯35度41分48.3秒東経138度47分56.9秒","標高: 1,476.6 m;所在地: 日本山梨県甲州市;位置: 北緯35度41分48.3秒東経138度47分56.9秒座標: 北緯35度41分48.3秒 東経138度47分56.9秒","山梨百名山","表形式"
"棚横手山 (存在しないページ)","8棚横手山たなよこてやま1306大菩薩連嶺 2A（大滝不動尊）8","https://ja.wikipedia.org/w/index.php?title=棚横手山&amp;action=edit&amp;redlink=1","","","山梨百名山","表形式"
"本社ヶ丸 (存在しないページ)","9本社ヶ丸ほんじゃがまる1631御坂山地 3B（JR笹子駅・船橋沢）9","https://ja.wikipedia.org/w/index.php?title=本社ヶ丸&amp;action=edit&amp;redlink=1","","","山梨百名山","表形式"
"高川山","10高川山たかがわやま976御坂山地 2A（JR初狩駅）10","https://ja.wikipedia.org/wiki/高川山","北緯35度35分09秒東経138度54分06秒","標高: 975.7 m;所在地: 山梨県都留市・大月市;位置: 北緯35度35分09秒東経138度54分06秒;山系: 御坂山地","山梨百名山","表形式"
"三頭山 (東京都)","11三頭山 みとうさん1531奥多摩 2A（鶴峠バス停）11","https://ja.wikipedia.org/wiki/三頭山_(東京都)","北緯35度44分19秒東経139度00分51秒","標高: 1,531 m;所在地: 日本東京都西多摩郡奥多摩町、檜原村山梨県上野原市、北都留郡小菅村;位置: 北緯35度44分19秒東経139度00分51秒座標: 北緯35度44分19秒 東経139度00分51秒;山系: 奥多摩","山梨百名山","表形式"
"権現山 (山梨県) (存在しないページ)","12権現山ごんげんやま1312奥多摩 2A（浅川バス停）12","https://ja.wikipedia.org/w/index.php?title=権現山_(山梨県)&amp;action=edit&amp;redlink=1","","","山梨百名山","表形式"
"扇山 (大月市)","13扇山おうぎやま1136奥多摩 2A（JR鳥沢駅・梨の木平・大久保のコル）13","https://ja.wikipedia.org/wiki/扇山_(大月市)","北緯35度38分14秒東経139度0分48秒","標高: 1138 m;所在地: 山梨県大月市・上野原市;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度38分14秒東経139度0分48秒﻿ / ﻿北緯35.63722度 東経139.01333度﻿ / 35.63722; 139.01333座標: 北緯35度38分14秒東経139度0分48秒﻿ / ﻿北緯35.63722度 東経139.01333度﻿ / 35.63722; 139.01333","山梨百名山","表形式"
"百蔵山","14百蔵山ももくらやま1003奥多摩 2A（JR猿橋駅）14","https://ja.wikipedia.org/wiki/百蔵山","北緯35度38分17秒東経138度58分52秒","標高: 1003.4 m;所在地: 山梨県大月市;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度38分17秒東経138度58分52秒﻿ / ﻿北緯35.63806度 東経138.98111度﻿ / 35.63806; 138.98111座標: 北緯35度38分17秒東経138度58分52秒﻿ / ﻿北緯35.63806度 東経138.98111度﻿ / 35.63806; 138.98111","山梨百名山","表形式"
"岩殿山城","15岩殿山いわどのさん634奥多摩 1A（JR大月駅）15","https://ja.wikipedia.org/wiki/岩殿山城#岩殿山","北緯35度37分17.71秒東経138度56分59.51秒","別名: 岩殿城;城郭構造: 連郭式山城;天守構造: なし;築城主: 小山田氏;築城年: 1530年代;主な改修者:;主な城主: 小山田氏もしくは武田氏;廃城年: 17世紀初頭;遺構: 郭、堀切、虎口、井戸、土橋;指定文化財: 山梨県史跡;位置: 北緯35度37分17.71秒東経138度56分59.51秒座標: 北緯35度37分17.71秒 東経138度56分59.51秒;地図: 岩殿山城;標高: 634 m;所在地: 山梨県大月市;山系: 奥多摩;別名: 岩殿城;城郭構造: 連郭式山城;天守構造: なし;築城主: 小山田氏;築城年: 1530年代;主な改修者:;主な城主: 小山田氏もしくは武田氏;廃城年: 17世紀初頭;遺構: 郭、堀切、虎口、井戸、土橋;指定文化財: 山梨県史跡;位置: 北緯35度37分17.71秒東経138度56分59.51秒座標: 北緯35度37分17.71秒 東経138度56分59.51秒;地図: 岩殿山城;標高: 634 m;所在地: 山梨県大月市;山系: 奥多摩","山梨百名山","表形式"
"高柄山 (存在しないページ)","16高柄山たかつかやま733道志山塊 3B（JR四方津駅）16","https://ja.wikipedia.org/w/index.php?title=高柄山&amp;action=edit&amp;redlink=1","","","山梨百名山","表形式"
"倉岳山","17倉岳山くらたけやま990道志山塊 2A（浜沢バス停）17","https://ja.wikipedia.org/wiki/倉岳山","北緯35度35分02秒東経139度01分11秒","標高: 990.1 m;所在地: 山梨県大月市・上野原市;位置: 北緯35度35分02秒東経139度01分11秒","山梨百名山","表形式"
"九鬼山","18九鬼山くきやま970道志山塊 2A（富士急行田野倉駅）18","https://ja.wikipedia.org/wiki/九鬼山","北緯35度34分35秒東経138度57分03秒","標高: 970 m;所在地: 山梨県都留市・大月市;位置: 北緯35度34分35秒東経138度57分03秒;山系: 道志山塊(秋山山稜)","山梨百名山","表形式"
"二十六夜山 (山梨県上野原市) (存在しないページ)","19二十六夜山にじゅうろくやさん972道志山塊 2A（下尾崎駐車場）19","https://ja.wikipedia.org/w/index.php?title=二十六夜山_(山梨県上野原市)&amp;action=edit&amp;redlink=1","","","山梨百名山","表形式"
"菜畑山 (存在しないページ)","20菜畑山なばたけうら1283道志山塊 2A（和出村バス停）20","https://ja.wikipedia.org/w/index.php?title=菜畑山&amp;action=edit&amp;redlink=1","","","山梨百名山","表形式"
"今倉山 (存在しないページ)","21今倉山いまくらやま1470道志山塊 2A（道坂トンネル）21","https://ja.wikipedia.org/w/index.php?title=今倉山&amp;action=edit&amp;redlink=1","","","山梨百名山","表形式"
