"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"富士山","富士山（山梨・静岡）","https://ja.wikipedia.org/wiki/富士山","北緯35度21分45秒東経138度43分50秒","標高: 3,776.12[注釈 1][1][2]m;所在地: 日本静岡県富士宮市裾野市富士市御殿場市駿東郡小山町山梨県富士吉田市南都留郡鳴沢村;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ / 35.3625; 138.7306[2]座標: 北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ / 35.3625; 138.7306[2];山系: 独立峰;種類: 成層火山・活火山ランクB[3]・常時観測火山;初登頂: 663年（役小角）;富士山―信仰の対象と芸術の源泉（日本）:;英名: Fujisan, sacred place and source of artistic inspiration;仏名: Fujisan, lieu sacre et source d'inspiration artistique;面積: 20,702 ha（緩衝地域 49,628 ha）;登録区分: 文化遺産;登録基準: (3), (6);登録年: 2013年;公式サイト: 世界遺産センター（英語）;最高気温記録 °C（°F）: −1.7(28.9);平均最高気温 °C（°F）: −15.4(4.3);日平均気温 °C（°F）: −18.4(−1.1);平均最低気温 °C（°F）: −21.7(−7.1);最低気温記録 °C（°F）: −37.3(−35.1);平均気温の推移[注釈 9]: 平均気温の推移[注釈 9]@media all and (max-width:720px){body.skin-minerva .mw-parser-output div.mw-graph{min-width:auto!important;max-width:100%;overflow-x:auto;overflow-y:visible}}.mw-parser-output .mw-graph-img{width:inherit;height:inherit}最高気温・最低気温・湿度の推移平均最高気温[注釈 10]最高気温（最高値）[注釈 11]最高気温（最低値）[注釈 12]平均最低気温[注釈 13]最低気温（最低値）[注釈 14]最低気温（最高値）[注釈 15]各階級の日数[注釈 16]平均湿度の推移[注釈 17];南東麓: 柿田川（日本三大清流）、小浜池;南麓: 吉原湧泉群;西麓: 湧玉池（特別天然記念物）、白糸の滝（国指定の名勝及び天然記念物）、猪之頭湧泉群;北麓: 忍野八海（国指定の天然記念物）;標高: 3,776.12[注釈 1][1][2]m;所在地: 日本静岡県富士宮市裾野市富士市御殿場市駿東郡小山町山梨県富士吉田市南都留郡鳴沢村;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ / 35.3625; 138.7306[2]座標: 北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ / 35.3625; 138.7306[2];山系: 独立峰;種類: 成層火山・活火山ランクB[3]・常時観測火山;初登頂: 663年（役小角）;富士山―信仰の対象と芸術の源泉（日本）:;英名: Fujisan, sacred place and source of artistic inspiration;仏名: Fujisan, lieu sacre et source d'inspiration artistique;面積: 20,702 ha（緩衝地域 49,628 ha）;登録区分: 文化遺産;登録基準: (3), (6);登録年: 2013年;公式サイト: 世界遺産センター（英語）;最高気温記録 °C（°F）: −1.7(28.9);平均最高気温 °C（°F）: −15.4(4.3);日平均気温 °C（°F）: −18.4(−1.1);平均最低気温 °C（°F）: −21.7(−7.1);最低気温記録 °C（°F）: −37.3(−35.1);平均気温の推移[注釈 9]: 平均気温の推移[注釈 9]@media all and (max-width:720px){body.skin-minerva .mw-parser-output div.mw-graph{min-width:auto!important;max-width:100%;overflow-x:auto;overflow-y:visible}}.mw-parser-output .mw-graph-img{width:inherit;height:inherit}最高気温・最低気温・湿度の推移平均最高気温[注釈 10]最高気温（最高値）[注釈 11]最高気温（最低値）[注釈 12]平均最低気温[注釈 13]最低気温（最低値）[注釈 14]最低気温（最高値）[注釈 15]各階級の日数[注釈 16]平均湿度の推移[注釈 17];南東麓: 柿田川（日本三大清流）、小浜池;南麓: 吉原湧泉群;西麓: 湧玉池（特別天然記念物）、白糸の滝（国指定の名勝及び天然記念物）、猪之頭湧泉群;北麓: 忍野八海（国指定の天然記念物）","平成百景","箇条書き"
"昇仙峡","昇仙峡（山梨）","https://ja.wikipedia.org/wiki/昇仙峡","","","平成百景","箇条書き"
"知床 (世界遺産)","知床（北海道）","https://ja.wikipedia.org/wiki/知床_(世界遺産)","","知床（日本）:;英名: Shiretoko;仏名: Shiretoko;面積: 71,100 ha[1];登録区分: 自然遺産;IUCN分類: Ia, IV, V;登録基準: (9),(10);登録年: 2005年7月17日;公式サイト: 世界遺産センター（英語）","平成百景","箇条書き"
"十和田湖","十和田湖・奥入瀬川（青森・秋田）","https://ja.wikipedia.org/wiki/十和田湖","北緯40度27分53秒東経140度52分38秒","所在地: 日本青森県十和田市秋田県鹿角郡小坂町;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ / 40.46472; 140.87722座標: 北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ / 40.46472; 140.87722;面積: 61.11[1]km2;周囲長: 46.0 km;最大水深: 326.8 m;平均水深: 71.0 m;貯水量: 4.19 km3;水面の標高: 400 m;成因: カルデラ湖;淡水・汽水: 淡水;湖沼型: 貧栄養湖;透明度: 9.0 m","平成百景","箇条書き"
"合掌造り","合掌造り（岐阜・富山）","https://ja.wikipedia.org/wiki/合掌造り","","","平成百景","箇条書き"
"京都市","京都の寺社（京都）","https://ja.wikipedia.org/wiki/京都市","北緯35度0分41.8秒東経135度46分5.2秒","国: 日本;地方: 近畿地方;都道府県: 京都府;市町村コード: 26100-9;法人番号: 2000020261009;面積: 827.83km2;総人口: 1,453,484人 [編集]（推計人口、2021年5月1日）;人口密度: 1,756人/km2;隣接自治体: 宇治市、長岡京市、南丹市、亀岡市、向日市、八幡市、乙訓郡大山崎町、久世郡久御山町滋賀県大津市、高島市大阪府高槻市、三島郡島本町;市の木: シダレヤナギ、タカオカエデ、カツラ;市の花: ツバキ、ツツジ、サトザクラ;自治記念日: 10月15日;市長: [編集]門川大作;所在地: 〒604-8571京都府京都市中京区寺町通御池上る上本能寺前町488番地北緯35度0分41.8秒東経135度46分5.2秒座標: 北緯35度0分41.8秒 東経135度46分5.2秒;外部リンク: 京都市情報館;特記事項: 市章:1960年（昭和35年）1月1日制定略章:1891年（明治24年）10月2日制定;インペリアル換算: インペリアル換算123456789101112  2 4834  2.7 4935  4.5 5639  4.6 6848  6.3 7657  8.4 8266  8.7 8974  5.2 9276  6.9 8469  4.8 7356  2.8 6346  1.9 5338気温（°F）総降水量（in）;最高気温記録 °C（°F）: 19.9(67.8);平均最高気温 °C（°F）: 9.1(48.4);日平均気温 °C（°F）: 4.8(40.6);平均最低気温 °C（°F）: 1.5(34.7);最低気温記録 °C（°F）: −11.9(10.6);降水量mm （inch）: 53.3(2.098);降雪量cm （inch）: 5(2);平均降水日数 （≥1.0mm）: 6.4;平均降雪日数 （≥0cm）: 16.3;% 湿度: 67;平均月間日照時間: 123.5;降水量mm （inch）: 92.3(3.634);平均降水日数 （≥1.0 mm）: 15.0;上京区: 26102-5;下京区: 26106-8;左京区: 26103-3;中京区: 26104-1;東山区: 26105-0;右京区: 26108-4;伏見区: 26109-2;北区: 26101-7;南区: 26107-6;山科区: 26110-6;西京区: 26111-4;京都サンガF.C.: サッカー;日本新薬硬式野球部: 野球;三菱自動車京都レッドエボリューションズ: ラグビー;SGホールディングスグループギャラクシースターズ: ソフトボール;AS.Laranja Kyoto: サッカー;島津製作所Breakers: ラグビー;おこしやす京都AC: サッカー;バニーズ京都SC: サッカー;三菱自動車京都ダイヤフェニックス: 野球;京都ハンナリーズ: バスケットボール;京都フローラ: 野球;国: 日本;地方: 近畿地方;都道府県: 京都府;市町村コード: 26100-9;法人番号: 2000020261009;面積: 827.83km2;総人口: 1,453,484人 [編集]（推計人口、2021年5月1日）;人口密度: 1,756人/km2;隣接自治体: 宇治市、長岡京市、南丹市、亀岡市、向日市、八幡市、乙訓郡大山崎町、久世郡久御山町滋賀県大津市、高島市大阪府高槻市、三島郡島本町;市の木: シダレヤナギ、タカオカエデ、カツラ;市の花: ツバキ、ツツジ、サトザクラ;自治記念日: 10月15日;市長: [編集]門川大作;所在地: 〒604-8571京都府京都市中京区寺町通御池上る上本能寺前町488番地北緯35度0分41.8秒東経135度46分5.2秒座標: 北緯35度0分41.8秒 東経135度46分5.2秒;外部リンク: 京都市情報館;特記事項: 市章:1960年（昭和35年）1月1日制定略章:1891年（明治24年）10月2日制定;インペリアル換算: インペリアル換算123456789101112  2 4834  2.7 4935  4.5 5639  4.6 6848  6.3 7657  8.4 8266  8.7 8974  5.2 9276  6.9 8469  4.8 7356  2.8 6346  1.9 5338気温（°F）総降水量（in）;最高気温記録 °C（°F）: 19.9(67.8);平均最高気温 °C（°F）: 9.1(48.4);日平均気温 °C（°F）: 4.8(40.6);平均最低気温 °C（°F）: 1.5(34.7);最低気温記録 °C（°F）: −11.9(10.6);降水量mm （inch）: 53.3(2.098);降雪量cm （inch）: 5(2);平均降水日数 （≥1.0mm）: 6.4;平均降雪日数 （≥0cm）: 16.3;% 湿度: 67;平均月間日照時間: 123.5;降水量mm （inch）: 92.3(3.634);平均降水日数 （≥1.0 mm）: 15.0;上京区: 26102-5;下京区: 26106-8;左京区: 26103-3;中京区: 26104-1;東山区: 26105-0;右京区: 26108-4;伏見区: 26109-2;北区: 26101-7;南区: 26107-6;山科区: 26110-6;西京区: 26111-4;京都サンガF.C.: サッカー;日本新薬硬式野球部: 野球;三菱自動車京都レッドエボリューションズ: ラグビー;SGホールディングスグループギャラクシースターズ: ソフトボール;AS.Laranja Kyoto: サッカー;島津製作所Breakers: ラグビー;おこしやす京都AC: サッカー;バニーズ京都SC: サッカー;三菱自動車京都ダイヤフェニックス: 野球;京都ハンナリーズ: バスケットボール;京都フローラ: 野球","平成百景","箇条書き"
"姫路城","姫路城（兵庫）","https://ja.wikipedia.org/wiki/姫路城","北緯34度50分21.76秒東経134度41分38.75秒","別名: 白鷺城;城郭構造: 渦郭式平山城[1];天守構造: 連立式望楼型5重6階地下1階[2][3][4][5];築城主: 赤松貞範[6];築城年: 1346年（南朝：正平元年、北朝：貞和2年）;主な改修者: 黒田重隆・羽柴秀吉・池田輝政;主な城主: 小寺氏・黒田氏・池田氏・本多氏・松平氏・榊原氏・酒井氏;廃城年: 1871年（明治4年）;遺構: 現存天守・櫓・門・塀石垣・堀・土塁・庭園;指定文化財: 国宝（大小天守と渡櫓等8棟）重要文化財（櫓・渡櫓27棟、門15棟、塀32棟）[7]特別史跡ユネスコ世界遺産;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯34度50分21.76秒東経134度41分38.75秒﻿ / ﻿北緯34.8393778度 東経134.6940972度﻿ / 34.8393778; 134.6940972座標: 北緯34度50分21.76秒東経134度41分38.75秒﻿ / ﻿北緯34.8393778度 東経134.6940972度﻿ / 34.8393778; 134.6940972;地図: 姫路城;姫路城（日本）:;英名: Himeji-jo;仏名: Himeji-jo;面積: 107 ha（緩衝地域 143 ha）;登録区分: 文化遺産;文化区分: 建造物群;登録基準: (1), (4);登録年: 1993年;公式サイト: 世界遺産センター（英語）;別名: 白鷺城;城郭構造: 渦郭式平山城[1];天守構造: 連立式望楼型5重6階地下1階[2][3][4][5];築城主: 赤松貞範[6];築城年: 1346年（南朝：正平元年、北朝：貞和2年）;主な改修者: 黒田重隆・羽柴秀吉・池田輝政;主な城主: 小寺氏・黒田氏・池田氏・本多氏・松平氏・榊原氏・酒井氏;廃城年: 1871年（明治4年）;遺構: 現存天守・櫓・門・塀石垣・堀・土塁・庭園;指定文化財: 国宝（大小天守と渡櫓等8棟）重要文化財（櫓・渡櫓27棟、門15棟、塀32棟）[7]特別史跡ユネスコ世界遺産;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯34度50分21.76秒東経134度41分38.75秒﻿ / ﻿北緯34.8393778度 東経134.6940972度﻿ / 34.8393778; 134.6940972座標: 北緯34度50分21.76秒東経134度41分38.75秒﻿ / ﻿北緯34.8393778度 東経134.6940972度﻿ / 34.8393778; 134.6940972;地図: 姫路城;姫路城（日本）:;英名: Himeji-jo;仏名: Himeji-jo;面積: 107 ha（緩衝地域 143 ha）;登録区分: 文化遺産;文化区分: 建造物群;登録基準: (1), (4);登録年: 1993年;公式サイト: 世界遺産センター（英語）","平成百景","箇条書き"
"上高地","上高地（長野）","https://ja.wikipedia.org/wiki/上高地","","","平成百景","箇条書き"
"函館市","函館の夜景（北海道）","https://ja.wikipedia.org/wiki/函館市","北緯41度46分7.2秒東経140度43分44.1秒","国: 日本;地方: 北海道地方;都道府県: 北海道（渡島総合振興局）;市町村コード: 01202-5;法人番号: 9000020012025;面積: 677.86km2;総人口: 250,245人 [編集]（住民基本台帳人口、2021年4月30日）;人口密度: 369人/km2;隣接自治体: 北斗市亀田郡七飯町、茅部郡鹿部町（海上を隔てて隣接）青森県下北郡大間町;市の木: おんこ（いちい）;市の花: つつじ（やまつつじ）;他のシンボル: 市の鳥：ヤマガラ市の魚：イカ;市長: [編集]工藤壽樹;所在地: 〒040-8666北海道函館市東雲町4-13北緯41度46分7.2秒東経140度43分44.1秒座標: 北緯41度46分7.2秒 東経140度43分44.1秒;外部リンク: 函館市公式サイト;インペリアル換算: インペリアル換算123456789101112  3 3421  2.5 3522  2.5 4228  2.8 5437  3.5 6346  3.1 6955  4.9 7563  6.2 7966  5.9 7458  4.2 6346  4.4 5035  3.7 3826気温（°F）総降水量（in）;最高気温記録 °C（°F）: 12.5(54.5);平均最高気温 °C（°F）: 0.9(33.6);日平均気温 °C（°F）: −2.4(27.7);平均最低気温 °C（°F）: −6.0(21.2);最低気温記録 °C（°F）: −21.7(−7.1);降水量mm （inch）: 77.4(3.047);降雪量cm （inch）: 91(35.8);平均降水日数 （≥0.5 mm）: 19.9;平均降雪日数: 27.9;% 湿度: 73;平均月間日照時間: 103.1;平均最高気温 °C（°F）: 0.1(32.2);日平均気温 °C（°F）: −3.4(25.9);平均最低気温 °C（°F）: −7.4(18.7);国: 日本;地方: 北海道地方;都道府県: 北海道（渡島総合振興局）;市町村コード: 01202-5;法人番号: 9000020012025;面積: 677.86km2;総人口: 250,245人 [編集]（住民基本台帳人口、2021年4月30日）;人口密度: 369人/km2;隣接自治体: 北斗市亀田郡七飯町、茅部郡鹿部町（海上を隔てて隣接）青森県下北郡大間町;市の木: おんこ（いちい）;市の花: つつじ（やまつつじ）;他のシンボル: 市の鳥：ヤマガラ市の魚：イカ;市長: [編集]工藤壽樹;所在地: 〒040-8666北海道函館市東雲町4-13北緯41度46分7.2秒東経140度43分44.1秒座標: 北緯41度46分7.2秒 東経140度43分44.1秒;外部リンク: 函館市公式サイト;インペリアル換算: インペリアル換算123456789101112  3 3421  2.5 3522  2.5 4228  2.8 5437  3.5 6346  3.1 6955  4.9 7563  6.2 7966  5.9 7458  4.2 6346  4.4 5035  3.7 3826気温（°F）総降水量（in）;最高気温記録 °C（°F）: 12.5(54.5);平均最高気温 °C（°F）: 0.9(33.6);日平均気温 °C（°F）: −2.4(27.7);平均最低気温 °C（°F）: −6.0(21.2);最低気温記録 °C（°F）: −21.7(−7.1);降水量mm （inch）: 77.4(3.047);降雪量cm （inch）: 91(35.8);平均降水日数 （≥0.5 mm）: 19.9;平均降雪日数: 27.9;% 湿度: 73;平均月間日照時間: 103.1;平均最高気温 °C（°F）: 0.1(32.2);日平均気温 °C（°F）: −3.4(25.9);平均最低気温 °C（°F）: −7.4(18.7)","平成百景","箇条書き"
"尾瀬","尾瀬（群馬・福島・新潟）","https://ja.wikipedia.org/wiki/尾瀬","","","平成百景","箇条書き"
