"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"山手トンネル","1やまて/山手トンネル13東京都しゆとこう-首都高速中央環状線大井JCT～高松入口18,597有通行不可1992年2007年全線開通は2015年3月7日。","https://ja.wikipedia.org/wiki/山手トンネル","北緯35度39分51.9秒東経139度41分15.5秒","位置: 日本・ 東京都;座標: 北緯35度39分51.9秒東経139度41分15.5秒﻿ / ﻿北緯35.664417度 東経139.687639度﻿ / 35.664417; 139.687639座標: 北緯35度39分51.9秒東経139度41分15.5秒﻿ / ﻿北緯35.664417度 東経139.687639度﻿ / 35.664417; 139.687639;現況: 供用中;所属路線名: 首都高速中央環状線;起点: 東京都品川区八潮;終点: 東京都豊島区;開通: 2015年（平成27年）3月7日（全線開通）;管理: 首都高速道路;通行対象: 自動車（危険物積載車両は通行禁止）;通行料金: 有料;全長: 外回り：18,597 m 内回り：18,098 m;道路車線数: 両側4車線;設計速度: 60km/h","延長別日本の道路トンネルの一覧","表形式","北（高松入口）側から順次開通・延伸され、2015年（平成27年）3月7日の全線開通によって、全長18.2 キロメートル(km) となった。道路トンネルとしては日本一の長さであり、世界でもノルウェーにあるラルダールトンネルに次ぎ2番目に長い。"
"東京外環トンネル","とうきようかいかん/東京外環トンネル[1]13東京都とうきようかいかくかんしよう-東京外かく環状道路東名JCT～大泉JCT約16,000未定未定2012年日本初の大深度地下使用の道路トンネル。開通時点では山手トンネルに次ぐ2位となる予定。","https://ja.wikipedia.org/wiki/東京外環トンネル","北緯35度41分02秒東経139度35分10秒","位置: 日本・ 東京都;座標: 北緯35度41分02秒東経139度35分10秒﻿ / ﻿北緯35.6840244度 東経139.5859870度﻿ / 35.6840244; 139.5859870座標: 北緯35度41分02秒東経139度35分10秒﻿ / ﻿北緯35.6840244度 東経139.5859870度﻿ / 35.6840244; 139.5859870;現況: 事業中;所属路線名: C3東京外環自動車道（東京外かく環状道路）;起点: 東京都世田谷区大蔵;終点: 東京都練馬区大泉町;開通: 未定;管理: 中日本高速道路（東名JCT- 中央JCT）東日本高速道路（中央JCT - 大泉JCT）;通行対象: 自動車;通行料金: 有料;全長: 16,200 m;道路車線数: 6車線;設計速度: 80 km/h;最高部: -40 m;最低部: -60 m;幅: 40 - 93 m","延長別日本の道路トンネルの一覧","表形式","東京外環自動車道のうちの東名JCT- 大泉JCTに位置する。当トンネルは、環八通りの渋滞を緩和させるために計画されたものである。当初は高架構造で計画されていたが、土地買収の困難さと周辺環境を守るために大深度地下で建設されることとなった。"
"関越トンネル","2かんえつ/関越トンネル10群馬県新潟県かんえつ-関越自動車道水上IC～湯沢IC11,055有通行不可[2]1985年山岳道路トンネルでは日本最長。","https://ja.wikipedia.org/wiki/関越トンネル","北緯36度49分39秒東経138度54分13秒","位置:  群馬県・ 新潟県;座標: 北緯36度49分39秒東経138度54分13秒﻿ / ﻿北緯36.82750度 東経138.90361度﻿ / 36.82750; 138.90361座標: 北緯36度49分39秒東経138度54分13秒﻿ / ﻿北緯36.82750度 東経138.90361度﻿ / 36.82750; 138.90361;現況: 供用中;所属路線名: E17関越自動車道;起点: 群馬県利根郡みなかみ町;終点: 新潟県南魚沼郡湯沢町;開通: 1985年（昭和60年）10月2日（下り）1991年（平成3年）10月22日（上り）;所有: 日本高速道路保有・債務返済機構;管理: 東日本高速道路;通行対象: 自動車（危険物積載車両は通行禁止）;日平均通行量: 16,361 台（2002年度。上り下り合計）;全長: 10,926 m（下り）11,055 m（上り）;道路車線数: 片側2車線;設計速度: 80 km/h（最高速度:80 km/h）;幅: 7 m","延長別日本の道路トンネルの一覧","表形式","群馬県利根郡みなかみ町の谷川岳PAと、新潟県南魚沼郡湯沢町の土樽PAの間にあるトンネルである。道路名と共に、その名の通り、関東地方と越後地方の境界となる越後山脈を貫通している。全長は下り線が10,926 m、上り線は11,055 mで、道路トンネルとしては日本最長だったが、2015年（平成27年）3月7日に首都高速中央環状線の山手トンネル（全長18,200 m）が全通したのに伴い、その座を明け渡した。"
"飛騨トンネル","3ひだ/飛騨トンネル13岐阜県とうかいほくりく-東海北陸自動車道飛騨清見IC～白川郷IC10,712有通行不可2007年2008年片側1車線のトンネルでは日本最長。","https://ja.wikipedia.org/wiki/飛騨トンネル","北緯36度14分01秒東経136度57分16秒","位置: 日本・ 岐阜県;現況: 供用中;所属路線名: E41東海北陸自動車道;起点: 岐阜県飛驒市;終点: 岐阜県大野郡白川村;完成: 2007年（平成19年）1月13日（本坑貫通）;開通: 2008年（平成20年）7月5日;通行対象: 自動車（危険物積載車両は通行禁止）;全長: 10,712 m;道路車線数: 2車線（片側1車線）","延長別日本の道路トンネルの一覧","表形式","全長は10,712 mで道路トンネルとしては山手トンネル（首都高速中央環状線）・関越トンネル（関越自動車道）に次いで日本国内3位、世界でも12位の長さである。"
"アクアトンネル","4あくあとんねる/アクアトンネル14神奈川県千葉県とうきようわんあくあらいん-東京湾アクアライン川崎浮島JCT～木更津金田IC9,607有通行不可1987年1987年1997年水底道路トンネルとしては世界最長","https://ja.wikipedia.org/wiki/アクアトンネル","","路線延長: 15.1 km（東京湾アクアライン）8.6 km（アクア連絡道）;開通年: 1997年12月18日;起点: 神奈川県川崎市川崎区;終点: 千葉県木更津市;接続する主な道路（記法）: 首都高速湾岸線国道409号国道410号E14館山自動車道C4首都圏中央連絡自動車道;1: アクアライン;-: 東京湾アクアトンネル;-: 海ほたるPA;2: 木更津TB木更津金田IC;3: 袖ケ浦IC;-: （木更津西JCT）;16: 木更津JCT;位置: 神奈川県川崎市および千葉県木更津市;現況: 運用中;起点: 神奈川県川崎市;終点: 千葉県木更津市;開通: 1997年12月18日;管理: 東日本高速道路;通行対象: 自動車;日平均通行量: 11,462 台（2005年度）;全長: 9,547 m（下り）9,541 m（上り）;道路車線数: 2車線（1方向×2本）;最低部: -60m;幅: 7m（車道幅員）;全日: 34,200台／日;土日祝: 42,500台／日;平日: 30,100台／日;種類: 株式会社;市場情報: 非上場;本社所在地:  日本〒140-0014東京都品川区大井1丁目20番6号住友大井町ビル北館 5階;設立: 1986年（昭和61年）10月1日;法人番号: 2010801014658;事業内容: 東京湾アクアラインの維持、修繕等の管理事業;代表者: 代表取締役社長 小松秀樹;資本金: 900億円;売上高: 20億5407万3千円（2008年3月期）;総資産: 4948億4229万4千円（2008年3月31日現在）;従業員数: 64名（2008年3月31日現在）;決算期: 3月31日;主要株主: 東日本高速道路（株）33.33%千葉県15.56%神奈川県5.00%東京都5.00%;外部リンク: https://www.umihotaru.com/;路線延長: 15.1 km（東京湾アクアライン）8.6 km（アクア連絡道）;開通年: 1997年12月18日;起点: 神奈川県川崎市川崎区;終点: 千葉県木更津市;接続する主な道路（記法）: 首都高速湾岸線国道409号国道410号E14館山自動車道C4首都圏中央連絡自動車道;1: アクアライン;-: 東京湾アクアトンネル;-: 海ほたるPA;2: 木更津TB木更津金田IC;3: 袖ケ浦IC;-: （木更津西JCT）;16: 木更津JCT;位置: 神奈川県川崎市および千葉県木更津市;現況: 運用中;起点: 神奈川県川崎市;終点: 千葉県木更津市;開通: 1997年12月18日;管理: 東日本高速道路;通行対象: 自動車;日平均通行量: 11,462 台（2005年度）;全長: 9,547 m（下り）9,541 m（上り）;道路車線数: 2車線（1方向×2本）;最低部: -60m;幅: 7m（車道幅員）;全日: 34,200台／日;土日祝: 42,500台／日;平日: 30,100台／日;種類: 株式会社;市場情報: 非上場;本社所在地:  日本〒140-0014東京都品川区大井1丁目20番6号住友大井町ビル北館 5階;設立: 1986年（昭和61年）10月1日;法人番号: 2010801014658;事業内容: 東京湾アクアラインの維持、修繕等の管理事業;代表者: 代表取締役社長 小松秀樹;資本金: 900億円;売上高: 20億5407万3千円（2008年3月期）;総資産: 4948億4229万4千円（2008年3月31日現在）;従業員数: 64名（2008年3月31日現在）;決算期: 3月31日;主要株主: 東日本高速道路（株）33.33%千葉県15.56%神奈川県5.00%東京都5.00%;外部リンク: https://www.umihotaru.com/;路線延長: 15.1 km（東京湾アクアライン）8.6 km（アクア連絡道）;開通年: 1997年12月18日;起点: 神奈川県川崎市川崎区;終点: 千葉県木更津市;接続する主な道路（記法）: 首都高速湾岸線国道409号国道410号E14館山自動車道C4首都圏中央連絡自動車道;1: アクアライン;-: 東京湾アクアトンネル;-: 海ほたるPA;2: 木更津TB木更津金田IC;3: 袖ケ浦IC;-: （木更津西JCT）;16: 木更津JCT;位置: 神奈川県川崎市および千葉県木更津市;現況: 運用中;起点: 神奈川県川崎市;終点: 千葉県木更津市;開通: 1997年12月18日;管理: 東日本高速道路;通行対象: 自動車;日平均通行量: 11,462 台（2005年度）;全長: 9,547 m（下り）9,541 m（上り）;道路車線数: 2車線（1方向×2本）;最低部: -60m;幅: 7m（車道幅員）;全日: 34,200台／日;土日祝: 42,500台／日;平日: 30,100台／日;種類: 株式会社;市場情報: 非上場;本社所在地:  日本〒140-0014東京都品川区大井1丁目20番6号住友大井町ビル北館 5階;設立: 1986年（昭和61年）10月1日;法人番号: 2010801014658;事業内容: 東京湾アクアラインの維持、修繕等の管理事業;代表者: 代表取締役社長 小松秀樹;資本金: 900億円;売上高: 20億5407万3千円（2008年3月期）;総資産: 4948億4229万4千円（2008年3月31日現在）;従業員数: 64名（2008年3月31日現在）;決算期: 3月31日;主要株主: 東日本高速道路（株）33.33%千葉県15.56%神奈川県5.00%東京都5.00%;外部リンク: https://www.umihotaru.com/","延長別日本の道路トンネルの一覧","表形式","高速道路ナンバリングによる路線番号はアクアライン・アクア連絡道ともに 「CA」 が割り振られている。"
"栗子トンネル (東北中央自動車道)","5くりこ/栗子トンネル06山形県福島県とうほくちゅうおう-東北中央自動車道福島大笹生IC～米沢八幡原IC8,972有通行不可2002年2014年2017年無料で通行できる道路トンネルとしては日本最長。","https://ja.wikipedia.org/wiki/栗子トンネル_(東北中央自動車道)","北緯37度51分24.69秒東経140度16分02.17秒","位置:  福島県・ 山形県;座標: 北緯37度51分24.69秒東経140度16分02.17秒﻿ / ﻿北緯37.8568583度 東経140.2672694度﻿ / 37.8568583; 140.2672694座標: 北緯37度51分24.69秒東経140度16分02.17秒﻿ / ﻿北緯37.8568583度 東経140.2672694度﻿ / 37.8568583; 140.2672694;現況: 供用中;所属路線名: E13東北中央自動車道;起点: 福島県福島市飯坂町中野;終点: 山形県米沢市万世町刈安;建設開始: 2002年（平成14年）;完成: 2015年（平成27年）3月;開通: 2017年（平成29年）11月4日;管理: 国土交通省東北地方整備局福島河川国道事務所;通行対象: 自動車;通行料金: 無料;日平均通行量: - 台;全長: 本坑：8,972 m避難坑：8,989 m換気坑：2,609 m;道路車線数: 片側1車線（暫定2車線）;設計速度: 100 km/h（規制速度：70 km/h）;幅: 本坑：7 m避難坑：2.9 m","延長別日本の道路トンネルの一覧","表形式","同トンネルを含む区間は1999年（平成11年）、東北中央自動車道 福島- 米沢間にて施工命令が下りたことに伴い事業化。施工命令が下りる前の整備計画区間に指定されていた段階では、同トンネルを含む県境付近は現在よりもやや南側を通るルートで計画が進んでいたが、比較的高低差があり冬期間の維持管理や安全面に対して懸念があったため、高低差を抑える代わりに約9キロメートル(km) に及ぶ長大トンネルを掘削する現在のルートに変更され、2017年（平成29年）11月4日15時に開通した。"
"恵那山トンネル","6えなさん/恵那山トンネル20長野県岐阜県ちゆうおう-中央自動車道園原IC～中津川IC8,649有通行不可1967年1974年1975年建設当時日本最長の道路トンネル。","https://ja.wikipedia.org/wiki/恵那山トンネル","北緯35度28分59秒東経137度37分43秒","位置:  長野県・ 岐阜県;座標: 北緯35度28分59秒東経137度37分43秒﻿ / ﻿北緯35.48306度 東経137.62861度﻿ / 35.48306; 137.62861座標: 北緯35度28分59秒東経137度37分43秒﻿ / ﻿北緯35.48306度 東経137.62861度﻿ / 35.48306; 137.62861;現況: 供用中;所属路線名: E19中央自動車道;起点: 長野県下伊那郡阿智村;終点: 岐阜県中津川市;建設開始: 1967年10月12日（一期）1978年3月21日（二期）;完成: 1974年10月23日（一期貫通）1983年3月7日（二期貫通）;開通: 1975年8月23日（一期）1985年3月27日（二期）;所有: 中日本高速道路株式会社;通行対象: 自動車（危険物積載車両は通行禁止）;全長: （上り線）8,649m（下り線）8,489m;道路車線数: （上り線）2車線（下り線）2車線;設計速度: 80km/h（規制速度:70km/h）","延長別日本の道路トンネルの一覧","表形式","全長は上り線が8,649m、下り線が8,489m。1975年の開通当初は道路トンネルの中で日本一の長さで、世界で2番目に長い道路トンネルであった。2021年2月現在は山手トンネル、関越トンネル、飛騨トンネル、アクアトンネル、栗子トンネルに続き第6位の長さである。なお、1975年の開通当初は、一期（現在の下り線）トンネルにおいて対面通行（暫定2車線）で供用されており、当時の制限速度は40km/hであった。約10年後の1985年に二期（上り線）トンネルが完成し、上り線・下り線が別々のトンネルとなり片側2車線（完成4車線）になった。4車線である現在でも、トンネル内は事故防止等の観点から車線変更禁止であり、制限速度も70km/hである。"
"阪神高速32号新神戸トンネル","7たいにしんこうへ/第二新神戸トンネル28兵庫県はんしんこうそく32こうしんこうへとんねる-阪神高速32号新神戸トンネル8,055無通行不可1988年","https://ja.wikipedia.org/wiki/阪神高速32号新神戸トンネル","","路線延長: 8.5 km;制定年: 2012年;開通年: 1976年;起点: 国道2号出入口（兵庫県神戸市中央区雲井通）;終点: 箕谷JCT（兵庫県神戸市北区山田町）;接続する主な道路（記法）: 国道2号阪神高速7号北神戸線;32-01: 国道2号入口;32-02: 二宮入口;-: 布引JCT;32-05: 箕谷JCT箕谷出入口;32-05: 箕谷JCT箕谷出入口;32-03: 新神戸駅出口;32-02: 神若出口;32-01: 国道2号出口","延長別日本の道路トンネルの一覧","表形式","北行きの新神戸トンネルおよび南行きの第2新神戸トンネルの2本のトンネルで構成されており、いずれも阪神高速道路株式会社が管理している。"
"阪神高速32号新神戸トンネル","8しんこうへ/新神戸トンネル28兵庫県はんしんこうそく32こうしんこうへとんねる-阪神高速32号新神戸トンネル7,900±無通行不可1971年1976年","https://ja.wikipedia.org/wiki/阪神高速32号新神戸トンネル","","路線延長: 8.5 km;制定年: 2012年;開通年: 1976年;起点: 国道2号出入口（兵庫県神戸市中央区雲井通）;終点: 箕谷JCT（兵庫県神戸市北区山田町）;接続する主な道路（記法）: 国道2号阪神高速7号北神戸線;32-01: 国道2号入口;32-02: 二宮入口;-: 布引JCT;32-05: 箕谷JCT箕谷出入口;32-05: 箕谷JCT箕谷出入口;32-03: 新神戸駅出口;32-02: 神若出口;32-01: 国道2号出口","延長別日本の道路トンネルの一覧","表形式","北行きの新神戸トンネルおよび南行きの第2新神戸トンネルの2本のトンネルで構成されており、いずれも阪神高速道路株式会社が管理している。"
"オオヌマトンネル","おおぬま/オオヌマトンネル01北海道とうおう-道央自動車道七飯IC～大沼公園IC7,0932016年[3]2023年度予定地質が軟らかく、難工事になると想定されている。","https://ja.wikipedia.org/wiki/オオヌマトンネル","","位置: 日本・ 北海道;現況: 事業中;所属路線名: E5北海道縦貫自動車道;起点: 北海道亀田郡七飯町;終点: 同上;管理: 国土交通省;通行対象: 自動車;全長: 7,093m;道路車線数: 片側1車線（暫定2車線）;設計速度: 80 km/h;幅: - m","延長別日本の道路トンネルの一覧","表形式","北海道亀田郡七飯町にあり、大沼公園IC- 七飯ICを結ぶ。延長は7,093mの予定。2016年度に着工し、7 - 8カ年で完成させる予定である。"
