"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"礼文岳","1 礼文岳れぶんだけ490m北海道オオカサモチレブンソウ 地理院地図Google Mapレブンアツモリソウ、レブンコザクラレブンウスユキソウ花の百名山、新日本百名山","https://ja.wikipedia.org/wiki/礼文岳","北緯45度22分21秒東経141度00分57秒","標高: 490 m;所在地: 北海道礼文郡礼文町;位置: 北緯45度22分21秒東経141度00分57秒;山系: 島","新・花の百名山","表形式"
"利尻岳","2 利尻山りしりざん1,721m北海道ボタンキンバイシコタンハコベ 地理院地図Google Mapリシリヒナゲシ、リシリリンドウ利尻富士花の百名山日本百名山、新日本百名山","https://ja.wikipedia.org/wiki/利尻岳","北緯45度10分43秒東経141度14分31秒","標高: 1,721[1]m;所在地: 日本北海道宗谷総合振興局利尻郡利尻町・利尻富士町;位置: 北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ / 45.17861; 141.24194座標: 北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ / 45.17861; 141.24194[2];山系: 独立峰;種類: 成層火山","新・花の百名山","表形式"
"暑寒別岳","3 暑寒別岳しょかんべつだけ1,491m北海道エゾオヤマリンドウシオガマギク 地理院地図Google Map雨竜沼湿原花の百名山日本二百名山","https://ja.wikipedia.org/wiki/暑寒別岳","北緯43度43分0秒東経141度31分20秒","標高: 1,491.62[1]m;所在地: 北海道増毛郡増毛町雨竜郡雨竜町・北竜町樺戸郡新十津川町;位置: 北緯43度43分0秒東経141度31分20秒;山系: 増毛山地","新・花の百名山","表形式"
"大雪山","4 大雪山たいせつざん2,291m北海道チョウノスケソウジンヨウキスミレ 地理院地図Google Mapエゾコザクラ黒岳、小泉岳、大雪山国立公園花の百名山日本百名山、新日本百名山北海道の最高峰","https://ja.wikipedia.org/wiki/大雪山","北緯43度39分48.9秒東経142度51分14.9秒","標高: 旭岳：2,290.93[1][2]m;所在地: 日本・北海道上川郡;位置: 北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ / 43.663583; 142.854139座標: 北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ / 43.663583; 142.854139;山系: 石狩山地;種類: 複成火山","新・花の百名山","表形式"
"夕張岳","5 夕張岳ゆうばりだけ1,668m北海道ユウバリソウユウパリコザクラ 地理院地図Google Map花の百名山日本二百名山","https://ja.wikipedia.org/wiki/夕張岳","北緯43度05分59秒東経142度15分04秒","標高: 1,667.72[1]m;所在地: 日本北海道夕張市・空知郡南富良野町;位置: 北緯43度05分59秒東経142度15分04秒座標: 北緯43度05分59秒 東経142度15分04秒[2];山系: 夕張山地","新・花の百名山","表形式"
"羅臼岳","6 羅臼岳らうすだけ1,660m北海道チシマツガザクラジムカデ 地理院地図Google Mapシレトコスミレ世界遺産、知床国立公園花の百名山、日本百名山","https://ja.wikipedia.org/wiki/羅臼岳","北緯44度04分33秒東経145度07分20秒","標高: 1,661[1]m;所在地: 日本北海道目梨郡羅臼町・斜里郡斜里町;位置: 北緯44度04分33秒東経145度07分20秒座標: 北緯44度04分33秒 東経145度07分20秒[2];山系: 知床半島;種類: 成層火山","新・花の百名山","表形式"
"斜里岳","7 斜里岳しゃりだけ1,547m北海道エゾゼンテイカ 地理院地図Google Map花の百名山日本百名山","https://ja.wikipedia.org/wiki/斜里岳","北緯43度45分56秒東経144度43分04秒","標高: 1,547[1]m;所在地: 北海道斜里郡斜里町・清里町、標津郡標津町;位置: 北緯43度45分56秒東経144度43分04秒[2];山系: 知床半島;種類: 成層火山;最新噴火: 25万年前[3]","新・花の百名山","表形式"
"目国内岳","8 目国内岳めくんないだけ1,220m北海道イワウメ 地理院地図Google Mapニセコ積丹小樽海岸国定公園ニセコ連峰","https://ja.wikipedia.org/wiki/目国内岳","北緯42度53分59秒東経140度30分55秒","標高: 1,220 m;所在地: 日本北海道磯谷郡蘭越町・岩内郡岩内町;位置: 北緯42度53分59秒東経140度30分55秒座標: 北緯42度53分59秒 東経140度30分55秒;山系: ニセコ連峰;種類: 成層火山","新・花の百名山","表形式"
"アポイ岳","9 アポイ岳アポイだけ811m北海道ミヤマハンショウヅルアポイゼキショウアポイマンテマ 地理院地図Google Mapアポイアズマギクヒダカソウ日高山脈","https://ja.wikipedia.org/wiki/アポイ岳","北緯42度06分28秒東経143度01分32秒","標高: 810.5 m;所在地: 日本北海道様似郡様似町;位置: 北緯42度06分28秒東経143度01分32秒座標: 北緯42度06分28秒 東経143度01分32秒;山系: 日高山脈","新・花の百名山","表形式"
"オロフレ山","10 オロフレ山オロフレやま1,230m北海道ツマトリソウ 地理院地図Google Map支笏洞爺国立公園オロフレ峠","https://ja.wikipedia.org/wiki/オロフレ山","北緯42度33分57.5秒東経141度05分13.5秒","標高: 1,230.8 m;所在地: 日本北海道白老郡白老町・有珠郡壮瞥町;位置: 北緯42度33分57.5秒東経141度05分13.5秒座標: 北緯42度33分57.5秒 東経141度05分13.5秒;山系: オロフレ・来馬火山[1];種類: 成層火山","新・花の百名山","表形式"
