"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"摩周湖","摩周湖","https://ja.wikipedia.org/wiki/摩周湖","北緯43度35分0秒東経144度32分0秒","所在地: 日本北海道（釧路総合振興局）;位置: 北緯43度35分0秒東経144度32分0秒﻿ / ﻿北緯43.58333度 東経144.53333度﻿ / 43.58333; 144.53333座標: 北緯43度35分0秒東経144度32分0秒﻿ / ﻿北緯43.58333度 東経144.53333度﻿ / 43.58333; 144.53333;面積: 19.22[1]km2;周囲長: 19.8 km;最大水深: 211.5 m;平均水深: 137.5 m;水面の標高: 355 m;成因: カルデラ湖;淡水・汽水: 淡水;湖沼型: 極貧栄養湖;透明度: 19.0 m","新日本旅行地100選","箇条書き"
"知床半島","知床半島","https://ja.wikipedia.org/wiki/知床半島","","","新日本旅行地100選","箇条書き"
"阿寒湖","阿寒湖","https://ja.wikipedia.org/wiki/阿寒湖","北緯43度27分0秒東経144度6分0秒","所在地: 北海道（釧路総合振興局）;位置: 北緯43度27分0秒東経144度6分0秒﻿ / ﻿北緯43.45000度 東経144.10000度﻿ / 43.45000; 144.10000座標: 北緯43度27分0秒東経144度6分0秒﻿ / ﻿北緯43.45000度 東経144.10000度﻿ / 43.45000; 144.10000;面積: 13.25[1]km2;周囲長: 25.9 km;最大水深: 45.0 m;平均水深: 17.8 m;貯水量: 0.249 km3;水面の標高: 420 m;成因: カルデラ湖・堰止湖;淡水・汽水: 淡水;湖沼型: 富栄養湖;透明度: 5.0 m;平均気温 (°C): -10.7;降水量 (mm): 65.1","新日本旅行地100選","箇条書き"
"層雲峡","層雲峡","https://ja.wikipedia.org/wiki/層雲峡","北緯43度43分8.6秒東経142度58分37.8秒","所在地: 北海道上川町;位置: 北緯43度43分8.6秒東経142度58分37.8秒﻿ / ﻿北緯43.719056度 東経142.977167度﻿ / 43.719056; 142.977167座標: 北緯43度43分8.6秒東経142度58分37.8秒﻿ / ﻿北緯43.719056度 東経142.977167度﻿ / 43.719056; 142.977167;落差: 90(流星)、104(銀河) m;水系: 石狩川水系雄滝の沢(流星)、雌滝の沢(銀河)","新日本旅行地100選","箇条書き"
"美幌町","美幌町","https://ja.wikipedia.org/wiki/美幌町","","国: 日本;地方: 北海道地方;都道府県: 北海道（オホーツク総合振興局）;郡: 網走郡;市町村コード: 01543-1;法人番号: 1000020015431;面積: 438.41km2;総人口: 18,781人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 42.8人/km2;隣接自治体: 北見市、網走郡大空町、網走郡津別町、川上郡弟子屈町、斜里郡小清水町;町の木: イチイ（オンコ）;町の花: エゾムラサキツツジ;他のシンボル: -;町長: [編集]平野浩司;所在地: 〒092-8650北海道網走郡美幌町字東2条北2丁目25番地;外部リンク: 美幌町","新日本旅行地100選","箇条書き"
"襟裳岬","襟裳岬","https://ja.wikipedia.org/wiki/襟裳岬","","","新日本旅行地100選","箇条書き"
"大雪山","大雪山","https://ja.wikipedia.org/wiki/大雪山","北緯43度39分48.9秒東経142度51分14.9秒","標高: 旭岳：2,290.93[1][2]m;所在地: 日本・北海道上川郡;位置: 北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ / 43.663583; 142.854139座標: 北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ / 43.663583; 142.854139;山系: 石狩山地;種類: 複成火山","新日本旅行地100選","箇条書き"
"登別温泉","登別温泉","https://ja.wikipedia.org/wiki/登別温泉","北緯42度29分42.2秒東経141度8分38.6秒","所在地: 北海道登別市;座標: 北緯42度29分42.2秒東経141度8分38.6秒﻿ / ﻿北緯42.495056度 東経141.144056度﻿ / 42.495056; 141.144056座標: 北緯42度29分42.2秒東経141度8分38.6秒﻿ / ﻿北緯42.495056度 東経141.144056度﻿ / 42.495056; 141.144056;交通: 道南バス登別温泉ターミナル道央自動車道登別東IC北海道旅客鉄道（JR北海道）登別駅;泉質: 硫黄泉・食塩泉（塩化物泉）・明礬泉・芒硝泉（硫酸塩泉）・緑礬泉（含アルミニウム泉）・鉄泉（含鉄泉）・酸性泉・重曹泉・ラジウム泉（放射能泉）;泉温（摂氏）: 45度〜90度;湧出量: 1万トン/日;宿泊施設数: 14;外部リンク: 登別国際観光コンベンション協会","新日本旅行地100選","箇条書き"
"洞爺湖","洞爺湖","https://ja.wikipedia.org/wiki/洞爺湖","北緯42度35分0秒東経140度51分0秒","所在地: 北海道（胆振総合振興局）北緯42度35分0秒東経140度51分0秒﻿ / ﻿北緯42.58333度 東経140.85000度﻿ / 42.58333; 140.85000﻿ (洞爺湖)洞爺湖- 地理院地図洞爺湖- Google マップ洞爺湖の位置北海道南部の地図を表示洞爺湖の位置北海道の地図を表示洞爺湖の位置日本の地図を表示;面積: 70.72[1]km2;周囲長: 50 km;最大水深: 180.0 m;平均水深: 117.0 m;貯水量: 8.19 km3;水面の標高: 84 m;成因: カルデラ湖;淡水・汽水: 淡水;湖沼型: 貧栄養湖;透明度: 10.0 m","新日本旅行地100選","箇条書き"
"札幌市","札幌","https://ja.wikipedia.org/wiki/札幌市","北緯43度3分43.5秒東経141度21分15.8秒","国: 日本;地方: 北海道地方;都道府県: 北海道（石狩振興局）;市町村コード: 01100-2;法人番号: 9000020011002;面積: 1,121.26km2;総人口: 1,960,755人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 1,749人/km2;隣接自治体: 石狩振興局：江別市、北広島市、石狩市、恵庭市、千歳市、石狩郡当別町後志総合振興局：小樽市、虻田郡喜茂別町、虻田郡京極町、余市郡赤井川村胆振総合振興局：伊達市;市の木: ライラック;市の花: スズラン;市の鳥: カッコウ;市長: [編集]秋元克広;所在地: 〒060-8611北海道札幌市中央区北1条西2丁目北緯43度3分43.5秒東経141度21分15.8秒座標: 北緯43度3分43.5秒 東経141度21分15.8秒札幌市役所庁舎;外部リンク: 札幌市 City of Sapporo;最高気温記録 °C（°F）: 11.2(52.2);平均最高気温 °C（°F）: −0.6(30.9);日平均気温 °C（°F）: −3.6(25.5);平均最低気温 °C（°F）: −7.0(19.4);最低気温記録 °C（°F）: −27.0(−16.6);降水量mm （inch）: 113.6(4.472);降雪量cm （inch）: 173(68.1);平均降水日数 （≥0.5 mm）: 21.8;平均降雪日数 （≥0 cm）: 28.8;% 湿度: 70;平均月間日照時間: 92.5;平均最高気温 °C（°F）: −1.1(30);日平均気温 °C（°F）: −4.6(23.7);平均最低気温 °C（°F）: −8.4(16.9);最高気温記録 °C（°F）: 9.3(48.7);平均最高気温 °C（°F）: −0.8(30.6);日平均気温 °C（°F）: −4.2(24.4);平均最低気温 °C（°F）: −8.4(16.9);最低気温記録 °C（°F）: −20.9(−5.6);降水量mm （inch）: 98.6(3.882);平均月間日照時間: 75.6;平均最高気温 °C（°F）: −1.9(28.6);平均最低気温 °C（°F）: −11.1(12);降水量mm （inch）: 60.8(2.394);降雪量cm （inch）: 64(25.2);平均月間日照時間: 93.9;インペリアル換算: インペリアル換算123456789101112  4.5 3119  3.7 3220  3 3927  2.2 5338  2.1 6347  1.8 7155  3.2 7763  4.9 8066  5.3 7258  4.3 6146  4.1 4734  4.4 3625気温（°F）総降水量（in）;中央区: 01101-1;北区: 01102-9;東区: 01103-7;白石区: 01104-5;豊平区: 01105-3;南区: 01106-1;西区: 01107-0;厚別区: 01108-8;手稲区: 01109-6;清田区: 01110-0;対馬嘉三郎: 初代;加藤寛六郎: 2代;青木定謙: 3代;阿部宇之八: 4代;佐藤友熊: 5代;高岡直吉: 初代;橋本正治: 2代;三沢寛一: 3代;上原六郎: 4代;高田富與: 5代;原田與作: 6代;板垣武四: 7代;桂信雄: 8代;上田文雄: 9代;秋元克広: 10代;年度: 1996;札幌市のランキング: 5;対象都市数: 12;札幌市議会自由民主党議員会: 27;札幌市議会民主市民連合議員会: 20;札幌市議会公明党議員会: 10;日本共産党札幌市議会議員団: 10;札幌市議会市民ネットワーク北海道: 1;国: 日本;地方: 北海道地方;都道府県: 北海道（石狩振興局）;市町村コード: 01100-2;法人番号: 9000020011002;面積: 1,121.26km2;総人口: 1,960,755人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 1,749人/km2;隣接自治体: 石狩振興局：江別市、北広島市、石狩市、恵庭市、千歳市、石狩郡当別町後志総合振興局：小樽市、虻田郡喜茂別町、虻田郡京極町、余市郡赤井川村胆振総合振興局：伊達市;市の木: ライラック;市の花: スズラン;市の鳥: カッコウ;市長: [編集]秋元克広;所在地: 〒060-8611北海道札幌市中央区北1条西2丁目北緯43度3分43.5秒東経141度21分15.8秒座標: 北緯43度3分43.5秒 東経141度21分15.8秒札幌市役所庁舎;外部リンク: 札幌市 City of Sapporo;最高気温記録 °C（°F）: 11.2(52.2);平均最高気温 °C（°F）: −0.6(30.9);日平均気温 °C（°F）: −3.6(25.5);平均最低気温 °C（°F）: −7.0(19.4);最低気温記録 °C（°F）: −27.0(−16.6);降水量mm （inch）: 113.6(4.472);降雪量cm （inch）: 173(68.1);平均降水日数 （≥0.5 mm）: 21.8;平均降雪日数 （≥0 cm）: 28.8;% 湿度: 70;平均月間日照時間: 92.5;平均最高気温 °C（°F）: −1.1(30);日平均気温 °C（°F）: −4.6(23.7);平均最低気温 °C（°F）: −8.4(16.9);最高気温記録 °C（°F）: 9.3(48.7);平均最高気温 °C（°F）: −0.8(30.6);日平均気温 °C（°F）: −4.2(24.4);平均最低気温 °C（°F）: −8.4(16.9);最低気温記録 °C（°F）: −20.9(−5.6);降水量mm （inch）: 98.6(3.882);平均月間日照時間: 75.6;平均最高気温 °C（°F）: −1.9(28.6);平均最低気温 °C（°F）: −11.1(12);降水量mm （inch）: 60.8(2.394);降雪量cm （inch）: 64(25.2);平均月間日照時間: 93.9;インペリアル換算: インペリアル換算123456789101112  4.5 3119  3.7 3220  3 3927  2.2 5338  2.1 6347  1.8 7155  3.2 7763  4.9 8066  5.3 7258  4.3 6146  4.1 4734  4.4 3625気温（°F）総降水量（in）;中央区: 01101-1;北区: 01102-9;東区: 01103-7;白石区: 01104-5;豊平区: 01105-3;南区: 01106-1;西区: 01107-0;厚別区: 01108-8;手稲区: 01109-6;清田区: 01110-0;対馬嘉三郎: 初代;加藤寛六郎: 2代;青木定謙: 3代;阿部宇之八: 4代;佐藤友熊: 5代;高岡直吉: 初代;橋本正治: 2代;三沢寛一: 3代;上原六郎: 4代;高田富與: 5代;原田與作: 6代;板垣武四: 7代;桂信雄: 8代;上田文雄: 9代;秋元克広: 10代;年度: 1996;札幌市のランキング: 5;対象都市数: 12;札幌市議会自由民主党議員会: 27;札幌市議会民主市民連合議員会: 20;札幌市議会公明党議員会: 10;日本共産党札幌市議会議員団: 10;札幌市議会市民ネットワーク北海道: 1","新日本旅行地100選","箇条書き"
