"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"室蘭市","室蘭・地球岬- ヤングカップル部門第1位","https://ja.wikipedia.org/wiki/室蘭市","北緯42度18分54.9秒東経140度58分26.5秒","国: 日本;地方: 北海道地方;都道府県: 北海道（胆振総合振興局）;市町村コード: 01205-0;法人番号: 8000020012050;面積: 80.88km2;総人口: 80,761人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 999人/km2;隣接自治体: 胆振総合振興局:登別市、伊達市;市の木: ナナカマド;市の花: ツツジ;他のシンボル: 市の鳥：ヒガラ市の魚：クロソイ;市長: [編集]青山剛;所在地: 〒051-8511北海道室蘭市幸町1-2北緯42度18分54.9秒東経140度58分26.5秒;外部リンク: 公式ウェブサイト;最高気温記録 °C（°F）: 9.8(49.6);平均最高気温 °C（°F）: 0.3(32.5);日平均気温 °C（°F）: −2.0(28.4);平均最低気温 °C（°F）: −4.2(24.4);最低気温記録 °C（°F）: −13.4(7.9);降水量mm （inch）: 54.9(2.161);降雪量cm （inch）: 65(25.6);平均降水日数 （≥1.0 mm）: 12.5;平均降雪日数: 28.7;% 湿度: 70;平均月間日照時間: 89.7;平均最高気温 °C（°F）: −0.1(31.8);日平均気温 °C（°F）: −2.3(27.9);平均最低気温 °C（°F）: −4.6(23.7);中村俊清: 初代;福岡幸吉: 2代;松尾豊次: 3代;福岡幸吉: 4代;土居通次: 5代;松尾孝之: 6代;熊谷綾雄: 7代;高薄豊次郎: 8代;長谷川正治: 9代;岩田弘志: 10代;新宮正志: 11代;青山剛: 12代","新日本観光地100選","箇条書き"
"函館市","函館","https://ja.wikipedia.org/wiki/函館市","北緯41度46分7.2秒東経140度43分44.1秒","国: 日本;地方: 北海道地方;都道府県: 北海道（渡島総合振興局）;市町村コード: 01202-5;法人番号: 9000020012025;面積: 677.86km2;総人口: 250,053人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 369人/km2;隣接自治体: 北斗市亀田郡七飯町、茅部郡鹿部町（海上を隔てて隣接）青森県下北郡大間町;市の木: おんこ（いちい）;市の花: つつじ（やまつつじ）;他のシンボル: 市の鳥：ヤマガラ市の魚：イカ;市長: [編集]工藤壽樹;所在地: 〒040-8666北海道函館市東雲町4-13北緯41度46分7.2秒東経140度43分44.1秒座標: 北緯41度46分7.2秒 東経140度43分44.1秒;外部リンク: 函館市公式サイト;インペリアル換算: インペリアル換算123456789101112  3 3321  2.3 3521  2.3 4227  2.8 5337  3.3 6246  2.9 6854  5.1 7462  6.1 7866  6 7357  3.9 6245  4.3 4935  3.3 3826気温（°F）総降水量（in）;最高気温記録 °C（°F）: 12.5(54.5);平均最高気温 °C（°F）: 0.7(33.3);日平均気温 °C（°F）: −2.6(27.3);平均最低気温 °C（°F）: −6.2(20.8);最低気温記録 °C（°F）: −19.0(−2.2);降水量mm （inch）: 77.2(3.039);降雪量cm （inch）: 118(46.5);平均月間日照時間: 103.4;平均最高気温 °C（°F）: 0.1(32.2);日平均気温 °C（°F）: −3.4(25.9);平均最低気温 °C（°F）: −7.4(18.7);国: 日本;地方: 北海道地方;都道府県: 北海道（渡島総合振興局）;市町村コード: 01202-5;法人番号: 9000020012025;面積: 677.86km2;総人口: 250,053人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 369人/km2;隣接自治体: 北斗市亀田郡七飯町、茅部郡鹿部町（海上を隔てて隣接）青森県下北郡大間町;市の木: おんこ（いちい）;市の花: つつじ（やまつつじ）;他のシンボル: 市の鳥：ヤマガラ市の魚：イカ;市長: [編集]工藤壽樹;所在地: 〒040-8666北海道函館市東雲町4-13北緯41度46分7.2秒東経140度43分44.1秒座標: 北緯41度46分7.2秒 東経140度43分44.1秒;外部リンク: 函館市公式サイト;インペリアル換算: インペリアル換算123456789101112  3 3321  2.3 3521  2.3 4227  2.8 5337  3.3 6246  2.9 6854  5.1 7462  6.1 7866  6 7357  3.9 6245  4.3 4935  3.3 3826気温（°F）総降水量（in）;最高気温記録 °C（°F）: 12.5(54.5);平均最高気温 °C（°F）: 0.7(33.3);日平均気温 °C（°F）: −2.6(27.3);平均最低気温 °C（°F）: −6.2(20.8);最低気温記録 °C（°F）: −19.0(−2.2);降水量mm （inch）: 77.2(3.039);降雪量cm （inch）: 118(46.5);平均月間日照時間: 103.4;平均最高気温 °C（°F）: 0.1(32.2);日平均気温 °C（°F）: −3.4(25.9);平均最低気温 °C（°F）: −7.4(18.7)","新日本観光地100選","箇条書き"
"江差町","江差・松前","https://ja.wikipedia.org/wiki/江差町","北緯41度52分8.9秒東経140度7分38.8秒","国: 日本;地方: 北海道地方;都道府県: 北海道（檜山振興局）;郡: 檜山郡;市町村コード: 01361-7;法人番号: 1000020013617;面積: 109.53km2;総人口: 7,185人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 65.6人/km2;隣接自治体: 檜山郡上ノ国町、厚沢部町、爾志郡乙部町;町の木: ヒノキアスナロ;町の花: ハマナス;町長: [編集]照井誉之介;所在地: 〒043-8560北海道檜山郡江差町字中歌町193-1北緯41度52分8.9秒東経140度7分38.8秒;外部リンク: 江差町;最高気温記録 °C（°F）: 10.6(51.1);平均最高気温 °C（°F）: 1.5(34.7);日平均気温 °C（°F）: −0.8(30.6);平均最低気温 °C（°F）: −3.4(25.9);最低気温記録 °C（°F）: −12.7(9.1);降水量mm （inch）: 85.5(3.366);降雪量cm （inch）: 113(44.5);% 湿度: 68;平均月間日照時間: 32.4","新日本観光地100選","箇条書き"
"大沼 (七飯町)","大沼","https://ja.wikipedia.org/wiki/大沼_(七飯町)","北緯41度59分51秒東経140度41分02秒","所在地: 北海道（渡島総合振興局）北緯41度59分51秒東経140度41分02秒﻿ / ﻿北緯41.99750度 東経140.68389度﻿ / 41.99750; 140.68389﻿ (大沼)大沼- 地理院地図大沼- Google マップ大沼の位置北海道南部の地図を表示大沼の位置北海道の地図を表示大沼の位置日本の地図を表示;面積: 5.31[1]km2;周囲長: 24 km;最大水深: 12.2[2]m;平均水深: 4.7[2]m;水面の標高: 130[3]m;成因: 堰止湖;淡水・汽水: 淡水[3]","新日本観光地100選","箇条書き"
"釧路市","釧路","https://ja.wikipedia.org/wiki/釧路市","北緯42度59分5.60秒東経144度22分54.16秒","国: 日本;地方: 北海道地方;都道府県: 北海道（釧路総合振興局）;市町村コード: 01206-8;法人番号: 7000020012068;面積: 1,362.90km2;総人口: 164,290人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 121人/km2;隣接自治体: 釧路総合振興局：白糠郡白糠町、阿寒郡鶴居村、釧路郡釧路町、川上郡弟子屈町十勝総合振興局：足寄郡足寄町、十勝郡浦幌町オホーツク総合振興局：網走郡津別町;市の木: ハシドイ、エゾヤマザクラ、ナナカマド;市の花: キンレンカ、スズラン、エゾリンドウ;市長: [編集]蝦名大也;所在地: 〒085-8505北海道釧路市黒金町7丁目5番地北緯42度59分5.60秒東経144度22分54.16秒座標: 北緯42度59分5.60秒 東経144度22分54.16秒;外部リンク: 公式ウェブサイト（日本語）;インペリアル換算: インペリアル換算123456789101112  1.7 3113  0.9 3114  2.3 3723  3 4633  4.4 5441  4.2 5948  5 6555  5.1 7060  6.1 6554  3.7 5942  2.5 4831  2 3719気温（°F）総降水量（in）;最高気温記録 °C（°F）: 7.6(45.7);平均最高気温 °C（°F）: −0.6(30.9);日平均気温 °C（°F）: −5.4(22.3);平均最低気温 °C（°F）: −10.4(13.3);最低気温記録 °C（°F）: −28.3(−18.9);降水量mm （inch）: 43.2(1.701);降雪量cm （inch）: 44(17.3);平均月間日照時間: 182.0;平均最高気温 °C（°F）: −1.1(30);日平均気温 °C（°F）: −6.1(21);平均最低気温 °C（°F）: −12.1(10.2);廃止日: 2005年10月11日;廃止理由: 新設合併釧路市（旧）、阿寒郡阿寒町、白糠郡音別町→ 釧路市（新）;現在の自治体: 釧路市（新）;国:  日本;地方: 北海道地方;都道府県: 北海道釧路支庁;隣接自治体: 釧路郡釧路町、阿寒郡阿寒町、鶴居村、白糠郡白糠町;所在地: 北海道;国: 日本;地方: 北海道地方;都道府県: 北海道（釧路総合振興局）;市町村コード: 01206-8;法人番号: 7000020012068;面積: 1,362.90km2;総人口: 164,290人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 121人/km2;隣接自治体: 釧路総合振興局：白糠郡白糠町、阿寒郡鶴居村、釧路郡釧路町、川上郡弟子屈町十勝総合振興局：足寄郡足寄町、十勝郡浦幌町オホーツク総合振興局：網走郡津別町;市の木: ハシドイ、エゾヤマザクラ、ナナカマド;市の花: キンレンカ、スズラン、エゾリンドウ;市長: [編集]蝦名大也;所在地: 〒085-8505北海道釧路市黒金町7丁目5番地北緯42度59分5.60秒東経144度22分54.16秒座標: 北緯42度59分5.60秒 東経144度22分54.16秒;外部リンク: 公式ウェブサイト（日本語）;インペリアル換算: インペリアル換算123456789101112  1.7 3113  0.9 3114  2.3 3723  3 4633  4.4 5441  4.2 5948  5 6555  5.1 7060  6.1 6554  3.7 5942  2.5 4831  2 3719気温（°F）総降水量（in）;最高気温記録 °C（°F）: 7.6(45.7);平均最高気温 °C（°F）: −0.6(30.9);日平均気温 °C（°F）: −5.4(22.3);平均最低気温 °C（°F）: −10.4(13.3);最低気温記録 °C（°F）: −28.3(−18.9);降水量mm （inch）: 43.2(1.701);降雪量cm （inch）: 44(17.3);平均月間日照時間: 182.0;平均最高気温 °C（°F）: −1.1(30);日平均気温 °C（°F）: −6.1(21);平均最低気温 °C（°F）: −12.1(10.2);廃止日: 2005年10月11日;廃止理由: 新設合併釧路市（旧）、阿寒郡阿寒町、白糠郡音別町→ 釧路市（新）;現在の自治体: 釧路市（新）;国:  日本;地方: 北海道地方;都道府県: 北海道釧路支庁;隣接自治体: 釧路郡釧路町、阿寒郡阿寒町、鶴居村、白糠郡白糠町;所在地: 北海道;国: 日本;地方: 北海道地方;都道府県: 北海道（釧路総合振興局）;市町村コード: 01206-8;法人番号: 7000020012068;面積: 1,362.90km2;総人口: 164,290人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 121人/km2;隣接自治体: 釧路総合振興局：白糠郡白糠町、阿寒郡鶴居村、釧路郡釧路町、川上郡弟子屈町十勝総合振興局：足寄郡足寄町、十勝郡浦幌町オホーツク総合振興局：網走郡津別町;市の木: ハシドイ、エゾヤマザクラ、ナナカマド;市の花: キンレンカ、スズラン、エゾリンドウ;市長: [編集]蝦名大也;所在地: 〒085-8505北海道釧路市黒金町7丁目5番地北緯42度59分5.60秒東経144度22分54.16秒座標: 北緯42度59分5.60秒 東経144度22分54.16秒;外部リンク: 公式ウェブサイト（日本語）;インペリアル換算: インペリアル換算123456789101112  1.7 3113  0.9 3114  2.3 3723  3 4633  4.4 5441  4.2 5948  5 6555  5.1 7060  6.1 6554  3.7 5942  2.5 4831  2 3719気温（°F）総降水量（in）;最高気温記録 °C（°F）: 7.6(45.7);平均最高気温 °C（°F）: −0.6(30.9);日平均気温 °C（°F）: −5.4(22.3);平均最低気温 °C（°F）: −10.4(13.3);最低気温記録 °C（°F）: −28.3(−18.9);降水量mm （inch）: 43.2(1.701);降雪量cm （inch）: 44(17.3);平均月間日照時間: 182.0;平均最高気温 °C（°F）: −1.1(30);日平均気温 °C（°F）: −6.1(21);平均最低気温 °C（°F）: −12.1(10.2);廃止日: 2005年10月11日;廃止理由: 新設合併釧路市（旧）、阿寒郡阿寒町、白糠郡音別町→ 釧路市（新）;現在の自治体: 釧路市（新）;国:  日本;地方: 北海道地方;都道府県: 北海道釧路支庁;隣接自治体: 釧路郡釧路町、阿寒郡阿寒町、鶴居村、白糠郡白糠町;所在地: 北海道","新日本観光地100選","箇条書き"
"阿寒町","阿寒","https://ja.wikipedia.org/wiki/阿寒町","北緯43度6分45.3秒東経144度7分24.9秒","廃止日: 2005年10月11日;廃止理由: 新設合併釧路市、阿寒町、音別町→ 釧路市;現在の自治体: 釧路市;国: 日本;地方: 北海道地方;都道府県: 北海道釧路支庁;郡: 阿寒郡;市町村コード: 01666-7;面積: 739.25km2;総人口: 6,401人（住民基本台帳人口、2005年9月末日）;隣接自治体: 釧路市、阿寒郡鶴居村、川上郡弟子屈町、白糠郡白糠町、網走郡津別町、足寄郡足寄町;町の木: エゾヤマザクラ;町の花: すずらん;所在地: 〒085-0292北海道阿寒郡阿寒町中央1丁目4番1号;座標: 北緯43度6分45.3秒東経144度7分24.9秒","新日本観光地100選","箇条書き"
"十和田湖","十和田湖・八甲田（青森県・秋田県）","https://ja.wikipedia.org/wiki/十和田湖","北緯40度27分53秒東経140度52分38秒","所在地: 日本青森県十和田市秋田県鹿角郡小坂町;位置: 北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ / 40.46472; 140.87722座標: 北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ / 40.46472; 140.87722;面積: 61.11[1]km2;周囲長: 46.0 km;最大水深: 326.8 m;平均水深: 71.0 m;貯水量: 4.19 km3;水面の標高: 400 m;成因: カルデラ湖;淡水・汽水: 淡水;湖沼型: 貧栄養湖;透明度: 9.0 m","新日本観光地100選","箇条書き"
"古牧温泉","古牧温泉祭魚洞公園（青森県）","https://ja.wikipedia.org/wiki/古牧温泉","","交通: 鉄道 : 青い森鉄道線三沢駅から徒歩5分車 : 第二みちのく有料道路三沢十和田下田ICよりすぐ;泉質: 単純温泉;外部リンク: 星野リゾート青森屋","新日本観光地100選","箇条書き"
"八戸市","八戸（青森県）","https://ja.wikipedia.org/wiki/八戸市","北緯40度30分44.2秒東経141度29分18.2秒","国: 日本;地方: 東北地方;都道府県: 青森県;市町村コード: 02203-9;法人番号: 2000020022039;面積: 305.56km2;総人口: 219,718人 [編集]（推計人口、2021年4月1日）;人口密度: 719人/km2;隣接自治体: 三戸郡階上町、五戸町、南部町、上北郡おいらせ町岩手県九戸郡軽米町;市の木: オンコ（イチイ）;市の花: 菊;市長: [編集]小林眞;所在地: 〒031-8686（八戸市庁）青森県八戸市内丸一丁目1番1号北緯40度30分44.2秒東経141度29分18.2秒;外部リンク: 公式ウェブサイト;最高気温記録 °C（°F）: 15.0(59);平均最高気温 °C（°F）: 2.6(36.7);日平均気温 °C（°F）: −0.9(30.4);平均最低気温 °C（°F）: −4.2(24.4);最低気温記録 °C（°F）: −15.7(3.7);降水量mm （inch）: 42.8(1.685);降雪量cm （inch）: 77(30.3);% 湿度: 70;平均月間日照時間: 130.8","新日本観光地100選","箇条書き"
"下北半島","下北半島（青森県）","https://ja.wikipedia.org/wiki/下北半島","","","新日本観光地100選","箇条書き"
