"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"二重橋","1二重橋と皇居外苑千代田区千代田・皇居外苑二重橋前駅など","https://ja.wikipedia.org/wiki/二重橋","北緯35度40分48秒東経139度45分12秒","国: 日本;所在地: 千代田区;交差物件: 二重橋濠;用途: 道路橋;竣工: 1964年6月;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度40分48秒東経139度45分12秒﻿ / ﻿北緯35.68000度 東経139.75333度﻿ / 35.68000; 139.75333座標: 北緯35度40分48秒東経139度45分12秒﻿ / ﻿北緯35.68000度 東経139.75333度﻿ / 35.68000; 139.75333","新東京百景","表形式"
"千鳥ヶ淵","2千鳥ヶ淵から日比谷千代田区九段南2〜日比谷公園九段下駅など","https://ja.wikipedia.org/wiki/千鳥ヶ淵","","","新東京百景","表形式"
"東京駅","3東京駅と丸の内ビル街千代田区丸の内東京駅など","https://ja.wikipedia.org/wiki/東京駅","北緯35度40分52秒東経139度46分0秒","所在地: 東京都千代田区丸の内一丁目;所属事業者: 東日本旅客鉄道（JR東日本・駅詳細）東海旅客鉄道（JR東海・駅詳細）東京地下鉄（東京メトロ・駅詳細）;所在地: 東京都千代田区丸の内一丁目9-1.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度40分52秒東経139度46分0秒﻿ / ﻿北緯35.68111度 東経139.76667度﻿ / 35.68111; 139.76667﻿ (JR 東京駅)座標: 北緯35度40分52秒東経139度46分0秒﻿ / ﻿北緯35.68111度 東経139.76667度﻿ / 35.68111; 139.76667﻿ (JR 東京駅);所属事業者: 東日本旅客鉄道（JR東日本）;電報略号: トウ;駅構造: 高架駅・地下駅;ホーム: 2面4線（新幹線）5面10線（在来線・高架）2面4線（在来線・総武地下）2面4線（在来線・京葉地下）;乗車人員-統計年度-: 462,589人/日（降車客含まず）-2019年-;開業年月日: 1914年（大正3年）12月20日;所属路線: ■東北新幹線（■山形新幹線・■秋田新幹線・北海道新幹線・上越新幹線・北陸新幹線直通含む）;キロ程: 0.0 km（東京起点）;所属路線: ■東海道線[* 1]（上野東京ライン）;駅番号: JT01[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■宇都宮線[* 1]（上野東京ライン）（高崎線・■常磐線直通含む）;駅番号: JU01[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■京浜東北線[* 1];駅番号: JK26[報道 3];キロ程: 0.0 km（東京起点）大宮から30.3 km;所属路線: ■山手線[* 1];駅番号: JY01[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■中央線[* 1];駅番号: JC01[報道 3];キロ程: 神田から1.3 km;所属路線: ■横須賀線・総武線（快速）[* 1];駅番号: JO19[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■京葉線（■武蔵野線直通含む）;駅番号: JE01[報道 3];キロ程: 0.0 km（東京起点）;備考: 直営駅（管理駅）みどりの窓口有  東京山手線内・東京都区内駅（中心駅）;1・2:  中央線;3:  京浜東北線;4:  山手線;5: 外回り;6:  京浜東北線;7・8:  上野東京ライン（宇都宮・高崎線・ 常磐線）;9・10:  東海道線（上野東京ライン）;20 - 23:  東北・山形・秋田・北海道新幹線;1・2:  横須賀線;3・4:  総武線（快速）;1 - 4:  京葉線;1:;2:;3・6:;4・5:;7:;8:;9・10:;20 - 23:;総武地下1:;総武地下2・3:;総武地下4:;京葉地下1 - 4:;所在地: 東京都千代田区丸の内一丁目9-1北緯35度40分52秒東経139度46分0秒﻿ / ﻿北緯35.68111度 東経139.76667度﻿ / 35.68111; 139.76667﻿ (JR 東京駅);所属事業者: 東海旅客鉄道（JR東海）;所属路線: ■東海道新幹線;キロ程: 0.0 km（東京起点）;電報略号: トウ;駅構造: 高架駅;ホーム: 3面6線;乗車人員-統計年度-: 98,120人/日（降車客含まず）-2019年-;開業年月日: 1964年（昭和39年）10月1日;備考: 駅長配置駅（管理駅）JR全線きっぷうりば有  東京山手線内・東京都区内駅（中心駅）;14 - 19:  東海道新幹線;所在地: 東京都千代田区丸の内一丁目6-5北緯35度40分54秒東経139度45分53.4秒﻿ / ﻿北緯35.68167度 東経139.764833度﻿ / 35.68167; 139.764833﻿ (東京メトロ 東京駅);駅番号: M17[16];所属事業者: 東京地下鉄（東京メトロ）;所属路線: ●[16]丸ノ内線;キロ程: 8.7 km（池袋起点）;電報略号: トウ;駅構造: 地下駅;ホーム: 1面2線;乗降人員-統計年度-: 216,749人/日-2019年-;開業年月日: 1956年（昭和31年）7月20日;1:  丸ノ内線;2: 池袋方面;所在地: 東京都千代田区丸の内一丁目;所属事業者: 東日本旅客鉄道（JR東日本・駅詳細）東海旅客鉄道（JR東海・駅詳細）東京地下鉄（東京メトロ・駅詳細）;所在地: 東京都千代田区丸の内一丁目9-1.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度40分52秒東経139度46分0秒﻿ / ﻿北緯35.68111度 東経139.76667度﻿ / 35.68111; 139.76667﻿ (JR 東京駅)座標: 北緯35度40分52秒東経139度46分0秒﻿ / ﻿北緯35.68111度 東経139.76667度﻿ / 35.68111; 139.76667﻿ (JR 東京駅);所属事業者: 東日本旅客鉄道（JR東日本）;電報略号: トウ;駅構造: 高架駅・地下駅;ホーム: 2面4線（新幹線）5面10線（在来線・高架）2面4線（在来線・総武地下）2面4線（在来線・京葉地下）;乗車人員-統計年度-: 462,589人/日（降車客含まず）-2019年-;開業年月日: 1914年（大正3年）12月20日;所属路線: ■東北新幹線（■山形新幹線・■秋田新幹線・北海道新幹線・上越新幹線・北陸新幹線直通含む）;キロ程: 0.0 km（東京起点）;所属路線: ■東海道線[* 1]（上野東京ライン）;駅番号: JT01[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■宇都宮線[* 1]（上野東京ライン）（高崎線・■常磐線直通含む）;駅番号: JU01[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■京浜東北線[* 1];駅番号: JK26[報道 3];キロ程: 0.0 km（東京起点）大宮から30.3 km;所属路線: ■山手線[* 1];駅番号: JY01[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■中央線[* 1];駅番号: JC01[報道 3];キロ程: 神田から1.3 km;所属路線: ■横須賀線・総武線（快速）[* 1];駅番号: JO19[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■京葉線（■武蔵野線直通含む）;駅番号: JE01[報道 3];キロ程: 0.0 km（東京起点）;備考: 直営駅（管理駅）みどりの窓口有  東京山手線内・東京都区内駅（中心駅）;1・2:  中央線;3:  京浜東北線;4:  山手線;5: 外回り;6:  京浜東北線;7・8:  上野東京ライン（宇都宮・高崎線・ 常磐線）;9・10:  東海道線（上野東京ライン）;20 - 23:  東北・山形・秋田・北海道新幹線;1・2:  横須賀線;3・4:  総武線（快速）;1 - 4:  京葉線;1:;2:;3・6:;4・5:;7:;8:;9・10:;20 - 23:;総武地下1:;総武地下2・3:;総武地下4:;京葉地下1 - 4:;所在地: 東京都千代田区丸の内一丁目9-1北緯35度40分52秒東経139度46分0秒﻿ / ﻿北緯35.68111度 東経139.76667度﻿ / 35.68111; 139.76667﻿ (JR 東京駅);所属事業者: 東海旅客鉄道（JR東海）;所属路線: ■東海道新幹線;キロ程: 0.0 km（東京起点）;電報略号: トウ;駅構造: 高架駅;ホーム: 3面6線;乗車人員-統計年度-: 98,120人/日（降車客含まず）-2019年-;開業年月日: 1964年（昭和39年）10月1日;備考: 駅長配置駅（管理駅）JR全線きっぷうりば有  東京山手線内・東京都区内駅（中心駅）;14 - 19:  東海道新幹線;所在地: 東京都千代田区丸の内一丁目6-5北緯35度40分54秒東経139度45分53.4秒﻿ / ﻿北緯35.68167度 東経139.764833度﻿ / 35.68167; 139.764833﻿ (東京メトロ 東京駅);駅番号: M17[16];所属事業者: 東京地下鉄（東京メトロ）;所属路線: ●[16]丸ノ内線;キロ程: 8.7 km（池袋起点）;電報略号: トウ;駅構造: 地下駅;ホーム: 1面2線;乗降人員-統計年度-: 216,749人/日-2019年-;開業年月日: 1956年（昭和31年）7月20日;1:  丸ノ内線;2: 池袋方面;所在地: 東京都千代田区丸の内一丁目;所属事業者: 東日本旅客鉄道（JR東日本・駅詳細）東海旅客鉄道（JR東海・駅詳細）東京地下鉄（東京メトロ・駅詳細）;所在地: 東京都千代田区丸の内一丁目9-1.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度40分52秒東経139度46分0秒﻿ / ﻿北緯35.68111度 東経139.76667度﻿ / 35.68111; 139.76667﻿ (JR 東京駅)座標: 北緯35度40分52秒東経139度46分0秒﻿ / ﻿北緯35.68111度 東経139.76667度﻿ / 35.68111; 139.76667﻿ (JR 東京駅);所属事業者: 東日本旅客鉄道（JR東日本）;電報略号: トウ;駅構造: 高架駅・地下駅;ホーム: 2面4線（新幹線）5面10線（在来線・高架）2面4線（在来線・総武地下）2面4線（在来線・京葉地下）;乗車人員-統計年度-: 462,589人/日（降車客含まず）-2019年-;開業年月日: 1914年（大正3年）12月20日;所属路線: ■東北新幹線（■山形新幹線・■秋田新幹線・北海道新幹線・上越新幹線・北陸新幹線直通含む）;キロ程: 0.0 km（東京起点）;所属路線: ■東海道線[* 1]（上野東京ライン）;駅番号: JT01[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■宇都宮線[* 1]（上野東京ライン）（高崎線・■常磐線直通含む）;駅番号: JU01[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■京浜東北線[* 1];駅番号: JK26[報道 3];キロ程: 0.0 km（東京起点）大宮から30.3 km;所属路線: ■山手線[* 1];駅番号: JY01[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■中央線[* 1];駅番号: JC01[報道 3];キロ程: 神田から1.3 km;所属路線: ■横須賀線・総武線（快速）[* 1];駅番号: JO19[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■京葉線（■武蔵野線直通含む）;駅番号: JE01[報道 3];キロ程: 0.0 km（東京起点）;備考: 直営駅（管理駅）みどりの窓口有  東京山手線内・東京都区内駅（中心駅）;1・2:  中央線;3:  京浜東北線;4:  山手線;5: 外回り;6:  京浜東北線;7・8:  上野東京ライン（宇都宮・高崎線・ 常磐線）;9・10:  東海道線（上野東京ライン）;20 - 23:  東北・山形・秋田・北海道新幹線;1・2:  横須賀線;3・4:  総武線（快速）;1 - 4:  京葉線;1:;2:;3・6:;4・5:;7:;8:;9・10:;20 - 23:;総武地下1:;総武地下2・3:;総武地下4:;京葉地下1 - 4:;所在地: 東京都千代田区丸の内一丁目9-1北緯35度40分52秒東経139度46分0秒﻿ / ﻿北緯35.68111度 東経139.76667度﻿ / 35.68111; 139.76667﻿ (JR 東京駅);所属事業者: 東海旅客鉄道（JR東海）;所属路線: ■東海道新幹線;キロ程: 0.0 km（東京起点）;電報略号: トウ;駅構造: 高架駅;ホーム: 3面6線;乗車人員-統計年度-: 98,120人/日（降車客含まず）-2019年-;開業年月日: 1964年（昭和39年）10月1日;備考: 駅長配置駅（管理駅）JR全線きっぷうりば有  東京山手線内・東京都区内駅（中心駅）;14 - 19:  東海道新幹線;所在地: 東京都千代田区丸の内一丁目6-5北緯35度40分54秒東経139度45分53.4秒﻿ / ﻿北緯35.68167度 東経139.764833度﻿ / 35.68167; 139.764833﻿ (東京メトロ 東京駅);駅番号: M17[16];所属事業者: 東京地下鉄（東京メトロ）;所属路線: ●[16]丸ノ内線;キロ程: 8.7 km（池袋起点）;電報略号: トウ;駅構造: 地下駅;ホーム: 1面2線;乗降人員-統計年度-: 216,749人/日-2019年-;開業年月日: 1956年（昭和31年）7月20日;1:  丸ノ内線;2: 池袋方面;所在地: 東京都千代田区丸の内一丁目;所属事業者: 東日本旅客鉄道（JR東日本・駅詳細）東海旅客鉄道（JR東海・駅詳細）東京地下鉄（東京メトロ・駅詳細）;所在地: 東京都千代田区丸の内一丁目9-1.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度40分52秒東経139度46分0秒﻿ / ﻿北緯35.68111度 東経139.76667度﻿ / 35.68111; 139.76667﻿ (JR 東京駅)座標: 北緯35度40分52秒東経139度46分0秒﻿ / ﻿北緯35.68111度 東経139.76667度﻿ / 35.68111; 139.76667﻿ (JR 東京駅);所属事業者: 東日本旅客鉄道（JR東日本）;電報略号: トウ;駅構造: 高架駅・地下駅;ホーム: 2面4線（新幹線）5面10線（在来線・高架）2面4線（在来線・総武地下）2面4線（在来線・京葉地下）;乗車人員-統計年度-: 462,589人/日（降車客含まず）-2019年-;開業年月日: 1914年（大正3年）12月20日;所属路線: ■東北新幹線（■山形新幹線・■秋田新幹線・北海道新幹線・上越新幹線・北陸新幹線直通含む）;キロ程: 0.0 km（東京起点）;所属路線: ■東海道線[* 1]（上野東京ライン）;駅番号: JT01[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■宇都宮線[* 1]（上野東京ライン）（高崎線・■常磐線直通含む）;駅番号: JU01[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■京浜東北線[* 1];駅番号: JK26[報道 3];キロ程: 0.0 km（東京起点）大宮から30.3 km;所属路線: ■山手線[* 1];駅番号: JY01[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■中央線[* 1];駅番号: JC01[報道 3];キロ程: 神田から1.3 km;所属路線: ■横須賀線・総武線（快速）[* 1];駅番号: JO19[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■京葉線（■武蔵野線直通含む）;駅番号: JE01[報道 3];キロ程: 0.0 km（東京起点）;備考: 直営駅（管理駅）みどりの窓口有  東京山手線内・東京都区内駅（中心駅）;1・2:  中央線;3:  京浜東北線;4:  山手線;5: 外回り;6:  京浜東北線;7・8:  上野東京ライン（宇都宮・高崎線・ 常磐線）;9・10:  東海道線（上野東京ライン）;20 - 23:  東北・山形・秋田・北海道新幹線;1・2:  横須賀線;3・4:  総武線（快速）;1 - 4:  京葉線;1:;2:;3・6:;4・5:;7:;8:;9・10:;20 - 23:;総武地下1:;総武地下2・3:;総武地下4:;京葉地下1 - 4:;所在地: 東京都千代田区丸の内一丁目9-1北緯35度40分52秒東経139度46分0秒﻿ / ﻿北緯35.68111度 東経139.76667度﻿ / 35.68111; 139.76667﻿ (JR 東京駅);所属事業者: 東海旅客鉄道（JR東海）;所属路線: ■東海道新幹線;キロ程: 0.0 km（東京起点）;電報略号: トウ;駅構造: 高架駅;ホーム: 3面6線;乗車人員-統計年度-: 98,120人/日（降車客含まず）-2019年-;開業年月日: 1964年（昭和39年）10月1日;備考: 駅長配置駅（管理駅）JR全線きっぷうりば有  東京山手線内・東京都区内駅（中心駅）;14 - 19:  東海道新幹線;所在地: 東京都千代田区丸の内一丁目6-5北緯35度40分54秒東経139度45分53.4秒﻿ / ﻿北緯35.68167度 東経139.764833度﻿ / 35.68167; 139.764833﻿ (東京メトロ 東京駅);駅番号: M17[16];所属事業者: 東京地下鉄（東京メトロ）;所属路線: ●[16]丸ノ内線;キロ程: 8.7 km（池袋起点）;電報略号: トウ;駅構造: 地下駅;ホーム: 1面2線;乗降人員-統計年度-: 216,749人/日-2019年-;開業年月日: 1956年（昭和31年）7月20日;1:  丸ノ内線;2: 池袋方面;所在地: 東京都千代田区丸の内一丁目;所属事業者: 東日本旅客鉄道（JR東日本・駅詳細）東海旅客鉄道（JR東海・駅詳細）東京地下鉄（東京メトロ・駅詳細）;所在地: 東京都千代田区丸の内一丁目9-1.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度40分52秒東経139度46分0秒﻿ / ﻿北緯35.68111度 東経139.76667度﻿ / 35.68111; 139.76667﻿ (JR 東京駅)座標: 北緯35度40分52秒東経139度46分0秒﻿ / ﻿北緯35.68111度 東経139.76667度﻿ / 35.68111; 139.76667﻿ (JR 東京駅);所属事業者: 東日本旅客鉄道（JR東日本）;電報略号: トウ;駅構造: 高架駅・地下駅;ホーム: 2面4線（新幹線）5面10線（在来線・高架）2面4線（在来線・総武地下）2面4線（在来線・京葉地下）;乗車人員-統計年度-: 462,589人/日（降車客含まず）-2019年-;開業年月日: 1914年（大正3年）12月20日;所属路線: ■東北新幹線（■山形新幹線・■秋田新幹線・北海道新幹線・上越新幹線・北陸新幹線直通含む）;キロ程: 0.0 km（東京起点）;所属路線: ■東海道線[* 1]（上野東京ライン）;駅番号: JT01[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■宇都宮線[* 1]（上野東京ライン）（高崎線・■常磐線直通含む）;駅番号: JU01[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■京浜東北線[* 1];駅番号: JK26[報道 3];キロ程: 0.0 km（東京起点）大宮から30.3 km;所属路線: ■山手線[* 1];駅番号: JY01[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■中央線[* 1];駅番号: JC01[報道 3];キロ程: 神田から1.3 km;所属路線: ■横須賀線・総武線（快速）[* 1];駅番号: JO19[報道 3];キロ程: 0.0 km（東京起点）;所属路線: ■京葉線（■武蔵野線直通含む）;駅番号: JE01[報道 3];キロ程: 0.0 km（東京起点）;備考: 直営駅（管理駅）みどりの窓口有  東京山手線内・東京都区内駅（中心駅）;1・2:  中央線;3:  京浜東北線;4:  山手線;5: 外回り;6:  京浜東北線;7・8:  上野東京ライン（宇都宮・高崎線・ 常磐線）;9・10:  東海道線（上野東京ライン）;20 - 23:  東北・山形・秋田・北海道新幹線;1・2:  横須賀線;3・4:  総武線（快速）;1 - 4:  京葉線;1:;2:;3・6:;4・5:;7:;8:;9・10:;20 - 23:;総武地下1:;総武地下2・3:;総武地下4:;京葉地下1 - 4:;所在地: 東京都千代田区丸の内一丁目9-1北緯35度40分52秒東経139度46分0秒﻿ / ﻿北緯35.68111度 東経139.76667度﻿ / 35.68111; 139.76667﻿ (JR 東京駅);所属事業者: 東海旅客鉄道（JR東海）;所属路線: ■東海道新幹線;キロ程: 0.0 km（東京起点）;電報略号: トウ;駅構造: 高架駅;ホーム: 3面6線;乗車人員-統計年度-: 98,120人/日（降車客含まず）-2019年-;開業年月日: 1964年（昭和39年）10月1日;備考: 駅長配置駅（管理駅）JR全線きっぷうりば有  東京山手線内・東京都区内駅（中心駅）;14 - 19:  東海道新幹線;所在地: 東京都千代田区丸の内一丁目6-5北緯35度40分54秒東経139度45分53.4秒﻿ / ﻿北緯35.68167度 東経139.764833度﻿ / 35.68167; 139.764833﻿ (東京メトロ 東京駅);駅番号: M17[16];所属事業者: 東京地下鉄（東京メトロ）;所属路線: ●[16]丸ノ内線;キロ程: 8.7 km（池袋起点）;電報略号: トウ;駅構造: 地下駅;ホーム: 1面2線;乗降人員-統計年度-: 216,749人/日-2019年-;開業年月日: 1956年（昭和31年）7月20日;1:  丸ノ内線;2: 池袋方面","新東京百景","表形式"
"国会議事堂","4国会議事堂千代田区永田町1-7-1国会議事堂前駅","https://ja.wikipedia.org/wiki/国会議事堂","北緯35度40分33.2秒東経139度44分41.9秒","旧名称: 帝国議会議事堂;用途: 日本国国会の開催（1947年 ‐ ）;旧用途: 大日本帝国議会の開催（1936年 ‐ 1947年）;設計者: 大蔵省臨時議院建築局;構造形式: 鉄骨鉄筋コンクリート造;敷地面積: 103,001 m²;建築面積: 13,356 m²;延床面積: 53,464 m²;状態: 完成;階数: 地上3階、地下1階、中央塔4階（塔屋最上部9階）;高さ: 両翼20．91m、中央塔65.45m;着工: 1920年（大正9年）1月30日;竣工: 1936年（昭和11年）11月7日;所在地: 〒100-0014東京都千代田区永田町1-7-1;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度40分33.2秒東経139度44分41.9秒﻿ / ﻿北緯35.675889度 東経139.744972度﻿ / 35.675889; 139.744972﻿ (国会議事堂National Diet Building)座標: 北緯35度40分33.2秒東経139度44分41.9秒﻿ / ﻿北緯35.675889度 東経139.744972度﻿ / 35.675889; 139.744972﻿ (国会議事堂National Diet Building)","新東京百景","表形式"
"日比谷公園","5日比谷公園千代田区日比谷公園日比谷駅","https://ja.wikipedia.org/wiki/日比谷公園","北緯35度40分25秒東経139度45分22秒","分類: 都市公園;所在地: 日本東京都千代田区;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯35度40分25秒東経139度45分22秒﻿ / ﻿北緯35.67361度 東経139.75611度﻿ / 35.67361; 139.75611座標: 北緯35度40分25秒東経139度45分22秒﻿ / ﻿北緯35.67361度 東経139.75611度﻿ / 35.67361; 139.75611;面積: 16.2ha;前身: 大日本帝国陸軍近衛師団練兵場;開園: 1903年6月1日;設計者: 本多静六（総括）、本郷高徳、福羽逸人（花壇）;運営者: 東京都公園協会2011～2015年度指定管理者;現況: 年中開放;設備・遊具: 日比谷公会堂、大音楽堂、小音楽堂、陳列場、日比谷図書文化館、テニスコート、児童遊園、軽飲食店、緑と水の市民カレッジ;駐車場: なし;アクセス: 霞ケ関駅・日比谷駅・内幸町駅徒歩2分、有楽町駅徒歩8分;事務所: 日比谷公園管理所;事務所所在地: 東京都千代田区日比谷公園1番6号;備考: 日本初の「洋風近代式公園」;公式サイト: 公式ホームページ","新東京百景","表形式"
"皇居東御苑","6皇居東御苑千代田区千代田大手町駅","https://ja.wikipedia.org/wiki/皇居東御苑","","","新東京百景","表形式"
"神田明神","7明神・聖堂・ニコライ堂千代田区外神田2、文京区湯島1、千代田区神田駿河台4御茶ノ水駅など","https://ja.wikipedia.org/wiki/神田明神","北緯35度42分7.3秒東経139度46分4.4秒","所在地: 東京都千代田区外神田2丁目16番2号[1];位置: 北緯35度42分7.3秒東経139度46分4.4秒座標: 北緯35度42分7.3秒 東経139度46分4.4秒;主祭神: 大己貴命少彦名命平将門命[1];社格等: 旧准勅祭社、旧府社、別表神社;創建: 伝天平2年（730年）[1];本殿の様式: 入母屋造本瓦型銅板葺;札所等: 東京十社;例祭: 5月15日頃（神田祭）;地図: 神田神社東京都区部の地図を表示神田神社日本の地図を表示","新東京百景","表形式"
"中央通り (東京都)","8銀座通り中央区銀座1〜8銀座駅など","https://ja.wikipedia.org/wiki/中央通り_(東京都)","","南端: 東京都港区新橋一丁目[1];北端: 東京都台東区上野六丁目[1]","新東京百景","表形式"
"日本橋 (東京都中央区)","9日本橋中央区日本橋1-1日本橋駅","https://ja.wikipedia.org/wiki/日本橋_(東京都中央区)","","国:  日本;都道府県:  東京都;特別区:  中央区;地域: 日本橋地域;• 合計: 341人;等時帯: UTC+9(日本標準時);郵便番号: 103-0027[12];市外局番: 03[13];ナンバープレート: 品川","新東京百景","表形式"
"浜離宮庭園","10浜離宮庭園中央区浜離宮庭園汐留駅","https://ja.wikipedia.org/wiki/浜離宮庭園","","国: 日本;都道府県: 東京都;特別区: 中央区;地域: 京橋地域;標高: 5m;• 合計: 0人;等時帯: UTC+9(日本標準時);郵便番号: 104-0046[2];市外局番: 03[3];ナンバープレート: 品川","新東京百景","表形式"
