"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"松前公園"," 松前公園（松前町）","https://ja.wikipedia.org/wiki/松前公園","北緯41度25分49.17秒東経140度6分30.96秒","別名: 福山城;城郭構造: 平山城;天守構造: 独立式層塔型3重3階（1855年（安政元年）築 非現存）（1960年RC造外観復元）;築城主: 松前崇広;築城年: 安政元年（1855年）;主な城主: 松前氏;廃城年: 1874年;遺構: 本丸御門、御殿玄関、石垣、土塁堀;指定文化財: 国の重要文化財（本丸御門）国の史跡北海道有形文化財（御殿玄関）;再建造物: 天守;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯41度25分49.17秒東経140度6分30.96秒﻿ / ﻿北緯41.4303250度 東経140.1086000度﻿ / 41.4303250; 140.1086000;地図: 松前城;階層（内部階）:;3階: 21尺;2階: 30尺;1階: 39尺;総高（櫓台上から棟）: 5丈4尺6寸;出典: 『復原『名城天守』』[72];別名: 福山城;城郭構造: 平山城;天守構造: 独立式層塔型3重3階（1855年（安政元年）築 非現存）（1960年RC造外観復元）;築城主: 松前崇広;築城年: 安政元年（1855年）;主な城主: 松前氏;廃城年: 1874年;遺構: 本丸御門、御殿玄関、石垣、土塁堀;指定文化財: 国の重要文化財（本丸御門）国の史跡北海道有形文化財（御殿玄関）;再建造物: 天守;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯41度25分49.17秒東経140度6分30.96秒﻿ / ﻿北緯41.4303250度 東経140.1086000度﻿ / 41.4303250; 140.1086000;地図: 松前城;階層（内部階）:;3階: 21尺;2階: 30尺;1階: 39尺;総高（櫓台上から棟）: 5丈4尺6寸;出典: 『復原『名城天守』』[72]","日本さくら名所100選","箇条書き"
"二十間道路桜並木"," 二十間道路桜並木（新ひだか町）","https://ja.wikipedia.org/wiki/二十間道路桜並木","北緯42度20分28.5秒東経142度22分7秒","国: 日本;地方: 北海道地方;都道府県: 北海道（日高振興局）;郡: 日高郡;市町村コード: 01610-1;法人番号: 8000020016101;面積: 1,147.55km2;総人口: 21,586人 [編集]（住民基本台帳人口、2021年4月30日）;人口密度: 18.8人/km2;隣接自治体: 浦河郡浦河町、新冠郡新冠町、広尾郡大樹町、河西郡中札内村;町の木: エゾヤマサクラ、アオダモ（共に2006年（平成18年）7月14日制定）;町の花: エゾヤマツツジ、ハマナス（共に2006年（平成18年）7月14日制定）;他のシンボル: なし;町長: [編集]大野克之;所在地: 〒056-8650北海道日高郡新ひだか町静内御幸町3丁目2番50号北緯42度20分28.5秒東経142度22分7秒;外部リンク: 公式ウェブサイト","日本さくら名所100選","箇条書き"
"弘前公園"," 弘前公園（青森県弘前市）","https://ja.wikipedia.org/wiki/弘前公園","北緯40度36分28.93秒東経140度27分49.7秒","分類: 都市公園（総合公園）;所在地: 日本青森県弘前市大字下白銀町1;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯40度36分28.93秒東経140度27分49.7秒﻿ / ﻿北緯40.6080361度 東経140.463806度﻿ / 40.6080361; 140.463806座標: 北緯40度36分28.93秒東経140度27分49.7秒﻿ / ﻿北緯40.6080361度 東経140.463806度﻿ / 40.6080361; 140.463806;面積: 約48.9ha;前身: 弘前城;開園: 1895年;運営者: 弘前市;設備・遊具: 弘前城天守（史料館）、弘前市立博物館、弘前市民会館、弘前城植物園、弘前市緑の相談所、西濠ボート;アクセス: JR・弘南鉄道弘前駅から弘南バス約15分;公式サイト: 弘前市のサイト","日本さくら名所100選","箇条書き"
"芦野池沼群県立自然公園"," 芦野池沼群県立自然公園藤枝ため池（青森県五所川原市）","https://ja.wikipedia.org/wiki/芦野池沼群県立自然公園","北緯40度55分09秒東経140度26分60秒","分類: 都道府県立自然公園;所在地: 日本青森県五所川原市北津軽郡中泊町;座標: 北緯40度55分09秒東経140度26分60秒;面積: 612ha;告示: 1983年（昭和58年）11月19日指定","日本さくら名所100選","箇条書き"
"高松公園"," 高松公園（岩手県盛岡市）","https://ja.wikipedia.org/wiki/高松公園","","分類: 風致公園;所在地: 日本岩手県盛岡市高松1丁目;面積: 5,1ha;前身: 上田提","日本さくら名所100選","箇条書き"
"北上市立公園展勝地"," 北上市立公園展勝地（岩手県北上市）","https://ja.wikipedia.org/wiki/北上市立公園展勝地","北緯39度16分51.57秒東経141度7分45.3秒","所在地: 岩手県北上市立花10地割;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯39度16分51.57秒東経141度7分45.3秒﻿ / ﻿北緯39.2809917度 東経141.129250度﻿ / 39.2809917; 141.129250座標: 北緯39度16分51.57秒東経141度7分45.3秒﻿ / ﻿北緯39.2809917度 東経141.129250度﻿ / 39.2809917; 141.129250;アクセス: 東日本旅客鉄道（JR東日本）東北新幹線・東北本線・北上線北上駅下車徒歩20分;公式サイト: 岩手県北上市 きたかみ魅力辞典 - 展勝地公園","日本さくら名所100選","箇条書き"
"船岡城"," 船岡城址公園・白石川堤（宮城県大河原町・柴田町）","https://ja.wikipedia.org/wiki/船岡城","北緯38度3分12.6秒東経140度45分17.8秒","別名: 四保館、芝田城、柴田城、船岡要害、舟岡要害;城郭構造: 山城;天守構造: なし;築城主: 芝田次郎;築城年: 1200年（正治2年）以前?;主な城主: 四保氏、原田氏、柴田氏;遺構: なし;指定文化財: 柴田町指定史跡[1];位置: 北緯38度3分12.6秒東経140度45分17.8秒;地図: 船岡城;山頂駅: 約120m;山腹駅: 約50m;別名: 四保館、芝田城、柴田城、船岡要害、舟岡要害;城郭構造: 山城;天守構造: なし;築城主: 芝田次郎;築城年: 1200年（正治2年）以前?;主な城主: 四保氏、原田氏、柴田氏;遺構: なし;指定文化財: 柴田町指定史跡[1];位置: 北緯38度3分12.6秒東経140度45分17.8秒;地図: 船岡城;山頂駅: 約120m;山腹駅: 約50m;別名: 四保館、芝田城、柴田城、船岡要害、舟岡要害;城郭構造: 山城;天守構造: なし;築城主: 芝田次郎;築城年: 1200年（正治2年）以前?;主な城主: 四保氏、原田氏、柴田氏;遺構: なし;指定文化財: 柴田町指定史跡[1];位置: 北緯38度3分12.6秒東経140度45分17.8秒;地図: 船岡城;山頂駅: 約120m;山腹駅: 約50m","日本さくら名所100選","箇条書き"
"千秋公園"," 千秋公園（秋田県秋田市）","https://ja.wikipedia.org/wiki/千秋公園","北緯39度43分20秒東経140度7分26秒","分類: 都市公園（総合公園）;所在地: 日本秋田県秋田市千秋公園;座標: 北緯39度43分20秒東経140度7分26秒;面積: 16.29ヘクタール;運営者: 秋田市;駐車場: 14台（30分100円のコインパーキング）;告示: 1896年（明治29年）;公式サイト: 秋田市のサイト","日本さくら名所100選","箇条書き"
"真人公園"," 真人公園（秋田県横手市）","https://ja.wikipedia.org/wiki/真人公園","北緯39度12分35秒東経140度34分23秒","分類: 都市公園（総合公園）;所在地: 日本秋田県横手市増田町亀田;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯39度12分35秒東経140度34分23秒﻿ / ﻿北緯39.20972度 東経140.57306度﻿ / 39.20972; 140.57306座標: 北緯39度12分35秒東経140度34分23秒﻿ / ﻿北緯39.20972度 東経140.57306度﻿ / 39.20972; 140.57306;面積: 5.46ha;設計者: 長岡安平;設備・遊具: ボート池、屋外ステージ、フィールドアスレチック、リンゴの唄歌碑;駐車場: あり;告示: 1967年11月15日","日本さくら名所100選","箇条書き"
"桧木内川"," 桧木内川堤・角館武家屋敷（秋田県仙北市）","https://ja.wikipedia.org/wiki/桧木内川#桧木内川堤","","水系: 一級水系雄物川;種別: 一級河川;延長: 33 km;平均流量: -- m³/s;流域面積: -- km²;水源: 高崎森（仙北市）;水源の標高: 933 m;河口・合流先: 玉川（仙北市）;流域: 秋田県","日本さくら名所100選","箇条書き"
