"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"茨城県立カシマサッカースタジアム","茨城県立カシマサッカースタジアム","https://ja.wikipedia.org/wiki/茨城県立カシマサッカースタジアム","北緯35度59分30.25秒東経140度38分25.92秒","所在地: 茨城県鹿嶋市神向寺26-2;位置: 北緯35度59分30.25秒東経140度38分25.92秒﻿ / ﻿北緯35.9917361度 東経140.6405333度﻿ / 35.9917361; 140.6405333座標: 北緯35度59分30.25秒東経140度38分25.92秒﻿ / ﻿北緯35.9917361度 東経140.6405333度﻿ / 35.9917361; 140.6405333;所有者: 茨城県;運用者: 株式会社鹿島アントラーズ・エフ・シー;グラウンド: 天然芝;ピッチサイズ: 105 x 68m;照明: 1500ルクス;大型映像装置: オーロラビジョンおよび帯状映像装置（リボンビジョン）;建設費: 193億（改修費）;設計者: 茨城県土木部、日建設計;建設者: 竹中工務店・住友・常総・JV、勝村・岡部・JV","日本のサッカー競技場一覧","箇条書き",""
"埼玉スタジアム2002","埼玉スタジアム2002","https://ja.wikipedia.org/wiki/埼玉スタジアム2002","北緯35度54分11.19秒東経139度43分3.37秒","所在地: 埼玉県さいたま市緑区美園二丁目1番地;位置: 北緯35度54分11.19秒東経139度43分3.37秒﻿ / ﻿北緯35.9031083度 東経139.7176028度﻿ / 35.9031083; 139.7176028座標: 北緯35度54分11.19秒東経139度43分3.37秒﻿ / ﻿北緯35.9031083度 東経139.7176028度﻿ / 35.9031083; 139.7176028;起工: 1998年5月9日;開場: 2001年10月6日;所有者: 埼玉県;運用者: 公益財団法人埼玉県公園緑地協会;グラウンド: 天然芝;ピッチサイズ: 105 m x 68 m;照明: 平均2,000ルクス(ハイビジョン放送対応);大型映像装置: オーロラビジョン2基;建設費: 約356億円（設計価格 約404億円）（用地費等含む公園整備総額766億円）;設計者: 埼玉県県土整備部スタジアム施設課（設計・監理）、梓設計（管理）;建設者: 鹿島建設（施工建築）","日本のサッカー競技場一覧","箇条書き","2002 FIFAワールドカップを日本で開催する為に作られたサッカースタジアムの一つである。日本国内のサッカー専用競技場としては最大となる63,700人を収容できるスタジアムで、日本プロサッカーリーグ（Jリーグ）、サッカー日本代表の国際Aマッチなどでも使用されている。こけら落しは2001年10月13日のJ1リーグ戦・浦和レッズvs横浜F・マリノスで、この試合の観客60,553人は当時のJリーグ最多記録となった。"
"御崎公園球技場","ノエビアスタジアム神戸（御崎公園球技場）※1","https://ja.wikipedia.org/wiki/御崎公園球技場","北緯34度39分24.15秒東経135度10分8.27秒","所在地: 兵庫県神戸市兵庫区御崎町1-2-2;位置: 北緯34度39分24.15秒東経135度10分8.27秒﻿ / ﻿北緯34.6567083度 東経135.1689639度﻿ / 34.6567083; 135.1689639座標: 北緯34度39分24.15秒東経135度10分8.27秒﻿ / ﻿北緯34.6567083度 東経135.1689639度﻿ / 34.6567083; 135.1689639;起工: 1999年10月;開場: 2001年10月（竣工）;所有者: 神戸市;運用者: 楽天ヴィッセル神戸;グラウンド: SISGrass;ピッチサイズ: 105 x 68 m;大型映像装置: LED方式 2面;建設費: 230億円;設計者: 大林組・神戸製鋼所JV;建設者: 大林組・神戸製鋼所JV;所在地: 神戸市兵庫区;開設: 1949年10月15日;閉場: 1960年12月8日;所有者: 神戸市;施行者: 神戸市、兵庫県等;走路: 500m;名称: 不明;開催月: 9月;所在地: 兵庫県神戸市兵庫区御崎町1-2-2;位置: 北緯34度39分24.15秒東経135度10分8.27秒﻿ / ﻿北緯34.6567083度 東経135.1689639度﻿ / 34.6567083; 135.1689639座標: 北緯34度39分24.15秒東経135度10分8.27秒﻿ / ﻿北緯34.6567083度 東経135.1689639度﻿ / 34.6567083; 135.1689639;起工: 1999年10月;開場: 2001年10月（竣工）;所有者: 神戸市;運用者: 楽天ヴィッセル神戸;グラウンド: SISGrass;ピッチサイズ: 105 x 68 m;大型映像装置: LED方式 2面;建設費: 230億円;設計者: 大林組・神戸製鋼所JV;建設者: 大林組・神戸製鋼所JV;所在地: 神戸市兵庫区;開設: 1949年10月15日;閉場: 1960年12月8日;所有者: 神戸市;施行者: 神戸市、兵庫県等;走路: 500m;名称: 不明;開催月: 9月","日本のサッカー競技場一覧","箇条書き","なお、神戸市中央区に本社を置くノエビアが命名権を取得しており、2013年3月1日から「ノエビアスタジアム神戸」（ノエビアスタジアムこうべ、略称「ノエスタ」）の呼称を用いている（後述）。なお、命名権が導入されるまでの愛称は神戸ウイングスタジアム（こうべウイングスタジアム）である。"
"札幌ドーム","札幌ドーム","https://ja.wikipedia.org/wiki/札幌ドーム","北緯43度0分54.46秒東経141度24分35.18秒","所在地: 北海道札幌市豊平区羊ケ丘1;座標: 北緯43度0分54.46秒東経141度24分35.18秒﻿ / ﻿北緯43.0151278度 東経141.4097722度﻿ / 43.0151278; 141.4097722座標: 北緯43度0分54.46秒東経141度24分35.18秒﻿ / ﻿北緯43.0151278度 東経141.4097722度﻿ / 43.0151278; 141.4097722;起工: 1998年（平成10年）;開場: 2001年（平成13年）6月2日;所有者: 札幌市;管理・運用者: 株式会社札幌ドーム;グラウンド: 天然芝（サッカー）人工芝（野球）;ダグアウト: ホーム - 三塁側 ビジター - 一塁側;建設費: 約422億円;設計者: 原広司、アトリエ・ファイ建築研究所、アトリエブンク;建設者: 大成建設、竹中工務店、シャール・ボヴィス共同企業体;球場規模: サッカーピッチサイズ - 105m×68m野球　両翼 - 100m （約328.1 ft）　中堅 - 122m （約400.3 ft）　左右中間 - 116m（約380.6ft）　　グラウンド面積 - 14,460m2;フェンス: 5.75m （約18.9 ft）;種類: 株式会社;市場情報: 非上場;本社所在地:  日本〒062-0045札幌市豊平区羊ケ丘1番地;設立: 1998年10月1日 (22年前) (1998-10-01);業種: サービス業;法人番号: 2430001025174;事業内容: 貸館、商業、観光事業;代表者: 山川広行（代表取締役社長）;資本金: 10億円;発行済株式総数: 2万株;売上高: 39億7200万円（2020年03月31日時点）;営業利益: 2億2900万円（2020年03月31日時点）;経常利益: 4億1000万円（2020年03月31日時点）;純利益: 1億8800万円（2020年03月31日時点）;純資産: 29億9500万円（2020年03月31日時点）;総資産: 40億3500万円（2020年03月31日時点）;従業員数: 71人（2019年）;決算期: 3月末日;主要株主: 札幌市55%札幌商工会議所5%北海道電力5%2018年時点;関係する人物: 長沼修（元社長）町田隆敏（副社長）;外部リンク: 札幌ドーム;周波数(kHz): 567;放送局名: NHK札幌第1;所在地: 北海道札幌市豊平区羊ケ丘1;座標: 北緯43度0分54.46秒東経141度24分35.18秒﻿ / ﻿北緯43.0151278度 東経141.4097722度﻿ / 43.0151278; 141.4097722座標: 北緯43度0分54.46秒東経141度24分35.18秒﻿ / ﻿北緯43.0151278度 東経141.4097722度﻿ / 43.0151278; 141.4097722;起工: 1998年（平成10年）;開場: 2001年（平成13年）6月2日;所有者: 札幌市;管理・運用者: 株式会社札幌ドーム;グラウンド: 天然芝（サッカー）人工芝（野球）;ダグアウト: ホーム - 三塁側 ビジター - 一塁側;建設費: 約422億円;設計者: 原広司、アトリエ・ファイ建築研究所、アトリエブンク;建設者: 大成建設、竹中工務店、シャール・ボヴィス共同企業体;球場規模: サッカーピッチサイズ - 105m×68m野球　両翼 - 100m （約328.1 ft）　中堅 - 122m （約400.3 ft）　左右中間 - 116m（約380.6ft）　　グラウンド面積 - 14,460m2;フェンス: 5.75m （約18.9 ft）;種類: 株式会社;市場情報: 非上場;本社所在地:  日本〒062-0045札幌市豊平区羊ケ丘1番地;設立: 1998年10月1日 (22年前) (1998-10-01);業種: サービス業;法人番号: 2430001025174;事業内容: 貸館、商業、観光事業;代表者: 山川広行（代表取締役社長）;資本金: 10億円;発行済株式総数: 2万株;売上高: 39億7200万円（2020年03月31日時点）;営業利益: 2億2900万円（2020年03月31日時点）;経常利益: 4億1000万円（2020年03月31日時点）;純利益: 1億8800万円（2020年03月31日時点）;純資産: 29億9500万円（2020年03月31日時点）;総資産: 40億3500万円（2020年03月31日時点）;従業員数: 71人（2019年）;決算期: 3月末日;主要株主: 札幌市55%札幌商工会議所5%北海道電力5%2018年時点;関係する人物: 長沼修（元社長）町田隆敏（副社長）;外部リンク: 札幌ドーム;周波数(kHz): 567;放送局名: NHK札幌第1","日本のサッカー競技場一覧","箇条書き","日本で唯一の完全屋内天然芝サッカースタジアムであり、天然芝サッカー場移動方式「ホヴァリングシステム」を世界で初めて採用した。このシステムによりサッカー用天然芝グラウンドと野球用人工芝グラウンドの併用が可能となっている。「第44回BCS賞」・平成14年度（2002年）「赤レンガ建築賞」受賞。"
"宮城スタジアム","ひとめぼれスタジアム宮城（宮城スタジアム）","https://ja.wikipedia.org/wiki/宮城スタジアム","北緯38度20分12.913秒東経140度57分11.185秒","所在地: 宮城県宮城郡利府町菅谷字舘40-1;位置: 北緯38度20分12.913秒東経140度57分11.185秒﻿ / ﻿北緯38.33692028度 東経140.95310694度﻿ / 38.33692028; 140.95310694座標: 北緯38度20分12.913秒東経140度57分11.185秒﻿ / ﻿北緯38.33692028度 東経140.95310694度﻿ / 38.33692028; 140.95310694;起工: 1996年（平成8年）10月;開場: 2000年（平成12年）3月31日;所有者: 宮城県;運用者: G21指定管理グループ（（公財）宮城県スポーツ振興財団・同和興業・セントラルスポーツ）（指定管理者）;グラウンド: 天然芝;ピッチサイズ: 107m× 71m;照明: 1500 lx;大型映像装置: 1基;建設費: 約270億円;設計者: 針生・阿部共同アトリエ;建設者: 奥村組","日本のサッカー競技場一覧","箇条書き","2020年4月1日よりキューアンドエーが命名権を取得し、「キューアンドエースタジアムみやぎ」の呼称を用いている（詳細は後述）。"
"横浜国際総合競技場","日産スタジアム（横浜国際総合競技場）","https://ja.wikipedia.org/wiki/横浜国際総合競技場","北緯35度30分37.01秒東経139度36分22.19秒","所在地: 神奈川県横浜市港北区小机町3300;位置: 北緯35度30分37.01秒東経139度36分22.19秒﻿ / ﻿北緯35.5102806度 東経139.6061639度﻿ / 35.5102806; 139.6061639座標: 北緯35度30分37.01秒東経139度36分22.19秒﻿ / ﻿北緯35.5102806度 東経139.6061639度﻿ / 35.5102806; 139.6061639;起工: 1994年;開場: 1998年;所有者: 横浜市;運用者: 横浜市スポーツ協会・横浜マリノス・管理JV共同事業体;グラウンド: 天然芝 (107 m x 72 m);ピッチサイズ: 105 m × 68 m;照明: 1500 - 2000ルクス（ゴール前）;大型映像装置: 2基;建設費: 総工費約603億円;設計者: 松田平田設計・東畑建築事務所共同企業体;建設者: 竹中工務店・奈良建設共同企業体ほか","日本のサッカー競技場一覧","箇条書き","建設省関東地方建設局（現・国土交通省関東地方整備局）が、1984年（昭和59年）に事業着手した「鶴見川多目的遊水地整備事業」に横浜市が共同事業者として「横浜総合運動公園（現・新横浜公園）整備事業」として参画し、その中核施設として建設された施設。神奈川県が主会場となった第53回国民体育大会秋季大会（かながわ・ゆめ国体）の主会場整備や2002 FIFAワールドカップ会場整備を念頭に1994年（平成6年）1月に建設着手し、約3年半の工期を経て1997年（平成9年）10月に竣工、翌1998年（平成10年）3月に供用を開始した。日本国内最大の72,327席（二層式）の観客収容能力を誇る屋外多目的競技場でもある。建物高さは最高51.96m、軒高43.86m。"
"新潟スタジアム","デンカビッグスワンスタジアム（新潟スタジアム）※2","https://ja.wikipedia.org/wiki/新潟スタジアム","北緯37度52分57.41秒東経139度03分33.01秒","正式名称: 新潟県立鳥屋野潟公園新潟スタジアム;所在地: 新潟市中央区清五郎67番地12;位置: 北緯37度52分57.41秒東経139度03分33.01秒﻿ / ﻿北緯37.8826139度 東経139.0591694度﻿ / 37.8826139; 139.0591694座標: 北緯37度52分57.41秒東経139度03分33.01秒﻿ / ﻿北緯37.8826139度 東経139.0591694度﻿ / 37.8826139; 139.0591694;開場: 2001年4月29日;所有者: 新潟県;運用者: アルビレックス新潟・都市緑花センターグループ（指定管理者）;グラウンド: 天然芝（107m x 72m）;ピッチサイズ: 105m x 68m;大型映像装置: 2基;設計者: 日建設計;建設者: 鹿島建設・福田組・加賀田組JV清水建設・本間組・丸運建設JV大成建設・第一建設工業・ロッテ建設JV","日本のサッカー競技場一覧","箇条書き","日本プロサッカーリーグ（Jリーグ）の正会員クラブであるアルビレックス新潟がホームスタジアムとして使用している。施設は新潟県が所有し、アルビレックス新潟・都市緑花センターグループが指定管理者として運営管理を行っている。"
"静岡県小笠山総合運動公園スタジアム","静岡県小笠山総合運動公園スタジアム(エコパスタジアム)","https://ja.wikipedia.org/wiki/静岡県小笠山総合運動公園スタジアム","北緯34度44分35.55秒東経137度58分13.83秒","所在地: 静岡県袋井市愛野2300-1;位置: 北緯34度44分35.55秒東経137度58分13.83秒﻿ / ﻿北緯34.7432083度 東経137.9705083度﻿ / 34.7432083; 137.9705083座標: 北緯34度44分35.55秒東経137度58分13.83秒﻿ / ﻿北緯34.7432083度 東経137.9705083度﻿ / 34.7432083; 137.9705083;起工: 1998年3月;開場: 2001年3月26日;所有者: 静岡県;運用者: 静岡県サッカー協会グループ;グラウンド: 天然芝（106 m × 72 m）;ピッチサイズ: 105 m × 68 m;大型映像装置: 2基;建設費: 292億5493百万円;設計者: 佐藤総合計画・斎藤公男JV;建設者: 鹿島・竹中・若杉・丸明JV住友・戸塚JV大林・木内・須山・川島JV銭高・石川JV大平・岡田・明管JV西原・浅岡・永井JV浅岡工業トーエネック明光・池戸JV新生・前島・川北JV","日本のサッカー競技場一覧","箇条書き",""
"長居陸上競技場","ヤンマースタジアム長居（長居陸上競技場）","https://ja.wikipedia.org/wiki/長居陸上競技場","","所在地: 大阪府大阪市東住吉区長居公園1-1;開場: 1964年;修繕: 1992年9月;拡張: 1996年5月;所有者: 大阪市;運用者: わくわくパークプロジェクトチーム;グラウンド: 天然芝;ピッチサイズ: 105m × 68m（天然芝フィールドは107m × 71m;大型映像装置: オーロラビジョン他;建設費: 401億円（改築時）;設計者: 大阪市都市整備局営繕部昭和設計（全面改築時）;建設者: 竹中工務店フジタ鴻池組（全面改築時）;所在地: 大阪市東住吉区東長居町385番地;開設: 1950年3月23日;閉場: 1962年3月21日（最終開催日）;所有者: 大阪市;施行者: 大阪市、布施市、吹田市;走路: 500m;名称: 全A級争覇競輪、全日本チャンピオン決定戦;開催月: 3月;所在地: 大阪府大阪市東住吉区長居公園1-1;開場: 1964年;修繕: 1992年9月;拡張: 1996年5月;所有者: 大阪市;運用者: わくわくパークプロジェクトチーム;グラウンド: 天然芝;ピッチサイズ: 105m × 68m（天然芝フィールドは107m × 71m;大型映像装置: オーロラビジョン他;建設費: 401億円（改築時）;設計者: 大阪市都市整備局営繕部昭和設計（全面改築時）;建設者: 竹中工務店フジタ鴻池組（全面改築時）;所在地: 大阪市東住吉区東長居町385番地;開設: 1950年3月23日;閉場: 1962年3月21日（最終開催日）;所有者: 大阪市;施行者: 大阪市、布施市、吹田市;走路: 500m;名称: 全A級争覇競輪、全日本チャンピオン決定戦;開催月: 3月","日本のサッカー競技場一覧","箇条書き","2014年からはネーミングライツの導入により、ヤンマースタジアム長居（ヤンマースタジアムながい）という名称が使用されている（#施設命名権を参照）。"
"大分スポーツ公園総合競技場","昭和電工ドーム大分（大分スポーツ公園総合競技場）※2","https://ja.wikipedia.org/wiki/大分スポーツ公園総合競技場","北緯33度12分3.2秒東経131度39分30.19秒","所在地: 大分県大分市大字横尾1351番地;位置: 北緯33度12分3.2秒東経131度39分30.19秒﻿ / ﻿北緯33.200889度 東経131.6583861度﻿ / 33.200889; 131.6583861座標: 北緯33度12分3.2秒東経131度39分30.19秒﻿ / ﻿北緯33.200889度 東経131.6583861度﻿ / 33.200889; 131.6583861;起工: 1998年4月;開場: 2001年3月;所有者: 大分県;運用者: 株式会社大宣;グラウンド: 天然芝（107m × 71m）;ピッチサイズ: 105m × 68m;照明: 1,500ルクス;大型映像装置: 1基;建設費: 251億円;設計者: KTグループJV(黒川紀章建築都市設計事務所・竹中工務店・さとうベネック・高山総合工業);建設者: KTグループJV(竹中工務店・さとうベネック・高山総合工業)","日本のサッカー競技場一覧","箇条書き",""
