"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"厚田村スキー場 (存在しないページ)","厚田村スキー場（2008年廃止）","https://ja.wikipedia.org/w/index.php?title=厚田村スキー場&amp;action=edit&amp;redlink=1","","","日本のスキー場一覧","箇条書き",""
"荒井山スキー場","荒井山スキー場（2006年廃止）","https://ja.wikipedia.org/wiki/荒井山スキー場","北緯43度03分6.6秒東経141度17分35.3秒","標高: 185 m;所在地: 北海道札幌市中央区;位置: 北緯43度03分6.6秒東経141度17分35.3秒﻿ / ﻿北緯43.051833度 東経141.293139度﻿ / 43.051833; 141.293139","日本のスキー場一覧","箇条書き","山と言っても実際には、大倉山の東側に扇状に広がる丘陵でしかないが、琴似川をはさんで相対する神社山とともにスキーの適地として知られていた。戦後に札幌市が買い上げて公園化し、季節を問わず市民から憩いの場として利用されている。その一方で平成年間に入るころには、かつて木々が繁っていた周辺はすっかり宅地化された。"
"石狩平原スキー場 (存在しないページ)","石狩平原スキー場","https://ja.wikipedia.org/w/index.php?title=石狩平原スキー場&amp;action=edit&amp;redlink=1","","","日本のスキー場一覧","箇条書き",""
"恵庭市民スキー場 (存在しないページ)","恵庭市民スキー場","https://ja.wikipedia.org/w/index.php?title=恵庭市民スキー場&amp;action=edit&amp;redlink=1","","","日本のスキー場一覧","箇条書き",""
"クラッセスノーパーク (存在しないページ)","クラッセスノーパーク","https://ja.wikipedia.org/w/index.php?title=クラッセスノーパーク&amp;action=edit&amp;redlink=1","","","日本のスキー場一覧","箇条書き",""
"札幌スキー場","札幌スキー場（廃止）","https://ja.wikipedia.org/wiki/札幌スキー場","北緯43度1分40秒東経141度19分38秒","所在地: 北海道札幌市南区;座標: 北緯43度1分40秒東経141度19分38秒﻿ / ﻿北緯43.02778度 東経141.32722度﻿ / 43.02778; 141.32722;開業日: 1946年;廃業日: 1958年;造設地形: 藻岩山","日本のスキー場一覧","箇条書き","札幌スキー場は、昭和 21年（1946年）、日本で初めてのリフトを備えたスキー場として、北海道札幌市南区にある藻岩山（もいわやま）に開かれた。日本初のスキーリフトとされることの多い志賀高原丸池スキー場のリフトは昭和22年（1947年）1月20日に試運転をしている。札幌スキー場はその前年、12月24日に試運転をしており、札幌スキー場のリフトの方が一月ほど早く稼働している。"
"札幌国際スキー場","札幌国際スキー場","https://ja.wikipedia.org/wiki/札幌国際スキー場","北緯43度04分20秒東経141度04分58秒","所在地: 〒061-2301札幌市南区定山渓937先;座標: 北緯43度04分20秒東経141度04分58秒﻿ / ﻿北緯43.07222度 東経141.08278度﻿ / 43.07222; 141.08278座標: 北緯43度04分20秒東経141度04分58秒﻿ / ﻿北緯43.07222度 東経141.08278度﻿ / 43.07222; 141.08278;標高: 1,100 m - 630 m;標高差: 470 m;最長滑走距離: 3,600 m;最大傾斜: 30度;コース数: 7本;コース面積: 65 ha;索道数: 5本;公式サイト: 札幌国際スキー場","日本のスキー場一覧","箇条書き","オープン当初から都市型の日帰りスキー場として北海道内外から集客しており、営業期間も例年11月中旬から5月上旬までと札幌近郊のスキー場では比較的長くなっている。スキーセンター前のゲレンデにある「メルヘンの鐘」はスキー場オープンの年が「札幌市時計台」完成からちょうど100年に当たる年であることから、これを記念して「さっぽろ手づくり協会」が製作した。"
"サッポロテイネ","サッポロテイネ","https://ja.wikipedia.org/wiki/サッポロテイネ","北緯43度05分53秒東経141度12分37秒","所在地: 〒006-0029札幌市手稲区手稲本町593;座標: 北緯43度05分53秒東経141度12分37秒﻿ / ﻿北緯43.09806度 東経141.21028度﻿ / 43.09806; 141.21028座標: 北緯43度05分53秒東経141度12分37秒﻿ / ﻿北緯43.09806度 東経141.21028度﻿ / 43.09806; 141.21028;標高: 1,023 m - 340 m;標高差: 683 m;最長滑走距離: 6,000 m;最大傾斜: 38度;コース数: 15本;コース面積: 76 ha;索道数: 6本;公式サイト: サッポロテイネ;正式名称: 札幌市手稲山シャンツェ;国:  日本;自治体: 札幌市;所在地: 札幌市手稲区手稲本町593-17;建設期間: 1999年7月12日- 11月30日;開場: 1999年12月24日;所有者: 札幌市;管理者: 札幌市;K点: 30 m;ヒルサイズ: 33 m;所在地:  日本札幌市手稲区手稲本町593;開業: 1966年;運営者: 加森観光;公式サイト: 札幌テイネゴルフ倶楽部;所在地:  日本北海道札幌市手稲区;住所: 北海道札幌市手稲区手稲本町593番地3;所有者: 加森観光;開業: 1966年;閉鎖: 2009年;アトラクション数: 26種類;ジェットコースター数: 2;所在地: 〒006-0029札幌市手稲区手稲本町593;座標: 北緯43度05分53秒東経141度12分37秒﻿ / ﻿北緯43.09806度 東経141.21028度﻿ / 43.09806; 141.21028座標: 北緯43度05分53秒東経141度12分37秒﻿ / ﻿北緯43.09806度 東経141.21028度﻿ / 43.09806; 141.21028;標高: 1,023 m - 340 m;標高差: 683 m;最長滑走距離: 6,000 m;最大傾斜: 38度;コース数: 15本;コース面積: 76 ha;索道数: 6本;公式サイト: サッポロテイネ;正式名称: 札幌市手稲山シャンツェ;国:  日本;自治体: 札幌市;所在地: 札幌市手稲区手稲本町593-17;建設期間: 1999年7月12日- 11月30日;開場: 1999年12月24日;所有者: 札幌市;管理者: 札幌市;K点: 30 m;ヒルサイズ: 33 m;所在地:  日本札幌市手稲区手稲本町593;開業: 1966年;運営者: 加森観光;公式サイト: 札幌テイネゴルフ倶楽部;所在地:  日本北海道札幌市手稲区;住所: 北海道札幌市手稲区手稲本町593番地3;所有者: 加森観光;開業: 1966年;閉鎖: 2009年;アトラクション数: 26種類;ジェットコースター数: 2;所在地: 〒006-0029札幌市手稲区手稲本町593;座標: 北緯43度05分53秒東経141度12分37秒﻿ / ﻿北緯43.09806度 東経141.21028度﻿ / 43.09806; 141.21028座標: 北緯43度05分53秒東経141度12分37秒﻿ / ﻿北緯43.09806度 東経141.21028度﻿ / 43.09806; 141.21028;標高: 1,023 m - 340 m;標高差: 683 m;最長滑走距離: 6,000 m;最大傾斜: 38度;コース数: 15本;コース面積: 76 ha;索道数: 6本;公式サイト: サッポロテイネ;正式名称: 札幌市手稲山シャンツェ;国:  日本;自治体: 札幌市;所在地: 札幌市手稲区手稲本町593-17;建設期間: 1999年7月12日- 11月30日;開場: 1999年12月24日;所有者: 札幌市;管理者: 札幌市;K点: 30 m;ヒルサイズ: 33 m;所在地:  日本札幌市手稲区手稲本町593;開業: 1966年;運営者: 加森観光;公式サイト: 札幌テイネゴルフ倶楽部;所在地:  日本北海道札幌市手稲区;住所: 北海道札幌市手稲区手稲本町593番地3;所有者: 加森観光;開業: 1966年;閉鎖: 2009年;アトラクション数: 26種類;ジェットコースター数: 2;所在地: 〒006-0029札幌市手稲区手稲本町593;座標: 北緯43度05分53秒東経141度12分37秒﻿ / ﻿北緯43.09806度 東経141.21028度﻿ / 43.09806; 141.21028座標: 北緯43度05分53秒東経141度12分37秒﻿ / ﻿北緯43.09806度 東経141.21028度﻿ / 43.09806; 141.21028;標高: 1,023 m - 340 m;標高差: 683 m;最長滑走距離: 6,000 m;最大傾斜: 38度;コース数: 15本;コース面積: 76 ha;索道数: 6本;公式サイト: サッポロテイネ;正式名称: 札幌市手稲山シャンツェ;国:  日本;自治体: 札幌市;所在地: 札幌市手稲区手稲本町593-17;建設期間: 1999年7月12日- 11月30日;開場: 1999年12月24日;所有者: 札幌市;管理者: 札幌市;K点: 30 m;ヒルサイズ: 33 m;所在地:  日本札幌市手稲区手稲本町593;開業: 1966年;運営者: 加森観光;公式サイト: 札幌テイネゴルフ倶楽部;所在地:  日本北海道札幌市手稲区;住所: 北海道札幌市手稲区手稲本町593番地3;所有者: 加森観光;開業: 1966年;閉鎖: 2009年;アトラクション数: 26種類;ジェットコースター数: 2","日本のスキー場一覧","箇条書き",""
"さっぽろばんけいスキー場","さっぽろばんけいスキー場","https://ja.wikipedia.org/wiki/さっぽろばんけいスキー場","北緯43度01分50秒東経141度16分41秒","所在地: 〒064-0945札幌市中央区盤渓410;座標: 北緯43度01分50秒東経141度16分41秒﻿ / ﻿北緯43.03056度 東経141.27806度﻿ / 43.03056; 141.27806座標: 北緯43度01分50秒東経141度16分41秒﻿ / ﻿北緯43.03056度 東経141.27806度﻿ / 43.03056; 141.27806;標高: 483 m - 200 m;標高差: 283 m;最長滑走距離: 1,200 m;最大傾斜: 33度;コース数: 17本;索道数: 6本;公式サイト: さっぽろばんけいスキー場","日本のスキー場一覧","箇条書き","札幌市中心部から車で約20分の距離に位置するスキー場であり、夜はナイター照明によって22時まで営業している。初心者やファミリー向けのコースから上級者までのコースがあるほか、「スノーパーク」ではスノーチューブやソリを楽しむことができる。"
"札幌藻岩山スキー場","札幌藻岩山スキー場","https://ja.wikipedia.org/wiki/札幌藻岩山スキー場","北緯43度00分45秒東経141度19分59秒","所在地: 〒005-0040札幌市南区藻岩下1991;座標: 北緯43度00分45秒東経141度19分59秒﻿ / ﻿北緯43.01250度 東経141.33306度﻿ / 43.01250; 141.33306座標: 北緯43度00分45秒東経141度19分59秒﻿ / ﻿北緯43.01250度 東経141.33306度﻿ / 43.01250; 141.33306;標高: 531 m - 173 m;標高差: 358 m;最長滑走距離: 2,620 m;最大傾斜: 38度;コース数: 10本;索道数: 5本;公式サイト: 札幌藻岩山スキー場","日本のスキー場一覧","箇条書き","1960年（昭和35年）営業開始。かつて藻岩山にあった「札幌スキー場」とは別の斜面にあり、北海道内のスキー場では珍しくスキーヤーのみが滑走可能なゲレンデとなっている（スノーボード全面禁止）。山を挟んで北斜面と南斜面があり、それぞれの斜面へ行くにはスキーか車での移動となる。"
