"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"旭川市科学館 サイパル","旭川市科学館 サイパル","https://ja.wikipedia.org/wiki/旭川市科学館_サイパル","北緯43度45分22.7秒東経142度22分13.8秒","愛称: サイパル;専門分野: 科学館;事業主体: 旭川市;開館: 2005年（平成17年）7月23日[1];所在地: 〒078-8391北海道旭川市宮前1条3丁目3番32号;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度45分22.7秒東経142度22分13.8秒﻿ / ﻿北緯43.756306度 東経142.370500度﻿ / 43.756306; 142.370500;外部リンク: 旭川市科学館 サイパル","日本の博物館の一覧","箇条書き,制限あり"
"旭川市博物館","旭川市博物館","https://ja.wikipedia.org/wiki/旭川市博物館","北緯43度45分36.48秒東経142度21分3.71秒","管理運営: 旭川市音楽堂等運営協議会;構造形式: 鉄筋コンクリート造一部プレストレストコンクリート造[2];敷地面積: 52,708.66 m² [2];建築面積: 7,636.23 m² [2];延床面積: 9,698.78 m² [2];階数: 地下1階地上2階建[2];駐車台数: 400台;開館開所: 1993年(平成5年)9月1日[2];所在地: 〒070-0083北海道旭川市神楽3条7丁目;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度45分36.48秒東経142度21分3.71秒﻿ / ﻿北緯43.7601333度 東経142.3510306度﻿ / 43.7601333; 142.3510306﻿ (旭川市大雪クリスタルホール[1])座標: 北緯43度45分36.48秒東経142度21分3.71秒﻿ / ﻿北緯43.7601333度 東経142.3510306度﻿ / 43.7601333; 142.3510306﻿ (旭川市大雪クリスタルホール[1]);前身: 旭川市郷土資料館;専門分野: 自然学、人文科学、民族学;管理運営: 旭川市博物館協議会;開館: 1952年(昭和27年)[3]1968年[3]1993年[3];閉館: 1968年[3];所在地: 〒070-8003日本北海道旭川市神楽3条7丁目;位置: 北緯43度45分33.89秒東経142度21分2.3秒﻿ / ﻿北緯43.7594139度 東経142.350639度﻿ / 43.7594139; 142.350639;外部リンク: 博物館 | 旭川市;開館: 1993年;客席数: 597席;用途: 音楽会、コンサートなど;運営: 旭川市音楽堂等運営協議会;所在地: 〒070-8003北海道旭川市神楽3条7丁目;位置: 北緯43度45分36.48秒東経142度21分3.71秒﻿ / ﻿北緯43.7601333度 東経142.3510306度﻿ / 43.7601333; 142.3510306﻿ (旭川市音楽堂[1]);用途: 各種会議、講演会、講習会、研修会など;管理運営: 旭川市音楽堂等運営協議会;開館開所: 1993年;所在地: 〒070-8003北海道旭川市神楽3条7丁目;座標: 北緯43度45分34.28秒東経142度21分5.1秒﻿ / ﻿北緯43.7595222度 東経142.351417度﻿ / 43.7595222; 142.351417﻿ (旭川市国際会議場[1]);管理運営: 旭川市音楽堂等運営協議会;構造形式: 鉄筋コンクリート造一部プレストレストコンクリート造[2];敷地面積: 52,708.66 m² [2];建築面積: 7,636.23 m² [2];延床面積: 9,698.78 m² [2];階数: 地下1階地上2階建[2];駐車台数: 400台;開館開所: 1993年(平成5年)9月1日[2];所在地: 〒070-0083北海道旭川市神楽3条7丁目;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度45分36.48秒東経142度21分3.71秒﻿ / ﻿北緯43.7601333度 東経142.3510306度﻿ / 43.7601333; 142.3510306﻿ (旭川市大雪クリスタルホール[1])座標: 北緯43度45分36.48秒東経142度21分3.71秒﻿ / ﻿北緯43.7601333度 東経142.3510306度﻿ / 43.7601333; 142.3510306﻿ (旭川市大雪クリスタルホール[1]);前身: 旭川市郷土資料館;専門分野: 自然学、人文科学、民族学;管理運営: 旭川市博物館協議会;開館: 1952年(昭和27年)[3]1968年[3]1993年[3];閉館: 1968年[3];所在地: 〒070-8003日本北海道旭川市神楽3条7丁目;位置: 北緯43度45分33.89秒東経142度21分2.3秒﻿ / ﻿北緯43.7594139度 東経142.350639度﻿ / 43.7594139; 142.350639;外部リンク: 博物館 | 旭川市;開館: 1993年;客席数: 597席;用途: 音楽会、コンサートなど;運営: 旭川市音楽堂等運営協議会;所在地: 〒070-8003北海道旭川市神楽3条7丁目;位置: 北緯43度45分36.48秒東経142度21分3.71秒﻿ / ﻿北緯43.7601333度 東経142.3510306度﻿ / 43.7601333; 142.3510306﻿ (旭川市音楽堂[1]);用途: 各種会議、講演会、講習会、研修会など;管理運営: 旭川市音楽堂等運営協議会;開館開所: 1993年;所在地: 〒070-8003北海道旭川市神楽3条7丁目;座標: 北緯43度45分34.28秒東経142度21分5.1秒﻿ / ﻿北緯43.7595222度 東経142.351417度﻿ / 43.7595222; 142.351417﻿ (旭川市国際会議場[1]);管理運営: 旭川市音楽堂等運営協議会;構造形式: 鉄筋コンクリート造一部プレストレストコンクリート造[2];敷地面積: 52,708.66 m² [2];建築面積: 7,636.23 m² [2];延床面積: 9,698.78 m² [2];階数: 地下1階地上2階建[2];駐車台数: 400台;開館開所: 1993年(平成5年)9月1日[2];所在地: 〒070-0083北海道旭川市神楽3条7丁目;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度45分36.48秒東経142度21分3.71秒﻿ / ﻿北緯43.7601333度 東経142.3510306度﻿ / 43.7601333; 142.3510306﻿ (旭川市大雪クリスタルホール[1])座標: 北緯43度45分36.48秒東経142度21分3.71秒﻿ / ﻿北緯43.7601333度 東経142.3510306度﻿ / 43.7601333; 142.3510306﻿ (旭川市大雪クリスタルホール[1]);前身: 旭川市郷土資料館;専門分野: 自然学、人文科学、民族学;管理運営: 旭川市博物館協議会;開館: 1952年(昭和27年)[3]1968年[3]1993年[3];閉館: 1968年[3];所在地: 〒070-8003日本北海道旭川市神楽3条7丁目;位置: 北緯43度45分33.89秒東経142度21分2.3秒﻿ / ﻿北緯43.7594139度 東経142.350639度﻿ / 43.7594139; 142.350639;外部リンク: 博物館 | 旭川市;開館: 1993年;客席数: 597席;用途: 音楽会、コンサートなど;運営: 旭川市音楽堂等運営協議会;所在地: 〒070-8003北海道旭川市神楽3条7丁目;位置: 北緯43度45分36.48秒東経142度21分3.71秒﻿ / ﻿北緯43.7601333度 東経142.3510306度﻿ / 43.7601333; 142.3510306﻿ (旭川市音楽堂[1]);用途: 各種会議、講演会、講習会、研修会など;管理運営: 旭川市音楽堂等運営協議会;開館開所: 1993年;所在地: 〒070-8003北海道旭川市神楽3条7丁目;座標: 北緯43度45分34.28秒東経142度21分5.1秒﻿ / ﻿北緯43.7595222度 東経142.351417度﻿ / 43.7595222; 142.351417﻿ (旭川市国際会議場[1]);管理運営: 旭川市音楽堂等運営協議会;構造形式: 鉄筋コンクリート造一部プレストレストコンクリート造[2];敷地面積: 52,708.66 m² [2];建築面積: 7,636.23 m² [2];延床面積: 9,698.78 m² [2];階数: 地下1階地上2階建[2];駐車台数: 400台;開館開所: 1993年(平成5年)9月1日[2];所在地: 〒070-0083北海道旭川市神楽3条7丁目;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度45分36.48秒東経142度21分3.71秒﻿ / ﻿北緯43.7601333度 東経142.3510306度﻿ / 43.7601333; 142.3510306﻿ (旭川市大雪クリスタルホール[1])座標: 北緯43度45分36.48秒東経142度21分3.71秒﻿ / ﻿北緯43.7601333度 東経142.3510306度﻿ / 43.7601333; 142.3510306﻿ (旭川市大雪クリスタルホール[1]);前身: 旭川市郷土資料館;専門分野: 自然学、人文科学、民族学;管理運営: 旭川市博物館協議会;開館: 1952年(昭和27年)[3]1968年[3]1993年[3];閉館: 1968年[3];所在地: 〒070-8003日本北海道旭川市神楽3条7丁目;位置: 北緯43度45分33.89秒東経142度21分2.3秒﻿ / ﻿北緯43.7594139度 東経142.350639度﻿ / 43.7594139; 142.350639;外部リンク: 博物館 | 旭川市;開館: 1993年;客席数: 597席;用途: 音楽会、コンサートなど;運営: 旭川市音楽堂等運営協議会;所在地: 〒070-8003北海道旭川市神楽3条7丁目;位置: 北緯43度45分36.48秒東経142度21分3.71秒﻿ / ﻿北緯43.7601333度 東経142.3510306度﻿ / 43.7601333; 142.3510306﻿ (旭川市音楽堂[1]);用途: 各種会議、講演会、講習会、研修会など;管理運営: 旭川市音楽堂等運営協議会;開館開所: 1993年;所在地: 〒070-8003北海道旭川市神楽3条7丁目;座標: 北緯43度45分34.28秒東経142度21分5.1秒﻿ / ﻿北緯43.7595222度 東経142.351417度﻿ / 43.7595222; 142.351417﻿ (旭川市国際会議場[1])","日本の博物館の一覧","箇条書き,制限あり"
"足寄動物化石博物館","足寄動物化石博物館","https://ja.wikipedia.org/wiki/足寄動物化石博物館","北緯43度13分52.03秒東経143度32分36.14秒","正式名称: 足寄動物化石博物館;愛称: フォストリーあしょろ;専門分野: 動物の化石;来館者数: 10,270人（2008年）13,596人（2009年）15,003人（2010年）;管理運営: 足寄町;建物設計: 株式会社アトリエブンク株式会社丹青社;延床面積: 2,087m²;開館: 1998年7月1日;所在地: 〒089-3727日本北海道足寄郡足寄町郊南1丁目29-25;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度13分52.03秒東経143度32分36.14秒﻿ / ﻿北緯43.2311194度 東経143.5433722度﻿ / 43.2311194; 143.5433722座標: 北緯43度13分52.03秒東経143度32分36.14秒﻿ / ﻿北緯43.2311194度 東経143.5433722度﻿ / 43.2311194; 143.5433722;外部リンク: http://www.museum.ashoro.hokkaido.jp/","日本の博物館の一覧","箇条書き,制限あり"
"網走市立郷土博物館","網走市立郷土博物館","https://ja.wikipedia.org/wiki/網走市立郷土博物館","北緯44度01分03.8秒東経144度16分08.8秒","前身: 北見郷土館;事業主体: 網走市;建物設計: 田上義也[1];開館: 1936年（昭和11年）11月3日[1];所在地: 〒093-0041北海道網走市桂町1丁目1番3号;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯44度01分03.8秒東経144度16分08.8秒﻿ / ﻿北緯44.017722度 東経144.269111度﻿ / 44.017722; 144.269111座標: 北緯44度01分03.8秒東経144度16分08.8秒﻿ / ﻿北緯44.017722度 東経144.269111度﻿ / 44.017722; 144.269111;外部リンク: 網走市立郷土博物館","日本の博物館の一覧","箇条書き,制限あり"
"石原裕次郎記念館","石原裕次郎記念館","https://ja.wikipedia.org/wiki/石原裕次郎記念館","","専門分野: 石原裕次郎;収蔵作品数: 約20,000点;館長: 浅野謙治郎;事業主体: 石原プロモーション;管理運営: 石原インターナショナル石原裕次郎記念館;建物設計: 山下設計[1];延床面積: 3,857 m²[2];開館: 1991年7月22日[3];閉館: 2017年8月31日[4];所在地: 〒047-0008日本北海道小樽市築港5-10;アクセス: 北海道中央バス「小樽港マリーナ・石原裕次郎記念館」バス停降車北海道旅客鉄道（JR北海道）小樽築港駅から徒歩約10分;外部リンク: 小樽 石原裕次郎記念館","日本の博物館の一覧","箇条書き,制限あり"
"井上靖記念館","井上靖記念館","https://ja.wikipedia.org/wiki/井上靖記念館","北緯43度48分18.8秒東経142度21分49秒","正式名称: 井上靖記念館[1];専門分野: 文学;収蔵作品数: 470点;事業主体: 旭川市;管理運営: 特定非営利活動法人 旭川文学資料友の会;延床面積: 445.16m2;開館: 1993年(平成5年)7月24日;所在地: 〒070-0875旭川市春光5条7丁目5-41;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度48分18.8秒東経142度21分49秒﻿ / ﻿北緯43.805222度 東経142.36361度﻿ / 43.805222; 142.36361座標: 北緯43度48分18.8秒東経142度21分49秒﻿ / ﻿北緯43.805222度 東経142.36361度﻿ / 43.805222; 142.36361;外部リンク: 井上靖記念館","日本の博物館の一覧","箇条書き,制限あり"
"岩見沢郷土科学館","岩見沢郷土科学館","https://ja.wikipedia.org/wiki/岩見沢郷土科学館","北緯43度09分41.6秒東経141度47分1.3秒","専門分野: 郷土史・自然科学;管理運営: 岩見沢市;開館: 1992年[1];所在地: 〒068-0833日本北海道岩見沢市志文町809番地1;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度09分41.6秒東経141度47分1.3秒﻿ / ﻿北緯43.161556度 東経141.783694度﻿ / 43.161556; 141.783694;外部リンク: 岩見沢郷土科学館","日本の博物館の一覧","箇条書き,制限あり"
"江差町郷土資料館","江差町郷土資料館","https://ja.wikipedia.org/wiki/江差町郷土資料館","","","日本の博物館の一覧","箇条書き,制限あり"
"エドウィン・ダン記念館","エドウィン・ダン記念館","https://ja.wikipedia.org/wiki/エドウィン・ダン記念館","北緯42度59分20秒東経141度21分08秒","管理運営: エドウィン・ダン記念館運営委員会[1];建物設計: 北海道事業管理局[2];開館: 1969年（昭和44年）[3];所在地: 日本北海道札幌市南区真駒内泉町1丁目;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯42度59分20秒東経141度21分08秒﻿ / ﻿北緯42.98889度 東経141.35222度﻿ / 42.98889; 141.35222;外部リンク: エドウィン・ダン記念館","日本の博物館の一覧","箇条書き,制限あり"
"恵庭市郷土資料館","恵庭市郷土資料館","https://ja.wikipedia.org/wiki/恵庭市郷土資料館","北緯42度54分33秒東経141度35分59.1秒","専門分野: 恵庭市の歴史と文化;事業主体: 恵庭市;管理運営: 恵庭市;延床面積: 1,036.74㎡;開館: 1990年11月8日;所在地: 〒061-1375北海道恵庭市南島松157-2;位置: 北緯42度54分33秒東経141度35分59.1秒座標: 北緯42度54分33秒 東経141度35分59.1秒","日本の博物館の一覧","箇条書き,制限あり"
