"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"江別古墳群","（江別市、末期古墳、日本最北端の古墳、国の史跡）","https://ja.wikipedia.org/wiki/江別古墳群","北緯43度7分1.5秒東経141度30分58.9秒","別名: 後藤遺跡;所在地: 〒067-0032北海道江別市元江別858番4;位置: 北緯43度7分1.5秒東経141度30分58.9秒﻿ / ﻿北緯43.117083度 東経141.516361度﻿ / 43.117083; 141.516361﻿ (江別古墳群)座標: 北緯43度7分1.5秒東経141度30分58.9秒﻿ / ﻿北緯43.117083度 東経141.516361度﻿ / 43.117083; 141.516361﻿ (江別古墳群);形状: 末期古墳;築造時期: 飛鳥、奈良、平安時代前期;史跡: 国の史跡;特記事項: 日本最北の古墳群;地図: 江別古墳群","日本の古墳一覧","箇条書き,制限あり","古墳時代に古墳が盛んに造られたのは畿内を中心として九州南部から東北南部にかけての一帯であるが、北海道内にもわずかながら古墳は現存している。ただし、それは古墳時代（3世紀-6世紀）のものではなく、蝦夷征討の盛んに行われた飛鳥時代、奈良時代、平安時代前半すなわち律令時代に築造され、当時この地域で栄えていたといわれる擦文文化前半の時期に相当する。北海道の古墳で、現在発見されているのは恵庭市・江別市および札幌市においてであり、なかでも江別古墳群は最北端に位置している。"
"阿光坊古墳群","（上北郡おいらせ町、末期古墳、国の史跡）","https://ja.wikipedia.org/wiki/阿光坊古墳群","北緯40度36分34秒東経141度22分34秒","所在地: 〒039-2165青森県上北郡おいらせ町105-40;位置: 北緯40度36分34秒東経141度22分34秒﻿ / ﻿北緯40.60944度 東経141.37611度﻿ / 40.60944; 141.37611﻿ (阿光坊古墳群)座標: 北緯40度36分34秒東経141度22分34秒﻿ / ﻿北緯40.60944度 東経141.37611度﻿ / 40.60944; 141.37611﻿ (阿光坊古墳群);形状: 末期古墳;出土品: 刀、玉類、装身具、馬具、農工具など;築造時期: 飛鳥、奈良、平安時代前期;史跡: 国の史跡2007（平成19）年;地図: 阿光坊古墳群","日本の古墳一覧","箇条書き,制限あり","本古墳群は、阿光坊遺跡、天神山遺跡、十三森遺跡で構成されており、その総称である。"
"丹後平古墳群","（八戸市、末期古墳、国の史跡）","https://ja.wikipedia.org/wiki/丹後平古墳群","北緯40度28分52.0秒東経141度28分1.2秒","所在地: 青森県八戸市根城字丹後平;位置: 北緯40度28分52.0秒東経141度28分1.2秒﻿ / ﻿北緯40.481111度 東経141.467000度﻿ / 40.481111; 141.467000;形状: 末期古墳;規模: 100基以上;築造時期: 7世紀後半から9世紀後半;史跡: 1999年（平成11年）1月14日国指定;有形文化財: 出土品195点。2018年（平成30年）10月31日国指定;地図: 丹後平古墳群青森県内の位置","日本の古墳一覧","箇条書き,制限あり","八戸市から南西に少し離れた標高90～100メートルの尾根に分布している。南側から丹後平三遺跡・丹後平古墳群・丹後平一遺跡があり、群集した円墳群。円墳以外に、周溝を伴わない土坑墓や地下式土坑墓があり、馬の埋葬墓もあった。"
"角塚古墳","（奥州市、日本列島北端の前方後円墳、国の史跡）","https://ja.wikipedia.org/wiki/角塚古墳","北緯39度8分29.42秒東経141度5分37.50秒","所在地: 岩手県奥州市胆沢南都田;位置: 北緯39度8分29.42秒東経141度5分37.50秒﻿ / ﻿北緯39.1415056度 東経141.0937500度﻿ / 39.1415056; 141.0937500座標: 北緯39度8分29.42秒東経141度5分37.50秒﻿ / ﻿北緯39.1415056度 東経141.0937500度﻿ / 39.1415056; 141.0937500;形状: 前方後円墳;規模: 墳丘長43-45m高さ4m（後円部）;埋葬施設: 不明;出土品: 円筒埴輪・人物埴輪・馬埴輪;築造時期: 5世紀後半-6世紀初頭;史跡: 国の史跡「角塚古墳」;特記事項: 日本最北端の前方後円墳;地図: 角塚古墳","日本の古墳一覧","箇条書き,制限あり","通称として「塚の山」・「一本杉」とも。前方後円墳としては岩手県では唯一、かつ日本の最北端に位置する古墳である。"
"江釣子古墳群","（北上市、末期古墳、国の史跡）","https://ja.wikipedia.org/wiki/江釣子古墳群","北緯39度17分29.1秒東経141度4分56.5秒","","日本の古墳一覧","箇条書き,制限あり",""
"藤沢狄森古墳群","（紫波郡矢巾町、末期古墳、県史跡）","https://ja.wikipedia.org/w/index.php?title=藤沢狄森古墳群&amp;action=edit&amp;redlink=1","","","日本の古墳一覧","箇条書き,制限あり",""
"浮島古墳群","（岩手町、末期古墳、県史跡）","https://ja.wikipedia.org/w/index.php?title=浮島古墳群&amp;action=edit&amp;redlink=1","","","日本の古墳一覧","箇条書き,制限あり",""
"岩野山古墳群","（南秋田郡五城目町、末期古墳、県史跡）","https://ja.wikipedia.org/wiki/岩野山古墳群","北緯39度56分02.6秒東経140度07分15.8秒","所在地: 秋田県南秋田郡五城目町上樋口字樽沢;位置: 北緯39度56分02.6秒東経140度07分15.8秒﻿ / ﻿北緯39.934056度 東経140.121056度﻿ / 39.934056; 140.121056座標: 北緯39度56分02.6秒東経140度07分15.8秒﻿ / ﻿北緯39.934056度 東経140.121056度﻿ / 39.934056; 140.121056;形状: 末期古墳;築造時期: 8世紀前葉から9世紀後葉;史跡: 1963年（昭和38年）2月5日県指定;地図: 岩野山古墳群秋田県内の位置","日本の古墳一覧","箇条書き,制限あり","岩野山古墳群は、1960年（昭和35年）に耕作者によって発見されたのち、郷土史家の分銅志静の知るところとなって、地元で注目されることとなった。遺跡は、八郎潟東岸に南北にひろがる洪積台地のひとつ、通称「岩野山」に立地している。「岩野山」は、出羽丘陵より北西方にのびた舌状台地で、古墳群は標高36メートル前後の台地先端部に位置している。"
"大崎市","付近の大崎平野までである。","https://ja.wikipedia.org/wiki/大崎市","北緯38度34分37.6秒東経140度57分20.1秒","国: 日本;地方: 東北地方;都道府県: 宮城県;市町村コード: 04215-3;法人番号: 1000020042153;面積: 796.76km2;総人口: 126,398人 （推計人口、2021年10月1日）;人口密度: 159人/km2;隣接自治体: 登米市、栗原市、遠田郡美里町、涌谷町、黒川郡大郷町、大衡村、加美郡色麻町、加美町、宮城郡松島町山形県最上郡最上町秋田県湯沢市;市の木: 桜;市の花: ひまわり;市の鳥: マガン;市長: 伊藤康志;所在地: 〒989-6188宮城県大崎市古川七日町1番1号北緯38度34分37.6秒東経140度57分20.1秒﻿ / ﻿北緯38.577111度 東経140.955583度﻿ / 38.577111; 140.955583;外部リンク: 公式ウェブサイト;平均気温（C）: 0.0;降水量（mm）: 35.3;平均気温（C）: 0.0;降水量（mm）: 24.3","日本の古墳一覧","箇条書き,制限あり","後期旧石器時代ないし縄文時代草創期～古墳時代の遺跡座散乱木遺跡の発掘により3万年前からこの地域で人々が生活していた。古墳時代（4世紀前後）に築造された東北地方最大級の前方後円墳青塚古墳の存在からこの地方では既に稲作を営む集団組織が存在し古墳を造営する程の力を持っていたと思われる。飛鳥時代（古墳時代終末期）7世紀末～8世紀頃（大化の改新時期～）に奥州地方（陸奥国と出羽国）現在の東北六県全域を統括する重要な拠点、官庁名生館官衙遺跡が置かれ大崎地方はすでに内国化されていた。このことから794年の平安京（京都）遷都よりも更に古い東北地方では最古の1300年以上の歴史と伝統ある地域で、古川が中心地であったことが分かる。南北朝時代（1354年）に斯波家兼（大崎氏の始祖）が奥州管領に任命されその後、伊達晴宗が奥州探題に任命され伊達政宗もこの役職を自称してこの地を治めた。伊達政宗が築城し居城とした岩出山城、その後作られた有備館は現存する日本最古の学問所であり「世界かんがい施設遺産」に登録された内川、岩出山凍り豆腐やずんだは伊達政宗が整備開発したものであり、このずんだを使ったずんだスイーツが近年人気がでてきており宮城県民のソウルフードとなっている。日本人技術者の手だけで造られた日本初の100ｍ級アーチ式コンクリートダム鳴子ダムは土木学会選奨土木遺産に登録されおり、人口湖の荒生湖は栗駒国定公園に指定されている。春には鳴子ダムの「すだれ放流」が風物詩になっている。2021年の「じゃらん」の全国道の駅グランプリで大崎市岩出山の「あ・ら・伊達な道の駅」が２年連続で利用者満足度「全国1位」に選ばれた。"
"山畑横穴群","（大崎市、横穴古墳、装飾古墳の北限、国の史跡）","https://ja.wikipedia.org/wiki/山畑横穴群","北緯38度31分15.3秒東経140度55分32.6秒","","日本の古墳一覧","箇条書き,制限あり","山畑横穴群（やまはたよこあなぐん）は、宮城県大崎市三本木蟻ヶ袋山畑にある横穴古墳（横穴墓)である。6・10・15号墓には彩色壁画が確認されており、装飾を有する古墳としては最も北に位置する。1973年12月15日、国の史跡に指定された。"
