"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"北海道・東北地方の史跡一覧","","https://ja.wikipedia.org/wiki/北海道・東北地方の史跡一覧","","","日本の史跡一覧","表2・箇条書き",""
"関東地方の史跡一覧","","https://ja.wikipedia.org/wiki/関東地方の史跡一覧","","","日本の史跡一覧","表2・箇条書き",""
"中部地方の史跡一覧","","https://ja.wikipedia.org/wiki/中部地方の史跡一覧","","","日本の史跡一覧","表2・箇条書き",""
"近畿地方の史跡一覧","","https://ja.wikipedia.org/wiki/近畿地方の史跡一覧","","","日本の史跡一覧","表2・箇条書き",""
"中国地方の史跡一覧","","https://ja.wikipedia.org/wiki/中国地方の史跡一覧","","","日本の史跡一覧","表2・箇条書き",""
"四国地方の史跡一覧","","https://ja.wikipedia.org/wiki/四国地方の史跡一覧","","","日本の史跡一覧","表2・箇条書き",""
"九州・沖縄地方の史跡一覧","","https://ja.wikipedia.org/wiki/九州・沖縄地方の史跡一覧","","","日本の史跡一覧","表2・箇条書き",""
"日本の特別史跡一覧","","https://ja.wikipedia.org/wiki/日本の特別史跡一覧","","","日本の史跡一覧","表2・箇条書き",""
"特別史跡","","https://ja.wikipedia.org/wiki/Category:特別史跡","","","日本の史跡一覧","表2・箇条書き",""
"日本の特別名勝一覧","","https://ja.wikipedia.org/wiki/日本の特別名勝一覧","","","日本の史跡一覧","表2・箇条書き",""
"個人設定","で未設定ならばUTC）。","https://ja.wikipedia.org/wiki/特別:個人設定#mw-prefsection-rendering","","","日本の史跡一覧","表2・箇条書き",""
"プライバシー・ポリシー","","https://ja.wikipedia.orghttps://meta.wikimedia.org/wiki/Privacy_policy/ja","","","日本の史跡一覧","表2・箇条書き",""
"ウィキペディアについて","","https://ja.wikipedia.org/wiki/Wikipedia:ウィキペディアについて","","","日本の史跡一覧","表2・箇条書き",""
"免責事項","","https://ja.wikipedia.org/wiki/Wikipedia:免責事項","","","日本の史跡一覧","表2・箇条書き",""
