"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"阿寒摩周国立公園","阿寒摩周国立公園北海道1934年12月4日北海道2017年8月8日付で阿寒国立公園より改称[9]91,41310,460","https://ja.wikipedia.org/wiki/阿寒摩周国立公園","","指定区域: 日本釧路総合振興局：釧路市、川上郡標茶町、川上郡弟子屈町、白糠郡白糠町オホーツク総合振興局：網走郡大空町、網走郡美幌町、網走郡津別町、斜里郡清里町、斜里郡小清水町十勝総合振興局：足寄郡足寄町根室振興局：標津郡中標津町;分類: 国立公園;面積: 91,413ヘクタール;指定日: 1934年12月4日;運営者: 環境省;年来園者数: 3,530,000人（平成25年）;施設: 阿寒湖畔エコミュージアムセンター、阿寒湖のマリモ展示観察センター、川湯エコミュージアムセンター、和琴フィールドハウス;告示: 昭和9年内務省告示第567号平成29年環境省告示第61号;事務所: 釧路自然環境事務所;事務所所在地: 北海道釧路市幸町10-3 釧路地方合同庁舎4階;公式サイト: 阿寒摩周国立公園","日本の国立公園","表形式","北海道で最も歴史ある国立公園の1つであり、大雪山国立公園、日光国立公園、中部山岳国立公園、阿蘇国立公園（現在の阿蘇くじゅう国立公園）とともに指定された。公園区域の大部分が亜寒帯性の針葉樹林を中心とする天然林で被われており、原始的な姿を留めている。阿寒湖、屈斜路湖、摩周湖の3つのカルデラがあり、火山と湖が幾つも近接している地形は日本国内で貴重なものになっている。中でも屈斜路湖は周囲57km、面積79.7km²ある日本国内最大のカルデラ湖になっている（中島も周囲12km、高さ355mあり、湖中島としては日本国内最大の規模になっている）。阿寒湖のマリモは国の特別天然記念物に指定されている、また、阿寒湖はヒメマスの原産湖として知られているほか、ラムサール条約に登録されている。"
"大雪山国立公園","大雪山国立公園1934年12月4日226,76436,807","https://ja.wikipedia.org/wiki/大雪山国立公園","北緯43度39分49秒東経142度51分15秒","指定区域: 日本上川総合振興局：富良野市、上川郡上川町、上川郡東川町、上川郡美瑛町、空知郡上富良野町、空知郡南富良野町十勝総合振興局：河東郡士幌町、河東郡上士幌町、河東郡鹿追町、上川郡新得町北緯43度39分49秒東経142度51分15秒﻿ / ﻿北緯43.66361度 東経142.85417度﻿ / 43.66361; 142.85417座標: 北緯43度39分49秒東経142度51分15秒﻿ / ﻿北緯43.66361度 東経142.85417度﻿ / 43.66361; 142.85417;分類: 国立公園;面積: 226,764ヘクタール;指定日: 1934年12月4日;運営者: 環境省;年来園者数: 4,870,000人（平成25年）;施設: 層雲峡ビジターセンター、ヒグマ情報センター、旭岳ビジターセンター、ひがし大雪自然館;事務所: 北海道地方環境事務所;事務所所在地: 札幌市北区北8条西2丁目 札幌第1合同庁舎3F;公式サイト: 環境省_大雪山国立公園","日本の国立公園","表形式","北海道で最も歴史ある国立公園の一つであり、阿寒国立公園、日光国立公園、中部山岳国立公園、阿蘇国立公園（現在の阿蘇くじゅう国立公園）とともに指定された。大雪火山群、十勝岳連峰、石狩岳連峰を有する山岳公園であり、山頂部の標高は2,000メートル程ながら高緯度に位置していることから本州の3,000メートル級の山岳に匹敵する自然環境があり、雪渓や永久凍土の層が存在している。大雪山は1971年（昭和46年）に国の天然記念物に指定され、1977年（昭和52年）に特別天然記念物に指定変更されている。ウスバキチョウやダイセツタカネヒカゲなどの高山蝶やクマゲラ、イヌワシ、シマフクロウなどの鳥類が種として天然記念物に指定されている他、1951年（昭和26年）に羽衣の滝が北海道の名勝に指定され、然別湖の「ミヤベイワナ」（オショロコマの亜種）が1968年（昭和43年）に北海道の天然記念物に指定されている。"
"支笏洞爺国立公園","支笏洞爺国立公園1949年5月16日99,4732,706","https://ja.wikipedia.org/wiki/支笏洞爺国立公園","","指定区域: 日本石狩振興局：札幌市、千歳市、恵庭市胆振総合振興局：苫小牧市、登別市、伊達市、虻田郡洞爺湖町、有珠郡壮瞥町、白老郡白老町後志総合振興局：虻田郡倶知安町、虻田郡ニセコ町、虻田郡真狩村、虻田郡喜茂別町、虻田郡京極町;分類: 国立公園;面積: 99,473ヘクタール;指定日: 1949年（昭和24年）5月16日;運営者: 環境省;年来園者数: 9,900,000人（平成25年）;施設: 支笏湖ビジターセンター、登別パークサービスセンター、洞爺湖ビジターセンター、洞爺財田自然体験ハウス、昭和新山パークサービスセンター;事務所: 北海道地方環境事務所;事務所所在地: 札幌市北区北8条西2丁目札幌第1合同庁舎3階;公式サイト: 環境省_支笏洞爺国立公園","日本の国立公園","表形式","北海道南西部に位置し、支笏湖と洞爺湖のカルデラを中心として有珠山、昭和新山、樽前山、羊蹄山など多くの火山があり、火山性の湖沼や温泉もあるなど火山群を形成している。北海道内の国立公園の中では最も利用者が多い国立公園となっている。札幌市中心部や新千歳空港からのアクセスが良く、シーニックバイウェイの「札幌シーニックバイウェイ藻岩山麓・定山渓ルート」や「支笏洞爺ニセコルート」になっている。"
"知床国立公園","知床国立公園1964年6月1日38,95423,526","https://ja.wikipedia.org/wiki/知床国立公園","北緯44度04分33秒東経145度07分20秒","指定区域: 日本オホーツク総合振興局：斜里郡斜里町根室振興局：目梨郡羅臼町北緯44度04分33秒東経145度07分20秒﻿ / ﻿北緯44.07583度 東経145.12222度﻿ / 44.07583; 145.12222座標: 北緯44度04分33秒東経145度07分20秒﻿ / ﻿北緯44.07583度 東経145.12222度﻿ / 44.07583; 145.12222;分類: 国立公園;面積: 38,636ha（陸域のみ）;指定日: 1964年6月1日;運営者: 環境省;年来園者数: 1,740,000人（平成25年）;施設: 知床世界遺産センター、知床自然センター、知床五湖フィールドハウス、知床五湖パークサービスセンター、知床世界遺産・知床国立公園羅臼ビジターセンター、知床世界遺産ルサフィールドハウス;告示: 昭和39年厚生省告示第235号昭和55年環境庁告示第1号（変更）平成17年環境省告示第140号（変更）平成22年環境省告示第120号（変更）;事務所: 釧路自然環境事務所;事務所所在地: 北海道釧路市幸町10-3;公式サイト: 環境省_知床国立公園","日本の国立公園","表形式","全国22番目の国立公園として南アルプス国立公園とともに指定された。日本国内最東北端に位置する知床半島中央部から知床岬までの周辺海域を含む約60,000ヘクタールが公園区域になっている。厳正な保護規制がかけられている「特別保護地区」が陸域公園面積の半分以上を占めており、公園区域の西端の知西別岳は、「遠音別岳原生自然環境保全地域」に隣接している。"
"利尻礼文サロベツ国立公園","利尻礼文サロベツ国立公園1974年9月20日利尻礼文国定公園から昇格24,1669,720","https://ja.wikipedia.org/wiki/利尻礼文サロベツ国立公園","北緯45度10分43秒東経141度14分31秒","指定区域: 日本宗谷総合振興局：稚内市、天塩郡幌延町、天塩郡豊富町、礼文郡礼文町、利尻郡利尻町、利尻郡利尻富士町北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ / 45.17861; 141.24194座標: 北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ / 45.17861; 141.24194;分類: 国立公園;面積: 24,166ヘクタール;前身: 利尻礼文国定公園;指定日: 1974年9月20日;運営者: 環境省;年来園者数: 730,000人（平成25年）;施設: サロベツ湿原センター、幌延ビジターセンター;事務所: 北海道地方環境事務所;事務所所在地: 札幌市北区北8条西2丁目 札幌第1合同庁舎3F;公式サイト: 環境省_利尻礼文サロベツ国立公園","日本の国立公園","表形式","日本国内最北の国立公園であり、利尻島と礼文島の約半分、稚内市から豊富町・幌延町へ続く海岸砂丘林とサロベツ原野が指定されている。公園全体の約7割が原生的な自然状態であり、全域に渡って風が強いため風衝植生になっている。サロベツ原野がラムサール条約に登録されている他、「礼文島桃岩付近一帯の野生植物」「利尻島のチシマザクラ自生地」「稚内海岸砂丘林」「レブンアツモリソウ群生地」が北海道の天然記念物に指定されている。"
"釧路湿原国立公園","釧路湿原国立公園1987年7月31日28,7886,490","https://ja.wikipedia.org/wiki/釧路湿原国立公園","北緯43度06分05秒東経144度22分22秒","指定区域: 日本釧路総合振興局：釧路市、釧路郡釧路町、川上郡標茶町、阿寒郡鶴居村北緯43度06分05秒東経144度22分22秒﻿ / ﻿北緯43.10139度 東経144.37278度﻿ / 43.10139; 144.37278座標: 北緯43度06分05秒東経144度22分22秒﻿ / ﻿北緯43.10139度 東経144.37278度﻿ / 43.10139; 144.37278;分類: 国立公園;面積: 28,788ha;指定日: 1987年7月31日;運営者: 環境省;年来園者数: 460,000人;施設: 温根内ビジターセンター、塘路湖エコミュージアムセンター、釧路湿原野生生物保護センター、シラルトロ自然情報館;告示: 昭和62年環境庁告示第29号;事務所: 釧路自然環境事務所;事務所所在地: 北海道釧路市幸町10-3;公式サイト: 環境省_釧路湿原国立公園","日本の国立公園","表形式","北海道東部の釧路川に沿って展開している日本国内最大の湿原である釧路湿原を中心とする公園。タンチョウなどの水鳥はじめ、多くの野生動物の生息地となっている。釧路湿原として1967年（昭和42年）に国の天然記念物、1980年（昭和55年）に日本国内で最初のラムサール条約登録湿地となり、1987年（昭和62年）に日本国内で28番目の国立公園に指定された。"
"十和田八幡平国立公園","十和田八幡平国立公園青森県、岩手県、秋田県1936年2月1日東北指定時は十和田国立公園、後に改称85,53413,288","https://ja.wikipedia.org/wiki/十和田八幡平国立公園","北緯39度51分09秒東経141度00分04秒","指定区域: 日本青森県、岩手県、秋田県にまたがる湖沼、渓流および山岳地北緯39度51分09秒東経141度00分04秒﻿ / ﻿北緯39.85250度 東経141.00111度﻿ / 39.85250; 141.00111座標: 北緯39度51分09秒東経141度00分04秒﻿ / ﻿北緯39.85250度 東経141.00111度﻿ / 39.85250; 141.00111;分類: 国立公園;面積: 85,551ha;指定日: 1956年7月10日;運営者: 環境省;年来園者数: 589万人（2010年）;事務所: 東北地方環境事務所;事務所所在地: 〒980-0014 宮城県仙台市青葉区本町3-2-3仙台第二合同庁舎6階;公式サイト: 十和田八幡平国立公園（環境省）","日本の国立公園","表形式","一帯が那須火山帯に含まれており、多種多様の火山が見られるため、「火山の博物館」の異名をもつ。また、玉川温泉、蔦温泉、酸ヶ湯温泉、八甲田温泉など温泉地が多い。また新緑、紅葉の名所としても知られ、訪れる観光客は多い。歴史的経緯もあり、十和田・八甲田地域と八幡平地域とに大別される。"
"磐梯朝日国立公園","磐梯朝日国立公園山形県、福島県、新潟県1950年9月5日186,37518,338","https://ja.wikipedia.org/wiki/磐梯朝日国立公園","北緯37度51分17秒東経139度42分26秒","指定区域: 日本山形県、福島県、新潟県にまたがる山岳地北緯37度51分17秒東経139度42分26秒﻿ / ﻿北緯37.85472度 東経139.70722度﻿ / 37.85472; 139.70722座標: 北緯37度51分17秒東経139度42分26秒﻿ / ﻿北緯37.85472度 東経139.70722度﻿ / 37.85472; 139.70722;分類: 国立公園;面積: 186,404ha;指定日: 1950年9月5日;運営者: 環境省;年来園者数: 758万人（2010年）;事務所: 東北地方環境事務所;事務所所在地: 〒980-0014 宮城県仙台市青葉区本町3-2-3仙台第二合同庁舎6階;公式サイト: 磐梯朝日国立公園（環境省）","日本の国立公園","表形式","出羽三山と朝日山地を含む出羽三山・朝日地域、飯豊山地を主とする飯豊地域、猪苗代湖と磐梯高原・吾妻山・安達太良山を含む磐梯吾妻・猪苗代地域の3地区に分け管理されている。"
"三陸復興国立公園","三陸復興国立公園青森県、岩手県、宮城県1955年5月2日指定時は陸中海岸国立公園、2013年5月24日に青森県部分を追加して改称28,539848","https://ja.wikipedia.org/wiki/三陸復興国立公園","北緯39度39分00秒東経141度58分53秒","指定区域: 日本青森県、岩手県、宮城県にまたがる太平洋沿岸部北緯39度39分00秒東経141度58分53秒﻿ / ﻿北緯39.65000度 東経141.98139度﻿ / 39.65000; 141.98139座標: 北緯39度39分00秒東経141度58分53秒﻿ / ﻿北緯39.65000度 東経141.98139度﻿ / 39.65000; 141.98139;分類: 国立公園;面積: 28,537ha;指定日: 1955年5月2日;運営者: 環境省;年来園者数: 407万人（2010年）;事務所: 東北地方環境事務所;事務所所在地: 〒980-0014宮城県仙台市青葉区本町3-2-3仙台第二合同庁舎6階;公式サイト: 三陸復興国立公園（環境省）","日本の国立公園","表形式","1955年（昭和30年）5月2日に陸中海岸国立公園（りくちゅうかいがんこくりつこうえん）として指定。2011年（平成23年）に発生した東日本大震災による津波で指定区域が大きな被害を受けたことを受け、震災からの復興および被害の伝承を目的として、2013年（平成25年）5月24日に、青森県の種差海岸階上岳県立公園及び八戸市鮫町の2地区を編入の上、現在の名称に改められた。"
"日光国立公園","日光国立公園福島県、栃木県、群馬県1934年12月4日関東114,9081,187","https://ja.wikipedia.org/wiki/日光国立公園","北緯36度58分43秒東経139度23分42秒","指定区域: 日本栃木県、群馬県、福島県にまたがる那須火山帯に属する山岳地北緯36度58分43秒東経139度23分42秒﻿ / ﻿北緯36.97861度 東経139.39500度﻿ / 36.97861; 139.39500座標: 北緯36度58分43秒東経139度23分42秒﻿ / ﻿北緯36.97861度 東経139.39500度﻿ / 36.97861; 139.39500;分類: 国立公園;面積: 114,908ha;指定日: 1934年12月4日;運営者: 環境省;年来園者数: 1,770万人（2010年）;事務所: 関東地方環境事務所;事務所所在地: 〒330-6018埼玉県さいたま市中央区新都心11-2明治安田生命さいたま新都心ビル18階;公式サイト: 日光国立公園（環境省）","日本の国立公園","表形式","1934年12月4日に大雪山国立公園、阿寒摩周国立公園、中部山岳国立公園、阿蘇くじゅう国立公園とともに指定された。当初は日光、尾瀬、奥鬼怒の三地域が指定されていたが、1950年に那須甲子・塩原、藤原、栗山、足尾の四地域が追加された。2007年に尾瀬地域が尾瀬国立公園に分離されたため、現在は日光地域、鬼怒川・栗山地域、那須甲子・塩原地域の三地域から成る。"
