"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"札幌市","札幌市：中央区- 北区- 東区- 白石区- 豊平区- 南区- 西区- 厚別区- 手稲区- 清田区","https://ja.wikipedia.org/wiki/札幌市","北緯43度3分43.5秒東経141度21分15.8秒","国: 日本;地方: 北海道地方;都道府県: 北海道（石狩振興局）;市町村コード: 01100-2;法人番号: 9000020011002;面積: 1,121.26km2;総人口: 1,962,864人 （住民基本台帳人口、2021年6月30日）;人口密度: 1,751人/km2;隣接自治体: 石狩振興局：江別市、北広島市、石狩市、恵庭市、千歳市、石狩郡当別町後志総合振興局：小樽市、虻田郡喜茂別町、虻田郡京極町、余市郡赤井川村胆振総合振興局：伊達市;市の木: ライラック;市の花: スズラン;市の鳥: カッコウ;市長: 秋元克広;所在地: 〒060-8611北海道札幌市中央区北1条西2丁目北緯43度3分43.5秒東経141度21分15.8秒﻿ / ﻿北緯43.062083度 東経141.354389度﻿ / 43.062083; 141.354389座標: 北緯43度3分43.5秒東経141度21分15.8秒﻿ / ﻿北緯43.062083度 東経141.354389度﻿ / 43.062083; 141.354389札幌市役所庁舎;外部リンク: 札幌市 City of Sapporo;最高気温記録 °C（°F）: 11.2(52.2);平均最高気温 °C（°F）: −0.4(31.3);日平均気温 °C（°F）: −3.2(26.2);平均最低気温 °C（°F）: −6.4(20.5);最低気温記録 °C（°F）: −27.0(−16.6);降水量mm （inch）: 108.4(4.268);降雪量cm （inch）: 137(53.9);平均降水日数 （≥0.5mm）: 22.1;平均降雪日数 （≥0cm）: 29.1;% 湿度: 69;平均月間日照時間: 90.4;平均最高気温 °C（°F）: −1.1(30);日平均気温 °C（°F）: −4.6(23.7);平均最低気温 °C（°F）: −8.4(16.9);最高気温記録 °C（°F）: 9.3(48.7);平均最高気温 °C（°F）: −0.8(30.6);日平均気温 °C（°F）: −4.2(24.4);平均最低気温 °C（°F）: −8.4(16.9);最低気温記録 °C（°F）: −20.9(−5.6);降水量mm （inch）: 98.6(3.882);平均月間日照時間: 75.6;平均最高気温 °C（°F）: −1.9(28.6);平均最低気温 °C（°F）: −11.1(12);降水量mm （inch）: 60.8(2.394);降雪量cm （inch）: 64(25.2);平均月間日照時間: 93.9;インペリアル換算: インペリアル換算123456789101112  4.5 3119  3.7 3220  3 3927  2.2 5338  2.1 6347  1.8 7155  3.2 7763  4.9 8066  5.3 7258  4.3 6146  4.1 4734  4.4 3625気温（°F）総降水量（in）;中央区: 01101-1;北区: 01102-9;東区: 01103-7;白石区: 01104-5;豊平区: 01105-3;南区: 01106-1;西区: 01107-0;厚別区: 01108-8;手稲区: 01109-6;清田区: 01110-0;対馬嘉三郎: 初代;加藤寛六郎: 2代;青木定謙: 3代;阿部宇之八: 4代;佐藤友熊: 5代;高岡直吉: 初代;橋本正治: 2代;三沢寛一: 3代;上原六郎: 4代;高田富與: 5代;原田與作: 6代;板垣武四: 7代;桂信雄: 8代;上田文雄: 9代;秋元克広: 10代;年度: 1996;札幌市のランキング: 5;対象都市数: 12;札幌市議会自由民主党議員会: 27;札幌市議会民主市民連合議員会: 20;札幌市議会公明党議員会: 10;日本共産党札幌市議会議員団: 10;札幌市議会市民ネットワーク北海道: 1;国: 日本;地方: 北海道地方;都道府県: 北海道（石狩振興局）;市町村コード: 01100-2;法人番号: 9000020011002;面積: 1,121.26km2;総人口: 1,962,864人 （住民基本台帳人口、2021年6月30日）;人口密度: 1,751人/km2;隣接自治体: 石狩振興局：江別市、北広島市、石狩市、恵庭市、千歳市、石狩郡当別町後志総合振興局：小樽市、虻田郡喜茂別町、虻田郡京極町、余市郡赤井川村胆振総合振興局：伊達市;市の木: ライラック;市の花: スズラン;市の鳥: カッコウ;市長: 秋元克広;所在地: 〒060-8611北海道札幌市中央区北1条西2丁目北緯43度3分43.5秒東経141度21分15.8秒﻿ / ﻿北緯43.062083度 東経141.354389度﻿ / 43.062083; 141.354389座標: 北緯43度3分43.5秒東経141度21分15.8秒﻿ / ﻿北緯43.062083度 東経141.354389度﻿ / 43.062083; 141.354389札幌市役所庁舎;外部リンク: 札幌市 City of Sapporo;最高気温記録 °C（°F）: 11.2(52.2);平均最高気温 °C（°F）: −0.4(31.3);日平均気温 °C（°F）: −3.2(26.2);平均最低気温 °C（°F）: −6.4(20.5);最低気温記録 °C（°F）: −27.0(−16.6);降水量mm （inch）: 108.4(4.268);降雪量cm （inch）: 137(53.9);平均降水日数 （≥0.5mm）: 22.1;平均降雪日数 （≥0cm）: 29.1;% 湿度: 69;平均月間日照時間: 90.4;平均最高気温 °C（°F）: −1.1(30);日平均気温 °C（°F）: −4.6(23.7);平均最低気温 °C（°F）: −8.4(16.9);最高気温記録 °C（°F）: 9.3(48.7);平均最高気温 °C（°F）: −0.8(30.6);日平均気温 °C（°F）: −4.2(24.4);平均最低気温 °C（°F）: −8.4(16.9);最低気温記録 °C（°F）: −20.9(−5.6);降水量mm （inch）: 98.6(3.882);平均月間日照時間: 75.6;平均最高気温 °C（°F）: −1.9(28.6);平均最低気温 °C（°F）: −11.1(12);降水量mm （inch）: 60.8(2.394);降雪量cm （inch）: 64(25.2);平均月間日照時間: 93.9;インペリアル換算: インペリアル換算123456789101112  4.5 3119  3.7 3220  3 3927  2.2 5338  2.1 6347  1.8 7155  3.2 7763  4.9 8066  5.3 7258  4.3 6146  4.1 4734  4.4 3625気温（°F）総降水量（in）;中央区: 01101-1;北区: 01102-9;東区: 01103-7;白石区: 01104-5;豊平区: 01105-3;南区: 01106-1;西区: 01107-0;厚別区: 01108-8;手稲区: 01109-6;清田区: 01110-0;対馬嘉三郎: 初代;加藤寛六郎: 2代;青木定謙: 3代;阿部宇之八: 4代;佐藤友熊: 5代;高岡直吉: 初代;橋本正治: 2代;三沢寛一: 3代;上原六郎: 4代;高田富與: 5代;原田與作: 6代;板垣武四: 7代;桂信雄: 8代;上田文雄: 9代;秋元克広: 10代;年度: 1996;札幌市のランキング: 5;対象都市数: 12;札幌市議会自由民主党議員会: 27;札幌市議会民主市民連合議員会: 20;札幌市議会公明党議員会: 10;日本共産党札幌市議会議員団: 10;札幌市議会市民ネットワーク北海道: 1","日本の地方公共団体一覧","箇条書き","日本最北の政令指定都市であり、全国の市の中でも横浜市、大阪市、名古屋市に次ぐ4番目の人口を有しており、北海道全体の人口の約4割弱（約36%）を占めている。北海道のプライメイトシティであり、札幌都市圏を形成している。アイヌの人々が暮らしていた蝦夷地は1869年（明治2年）に北海道と改称され開拓使が置かれて札幌本府の建設が始まった。1875年（明治8年）に最初の屯田兵が入植。札幌の建設計画は当時の開拓判官島義勇によって構想され、京都を参考にした街づくりは創成橋東側のたもとを基点に東西の基軸を創成川、南北の基軸を渡島通（現在の南1条通）として区画割を進めていった（現在の南北の基軸は大通公園）。このため、中心部の多くは街並みが碁盤の目状になっている。"
"江別市","江別市","https://ja.wikipedia.org/wiki/江別市","北緯43度6分13.4秒東経141度32分10.3秒","国: 日本;地方: 北海道地方;都道府県: 北海道（石狩振興局）;市町村コード: 01217-3;法人番号: 9000020012173;面積: 187.38km2;総人口: 119,718人 （住民基本台帳人口、2021年6月30日）;人口密度: 639人/km2;隣接自治体: 石狩振興局：札幌市、北広島市、石狩郡当別町、石狩郡新篠津村空知総合振興局：岩見沢市、空知郡南幌町;市の木: ナナカマド;市の花: キク;市長: 三好昇;所在地: 〒067-8674北海道江別市高砂町6番地北緯43度6分13.4秒東経141度32分10.3秒﻿ / ﻿北緯43.103722度 東経141.536194度﻿ / 43.103722; 141.536194;外部リンク: 公式ウェブサイト;インペリアル換算: インペリアル換算123456789101112  2.7 2810  2.2 3011  1.5 3721  1.5 5133  2.2 6243  2.8 7053  4.6 7460  4.5 7862  4.4 7252  3.5 6041  3.5 4630  2.8 3217気温（°F）総降水量（in）;最高気温記録 °C（°F）: 6.4(43.5);平均最高気温 °C（°F）: −2.0(28.4);日平均気温 °C（°F）: −6.3(20.7);平均最低気温 °C（°F）: −12.3(9.9);最低気温記録 °C（°F）: −26.1(−15);降水量mm （inch）: 69.6(2.74);平均月間日照時間: 92.9;国: 日本;地方: 北海道地方;都道府県: 北海道（石狩振興局）;市町村コード: 01217-3;法人番号: 9000020012173;面積: 187.38km2;総人口: 119,718人 （住民基本台帳人口、2021年6月30日）;人口密度: 639人/km2;隣接自治体: 石狩振興局：札幌市、北広島市、石狩郡当別町、石狩郡新篠津村空知総合振興局：岩見沢市、空知郡南幌町;市の木: ナナカマド;市の花: キク;市長: 三好昇;所在地: 〒067-8674北海道江別市高砂町6番地北緯43度6分13.4秒東経141度32分10.3秒﻿ / ﻿北緯43.103722度 東経141.536194度﻿ / 43.103722; 141.536194;外部リンク: 公式ウェブサイト;インペリアル換算: インペリアル換算123456789101112  2.7 2810  2.2 3011  1.5 3721  1.5 5133  2.2 6243  2.8 7053  4.6 7460  4.5 7862  4.4 7252  3.5 6041  3.5 4630  2.8 3217気温（°F）総降水量（in）;最高気温記録 °C（°F）: 6.4(43.5);平均最高気温 °C（°F）: −2.0(28.4);日平均気温 °C（°F）: −6.3(20.7);平均最低気温 °C（°F）: −12.3(9.9);最低気温記録 °C（°F）: −26.1(−15);降水量mm （inch）: 69.6(2.74);平均月間日照時間: 92.9","日本の地方公共団体一覧","箇条書き","石狩振興局では札幌市に次ぐ第二位の人口規模の都市であり、札幌市中心部までは車で約40分（一般道路利用）、札幌駅から野幌駅まで約20分と交通アクセスが良く、札幌のベッドタウンとして人口が増加した。また、新千歳空港まで車や鉄道で約1時間の距離に位置しており、市内の東西2箇所に高速道路のインターチェンジがあるなど北海道内各地へもアクセスし易い環境にある。"
"千歳市","千歳市","https://ja.wikipedia.org/wiki/千歳市","北緯42度49分15.5秒東経141度39分3.2秒","国: 日本;地方: 北海道地方;都道府県: 北海道（石狩振興局）;市町村コード: 01224-6;法人番号: 2000020012246;面積: 594.50km2（境界未定部分あり）;総人口: 97,636人 （住民基本台帳人口、2021年6月30日）;人口密度: 164人/km2;隣接自治体: 石狩振興局：札幌市、恵庭市胆振総合振興局：苫小牧市、伊達市、勇払郡安平町、白老郡白老町空知総合振興局：夕張郡長沼町、夕張郡由仁町;市の木: シラカバカツラ;市の花: ツツジハナショウブ;市の鳥市の魚: コウライキジ・ヤマセミヒメマス・サケ;市長: 山口幸太郎;所在地: 〒066-8686北海道千歳市東雲町2丁目34北緯42度49分15.5秒東経141度39分3.2秒﻿ / ﻿北緯42.820972度 東経141.650889度﻿ / 42.820972; 141.650889座標: 北緯42度49分15.5秒東経141度39分3.2秒﻿ / ﻿北緯42.820972度 東経141.650889度﻿ / 42.820972; 141.650889;外部リンク: 公式ウェブサイト;特記事項: ^昭和43年4月1日制定^ abcd昭和61年4月1日制定^平成8年11月1日制定;最高気温記録 °C（°F）: 8.2(46.8);平均最高気温 °C（°F）: −1.4(29.5);日平均気温 °C（°F）: −6.7(19.9);平均最低気温 °C（°F）: −13.9(7);最低気温記録 °C（°F）: −30.7(−23.3);降水量mm （inch）: 39.5(1.555);降雪量cm （inch）: 54(21.3);インペリアル換算: インペリアル換算123456789101112  1.3 3010  1.7 319  1.9 3921  2.4 5132  4 6142  3.3 6852  5.2 7259  5.8 7763  4.7 7253  3.1 6140  3.2 4829  2.2 3617気温（°F）総降水量（in）;国: 日本;地方: 北海道地方;都道府県: 北海道（石狩振興局）;市町村コード: 01224-6;法人番号: 2000020012246;面積: 594.50km2（境界未定部分あり）;総人口: 97,636人 （住民基本台帳人口、2021年6月30日）;人口密度: 164人/km2;隣接自治体: 石狩振興局：札幌市、恵庭市胆振総合振興局：苫小牧市、伊達市、勇払郡安平町、白老郡白老町空知総合振興局：夕張郡長沼町、夕張郡由仁町;市の木: シラカバカツラ;市の花: ツツジハナショウブ;市の鳥市の魚: コウライキジ・ヤマセミヒメマス・サケ;市長: 山口幸太郎;所在地: 〒066-8686北海道千歳市東雲町2丁目34北緯42度49分15.5秒東経141度39分3.2秒﻿ / ﻿北緯42.820972度 東経141.650889度﻿ / 42.820972; 141.650889座標: 北緯42度49分15.5秒東経141度39分3.2秒﻿ / ﻿北緯42.820972度 東経141.650889度﻿ / 42.820972; 141.650889;外部リンク: 公式ウェブサイト;特記事項: ^昭和43年4月1日制定^ abcd昭和61年4月1日制定^平成8年11月1日制定;最高気温記録 °C（°F）: 8.2(46.8);平均最高気温 °C（°F）: −1.4(29.5);日平均気温 °C（°F）: −6.7(19.9);平均最低気温 °C（°F）: −13.9(7);最低気温記録 °C（°F）: −30.7(−23.3);降水量mm （inch）: 39.5(1.555);降雪量cm （inch）: 54(21.3);インペリアル換算: インペリアル換算123456789101112  1.3 3010  1.7 319  1.9 3921  2.4 5132  4 6142  3.3 6852  5.2 7259  5.8 7763  4.7 7253  3.1 6140  3.2 4829  2.2 3617気温（°F）総降水量（in）","日本の地方公共団体一覧","箇条書き","「北海道の空の玄関口」である新千歳空港があり、国内線の東京（羽田）—札幌（新千歳）間は単一路線としては世界一の乗降客数を有している。国際線と合わせた乗降客数は年間約2,000万人に達している。市内には空港があるほか、高速道路（道央自動車道・道東自動車道）や港（苫小牧港）にも至近距離であることから工業団地が集積している。札幌市中心部までは車でおよそ1時間（高速道路利用）、鉄道で約30分から40分（特急・快速列車利用）で行くことができる。また、陸上自衛隊第7師団と航空自衛隊第2航空団の基地や演習場があり、自衛隊と共存した社会を築いている。陸上自衛隊東千歳駐屯地・北千歳駐屯地、航空自衛隊千歳基地の合計隊員は推定で約8,700人で、退役者や隊員の家族を含めると、市内人口の約25 %を占めている。基地の存在は若年層の流入にも繋がり、令和2年の15～19歳の転入増加は440人に及んだ。こうした事情から、同年の千歳市の平均年齢は43.5歳で、北海道一若い街となっている。"
"恵庭市","恵庭市","https://ja.wikipedia.org/wiki/恵庭市","北緯42度52分57.2秒東経141度34分40秒","国: 日本;地方: 北海道地方;都道府県: 北海道（石狩振興局）;市町村コード: 01231-9;法人番号: 4000020012319;面積: 294.65km2（境界未定部分あり）;総人口: 70,061人 （住民基本台帳人口、2021年6月30日）;人口密度: 238人/km2;隣接自治体: 石狩振興局:札幌市、北広島市、千歳市空知総合振興局:夕張郡長沼町;市の木: イチイ（オンコ）;市の花: スズラン;市の鳥: カワセミ;市長: 原田裕;所在地: 〒061-1498北海道恵庭市京町1北緯42度52分57.2秒東経141度34分40秒﻿ / ﻿北緯42.882556度 東経141.57778度﻿ / 42.882556; 141.57778;外部リンク: 公式ウェブサイト;インペリアル換算: インペリアル換算123456789101112  2.2 289  1.9 2910  2.1 3620  2.6 4933  3 6042  2.2 6751  3.6 7360  7 7663  6 6952  4.5 5940  3.1 4529  2.6 3317気温（°F）総降水量（in）;最高気温記録 °C（°F）: 7.6(45.7);平均最高気温 °C（°F）: −1.8(28.8);日平均気温 °C（°F）: −6.6(20.1);平均最低気温 °C（°F）: −13.2(8.2);最低気温記録 °C（°F）: −26.8(−16.2);降水量mm （inch）: 56.9(2.24);降雪量cm （inch）: 168(66.1);平均月間日照時間: 99.7;中恵庭: 漁太、林田、春日、中央、上山口、南島松の一部;本庁: 戸磯、恵南、和光町、駒場町、白樺町、黄金北、黄金中央、黄金南、相生町、緑町、住吉町、末広町、栄恵町、泉町、桜町、京町、漁町、福住町、新町、本町、有明町、大町、文京町、牧場、盤尻、桜森、中島町、恵央町、幸町、柏陽町、柏木町、北柏木町、島松沢、美咲野;恵み野: 恵み野東、恵み野南、恵み野西、恵み野北、南島松の一部、恵み野里美;島松: 島松寿町、島松仲町、島松東町、島松本町、島松旭町、西島松、南島松の一部、中島松、下島松、穂栄、北島;国: 日本;地方: 北海道地方;都道府県: 北海道（石狩振興局）;市町村コード: 01231-9;法人番号: 4000020012319;面積: 294.65km2（境界未定部分あり）;総人口: 70,061人 （住民基本台帳人口、2021年6月30日）;人口密度: 238人/km2;隣接自治体: 石狩振興局:札幌市、北広島市、千歳市空知総合振興局:夕張郡長沼町;市の木: イチイ（オンコ）;市の花: スズラン;市の鳥: カワセミ;市長: 原田裕;所在地: 〒061-1498北海道恵庭市京町1北緯42度52分57.2秒東経141度34分40秒﻿ / ﻿北緯42.882556度 東経141.57778度﻿ / 42.882556; 141.57778;外部リンク: 公式ウェブサイト;インペリアル換算: インペリアル換算123456789101112  2.2 289  1.9 2910  2.1 3620  2.6 4933  3 6042  2.2 6751  3.6 7360  7 7663  6 6952  4.5 5940  3.1 4529  2.6 3317気温（°F）総降水量（in）;最高気温記録 °C（°F）: 7.6(45.7);平均最高気温 °C（°F）: −1.8(28.8);日平均気温 °C（°F）: −6.6(20.1);平均最低気温 °C（°F）: −13.2(8.2);最低気温記録 °C（°F）: −26.8(−16.2);降水量mm （inch）: 56.9(2.24);降雪量cm （inch）: 168(66.1);平均月間日照時間: 99.7;中恵庭: 漁太、林田、春日、中央、上山口、南島松の一部;本庁: 戸磯、恵南、和光町、駒場町、白樺町、黄金北、黄金中央、黄金南、相生町、緑町、住吉町、末広町、栄恵町、泉町、桜町、京町、漁町、福住町、新町、本町、有明町、大町、文京町、牧場、盤尻、桜森、中島町、恵央町、幸町、柏陽町、柏木町、北柏木町、島松沢、美咲野;恵み野: 恵み野東、恵み野南、恵み野西、恵み野北、南島松の一部、恵み野里美;島松: 島松寿町、島松仲町、島松東町、島松本町、島松旭町、西島松、南島松の一部、中島松、下島松、穂栄、北島","日本の地方公共団体一覧","箇条書き","恵庭市は札幌市と新千歳空港のほぼ中間に位置しており、恵まれた交通アクセスと穏やかな気候風土を持つまちになっている。市民主導による花のまちづくりが盛んで全国的に評価され、これまでに『緑化推進運動功労者』内閣総理大臣表彰（平成7年「花いっぱい文化協会」、平成13年「サッポロビール北海道工場」）、『都市景観大賞』「美しいまちなみ大賞」国土交通大臣表彰（平成16年「恵み野地区」）、『花の観光地づくり大賞』（平成22年「恵庭市」）などを受賞しており、「ガーデニングのまち」として知られるようになった。"
"北広島市","北広島市","https://ja.wikipedia.org/wiki/北広島市","北緯42度59分8.5秒東経141度33分49.1秒","国: 日本;地方: 北海道地方;都道府県: 北海道（石狩振興局）;市町村コード: 01234-3;法人番号: 4000020012343;面積: 119.05km2;総人口: 57,889人 （住民基本台帳人口、2021年6月30日）;人口密度: 486人/km2;隣接自治体: 札幌市、江別市、恵庭市、空知郡南幌町、夕張郡長沼町;市の木: かえで;市の花: つつじ;イメージマスコット: エルフィン;市長: 上野正三;所在地: 〒061-1192北海道北広島市中央4丁目2-1北緯42度59分8.5秒東経141度33分49.1秒﻿ / ﻿北緯42.985694度 東経141.563639度﻿ / 42.985694; 141.563639;外部リンク: 公式ウェブサイト","日本の地方公共団体一覧","箇条書き","1884年（明治17年）、札幌県札幌郡に広島県人25戸103人の入植が始まったことに由来し、1894年（明治27年）に同郡月寒村から分離独立した際、自治体の名称を移住者に因んで北海道札幌郡広島村とした。1968年（昭和43年）に町制施行して北海道札幌郡広島町となった。"
"石狩市","石狩市","https://ja.wikipedia.org/wiki/石狩市","北緯43度10分16.9秒東経141度18分55.8秒","国: 日本;地方: 北海道地方;都道府県: 北海道（石狩振興局）;市町村コード: 01235-1;法人番号: 4000020012351;面積: 722.42km2;総人口: 58,142人 （住民基本台帳人口、2021年6月30日）;人口密度: 80.5人/km2;隣接自治体: 石狩振興局:札幌市、石狩郡当別町後志総合振興局:小樽市空知総合振興局:樺戸郡新十津川町留萌振興局:増毛郡増毛町;市の木: カシワ;市の花: ハマナス;市の鳥: カモメ;市長: 加藤龍幸;所在地: 〒061-3292北海道石狩市花川北6条1丁目30-2北緯43度10分16.9秒東経141度18分55.8秒﻿ / ﻿北緯43.171361度 東経141.315500度﻿ / 43.171361; 141.315500石狩市役所庁舎（2006年8月27日撮影）;外部リンク: 北海道石狩市公式ホームページ（日本語）;インペリアル換算: インペリアル換算123456789101112  4.1 2917  3.5 3016  2 3623  1.8 5035  2.8 6044  1.7 6753  3.5 7561  4.4 7663  5.6 7055  3.7 6044  3.6 4633  3.7 3423気温（°F）総降水量（in）;最高気温記録 °C（°F）: 7.6(45.7);平均最高気温 °C（°F）: −1.1(30);日平均気温 °C（°F）: −4.6(23.7);平均最低気温 °C（°F）: −9.1(15.6);最低気温記録 °C（°F）: −23.1(−9.6);降水量mm （inch）: 94.5(3.72);降雪量cm （inch）: 198(78);平均降水日数 （≥1.0 mm）: 19.5;平均月間日照時間: 72.0;国: 日本;地方: 北海道地方;都道府県: 北海道（石狩振興局）;市町村コード: 01235-1;法人番号: 4000020012351;面積: 722.42km2;総人口: 58,142人 （住民基本台帳人口、2021年6月30日）;人口密度: 80.5人/km2;隣接自治体: 石狩振興局:札幌市、石狩郡当別町後志総合振興局:小樽市空知総合振興局:樺戸郡新十津川町留萌振興局:増毛郡増毛町;市の木: カシワ;市の花: ハマナス;市の鳥: カモメ;市長: 加藤龍幸;所在地: 〒061-3292北海道石狩市花川北6条1丁目30-2北緯43度10分16.9秒東経141度18分55.8秒﻿ / ﻿北緯43.171361度 東経141.315500度﻿ / 43.171361; 141.315500石狩市役所庁舎（2006年8月27日撮影）;外部リンク: 北海道石狩市公式ホームページ（日本語）;インペリアル換算: インペリアル換算123456789101112  4.1 2917  3.5 3016  2 3623  1.8 5035  2.8 6044  1.7 6753  3.5 7561  4.4 7663  5.6 7055  3.7 6044  3.6 4633  3.7 3423気温（°F）総降水量（in）;最高気温記録 °C（°F）: 7.6(45.7);平均最高気温 °C（°F）: −1.1(30);日平均気温 °C（°F）: −4.6(23.7);平均最低気温 °C（°F）: −9.1(15.6);最低気温記録 °C（°F）: −23.1(−9.6);降水量mm （inch）: 94.5(3.72);降雪量cm （inch）: 198(78);平均降水日数 （≥1.0 mm）: 19.5;平均月間日照時間: 72.0","日本の地方公共団体一覧","箇条書き","アイヌ語に由来する。蛇行する石狩川を表現したものとする考え方が大勢だが、解釈は以下のように諸説ある。"
"石狩郡","石狩郡：当別町- 新篠津村","https://ja.wikipedia.org/wiki/石狩郡","","","日本の地方公共団体一覧","箇条書き","石狩郡（いしかりぐん）は、北海道（石狩国）石狩振興局管内の郡。"
"岩見沢市","岩見沢市","https://ja.wikipedia.org/wiki/岩見沢市","北緯43度11分46.2秒東経141度46分33.2秒","国: 日本;地方: 北海道地方;都道府県: 北海道（空知総合振興局）;市町村コード: 01210-6;法人番号: 2000020012106;面積: 481.02km2;総人口: 78,706人 （住民基本台帳人口、2021年6月30日）;人口密度: 164人/km2;隣接自治体: 空知総合振興局:三笠市、美唄市、夕張市、夕張郡栗山町･長沼町、樺戸郡月形町、空知郡南幌町石狩振興局:江別市、石狩郡新篠津村;市の木: コブシ;市の花: バラ;市の鳥: ハト;市長: 松野哲;所在地: 〒068-8686北海道岩見沢市鳩が丘1丁目1番1号北緯43度11分46.2秒東経141度46分33.2秒﻿ / ﻿北緯43.196167度 東経141.775889度﻿ / 43.196167; 141.775889;外部リンク: 公式ウェブサイト;特記事項: 開基記念日 : 10月6日;最高気温記録 °C（°F）: 8.7(47.7);平均最高気温 °C（°F）: −1.9(28.6);日平均気温 °C（°F）: −5.3(22.5);平均最低気温 °C（°F）: −9.2(15.4);最低気温記録 °C（°F）: −24.3(−11.7);降水量mm （inch）: 119.4(4.701);降雪量cm （inch）: 187(73.6);平均降水日数 （≥0.5 mm）: 22.4;平均降雪日数: 29.1;% 湿度: 81;平均月間日照時間: 90.2;平均最高気温 °C（°F）: −2.6(27.3);日平均気温 °C（°F）: −6.2(20.8);平均最低気温 °C（°F）: −10.6(12.9);降雪量cm （inch）: 221(87)","日本の地方公共団体一覧","箇条書き","北海道内における陸上交通の要衝の一つであり、とりわけ高度経済成長期には近隣の炭鉱と北海道各地の港湾都市とを結ぶ列車の一大拠点となっていたことから、旧国鉄が全国12か所の鉄道の町の一つとして公認していた経緯がある。"
"夕張市","夕張市","https://ja.wikipedia.org/wiki/夕張市","北緯43度3分24.3秒東経141度58分26秒","国: 日本;地方: 北海道地方;都道府県: 北海道（空知総合振興局）;市町村コード: 01209-2;法人番号: 7000020012092;面積: 763.07km2;総人口: 7,235人 （住民基本台帳人口、2021年6月30日）;人口密度: 9.48人/km2;隣接自治体: 空知総合振興局:芦別市、三笠市、岩見沢市、夕張郡栗山町・由仁町胆振総合振興局:勇払郡厚真町・むかわ町上川総合振興局:勇払郡占冠村、空知郡南富良野町;市の木: サクラ;市の花: ツツジ;他のシンボル: なし;市長: 厚谷司;所在地: 〒068-0492北海道夕張市本町4丁目2番地北緯43度3分24.3秒東経141度58分26秒﻿ / ﻿北緯43.056750度 東経141.97389度﻿ / 43.056750; 141.97389;外部リンク: 公式ウェブサイト;特記事項: 財政再生団体に指定中;最高気温記録 °C（°F）: 6.6(43.9);平均最高気温 °C（°F）: −2.9(26.8);日平均気温 °C（°F）: −6.9(19.6);平均最低気温 °C（°F）: −11.5(11.3);最低気温記録 °C（°F）: −21.6(−6.9);降水量mm （inch）: 125.6(4.945);降雪量cm （inch）: 238(93.7);平均降水日数 （≥1.0 mm）: 20.9;平均月間日照時間: 89.2","日本の地方公共団体一覧","箇条書き","夕張メロンの産地として知られる。北海道の中央部に位置し、かつては石狩炭田の中心都市として栄えたが、1990年（平成2年）までに全ての炭鉱が閉山した。その後、ヤミ起債が発覚し深刻な財政難となり、2007年（平成19年）3月6日をもって財政再生団体に指定された。また、地名の由来はアイヌ語の「ユーパロ（鉱泉の湧き出る所）」から。原案者は「北海道」の名付け親でもある北方探検家の松浦武四郎であり、初代開拓判官として1869年に提出した郡名建議書「郡名之儀ニ付申上候書付」には由来を「イユウパロ（温泉之口）」、読みを「ユウハリ」と示されている。"
"美唄市","美唄市","https://ja.wikipedia.org/wiki/美唄市","北緯43度19分58.6秒東経141度51分13.6秒","国: 日本;地方: 北海道地方;都道府県: 北海道（空知総合振興局）;市町村コード: 01215-7;法人番号: 9000020012157;面積: 277.69km2;総人口: 20,213人 （住民基本台帳人口、2021年6月30日）;人口密度: 72.8人/km2;隣接自治体: 岩見沢市、三笠市、芦別市、樺戸郡浦臼町、月形町、空知郡奈井江町;市の木: ポプラ;市の花: ツツジ;他のシンボル: 市の鳥 : マガン;市長: 板東知文;所在地: 〒072-8660北海道美唄市西3条南1丁目1番1号北緯43度19分58.6秒東経141度51分13.6秒﻿ / ﻿北緯43.332944度 東経141.853778度﻿ / 43.332944; 141.853778座標: 北緯43度19分58.6秒東経141度51分13.6秒﻿ / ﻿北緯43.332944度 東経141.853778度﻿ / 43.332944; 141.853778;外部リンク: 公式ウェブサイト;最高気温記録 °C（°F）: 8.5(47.3);平均最高気温 °C（°F）: −2.7(27.1);日平均気温 °C（°F）: −6.6(20.1);平均最低気温 °C（°F）: −12.0(10.4);最低気温記録 °C（°F）: −26.2(−15.2);降水量mm （inch）: 89.7(3.531);降雪量cm （inch）: 227(89.4);平均降水日数 （≥1.0 mm）: 21.3;平均月間日照時間: 69.5","日本の地方公共団体一覧","箇条書き","アイヌ語に由来する。"
