"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"知床半島","001知床半島北海道","https://ja.wikipedia.org/wiki/知床半島","","","日本の地質百選","表形式"
"白滝ジオパーク","002白滝黒曜石北海道","https://ja.wikipedia.org/wiki/白滝ジオパーク","","","日本の地質百選","表形式"
"神居古潭","003神居古潭渓谷の変成岩北海道","https://ja.wikipedia.org/wiki/神居古潭","","","日本の地質百選","表形式"
"夕張岳","004夕張岳と蛇紋岩メランジュ北海道","https://ja.wikipedia.org/wiki/夕張岳","北緯43度05分59秒東経142度15分04秒","標高: 1,667.72[1]m;所在地: 日本北海道夕張市・空知郡南富良野町;位置: 北緯43度05分59秒東経142度15分04秒座標: 北緯43度05分59秒 東経142度15分04秒[2];山系: 夕張山地","日本の地質百選","表形式"
"夕張市石炭博物館","005夕張の石炭大露頭北海道","https://ja.wikipedia.org/wiki/夕張市石炭博物館#施設概要","北緯43度4分6.2秒東経141度59分21秒","正式名称: 夕張市石炭博物館[1];前身: 夕張市郷土資料館;専門分野: 石炭産業;事業主体: 夕張市;管理運営: 第3セクター「石炭の歴史村観光」[2]↓夕張リゾート[3]↓夕張市↓炭鉱の記憶推進事業団（2018年度-）;開館: 1980年（昭和55年）7月[4];所在地: 〒068−0401北海道夕張市高松7番1号;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度4分6.2秒東経141度59分21秒﻿ / ﻿北緯43.068389度 東経141.98917度﻿ / 43.068389; 141.98917座標: 北緯43度4分6.2秒東経141度59分21秒﻿ / ﻿北緯43.068389度 東経141.98917度﻿ / 43.068389; 141.98917;外部リンク: 夕張市石炭博物館","日本の地質百選","表形式"
"幌尻岳","006幌尻岳の七つ沼カール北海道","https://ja.wikipedia.org/wiki/幌尻岳","北緯42度43分10秒東経142度40分58秒","標高: 2,052.80[1]m;所在地: 日本北海道日高振興局沙流郡平取町・新冠郡新冠町;位置: 北緯42度43分10秒東経142度40分58秒座標: 北緯42度43分10秒 東経142度40分58秒[2];山系: 日高山脈;種類: 褶曲山脈;初登頂: 吉野半平（1913年）","日本の地質百選","表形式"
"有珠山","007有珠山・昭和新山北海道","https://ja.wikipedia.org/wiki/有珠山","北緯42度32分38秒東経140度50分21秒","標高: 大有珠：737 m;所在地: 日本北海道有珠郡壮瞥町・虻田郡洞爺湖町・伊達市;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯42度32分38秒東経140度50分21秒﻿ / ﻿北緯42.54389度 東経140.83917度﻿ / 42.54389; 140.83917座標: 北緯42度32分38秒東経140度50分21秒﻿ / ﻿北緯42.54389度 東経140.83917度﻿ / 42.54389; 140.83917;種類: 成層火山と溶岩ドーム群[1](活火山ランクA)","日本の地質百選","表形式"
"恐山","008恐山の金鉱床青森","https://ja.wikipedia.org/wiki/恐山","北緯41度19分37.39秒東経141度5分24.97秒","所在地: 青森県むつ市田名部字宇曽利山3-2;位置: 北緯41度19分37.39秒東経141度5分24.97秒座標: 北緯41度19分37.39秒 東経141度5分24.97秒;山号: 恐山;宗派: 曹洞宗;本尊: 地蔵菩薩;創建年: （伝）貞観4年（862年）;開基: （伝）円仁（慈覚大師）;正式名: 恐山 伽羅陀山菩提寺;札所等: 津軽三十三観音番外札所;所在地: 青森県むつ市田名部字宇曽利山3-2;位置: 北緯41度19分37.39秒東経141度5分24.97秒座標: 北緯41度19分37.39秒 東経141度5分24.97秒;山号: 恐山;宗派: 曹洞宗;本尊: 地蔵菩薩;創建年: （伝）貞観4年（862年）;開基: （伝）円仁（慈覚大師）;正式名: 恐山 伽羅陀山菩提寺;札所等: 津軽三十三観音番外札所","日本の地質百選","表形式"
"仏ヶ浦","009仏ヶ浦青森","https://ja.wikipedia.org/wiki/仏ヶ浦","","","日本の地質百選","表形式"
"龍泉洞","010龍泉洞岩手","https://ja.wikipedia.org/wiki/龍泉洞","","","日本の地質百選","表形式"
"唐桑半島","011唐桑半島宮城","https://ja.wikipedia.org/wiki/唐桑半島","","","日本の地質百選","表形式"
"松島","012松島宮城","https://ja.wikipedia.org/wiki/松島","","","日本の地質百選","表形式"
"蔵王連峰","013蔵王火山宮城・山形","https://ja.wikipedia.org/wiki/蔵王連峰","北緯38度08分37秒東経140度26分22秒","所在地: 宮城県・山形県;位置: 北緯38度08分37秒東経140度26分22秒座標: 北緯38度08分37秒 東経140度26分22秒（熊野岳）;上位山系: 奥羽山脈;最高峰: 熊野岳（1,841m）","日本の地質百選","表形式"
