"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"松前城","","https://ja.wikipedia.org/wiki/松前城","北緯41度25分49.17秒東経140度6分30.96秒","別名: 福山城;城郭構造: 平山城;天守構造: 独立式層塔型3重3階（1855年（安政元年）築 非現存）（1960年RC造外観復元）;築城主: 松前崇広;築城年: 安政元年（1855年）;主な城主: 松前氏;廃城年: 1874年;遺構: 本丸御門、御殿玄関、石垣、土塁堀;指定文化財: 国の重要文化財（本丸御門）国の史跡北海道有形文化財（御殿玄関）;再建造物: 天守;位置: 北緯41度25分49.17秒東経140度6分30.96秒﻿ / ﻿北緯41.4303250度 東経140.1086000度﻿ / 41.4303250; 140.1086000;地図: 松前城;階層（内部階）:;3階: 21尺;2階: 30尺;1階: 39尺;総高（櫓台上から棟）: 5丈4尺6寸;出典: 『復原『名城天守』』;別名: 福山城;城郭構造: 平山城;天守構造: 独立式層塔型3重3階（1855年（安政元年）築 非現存）（1960年RC造外観復元）;築城主: 松前崇広;築城年: 安政元年（1855年）;主な城主: 松前氏;廃城年: 1874年;遺構: 本丸御門、御殿玄関、石垣、土塁堀;指定文化財: 国の重要文化財（本丸御門）国の史跡北海道有形文化財（御殿玄関）;再建造物: 天守;位置: 北緯41度25分49.17秒東経140度6分30.96秒﻿ / ﻿北緯41.4303250度 東経140.1086000度﻿ / 41.4303250; 140.1086000;地図: 松前城;階層（内部階）:;3階: 21尺;2階: 30尺;1階: 39尺;総高（櫓台上から棟）: 5丈4尺6寸;出典: 『復原『名城天守』』","日本の城一覧","箇条書き,制限あり","江戸時代末期に海防強化のため松前藩が江戸幕府に命じられ、居城であった福山館を拡張する形で築城し、1855年（安政元年）に完成した。石田城と並び日本における最後期、かつ、北海道内で唯一つの日本式城郭である。"
"館城","","https://ja.wikipedia.org/wiki/館城","北緯41度52分46.3秒東経140度20分35.7秒","","日本の城一覧","箇条書き,制限あり",""
"五稜郭","（亀田御役所土塁）","https://ja.wikipedia.org/wiki/五稜郭","北緯41度47分48.84秒東経140度45分25.06秒","別名: 亀田（御）役所土塁、柳野城;城郭構造: 稜堡式;天守構造: なし;築城主: 江戸幕府;築城年: 1866年;主な改修者: なし;主な城主: なし;廃城年: 1869年;遺構: 土塁、石垣、堀、兵糧庫;指定文化財: 特別史跡;再建造物: 奉行所、板庫、土蔵;位置: 北緯41度47分48.84秒東経140度45分25.06秒﻿ / ﻿北緯41.7969000度 東経140.7569611度﻿ / 41.7969000; 140.7569611﻿ (五稜郭)座標: 北緯41度47分48.84秒東経140度45分25.06秒﻿ / ﻿北緯41.7969000度 東経140.7569611度﻿ / 41.7969000; 140.7569611﻿ (五稜郭);地図: 五稜郭;用途: 資料館;設計者: 文化財保存計画協会;施工: 竹中工務店・加藤組土建・石井組・野辺工務店・明匠建工;建築主: 函館市;事業主体: 函館市;管理運営: 名美興業（指定管理者）;構造形式: 木造;建築面積: 1,033.38 m²;延床面積: 979.40 m²;階数: 平屋建;竣工: 2010年;所在地: 〒040-0001函館市五稜郭町44-3;別名: 亀田（御）役所土塁、柳野城;城郭構造: 稜堡式;天守構造: なし;築城主: 江戸幕府;築城年: 1866年;主な改修者: なし;主な城主: なし;廃城年: 1869年;遺構: 土塁、石垣、堀、兵糧庫;指定文化財: 特別史跡;再建造物: 奉行所、板庫、土蔵;位置: 北緯41度47分48.84秒東経140度45分25.06秒﻿ / ﻿北緯41.7969000度 東経140.7569611度﻿ / 41.7969000; 140.7569611﻿ (五稜郭)座標: 北緯41度47分48.84秒東経140度45分25.06秒﻿ / ﻿北緯41.7969000度 東経140.7569611度﻿ / 41.7969000; 140.7569611﻿ (五稜郭);地図: 五稜郭;用途: 資料館;設計者: 文化財保存計画協会;施工: 竹中工務店・加藤組土建・石井組・野辺工務店・明匠建工;建築主: 函館市;事業主体: 函館市;管理運営: 名美興業（指定管理者）;構造形式: 木造;建築面積: 1,033.38 m²;延床面積: 979.40 m²;階数: 平屋建;竣工: 2010年;所在地: 〒040-0001函館市五稜郭町44-3","日本の城一覧","箇条書き,制限あり","予算書時点から五稜郭の名称は用いられていたが、築造中は亀田役所土塁（かめだやくしょどるい）または亀田御役所土塁（かめだおんやくしょどるい）とも呼ばれた。元は湿地でネコヤナギが多く生えていた土地であることから、柳野城（やなぎのじょう）の別名を持つ。"
"志苔館","","https://ja.wikipedia.org/wiki/志苔館","北緯41度45分56.6秒東経140度49分20.6秒","城郭構造: 山城;天守構造: なし;築城主: 小林氏;築城年: 不明;主な改修者: 不明;主な城主: 小林氏;廃城年: 1457年（長禄元年）か;遺構: 曲輪、土塁、堀;指定文化財: 国の史跡;再建造物: なし;位置: 北緯41度45分56.6秒東経140度49分20.6秒﻿ / ﻿北緯41.765722度 東経140.822389度﻿ / 41.765722; 140.822389;地図: 志苔館","日本の城一覧","箇条書き,制限あり","西には旧志苔川があり、東は溪沢に連なっており、南方は海に面した丘陵上に立地する。"
"四稜郭","","https://ja.wikipedia.org/wiki/四稜郭","北緯41度49分32.09秒東経140度46分14.86秒","別名: 新台場、神山台場、新五稜郭;城郭構造: 稜堡式;天守構造: なし;築城主: 蝦夷共和国;築城年: 明治2年（1869年）;主な改修者: なし;主な城主: 蝦夷共和国;廃城年: 1869年;遺構: 土塁;指定文化財: 国の史跡;位置: 北緯41度49分32.09秒東経140度46分14.86秒﻿ / ﻿北緯41.8255806度 東経140.7707944度﻿ / 41.8255806; 140.7707944;地図: 四稜郭","日本の城一覧","箇条書き,制限あり","四稜郭の名称は4つの突起を持つ事に由来する。幅2.7メートル、深さ0.9メートルの空堀に囲まれ、土塁の規模は東西約100メートル、南北約70メートル、幅5.4メートル、高さ3メートルである。土塁の四隅には砲座が配置されている。南西側に門口があり、その後方に幅0.9メートルほどの通路が設けられている。郭内には建物は建設されなかったと考えられている。面積は約2万1,500平方メートルを有する。"
"弁天台場","","https://ja.wikipedia.org/wiki/弁天台場","北緯41度46分27.2秒東経140度42分14.7秒","","日本の城一覧","箇条書き,制限あり",""
"千代ヶ岱陣屋","（千代ヶ岡陣屋・津軽陣屋）","https://ja.wikipedia.org/wiki/千代ヶ岱陣屋","","","日本の城一覧","箇条書き,制限あり","千代ヶ岱陣屋（ちよがだいじんや）は、幕末の亀田村(現・函館市)に築かれた陣屋である。「千代ヶ岡陣屋」「津軽陣屋」とも呼ばれた。明治2年（1869年）5月16日、中島三郎助が率いる旧幕府軍と新政府軍との間に、戊辰戦争・箱館戦争最後の戦闘が行われた場所である。"
"南部陣屋","モロラン陣屋オシャマンベ陣屋砂原陣屋","https://ja.wikipedia.org/wiki/南部陣屋","北緯41度45分41秒東経140度42分53秒","","日本の城一覧","箇条書き,制限あり",""
"松前藩戸切地陣屋","","https://ja.wikipedia.org/wiki/戸切地陣屋","北緯41度51分15.2秒東経140度37分9.8秒","分類: 歴史公園;所在地:  日本北海道北斗市野崎;面積: 10.18ヘクタール;前身: 松前藩戸切地陣屋;運営者: 北斗市;駐車場: 300台;アクセス: 函館江差自動車道北斗中央ICから車で約10分","日本の城一覧","箇条書き,制限あり","戸切地陣屋跡史跡公園（へきりちじんやあとしせきこうえん）は、北海道北斗市にある公園。1977年（昭和52年）に町有地となり、1979年（昭和54年）から国、道の補助を受けて環境整備を行い、2001年（平成13年）に完成した。「日本の歴史公園100選」選定。"
"仙台藩シラオイ元陣屋","広尾陣屋","https://ja.wikipedia.org/w/index.php?title=仙台藩シラオイ元陣屋&amp;action=edit&amp;redlink=1","","","日本の城一覧","箇条書き,制限あり",""
"シベチャリチャシ","アイヌ民族の古城","https://ja.wikipedia.org/w/index.php?title=シベチャリチャシ&amp;action=edit&amp;redlink=1","","","日本の城一覧","箇条書き,制限あり",""
"モシリヤチャシ","アイヌ民族の古城","https://ja.wikipedia.org/wiki/モシリヤチャシ","北緯42度59分01秒東経144度23分45秒","別名: お供え山;築城主: トミカラアヤノ…伝承による;築城年: 1751年（寛延4年）…伝承による;遺構: 内郭、外郭、空堀、土塁;指定文化財: 国の史跡","日本の城一覧","箇条書き,制限あり",""
"根室半島チャシ跡群","（チャルコロモイチャシ他）アイヌ民族の古城","https://ja.wikipedia.org/wiki/根室半島チャシ跡群","北緯43度23分19秒東経145度46分57秒","天守構造: 丘先式チャシ、面崖式チャシ;遺構: 空堀;指定文化財: 国の史跡;位置: 北緯43度23分19秒東経145度46分57秒﻿ / ﻿北緯43.38861度 東経145.78250度﻿ / 43.38861; 145.78250座標: 北緯43度23分19秒東経145度46分57秒﻿ / ﻿北緯43.38861度 東経145.78250度﻿ / 43.38861; 145.78250;地図: 根室半島チャシ跡群","日本の城一覧","箇条書き,制限あり","北海道内には約700のチャシが確認されているが、根室半島は特にチャシが集中している場所の一つであり、約30のチャシが確認されている。このうち24か所が史跡となっている。これらのチャシは16世紀から18世紀にかけて造営されたもので、道外の戦国時代から江戸時代にあたり、その当時の社会・経済・政治情勢と関連した遺跡である。ここのチャシの堀は方形に掘られており、これは最終的な形式のものである。"
"道南十二館","","https://ja.wikipedia.org/wiki/道南十二館","","","日本の城一覧","箇条書き,制限あり",""
"チャシ","","https://ja.wikipedia.org/wiki/チャシ","","","日本の城一覧","箇条書き,制限あり","チャシとは主に近世にアイヌが築造したある種の施設であって、高い場所に築かれ、壕や崖などで周囲と切り離された施設である。"
