"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"品川プリンスホテル","1品川プリンスホテル東京都品川区3,679メイン39階、アネックス32階。日本最大の客室数。","https://ja.wikipedia.org/wiki/品川プリンスホテル","北緯35度37分40.7秒東経139度44分7.1秒","正式名称: 品川プリンスホテル;ホテルチェーン: プリンスホテル;運営: プリンスホテル;階数: イースト：地下1階 - 地上17階N：地上1階 - 17階メイン：地下2階 - 地上40階アネックス：地上1階 - 32階;部屋数: 3,679室;開業: 1978年7月11日;最寄駅: JR・京急品川駅;最寄IC: 首都高速2号目黒線目黒出入口;所在地: 〒108-8611東京都港区高輪四丁目10番30号;位置: 北緯35度37分40.7秒東経139度44分7.1秒﻿ / ﻿北緯35.627972度 東経139.735306度﻿ / 35.627972; 139.735306座標: 北緯35度37分40.7秒東経139度44分7.1秒﻿ / ﻿北緯35.627972度 東経139.735306度﻿ / 35.627972; 139.735306;公式サイト: 公式サイト;正式名称: T・ジョイPRINCE品川;旧名称: 品川プリンスシネマ;開館: 2002年4月25日;開館公演: 『ロード・オブ・ザ・リング』『モンスターズ・インク』『コラテラル・ダメージ』他;収容人員: （11スクリーン）1,986人;客席数: シアター1：117シアター2：188シアター3：208シアター4：117シアター5：208シアター6：208シアター7：122シアター8：208シアター9：188シアター10：122シアター11：300;設備: DOLBY SURROUND 7.1DLPIMAX;用途: 映画上映;運営: ティ・ジョイ（東映）、プリンスホテル共同事業体;所在地: 品川プリンスホテル・アネックスタワー3階;最寄駅: 品川駅;外部リンク: T・ジョイPRINCE品川 - KINEZO;特記事項: 略歴2002年：「品川プリンスシネマ」として開業。2016年：T・ジョイPRINCE品川に改称。IMAXデジタルシアター導入。;正式名称: 品川プリンスホテル;ホテルチェーン: プリンスホテル;運営: プリンスホテル;階数: イースト：地下1階 - 地上17階N：地上1階 - 17階メイン：地下2階 - 地上40階アネックス：地上1階 - 32階;部屋数: 3,679室;開業: 1978年7月11日;最寄駅: JR・京急品川駅;最寄IC: 首都高速2号目黒線目黒出入口;所在地: 〒108-8611東京都港区高輪四丁目10番30号;位置: 北緯35度37分40.7秒東経139度44分7.1秒﻿ / ﻿北緯35.627972度 東経139.735306度﻿ / 35.627972; 139.735306座標: 北緯35度37分40.7秒東経139度44分7.1秒﻿ / ﻿北緯35.627972度 東経139.735306度﻿ / 35.627972; 139.735306;公式サイト: 公式サイト;正式名称: T・ジョイPRINCE品川;旧名称: 品川プリンスシネマ;開館: 2002年4月25日;開館公演: 『ロード・オブ・ザ・リング』『モンスターズ・インク』『コラテラル・ダメージ』他;収容人員: （11スクリーン）1,986人;客席数: シアター1：117シアター2：188シアター3：208シアター4：117シアター5：208シアター6：208シアター7：122シアター8：208シアター9：188シアター10：122シアター11：300;設備: DOLBY SURROUND 7.1DLPIMAX;用途: 映画上映;運営: ティ・ジョイ（東映）、プリンスホテル共同事業体;所在地: 品川プリンスホテル・アネックスタワー3階;最寄駅: 品川駅;外部リンク: T・ジョイPRINCE品川 - KINEZO;特記事項: 略歴2002年：「品川プリンスシネマ」として開業。2016年：T・ジョイPRINCE品川に改称。IMAXデジタルシアター導入。","日本の大規模ホテル一覧","表形式","1978年に旧毛利元道公爵邸跡地に開業。品川駅前という地の利を生かしたビジネス・レジャー客を主なターゲットとしたホテルで、温水プール、スケート場やボウリング場、テニスコートなどのエンターテイメント施設もセールスポイントの1つであった。"
"アパホテル&amp;リゾート 横浜ベイタワー (存在しないページ)","2アパホテル＆リゾート〈横浜ベイタワー〉神奈川県横浜市2,31135階。ホテル1棟としては日本最多[1]。","https://ja.wikipedia.org/w/index.php?title=アパホテル&リゾート_横浜ベイタワー&amp;action=edit&amp;redlink=1","","種類: 株式会社;市場情報: 非上場;本社所在地: 日本〒107-0052東京都港区赤坂3-2-3;本店所在地: 〒920-8541石川県金沢市大和町1-5;設立: 1988年4月1日;業種: サービス業;法人番号: 8010401047441;事業内容: 総合都市開発事業、ホテル事業、マンション事業、リゾート事業など;代表者: 代表取締役社長 元谷一志;資本金: 1000万円（グループ合算で18億1,200万円）;関係する人物: 元谷外志雄（グループ代表）;外部リンク: http://www.apa.co.jp/","日本の大規模ホテル一覧","表形式","1971年4月1日に小松信用金庫を退職した元谷外志雄が、同金庫の出資および小松市内の電話交換室跡を間借りして「信金開発株式会社」を設立。同年5月10日から住宅ローンをセットにした戸建注文住宅と建売住宅・分譲地の企画販売を開始する。"
"アパホテル&amp;リゾート 東京ベイ幕張","3アパホテル&amp;リゾート〈東京ベイ幕張〉千葉県千葉市2,00750階　ホテル単体の建物として日本最高層","https://ja.wikipedia.org/wiki/アパホテル&リゾート_東京ベイ幕張","北緯35度38分37.9秒東経140度2分12.7秒","正式名称: アパホテル&リゾート〈東京ベイ幕張〉;運営: 株式会社アパグループ;前身: 幕張プリンスホテル（建築物）;階数: 地下2階 - 地上50階;部屋数: 2007室;開業: 1993年4月1日（前身）2006年7月1日;最寄駅: JR海浜幕張駅;最寄IC: E51東関東道湾岸千葉IC;所在地: 〒261-0021千葉県千葉市美浜区ひび野2-3;位置: 北緯35度38分37.9秒東経140度2分12.7秒﻿ / ﻿北緯35.643861度 東経140.036861度﻿ / 35.643861; 140.036861座標: 北緯35度38分37.9秒東経140度2分12.7秒﻿ / ﻿北緯35.643861度 東経140.036861度﻿ / 35.643861; 140.036861;公式サイト: 公式サイト","日本の大規模ホテル一覧","表形式","アパグループの旗艦ホテルとして位置づけられており、1988年竣工の東京ベイ幕張ホール（宴会場棟）、1993年竣工の地下2階 - 地上50階（49階相当であるが忌み数であるため50階としている）のセントラルタワー、2014年竣工の地上11階のウエストウイング、2016年竣工の地上11階のイーストウイングの4棟で構成されている。セントラルタワー、ウエストウイング、イーストウイング合わせると客室数2007室であり、開業時点で品川プリンスホテルに次ぐ全国第2位の客室数である。"
"新宿ワシントンホテル","4新宿ワシントンホテル東京都新宿区1,63325階","https://ja.wikipedia.org/wiki/新宿ワシントンホテル","北緯35度41分13秒東経139度41分35.4秒","正式名称: 新宿ワシントンホテル;設計: 坂倉建築研究所;施工: 熊谷組・戸田建設;運営: 藤田観光;階数: 地下4階 - 地上25階;部屋数: 1,633室*本館1,296室*新館337室;シングル数: 957室*本館777室*新館180室;ダブル数: 209室*本館125室*新館84室;ツイン数: 442室*本館384室*新館58室;敷地面積: 本館6,215.31 m²;延床面積: 74,267.37㎡*本館59,985.37㎡*新館14,282 m²;開業: 1983年（昭和58年）12月12日;最寄駅: 新宿駅;最寄IC: 首都高速4号新宿線新宿出入口;所在地: 〒160-8336東京都新宿区西新宿3-2-9;位置: 北緯35度41分13秒東経139度41分35.4秒﻿ / ﻿北緯35.68694度 東経139.693167度﻿ / 35.68694; 139.693167座標: 北緯35度41分13秒東経139度41分35.4秒﻿ / ﻿北緯35.68694度 東経139.693167度﻿ / 35.68694; 139.693167;公式サイト: 公式サイト","日本の大規模ホテル一覧","表形式","藤田観光が運営するホテル・チェーン、「ワシントンホテル」の一つであり、1983年（昭和58年）に開業した。"
"ホテルニューオータニ","5ホテルニューオータニ東京都新宿区1,47940階","https://ja.wikipedia.org/wiki/ホテルニューオータニ","北緯35度40分51.132秒東経139度44分2.821秒","正式名称: ホテルニューオータニ;ホテルチェーン: ニューオータニ;設計: 観光企画設計社;運営: 株式会社ニューオータニ;レストラン数: 39軒;部屋数: 1479室;開業: 1964年（昭和39年）9月1日;最寄駅: JR四ツ谷駅、東京メトロ赤坂見附駅、永田町駅、麴町駅;最寄IC: 首都高速都心環状線霞が関出入口;所在地: 〒102-8578東京都千代田区紀尾井町4番1号;位置: 北緯35度40分51.132秒東経139度44分2.821秒﻿ / ﻿北緯35.68087000度 東経139.73411694度﻿ / 35.68087000; 139.73411694座標: 北緯35度40分51.132秒東経139度44分2.821秒﻿ / ﻿北緯35.68087000度 東経139.73411694度﻿ / 35.68087000; 139.73411694;公式サイト: 公式サイト","日本の大規模ホテル一覧","表形式","運営は株式会社ニューオータニで、総支配人は清水肇（ニューオータニ代表取締役常務）、副総支配人は貝田康則（ニューオータニ取締役営業本部長）、グランシェフ（ニューオータニ取締役調理部長）は中島眞介である。"
"京王プラザホテル","6京王プラザホテル東京都新宿区1,44147階","https://ja.wikipedia.org/wiki/京王プラザホテル","北緯35度41分24秒東経139度41分40秒","正式名称: 京王プラザホテル;運営: 株式会社京王プラザホテル;階数: 地下3階 - 地上47（本館）階;部屋数: 1,438室;開業: 1971年6月5日;最寄駅: 都庁前駅;最寄IC: 首都高速道路新宿出入口;所在地: 〒160-8330東京都新宿区西新宿2-2-1;位置: 北緯35度41分24秒東経139度41分40秒﻿ / ﻿北緯35.68989度 東経139.69444度﻿ / 35.68989; 139.69444座標: 北緯35度41分24秒東経139度41分40秒﻿ / ﻿北緯35.68989度 東経139.69444度﻿ / 35.68989; 139.69444;公式サイト: 公式サイト;種類: 株式会社;市場情報: 非上場;本社所在地: 日本〒160-8330東京都新宿区西新宿2丁目2番1号;設立: 1969年4月10日;業種: サービス業;法人番号: 7011101026125;事業内容: ホテル事業等;代表者: 山本護（代表取締役社長）;資本金: 1億円;売上高: 291億円（2018年3月期）;純利益: ▲134億2400万円（2021年03月31日時点）;純資産: ▲41億7500万円（2021年03月31日時点）;総資産: 34億1300万円（2021年03月31日時点）;従業員数: 964名（2018年4月現在）;所有者: 京王電鉄株式会社(100%);関係する人物: 志村康洋（元社長）;外部リンク: https://www.keioplaza.co.jp/;正式名称: 京王プラザホテル;運営: 株式会社京王プラザホテル;階数: 地下3階 - 地上47（本館）階;部屋数: 1,438室;開業: 1971年6月5日;最寄駅: 都庁前駅;最寄IC: 首都高速道路新宿出入口;所在地: 〒160-8330東京都新宿区西新宿2-2-1;位置: 北緯35度41分24秒東経139度41分40秒﻿ / ﻿北緯35.68989度 東経139.69444度﻿ / 35.68989; 139.69444座標: 北緯35度41分24秒東経139度41分40秒﻿ / ﻿北緯35.68989度 東経139.69444度﻿ / 35.68989; 139.69444;公式サイト: 公式サイト;種類: 株式会社;市場情報: 非上場;本社所在地: 日本〒160-8330東京都新宿区西新宿2丁目2番1号;設立: 1969年4月10日;業種: サービス業;法人番号: 7011101026125;事業内容: ホテル事業等;代表者: 山本護（代表取締役社長）;資本金: 1億円;売上高: 291億円（2018年3月期）;純利益: ▲134億2400万円（2021年03月31日時点）;純資産: ▲41億7500万円（2021年03月31日時点）;総資産: 34億1300万円（2021年03月31日時点）;従業員数: 964名（2018年4月現在）;所有者: 京王電鉄株式会社(100%);関係する人物: 志村康洋（元社長）;外部リンク: https://www.keioplaza.co.jp/","日本の大規模ホテル一覧","表形式","1968年11月、京王帝都電鉄（現：京王電鉄）は、「新宿副都心建設計画」に基づき、西新宿の淀橋浄水場跡地に造成された新都心6号地に超高層ホテルを建設することを発表。翌年4月10日、運営会社となる京王プラザホテルを設立した後、ホテル建設に着手し、2年7か月の工期を経て、1971年6月5日に開業した。"
"アワーズイン阪急 (存在しないページ)","7アワーズイン阪急東京都品川区1,38830階","https://ja.wikipedia.org/w/index.php?title=アワーズイン阪急&amp;action=edit&amp;redlink=1","","","日本の大規模ホテル一覧","表形式",""
"苗場プリンスホテル","8苗場プリンスホテル新潟県湯沢町1,29924階","https://ja.wikipedia.org/wiki/苗場プリンスホテル","北緯36度47分30秒東経138度47分4.6秒","運営: プリンスホテル;前身: 国土計画株式会社;階数: - 24階;部屋数: 1,299室;開業: 1962年（昭和37年）12月23日;最寄駅: 上越新幹線越後湯沢駅;最寄IC: E17関越道湯沢IC;所在地: 〒949-6292　新潟県南魚沼郡湯沢町三国;位置: 北緯36度47分30秒東経138度47分4.6秒﻿ / ﻿北緯36.79167度 東経138.784611度﻿ / 36.79167; 138.784611座標: 北緯36度47分30秒東経138度47分4.6秒﻿ / ﻿北緯36.79167度 東経138.784611度﻿ / 36.79167; 138.784611;公式サイト: 公式サイト","日本の大規模ホテル一覧","表形式","1962年に開業。スキーをメインとしたリゾートホテルのはしりであり、その後1970年代から1980年代にかけて改築や別館の増設が相次いで行われバブル景気後半のスキーブーム期にはリゾートホテルの上位として当時の若者の憧れであり、クリスマスシーズンや年末年始期のみならず週末でさえ宿泊予約が取りづらいホテルとしても知られ、バブル景気末期には2号館・4号館が建設された。"
"東横イン","9東横INN中部国際空港II愛知県常滑市1,287","https://ja.wikipedia.org/wiki/東横イン","","種類: 株式会社;機関設計: 指名委員会等設置会社;本社所在地: 日本〒144-0054東京都大田区新蒲田一丁目7番4号 聖徳ビル;設立: 1986年（昭和61年）1月23日;業種: サービス業;法人番号: 8010801008365;事業内容: ビジネスホテルの運営;代表者: 渡辺憲二（取締役兼代表執行役会長）黒田麻衣子（取締役兼代表執行役社長）;資本金: 5000万円;売上高: 907億31百万円（2019年3月期）;営業利益: 141億17百万円（2019年3月期）;経常利益: 146億5百万円（2019年3月期）;純利益: 95億42百万円（2019年3月期）;純資産: 750億62百万円（2019年3月31日現在）;総資産: 1,481億82百万円（2019年3月31日現在）;従業員数: 13,211人（2019年3月末日現在）（パートタイム従業員含む）;支店舗数: 292店舗（グループ会社運営店舗含む）;決算期: 3月31日;主要子会社: #関連会社を参照;関係する人物: 西田憲正（創業者）;外部リンク: https://www.toyoko-inn.com/","日本の大規模ホテル一覧","表形式",""
"サンシャインシティプリンスホテル","10サンシャインシティプリンスホテル東京都豊島区1,14660階","https://ja.wikipedia.org/wiki/サンシャインシティプリンスホテル","北緯35度43分45秒東経139度43分5秒","所在地: 〒170-0013東京都豊島区東池袋3-1-3;状態: 完成;着工: 1973年（昭和48年）7月;竣工: 1978年（昭和53年）4月6日：サンシャイン60、専門店街アルパ（部分竣工） 1978年（昭和53年）10月6日：専門店街アルパ（全面竣工）、ワールドインポートマート、文化会館 1980年（昭和55年）4月：プリンスホテル;用途: 店舗、事務所、ホテル、ホール、博物館・水族館、集合住宅、駐車場;高さ: 240m;階数: 地上60階、地下4階（ワールドインポートマートビルのみ地下5階）;敷地面積: 54,687.63 m²;建築面積: 38,575 m²;延床面積: 585,895m2サンシャイン60：190,595m2プリンスホテル：86,910 m²;構造形式: 鉄骨造（一部鉄骨鉄筋コンクリート造）;駐車台数: 1,800台;設計: 三菱地所;構造エンジニア: 武藤構造力学研究所;施工: 大成建設、大林組、竹中工務店、鹿島建設、清水建設、東急建設他;デベロッパー: 株式会社新都市開発センター（現：株式会社サンシャインシティ）;管理運営: 株式会社サンシャインシティ;種類: 株式会社;略称: 池袋サンシャイン;本社所在地: 日本〒170-8630東京都豊島区東池袋三丁目1番1号;設立: 1966年（昭和41年）10月14日（株式会社新都市開発センター）;業種: 不動産業;法人番号: 5013301004663;事業内容: オフィス・エネルギー関連施設等の賃貸事業商業施設事業;代表者: 合場直人（取締役社長）;資本金: 192億円;発行済株式総数: 38,400,000株;売上高: 240億8000万円（2021年03月31日時点）;営業利益: 51億9500万円（2021年03月31日時点）;経常利益: 43億4400万円（2021年03月31日時点）;純利益: 20億8500万円（2021年03月31日時点）;純資産: 679億0700万円（2021年03月31日時点）;総資産: 1048億3000万円（2021年03月31日時点）;決算期: 3月31日;主要株主: 三菱地所セブン&アイ・ホールディングスみずほ銀行クレディセゾン三菱東京UFJ銀行東芝;主要子会社: サンシャインビーエスサンシャインエンタプライズサンシャイン劇場池袋地域冷暖房アール・エス・シー;関係する人物: 磯崎叡（元社長）;外部リンク: www.sunshinecity.co.jp;開業日: 1978年10月5日;商業施設面積: 45,264 m²;店舗数: 248店アルパ168店Sunshine City ALTA80店;駐車台数: 1,800台;最寄駅: 東池袋駅・池袋駅;最寄IC: 首都高速道路5号池袋線東池袋出入口;所在地: 〒170-0013東京都豊島区東池袋3-1-3;状態: 完成;着工: 1973年（昭和48年）7月;竣工: 1978年（昭和53年）4月6日：サンシャイン60、専門店街アルパ（部分竣工） 1978年（昭和53年）10月6日：専門店街アルパ（全面竣工）、ワールドインポートマート、文化会館 1980年（昭和55年）4月：プリンスホテル;用途: 店舗、事務所、ホテル、ホール、博物館・水族館、集合住宅、駐車場;高さ: 240m;階数: 地上60階、地下4階（ワールドインポートマートビルのみ地下5階）;敷地面積: 54,687.63 m²;建築面積: 38,575 m²;延床面積: 585,895m2サンシャイン60：190,595m2プリンスホテル：86,910 m²;構造形式: 鉄骨造（一部鉄骨鉄筋コンクリート造）;駐車台数: 1,800台;設計: 三菱地所;構造エンジニア: 武藤構造力学研究所;施工: 大成建設、大林組、竹中工務店、鹿島建設、清水建設、東急建設他;デベロッパー: 株式会社新都市開発センター（現：株式会社サンシャインシティ）;管理運営: 株式会社サンシャインシティ;種類: 株式会社;略称: 池袋サンシャイン;本社所在地: 日本〒170-8630東京都豊島区東池袋三丁目1番1号;設立: 1966年（昭和41年）10月14日（株式会社新都市開発センター）;業種: 不動産業;法人番号: 5013301004663;事業内容: オフィス・エネルギー関連施設等の賃貸事業商業施設事業;代表者: 合場直人（取締役社長）;資本金: 192億円;発行済株式総数: 38,400,000株;売上高: 240億8000万円（2021年03月31日時点）;営業利益: 51億9500万円（2021年03月31日時点）;経常利益: 43億4400万円（2021年03月31日時点）;純利益: 20億8500万円（2021年03月31日時点）;純資産: 679億0700万円（2021年03月31日時点）;総資産: 1048億3000万円（2021年03月31日時点）;決算期: 3月31日;主要株主: 三菱地所セブン&アイ・ホールディングスみずほ銀行クレディセゾン三菱東京UFJ銀行東芝;主要子会社: サンシャインビーエスサンシャインエンタプライズサンシャイン劇場池袋地域冷暖房アール・エス・シー;関係する人物: 磯崎叡（元社長）;外部リンク: www.sunshinecity.co.jp;開業日: 1978年10月5日;商業施設面積: 45,264 m²;店舗数: 248店アルパ168店Sunshine City ALTA80店;駐車台数: 1,800台;最寄駅: 東池袋駅・池袋駅;最寄IC: 首都高速道路5号池袋線東池袋出入口;所在地: 〒170-0013東京都豊島区東池袋3-1-3;状態: 完成;着工: 1973年（昭和48年）7月;竣工: 1978年（昭和53年）4月6日：サンシャイン60、専門店街アルパ（部分竣工） 1978年（昭和53年）10月6日：専門店街アルパ（全面竣工）、ワールドインポートマート、文化会館 1980年（昭和55年）4月：プリンスホテル;用途: 店舗、事務所、ホテル、ホール、博物館・水族館、集合住宅、駐車場;高さ: 240m;階数: 地上60階、地下4階（ワールドインポートマートビルのみ地下5階）;敷地面積: 54,687.63 m²;建築面積: 38,575 m²;延床面積: 585,895m2サンシャイン60：190,595m2プリンスホテル：86,910 m²;構造形式: 鉄骨造（一部鉄骨鉄筋コンクリート造）;駐車台数: 1,800台;設計: 三菱地所;構造エンジニア: 武藤構造力学研究所;施工: 大成建設、大林組、竹中工務店、鹿島建設、清水建設、東急建設他;デベロッパー: 株式会社新都市開発センター（現：株式会社サンシャインシティ）;管理運営: 株式会社サンシャインシティ;種類: 株式会社;略称: 池袋サンシャイン;本社所在地: 日本〒170-8630東京都豊島区東池袋三丁目1番1号;設立: 1966年（昭和41年）10月14日（株式会社新都市開発センター）;業種: 不動産業;法人番号: 5013301004663;事業内容: オフィス・エネルギー関連施設等の賃貸事業商業施設事業;代表者: 合場直人（取締役社長）;資本金: 192億円;発行済株式総数: 38,400,000株;売上高: 240億8000万円（2021年03月31日時点）;営業利益: 51億9500万円（2021年03月31日時点）;経常利益: 43億4400万円（2021年03月31日時点）;純利益: 20億8500万円（2021年03月31日時点）;純資産: 679億0700万円（2021年03月31日時点）;総資産: 1048億3000万円（2021年03月31日時点）;決算期: 3月31日;主要株主: 三菱地所セブン&アイ・ホールディングスみずほ銀行クレディセゾン三菱東京UFJ銀行東芝;主要子会社: サンシャインビーエスサンシャインエンタプライズサンシャイン劇場池袋地域冷暖房アール・エス・シー;関係する人物: 磯崎叡（元社長）;外部リンク: www.sunshinecity.co.jp;開業日: 1978年10月5日;商業施設面積: 45,264 m²;店舗数: 248店アルパ168店Sunshine City ALTA80店;駐車台数: 1,800台;最寄駅: 東池袋駅・池袋駅;最寄IC: 首都高速道路5号池袋線東池袋出入口","日本の大規模ホテル一覧","表形式","248店"
