"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"秋篠寺","","https://ja.wikipedia.org/wiki/秋篠寺","北緯34度42分11.38秒東経135度46分32.32秒","所在地: 奈良県奈良市秋篠町757;位置: 北緯34度42分11.38秒東経135度46分32.32秒座標: 北緯34度42分11.38秒 東経135度46分32.32秒;山号: なし;宗派: 単立;本尊: 薬師如来;創建年: 伝・宝亀7年（776年）;開山: 伝・善珠;開基: 光仁天皇（勅願）;文化財: 本堂（国宝）伎芸天立像、薬師三尊像ほか（重要文化財）;法人番号: 9150005000039","日本の寺院一覧","参照"
"飛鳥寺","","https://ja.wikipedia.org/wiki/飛鳥寺","北緯34度28分43.14秒東経135度49分12.64秒","所在地: 奈良県高市郡明日香村飛鳥682;位置: 北緯34度28分43.14秒東経135度49分12.64秒座標: 北緯34度28分43.14秒 東経135度49分12.64秒;山号: 鳥形山;宗派: 真言宗豊山派;本尊: 釈迦如来（飛鳥大仏、重要文化財）;創建年: 6世紀末頃;開基: 蘇我馬子;正式名: 鳥形山 安居院（現在の公称）;別称: 法興寺、元興寺（共に旧法号）;札所等: 新西国三十三箇所第9番聖徳太子霊跡第11番;文化財: 銅造釈迦如来坐像（重要文化財）;法人番号: 5150005004836","日本の寺院一覧","参照"
"穴太寺","","https://ja.wikipedia.org/wiki/穴太寺","北緯35度0分24.03秒東経135度32分57.09秒","所在地: 京都府亀岡市曽我部町穴太東辻46;位置: 北緯35度0分24.03秒東経135度32分57.09秒﻿ / ﻿北緯35.0066750度 東経135.5491917度﻿ / 35.0066750; 135.5491917座標: 北緯35度0分24.03秒東経135度32分57.09秒﻿ / ﻿北緯35.0066750度 東経135.5491917度﻿ / 35.0066750; 135.5491917;山号: 菩提山;宗派: 天台宗;本尊: 薬師如来;創建年: 伝・慶雲2年（705年）;開基: 伝・大伴古麻呂、文武天皇（勅願）;中興: 行廣;正式名: 菩提山 穴太寺;札所等: 西国三十三所第21番神仏霊場巡拝の道第130番（京都50番）;文化財: 木造聖観音立像（重要文化財）本堂・多宝塔ほか（府指定文化財）庭園（府の名勝）;法人番号: 7130005008036","日本の寺院一覧","参照"
"安倍文殊院","","https://ja.wikipedia.org/wiki/安倍文殊院","北緯34度30分13.0秒東経135度50分30.7秒","所在地: 奈良県桜井市阿部645;位置: 北緯34度30分13.0秒東経135度50分30.7秒座標: 北緯34度30分13.0秒 東経135度50分30.7秒;山号: 安倍山;宗派: 華厳宗;本尊: 文殊菩薩;創建年: （伝）大化元年（645年）;開基: 安倍倉梯麻呂;別称: 安倍文殊院;札所等: 大和ぼけ封じ霊場大和十三仏霊場第3番大和七福八宝めぐり（弁財天）神仏霊場巡拝の道第34番大和北部八十八ヶ所霊場第82番;文化財: 木造騎獅文殊菩薩及脇侍像（国宝）白山神社本殿（重要文化財）文殊院西古墳（特別史跡）;公式HP: 安倍文殊院;法人番号: 9150005004064","日本の寺院一覧","参照"
"安国寺 (高山市)","","https://ja.wikipedia.org/wiki/安国寺_(高山市)","北緯36度13分28.55秒東経137度14分42.15秒","所在地: 岐阜県高山市国府町西門前474;位置: 北緯36度13分28.55秒東経137度14分42.15秒﻿ / ﻿北緯36.2245972度 東経137.2450417度﻿ / 36.2245972; 137.2450417座標: 北緯36度13分28.55秒東経137度14分42.15秒﻿ / ﻿北緯36.2245972度 東経137.2450417度﻿ / 36.2245972; 137.2450417;山号: 太平山;宗派: 臨済宗妙心寺派;本尊: 釈迦牟尼仏;創建年: 正平2年（1347年）;開基: 瑞厳和尚;別称: 飛騨安国寺;札所等: 飛騨三十三観音霊場11番;文化財: 経蔵（国宝）瑞巌和尚坐像（重要文化財）;法人番号: 2200005010237","日本の寺院一覧","参照"
"安楽寺 (上田市)","","https://ja.wikipedia.org/wiki/安楽寺_(上田市)","北緯36度21分08秒東経138度09分12秒","所在地: 長野県上田市別所温泉2361;位置: 北緯36度21分08秒東経138度09分12秒﻿ / ﻿北緯36.35222度 東経138.15333度﻿ / 36.35222; 138.15333座標: 北緯36度21分08秒東経138度09分12秒﻿ / ﻿北緯36.35222度 東経138.15333度﻿ / 36.35222; 138.15333;山号: 崇福山;宗旨: 曹洞宗;本尊: 釈迦如来;創建年: 不詳;開基: 不詳;文化財: 八角三重塔（国宝）木造惟仙和尚坐像、木造恵仁和尚坐像（重要文化財）;法人番号: 7100005003989","日本の寺院一覧","参照"
"安楽寺 (徳島県上板町)","","https://ja.wikipedia.org/wiki/安楽寺_(徳島県上板町)","北緯34度7分5秒東経134度23分18.2秒","所在地: 徳島県板野郡上板町引野字寺ノ西北8;位置: 北緯34度7分5秒東経134度23分18.2秒座標: 北緯34度7分5秒 東経134度23分18.2秒;山号: 温泉山;宗派: 高野山真言宗;本尊: 薬師如来、胎内仏・薬師如来;創建年: （伝）弘仁6年（815年）;開基: （伝）空海（弘法大師）;正式名: 温泉山 瑠璃光院 安楽寺;札所等: 四国八十八箇所6番阿波北嶺薬師霊場2番;文化財: 安楽寺方丈（国の登録有形文化財）;公式HP: 四国霊場 第六番札所 温泉山 安楽寺;法人番号: 3480005003724","日本の寺院一覧","参照"
"安楽寺 (高知市)","","https://ja.wikipedia.org/wiki/安楽寺_(高知市)","北緯33度34分0.38秒東経133度31分59.12秒","所在地: 高知県高知市洞ヶ島町5-3;位置: 北緯33度34分0.38秒東経133度31分59.12秒座標: 北緯33度34分0.38秒 東経133度31分59.12秒;山号: 妙色山(百々山);宗派: 真言宗豊山派;本尊: 阿弥陀如来;創建年: （伝）延喜年間（901年-923年）;開基: 菅原高視;正式名: 妙色山(百々山) 金性院 安楽寺;札所等: 四国八十八箇所第30番札所奥の院;文化財: 木造阿弥陀如来坐像（国の重要文化財）;法人番号: 7490005000782","日本の寺院一覧","参照"
"節を編集: い","","https://ja.wikipedia.org/w/index.php?title=日本の寺院一覧&amp;action=edit&amp;section=2","","","日本の寺院一覧","参照"
"池上本門寺","","https://ja.wikipedia.org/wiki/池上本門寺","北緯35度34分44秒東経139度42分18.6秒","所在地: 東京都大田区池上一丁目1番1号;位置: 北緯35度34分44秒東経139度42分18.6秒座標: 北緯35度34分44秒 東経139度42分18.6秒;山号: 長栄山;宗派: 日蓮宗;寺格: 大本山;本尊: 三宝尊;創建年: 1282年（弘安5年）;開山: 日蓮;開基: 池上宗仲;正式名: 長栄山大国院本門寺;札所等: 日蓮聖人霊跡東国花の寺百ヶ寺東京4番京浜四大本山;文化財: 木造日蓮聖人坐像（重要文化財）ほか;法人番号: 1010805000093","日本の寺院一覧","参照"
"石手寺","","https://ja.wikipedia.org/wiki/石手寺","北緯33度50分52.3秒東経132度47分47.3秒","所在地: 日本愛媛県松山市石手2丁目9-21;位置: 北緯33度50分52.3秒東経132度47分47.3秒座標: 北緯33度50分52.3秒 東経132度47分47.3秒;山号: 熊野山;院号: 虚空蔵院;宗派: 真言宗豊山派;本尊: 薬師如来;創建年: （伝）天平元年（729年）;開基: （伝）行基、聖武天皇（勅願）;正式名: 熊野山 虚空蔵院 石手寺;札所等: 四国八十八箇所第51番;文化財: 二王門（国宝）本堂・鐘楼・三重塔ほか（重要文化財）;公式HP: 石手寺;法人番号: 5500005000139","日本の寺院一覧","参照"
"石山寺","","https://ja.wikipedia.org/wiki/石山寺","北緯34度57分37.51秒東経135度54分20.25秒","所在地: 滋賀県大津市石山寺1-1-1;位置: 北緯34度57分37.51秒東経135度54分20.25秒﻿ / ﻿北緯34.9604194度 東経135.9056250度﻿ / 34.9604194; 135.9056250座標: 北緯34度57分37.51秒東経135度54分20.25秒﻿ / ﻿北緯34.9604194度 東経135.9056250度﻿ / 34.9604194; 135.9056250;山号: 石光山;宗派: 東寺真言宗;寺格: 大本山;本尊: 如意輪観音;創建年: 天平19年（747年）;開山: 良弁;開基: 聖武天皇（勅願）;正式名: 石光山 石山寺;札所等: 西国三十三所第13番江州三十三観音第1番近江西国三十三観音霊場第3番びわ湖百八霊場第1番神仏霊場巡拝の道第146番（滋賀14番）;文化財: 本堂、多宝塔、釈摩訶衍論ほか9件（国宝）東大門、鐘楼他（重要文化財）珪灰石（国の天然記念物）;公式HP: 大本山 石山寺 公式ホームページ;法人番号: 9160005000599","日本の寺院一覧","参照"
"一乗寺","","https://ja.wikipedia.org/wiki/一乗寺","北緯34度51分33.51秒東経134度49分8.49秒","所在地: 兵庫県加西市坂本町821-17;位置: 北緯34度51分33.51秒東経134度49分8.49秒座標: 北緯34度51分33.51秒 東経134度49分8.49秒;山号: 法華山;宗派: 天台宗;本尊: 聖観音;創建年: 伝・白雉元年（650年）;開山: 伝・法道仙人;正式名: 法華山 一乗寺;札所等: 西国三十三所第26番播磨西国三十三箇所第33番神仏霊場巡拝の道第77番播磨天台六山;文化財: 三重塔、聖徳太子及び天台高僧像10幅（国宝）、本堂他（重要文化財）;法人番号: 9140005017455","日本の寺院一覧","参照"
"一畑寺","","https://ja.wikipedia.org/wiki/一畑寺","北緯35度29分48.39秒東経132度52分26.77秒","所在地: 島根県出雲市小境町803;位置: 北緯35度29分48.39秒東経132度52分26.77秒;山号: 醫王山（いおうざん）;宗派: 臨済宗妙心寺派一畑薬師教団総本山;本尊: 薬師瑠璃光如来;創建年: (伝)寛平6年（894年）;開基: 補然;別称: 一畑薬師;札所等: 出雲十大薬師1番、出雲國神仏霊場3番、出雲観音特別霊場、中国33観音26番;文化財: 紙本墨画著色書院障壁画22面・絹本著色阿弥陀三尊像（県文化財）;法人番号: 2280005003365","日本の寺院一覧","参照"
"威徳寺","","https://ja.wikipedia.org/wiki/威徳寺","","","日本の寺院一覧","参照"
"威徳寺 (新潟市)","","https://ja.wikipedia.org/wiki/威徳寺_(新潟市)","北緯37度51分0.1秒東経138度58分47.8秒","所在地: 新潟県新潟市西区黒鳥5002-1;位置: 北緯37度51分0.1秒東経138度58分47.8秒座標: 北緯37度51分0.1秒 東経138度58分47.8秒;山号: 首城山;宗旨: 浄土真宗;宗派: 真宗佛光寺派;本尊: 阿弥陀如来;創建年: 1172年（承安2年）;開基: 招恵上人;中興年: 1823年（文政6年）;中興: 歓喜院哲玄法師;公式HP: [公式ウェブサイト威徳寺];法人番号: 7110005000993","日本の寺院一覧","参照"
"弥谷寺","","https://ja.wikipedia.org/wiki/弥谷寺","北緯34度13分47秒東経133度43分27.34秒","所在地: 香川県三豊市三野町大見乙70;位置: 北緯34度13分47秒東経133度43分27.34秒座標: 北緯34度13分47秒 東経133度43分27.34秒;山号: 剣五山;宗派: 真言宗善通寺派;寺格: 大本山;本尊: 千手観世音菩薩;創建年: （伝）奈良時代;開基: （伝）行基、聖武天皇（勅願）;正式名: 剣五山 千手院 弥谷寺;別称: 弘法大師御学問所;札所等: 四国八十八箇所71番;文化財: 金銅四天王五鈷鈴（国の重要文化財）仏説観仏三昧海経（県文化財）弥谷寺信仰遺跡（県史跡）;公式HP: 弥谷寺;法人番号: 3470005003873;所在地: 香川県三豊市三野町大見乙70;位置: 北緯34度13分47秒東経133度43分27.34秒座標: 北緯34度13分47秒 東経133度43分27.34秒;山号: 剣五山;宗派: 真言宗善通寺派;寺格: 大本山;本尊: 千手観世音菩薩;創建年: （伝）奈良時代;開基: （伝）行基、聖武天皇（勅願）;正式名: 剣五山 千手院 弥谷寺;別称: 弘法大師御学問所;札所等: 四国八十八箇所71番;文化財: 金銅四天王五鈷鈴（国の重要文化財）仏説観仏三昧海経（県文化財）弥谷寺信仰遺跡（県史跡）;公式HP: 弥谷寺;法人番号: 3470005003873","日本の寺院一覧","参照"
"伊予国分寺","","https://ja.wikipedia.org/wiki/伊予国分寺","北緯34度1分34.2秒東経133度1分31.6秒","所在地: 愛媛県今治市国分4-1-33;位置: 北緯34度1分34.2秒東経133度1分31.6秒﻿ / ﻿北緯34.026167度 東経133.025444度﻿ / 34.026167; 133.025444座標: 北緯34度1分34.2秒東経133度1分31.6秒﻿ / ﻿北緯34.026167度 東経133.025444度﻿ / 34.026167; 133.025444;山号: 金光山;宗派: 真言律宗;本尊: 薬師瑠璃光如来;創建年: 天平勝宝8年（756年）以前;開基: （伝）行基;正式名: 金光山 最勝院 国分寺;別称: 国分寺;札所等: 四国八十八箇所59番、伊予府中十三石仏霊場7番薬師如来;文化財: 伊予国分寺塔跡（国の史跡）;法人番号: 6500005005038","日本の寺院一覧","参照"
"節を編集: う","","https://ja.wikipedia.org/w/index.php?title=日本の寺院一覧&amp;action=edit&amp;section=3","","","日本の寺院一覧","参照"
"節を編集: え","","https://ja.wikipedia.org/w/index.php?title=日本の寺院一覧&amp;action=edit&amp;section=4","","","日本の寺院一覧","参照"
"永源寺","","https://ja.wikipedia.org/wiki/永源寺","北緯35度4分50.1秒東経136度19分10.5秒","所在地: 滋賀県東近江市永源寺高野町41;位置: 北緯35度4分50.1秒東経136度19分10.5秒;山号: 瑞石山;宗派: 臨済宗永源寺派;寺格: 大本山;本尊: 世継観世音菩薩;創建年: 康安元年（1361年）;開山: 寂室元光;開基: 佐々木氏頼;正式名: 瑞石山 永源寺;文化財: 絹本着色地蔵十王像ほか（重要文化財）山門（滋賀県文化財）;法人番号: 1160005006034","日本の寺院一覧","参照"
"禅林寺 (京都市)","","https://ja.wikipedia.org/wiki/禅林寺_(京都市)","北緯35度0分52.29秒東経135度47分43.05秒","所在地: 京都府京都市左京区永観堂町48番地;位置: 北緯35度0分52.29秒東経135度47分43.05秒﻿ / ﻿北緯35.0145250度 東経135.7952917度﻿ / 35.0145250; 135.7952917座標: 北緯35度0分52.29秒東経135度47分43.05秒﻿ / ﻿北緯35.0145250度 東経135.7952917度﻿ / 35.0145250; 135.7952917;山号: 聖衆来迎山;院号: 無量寿院;宗派: 浄土宗西山禅林寺派;寺格: 総本山;本尊: 阿弥陀如来（重要文化財）;創建年: 仁寿3年（853年）;開基: 真紹;正式名: 聖衆來迎山無量壽院禪林寺;別称: 永観堂;札所等: 洛陽六阿弥陀めぐり第2番法然上人二十五霊跡縁故本山（番外）西山国師遺跡霊場第8番;文化財: 山越阿弥陀図、金銅蓮華文磬（国宝）木造阿弥陀如来立像、絹本著色薬師如来像ほか（重要文化財）;公式HP: 永観堂(Eikando,Kyoto);法人番号: 6130005000539","日本の寺院一覧","参照"
"栄山寺","","https://ja.wikipedia.org/wiki/栄山寺","北緯34度21分21.4秒東経135度43分14.4秒","所在地: 奈良県五條市小島町503;位置: 北緯34度21分21.4秒東経135度43分14.4秒座標: 北緯34度21分21.4秒 東経135度43分14.4秒;山号: 学晶山（學晶山）;宗旨: 新義真言宗;宗派: 真言宗豊山派;本尊: 薬師如来;創建年: 伝 養老3年（719年）;開基: 伝 藤原武智麻呂;別称: 前山寺;文化財: 八角堂・梵鐘（国宝）八角堂内陣装飾画・木造薬師如来坐像・木造十二神将立像・石灯篭・石塔婆（国の重要文化財）栄山寺行宮跡（国の史跡）;法人番号: 9150005006754","日本の寺院一覧","参照"
