"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"礼文岳","礼文岳","https://ja.wikipedia.org/wiki/礼文岳","北緯45度22分21秒東経141度00分57秒","標高: 490 m;所在地: 北海道礼文郡礼文町;位置: 北緯45度22分21秒東経141度00分57秒;山系: 島","日本の山一覧","箇条書き"
"利尻岳","▲利尻岳- 日本百名山","https://ja.wikipedia.org/wiki/利尻岳","北緯45度10分43秒東経141度14分31秒","標高: 1,721[1]m;所在地: 日本北海道宗谷総合振興局利尻郡利尻町・利尻富士町;位置: 北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ / 45.17861; 141.24194座標: 北緯45度10分43秒東経141度14分31秒﻿ / ﻿北緯45.17861度 東経141.24194度﻿ / 45.17861; 141.24194[2];山系: 独立峰;種類: 成層火山","日本の山一覧","箇条書き"
"知床岳","▲知床岳","https://ja.wikipedia.org/wiki/知床岳","北緯44度14分09秒東経145度16分26秒","標高: 1253.9[1]m;所在地: 日本北海道羅臼町・斜里町;位置: 北緯44度14分09秒東経145度16分26秒座標: 北緯44度14分09秒 東経145度16分26秒[1];種類: 成層火山","日本の山一覧","箇条書き"
"知床硫黄山","▲硫黄山","https://ja.wikipedia.org/wiki/知床硫黄山","北緯44度08分00秒東経145度09分41秒","標高: 1,561.95m;所在地: 日本北海道斜里郡斜里町・目梨郡羅臼町;位置: 北緯44度08分00秒東経145度09分41秒座標: 北緯44度08分00秒 東経145度09分41秒;山系: 知床半島;種類: 成層火山","日本の山一覧","箇条書き"
"羅臼岳","▲羅臼岳- 日本百名山","https://ja.wikipedia.org/wiki/羅臼岳","北緯44度04分33秒東経145度07分20秒","標高: 1,661[1]m;所在地: 日本北海道目梨郡羅臼町・斜里郡斜里町;位置: 北緯44度04分33秒東経145度07分20秒座標: 北緯44度04分33秒 東経145度07分20秒[2];山系: 知床半島;種類: 成層火山","日本の山一覧","箇条書き"
"海別岳","▲海別岳","https://ja.wikipedia.org/wiki/海別岳","北緯43度52分37秒東経144度52分36秒","標高: 1419.3[2]m;所在地: 北海道斜里町・羅臼町・標津町;位置: 北緯43度52分37秒東経144度52分36秒座標: 北緯43度52分37秒 東経144度52分36秒[2]","日本の山一覧","箇条書き"
"斜里岳","▲斜里岳- 日本百名山","https://ja.wikipedia.org/wiki/斜里岳","北緯43度45分56秒東経144度43分04秒","標高: 1,547[1]m;所在地: 北海道斜里郡斜里町・清里町、標津郡標津町;位置: 北緯43度45分56秒東経144度43分04秒[2];山系: 知床半島;種類: 成層火山;最新噴火: 25万年前[3]","日本の山一覧","箇条書き"
"武佐岳","▲武佐岳","https://ja.wikipedia.org/wiki/武佐岳","北緯43度40分40秒東経144度52分55秒","標高: 1005.2 m;所在地: 日本北海道中標津町・標津町;位置: 北緯43度40分40秒東経144度52分55秒座標: 北緯43度40分40秒 東経144度52分55秒;山系: 成層火山","日本の山一覧","箇条書き"
"サマッケヌプリ山","▲サマッケヌプリ山","https://ja.wikipedia.org/wiki/サマッケヌプリ山","北緯43度41分01秒東経144度43分52秒","標高: 1,062.3 m;所在地: 日本北海道清里町・中標津町・標津町;位置: 北緯43度41分01秒東経144度43分52秒座標: 北緯43度41分01秒 東経144度43分52秒;種類: 成層火山","日本の山一覧","箇条書き"
"標津岳","▲標津岳","https://ja.wikipedia.org/wiki/標津岳","北緯43度40分05秒東経144度42分18秒","標高: 1,061 m;所在地: 日本北海道中標津町・清里町;位置: 北緯43度40分05秒東経144度42分18秒座標: 北緯43度40分05秒 東経144度42分18秒[1]","日本の山一覧","箇条書き"
"摩周岳","▲摩周岳","https://ja.wikipedia.org/wiki/摩周岳","北緯43度34分20秒東経144度33分39秒","標高: 857 m;所在地: 日本北海道川上郡弟子屈町;位置: 北緯43度34分20秒東経144度33分39秒座標: 北緯43度34分20秒 東経144度33分39秒;種類: 複成火山[1];最新噴火: 4,000年前以降[1]","日本の山一覧","箇条書き"
"阿寒岳","阿寒岳- 日本百名山▲阿寒富士▲雌阿寒岳▲雄阿寒岳","https://ja.wikipedia.org/wiki/阿寒岳","","","日本の山一覧","箇条書き"
"天塩岳","天塩岳","https://ja.wikipedia.org/wiki/天塩岳","北緯43度57分51秒東経142度53分16秒","標高: 1,557.6m;所在地: 日本北海道士別市・紋別郡滝上町;位置: 北緯43度57分51秒東経142度53分16秒座標: 北緯43度57分51秒 東経142度53分16秒","日本の山一覧","箇条書き"
"大雪山","▲大雪山- 日本百名山（最高峰は旭岳）（北海道の最高峰）▲北鎮岳▲旭岳▲白雲岳▲黒岳","https://ja.wikipedia.org/wiki/大雪山","北緯43度39分48.9秒東経142度51分14.9秒","標高: 旭岳：2,290.93[1][2]m;所在地: 日本・北海道上川郡;位置: 北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ / 43.663583; 142.854139座標: 北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ / 43.663583; 142.854139;山系: 石狩山地;種類: 複成火山","日本の山一覧","箇条書き"
"忠別岳","▲忠別岳","https://ja.wikipedia.org/wiki/忠別岳","北緯43度35分28秒東経142度53分40秒","標高: 1,962.75[1]m;所在地: 日本北海道美瑛町、上川町;位置: 北緯43度35分28秒東経142度53分40秒座標: 北緯43度35分28秒 東経142度53分40秒[2];山系: 大雪山系","日本の山一覧","箇条書き"
"トムラウシ山","▲トムラウシ山- 日本百名山","https://ja.wikipedia.org/wiki/トムラウシ山","北緯43度31分38秒東経142度50分56秒","標高: 2,141.19[1]m;所在地: 日本北海道上川総合振興局上川郡美瑛町・十勝総合振興局上川郡新得町;位置: 北緯43度31分38秒東経142度50分56秒座標: 北緯43度31分38秒 東経142度50分56秒[2];山系: 大雪山系（石狩山地）;種類: 成層火山","日本の山一覧","箇条書き"
"オプタテシケ山","▲オプタテシケ山","https://ja.wikipedia.org/wiki/オプタテシケ山","北緯43度28分13秒東経142度45分05秒","標高: 2,012.48m;所在地: 日本北海道上川総合振興局上川郡美瑛町・十勝総合振興局上川郡新得町;位置: 北緯43度28分13秒東経142度45分05秒座標: 北緯43度28分13秒 東経142度45分05秒;山系: 石狩山地（十勝岳連峰）","日本の山一覧","箇条書き"
"富良野岳","▲富良野岳","https://ja.wikipedia.org/wiki/富良野岳","北緯43度23分37秒東経142度38分06秒","標高: 1,911.90[1]m;所在地: 日本北海道上川総合振興局富良野市上川総合振興局上富良野町;位置: 北緯43度23分37秒東経142度38分06秒座標: 北緯43度23分37秒 東経142度38分06秒[2];山系: 石狩山地（十勝岳連峰）;種類: 成層火山","日本の山一覧","箇条書き"
