"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"札幌市百合が原緑のセンター","札幌市百合が原緑のセンター（北海道札幌市北区）","https://ja.wikipedia.org/wiki/札幌市百合が原緑のセンター","","国: 日本;都道府県: 北海道;市町村: 札幌市;行政区: 北区;等時帯: UTC+9(日本標準時);郵便番号: 002-8081","日本の植物園一覧","箇条書き"
"札幌市豊平公園緑のセンター","札幌市豊平公園緑のセンター（北海道札幌市豊平区）","https://ja.wikipedia.org/wiki/札幌市豊平公園緑のセンター","北緯43度02分35秒東経141度22分42秒","分類: 地区公園[1];所在地: 日本札幌市豊平区豊平5条13丁目、美園5・6条1丁目[1];座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度02分35秒東経141度22分42秒﻿ / ﻿北緯43.04306度 東経141.37833度﻿ / 43.04306; 141.37833座標: 北緯43度02分35秒東経141度22分42秒﻿ / ﻿北緯43.04306度 東経141.37833度﻿ / 43.04306; 141.37833;面積: 7.4ヘクタール;前身: 農林省林業試験場;開園: 1977年;運営者: 札幌市公園緑化協会（指定管理者）;設備・遊具: 植物園、温室、花壇、庭園、テニスコート、温水プール;バリアフリー: 身障者用トイレ身障者用駐車場3台;アクセス: 札幌市営地下鉄東豊線豊平公園駅下車徒歩5分北海道中央バス（大曲・平岡・西岡・白石営業所）「豊平3条12丁目」バス停下車徒歩5分;告示: 都市計画決定：昭和50年12月15日北海道告示第3725号[2];事務所: 豊平公園管理事務所;事務所所在地: 札幌市豊平区豊平5条13丁目;公式サイト: 豊平公園","日本の植物園一覧","箇条書き"
"平岡樹芸センター","札幌市平岡樹芸センター（北海道札幌市清田区）","https://ja.wikipedia.org/wiki/平岡樹芸センター","北緯43度0分8.8秒東経141度27分5.4秒","正式名称: 札幌市緑化植物園平岡樹芸センター;前身: 竹澤養樹園[1];専門分野: 庭木;事業主体: 札幌市;管理運営: 公益財団法人札幌市公園緑化協会[2];開園: 1984年;所在地: 〒004-0874札幌市清田区平岡4条3丁目;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度0分8.8秒東経141度27分5.4秒﻿ / ﻿北緯43.002444度 東経141.451500度﻿ / 43.002444; 141.451500座標: 北緯43度0分8.8秒東経141度27分5.4秒﻿ / ﻿北緯43.002444度 東経141.451500度﻿ / 43.002444; 141.451500","日本の植物園一覧","箇条書き"
"北邦野草園","北邦野草園（北海道旭川市）","https://ja.wikipedia.org/wiki/北邦野草園","","","日本の植物園一覧","箇条書き"
"函館市熱帯植物園 (存在しないページ)","函館市熱帯植物園（北海道函館市）","https://ja.wikipedia.org/w/index.php?title=函館市熱帯植物園&amp;action=edit&amp;redlink=1","","","日本の植物園一覧","箇条書き"
"能代火力発電所","能代エナジアムパーク（秋田県能代市）","https://ja.wikipedia.org/wiki/能代火力発電所","","種類: 火力発電所;電気事業者: 東北電力;所在地: 日本秋田県能代市字大森山1-6;発電方式: 汽力発電;出力: 60万 kW;燃料: 石炭、木質バイオマス;熱効率: 45%(LHV);営業運転開始日: 1993年5月;発電方式: 汽力発電;出力: 60万 kW;燃料: 石炭、木質バイオマス;熱効率: 45%(LHV);営業運転開始日: 1994年12月;発電方式: 汽力発電;出力: 60万 kW;燃料: 石炭、木質バイオマス;熱効率: 46%(LHV);営業運転開始日: 2020年3月","日本の植物園一覧","箇条書き"
"仙台市野草園","仙台市野草園（宮城県仙台市太白区）","https://ja.wikipedia.org/wiki/仙台市野草園","北緯38度14分20.6秒東経140度52分26.1秒","正式名称: 大年寺山公園 仙台市野草園[1];専門分野: 植物;事業主体: 仙台市;管理運営: 公益財団法人仙台市公園緑地協会（指定管理者）[2];開園: 1954年（昭和29年）7月21日;所在地: 〒982-0843宮城県仙台市太白区茂ヶ崎二丁目1-1;位置: 北緯38度14分20.6秒東経140度52分26.1秒;1954: 3 7978;1960: 9 7918;1970: 12 8415;1980: 15 0535","日本の植物園一覧","箇条書き"
"山形市野草園","山形市野草園（山形県山形市）","https://ja.wikipedia.org/wiki/山形市野草園","","専門分野: 植物;事業主体: 山形県山形市;管理運営: 一般財団法人山形市都市振興公社;開園: 1993年（平成5年）4月;所在地: 〒990-2406山形県山形市大字神尾字清水澤832-3","日本の植物園一覧","箇条書き"
"とちぎ花センター (存在しないページ)","とちぎ花センター（栃木県栃木市）","https://ja.wikipedia.org/w/index.php?title=とちぎ花センター&amp;action=edit&amp;redlink=1","","","日本の植物園一覧","箇条書き"
"ぐんまフラワーパーク","ぐんまフラワーパーク（群馬県前橋市）","https://ja.wikipedia.org/wiki/ぐんまフラワーパーク","北緯36度27分27秒東経139度10分33秒","正式名称: ぐんまフラワーパーク[1];専門分野: 植物;事業主体: 群馬県;管理運営: 株式会社ぐんまフラワー管理（指定管理者）[2];開園: 平成4年4月;所在地: 〒371-0246群馬県前橋市柏倉町2471-7;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯36度27分27秒東経139度10分33秒﻿ / ﻿北緯36.45750度 東経139.17583度﻿ / 36.45750; 139.17583座標: 北緯36度27分27秒東経139度10分33秒﻿ / ﻿北緯36.45750度 東経139.17583度﻿ / 36.45750; 139.17583;公式サイト: ぐんまフラワーパーク","日本の植物園一覧","箇条書き"
