"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"幣舞橋","北海道三大名橋 4代目幣舞橋（釧路市）、現在の 旭橋（旭川市）、4代目 豊平橋（札幌市）","https://ja.wikipedia.org/wiki/幣舞橋","北緯42度58分51.72秒東経144度23分8.03秒","国: 日本;所在地: 北海道釧路市;交差物件: 釧路川;設計者施工者: 日立、横河;座標: 北緯42度58分51.72秒東経144度23分8.03秒﻿ / ﻿北緯42.9810333度 東経144.3855639度﻿ / 42.9810333; 144.3855639;形式: 3径間連続鋼床版箱桁橋;全長: 124.0m;幅: 33.8m;最大支間長: 54.0m","日本の橋一覧","箇条書き","釧路駅前のメインストリート（北大通）の橋であり、釧路川の最も下流に架かる橋でもある。幣舞ロータリーは国道38号終点と国道44号の起点になっている。24時間平均交通量は約35,700台（平成22年度）。"
"白鳥大橋","白鳥大橋（室蘭市東日本最大の吊橋）","https://ja.wikipedia.org/wiki/白鳥大橋","北緯42度21分11.8秒東経140度57分0.7秒","国: 日本;所在地: 北海道（胆振総合振興局）室蘭市;交差物件: 室蘭港;設計者施工者: IHI、IHI・川田・松尾JV、新日鉄・神鋼JV、JFE・宮地・東骨JV、JFE・横河JV、三菱・川重・楢崎JV、宮地・横河・住重・函館JV;建設: 1985年- 1998年;座標: 北緯42度21分11.8秒東経140度57分0.7秒﻿ / ﻿北緯42.353278度 東経140.950194度﻿ / 42.353278; 140.950194座標: 北緯42度21分11.8秒東経140度57分0.7秒﻿ / ﻿北緯42.353278度 東経140.950194度﻿ / 42.353278; 140.950194;形式: 3径間2ヒンジ補剛吊橋;材料: 剛床版箱桁;全長: 1,380 m;幅: 14.25 m;高さ: 140 m;最大支間長: 720 m","日本の橋一覧","箇条書き","室蘭市陣屋町と対岸の絵鞆半島にある祝津町を結ぶ室蘭港をまたぐ東日本最大の吊橋であり、総事業費は1,153億円、維持管理費は51億円に及ぶ（平成15年度）。2010年度（平成22年度）の24時間平均通行量は11,552台。1998年度（平成10年度）の『土木学会田中賞』と『照明普及賞』優秀施設賞を受賞している。夜間は風力発電によってライトアップされており、2008年（平成20年）に「日本夜景遺産・ライトアップ遺産」に選定されている。"
"長流川橋","長流川橋（洞爺湖町高速道路の橋、日本最長）","https://ja.wikipedia.org/wiki/長流川橋","北緯42度29分58秒東経140度51分15秒","国: 日本;所在地: 北海道伊達市長和町;交差物件: 二級河川長流川;設計者施工者: 清水建設;建設: 1991- 1994年;座標: 北緯42度29分58秒東経140度51分15秒﻿ / ﻿北緯42.49944度 東経140.85417度﻿ / 42.49944; 140.85417;形式: 鉄筋コンクリート道路橋;全長: 1,772.5 m;幅: 10 m;高さ: 40 m;最大支間長: 40 m","日本の橋一覧","箇条書き","高速道路が河川を渡る橋梁として日本最長の1,772.5mであり、橋の手前に「高速道日本一 橋長1,770m」の橋梁標識がある。"
"ミュンヘン大橋","ミュンヘン大橋（札幌市 橋梁上にローゼ風の展望台がある）","https://ja.wikipedia.org/wiki/ミュンヘン大橋","北緯43度1分1.3秒東経141度21分10.8秒","国: 日本;所在地: 札幌市（豊平区- 南区）;交差物件: 豊平川;設計者施工者: 岩田・大成・住友・戸田・熊谷・日本高圧JV／飛島・若築・札幌土建JV;座標: 北緯43度1分1.3秒東経141度21分10.8秒﻿ / ﻿北緯43.017028度 東経141.353000度﻿ / 43.017028; 141.353000座標: 北緯43度1分1.3秒東経141度21分10.8秒﻿ / ﻿北緯43.017028度 東経141.353000度﻿ / 43.017028; 141.353000;形式: 2径間連続PC斜張橋;全長: 172m;幅: 22.0m;高さ: 53.6m（主塔）","日本の橋一覧","箇条書き","福住桑園通の橋となっている。札幌市とミュンヘン市の姉妹都市提携15周年の年となる1987年（昭和62年）に事業着手したこと、橋の構造が戦後ドイツを中心に発展した橋梁形式（斜張橋）であることから、橋の名前につけられた。札幌市創建120年記念事業として1991年（平成3年）に完成した。夜はライトアップされる。"
"士狩大橋","士狩大橋（帯広市 4径間連続エクストラドーズド橋）石狩川#橋梁、釧路川#橋梁、十勝川#主な橋梁、道東自動車道#主なトンネルと橋なども参照","https://ja.wikipedia.org/wiki/士狩大橋","北緯42度56分12.3秒東経143度6分26.2秒","国: 日本;所在地: 北海道河西郡芽室町;交差物件: 十勝川;設計者施工者: 鹿島、オリエンタル、ピーエスJV;建設: 1996年- 2000年;座標: 北緯42度56分12.3秒東経143度6分26.2秒﻿ / ﻿北緯42.936750度 東経143.107278度﻿ / 42.936750; 143.107278座標: 北緯42度56分12.3秒東経143度6分26.2秒﻿ / ﻿北緯42.936750度 東経143.107278度﻿ / 42.936750; 143.107278;形式: 5径間連続箱桁エクストラドーズド橋;全長: 610m;幅: 23m;最大支間長: 140m","日本の橋一覧","箇条書き","帯広広尾自動車道初の供用区間である帯広川西道路の橋として2003年（平成15年）に開通した。"
"青岩橋","青岩橋（青森県三戸町-岩手県二戸市）余部橋梁の架け替えにより、日本最長のトレッスル橋になった。阿武隈川#橋梁、北上川#主な橋梁、最上川#平行する交通#橋梁、も参照","https://ja.wikipedia.org/wiki/青岩橋","北緯40度20分42秒東経141度16分28.8秒","","日本の橋一覧","箇条書き",""
"青森中央大橋","青森中央大橋（青森市）","https://ja.wikipedia.org/wiki/青森中央大橋","北緯40度48分50秒東経140度44分32秒","国: 日本;所在地: 青森県青森市;座標: 北緯40度48分50秒東経140度44分32秒﻿ / ﻿北緯40.81389度 東経140.74222度﻿ / 40.81389; 140.74222座標: 北緯40度48分50秒東経140度44分32秒﻿ / ﻿北緯40.81389度 東経140.74222度﻿ / 40.81389; 140.74222;全長: 1.0km;幅: 22.0m","日本の橋一覧","箇条書き","青森市街地と国道7号青森環状道路・青森自動車道を結ぶ最速のルートで、高速バスも利用している。柳町通りを含む青森県道120号荒川青森停車場線の一区間で、青森ベイブリッジ東側口と流通団地方面を結ぶ市内南北の動脈。"
"青森ベイブリッジ","青森ベイブリッジ（青森市）","https://ja.wikipedia.org/wiki/青森ベイブリッジ","北緯40度49分48.9秒東経140度44分10.9秒","国: 日本;所在地: 青森県青森市;交差物件: 青森湾（青森港）;建設: 1985- 1994年;座標: 北緯40度49分48.9秒東経140度44分10.9秒﻿ / ﻿北緯40.830250度 東経140.736361度﻿ / 40.830250; 140.736361;形式: PC斜張橋（主径間部）;全長: 1219.0m;幅: 25.0m;最大支間長: 240m","日本の橋一覧","箇条書き","橋長は1,219mあり青森市最長の橋である。青森県では八戸大橋（1,323.7m）に次いで2番目。それまで青森市で最長であったのは青森西バイパスの青森高架橋（993.8m、2016年現在は青森県3位）であった。"
"津軽りんご大橋","津軽りんご大橋（弘前市、北津軽郡板柳町）","https://ja.wikipedia.org/wiki/津軽りんご大橋","北緯40度42分35秒東経140度26分4.65秒","国: 日本;所在地: 弘前市-板柳町間;交差物件: 岩木川;建設: 2002年;座標: 北緯40度42分35秒東経140度26分4.65秒﻿ / ﻿北緯40.70972度 東経140.4346250度﻿ / 40.70972; 140.4346250;形式: 桁橋;全長: 305.3m","日本の橋一覧","箇条書き",""
"八戸大橋","八戸大橋（八戸市）","https://ja.wikipedia.org/wiki/八戸大橋","北緯40度31分50.1秒東経141度31分22.3秒","国: 日本;所在地: 青森県八戸市;建設: 1976年（昭和51年）開通;座標: 北緯40度31分50.1秒東経141度31分22.3秒﻿ / ﻿北緯40.530583度 東経141.522861度﻿ / 40.530583; 141.522861座標: 北緯40度31分50.1秒東経141度31分22.3秒﻿ / ﻿北緯40.530583度 東経141.522861度﻿ / 40.530583; 141.522861;全長: 1323.7m","日本の橋一覧","箇条書き","かつて、馬淵川と新井田川の合流する河口付近に架かる橋が無かったため、車両は5キロほど上流に位置する大橋を渡るほかなかった。しかし、1963年の新産業都市指定を契機に、沿岸部を南北に結ぶ港湾道路整備計画の一つとして、八戸大橋が計画された。"
