"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"函館公園","1函館公園市立総合公園北海道函館市函館公園","https://ja.wikipedia.org/wiki/函館公園","北緯41度45分24秒東経140度42分58秒","分類: 都市公園（総合公園）[1];所在地: 日本北海道函館市青柳町;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯41度45分24秒東経140度42分58秒﻿ / ﻿北緯41.75667度 東経140.71611度﻿ / 41.75667; 140.71611座標: 北緯41度45分24秒東経140度42分58秒﻿ / ﻿北緯41.75667度 東経140.71611度﻿ / 41.75667; 140.71611;面積: 4.8ヘクタール;開園: 1879年11月3日[2];設計者: 浅田清次郎[3];運営者: 函館市（指定管理者：函館市公園管理コンソーシアム[4]）;設備・遊具: ビジターセンター、動物園、博物館、遊園地、噴水、池、花壇;駐車場: 障がい者用4台;アクセス: 函館市企業局交通部（函館市電）「青柳町停留場」下車 徒歩3分函館バス「函館公園」バス停下車 徒歩1分;告示: 都市計画決定：昭和30年12月20日建設省告示第1506号[5];事務所: 函館公園ビジターセンター;事務所所在地: 北海道函館市青柳町17番地","日本の歴史公園100選","表形式"
"歴史公園","2五稜郭公園市立歴史公園北海道函館市五稜郭","https://ja.wikipedia.org/wiki/歴史公園","","","日本の歴史公園100選","表形式"
"春採公園","3春採公園市立総合公園北海道釧路市春採台地竪穴群・鶴ヶ岱チャランケ砦","https://ja.wikipedia.org/wiki/春採公園","北緯42度58分24秒東経144度24分15秒","分類: 総合公園[1];所在地: 日本北海道釧路市春湖台、千歳町、柏木町、春採[1];座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯42度58分24秒東経144度24分15秒﻿ / ﻿北緯42.97333度 東経144.40417度﻿ / 42.97333; 144.40417座標: 北緯42度58分24秒東経144度24分15秒﻿ / ﻿北緯42.97333度 東経144.40417度﻿ / 42.97333; 144.40417;面積: 68.6ヘクタール（うち湖水面積36.1ヘクタール）[1];開園: 1956年10月15日[1];運営者: 釧路市公園緑化協会（指定管理者）;設備・遊具: 博物館、ネイチャーセンター、野草園、ロックガーデン、散策路、バーベキューコーナー、池、湖、遺跡;バリアフリー: 身障者対応トイレ、障がい者用駐車スペース[2];アクセス: 北海道旅客鉄道（JR北海道）釧路駅から車で約15分くしろバス「市立病院」「春採公園」バス停下車;告示: 都市計画決定：昭和23年7月16日建設省告示第14号[3]","日本の歴史公園100選","表形式"
"明治公園 (根室市)","4明治公園市立総合公園北海道根室市根室牧畜場","https://ja.wikipedia.org/wiki/明治公園_(根室市)","北緯43度20分05秒東経145度35分55秒","分類: 総合公園;所在地: 日本北海道根室市牧の内[1];座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度20分05秒東経145度35分55秒﻿ / ﻿北緯43.33472度 東経145.59861度﻿ / 43.33472; 145.59861座標: 北緯43度20分05秒東経145度35分55秒﻿ / ﻿北緯43.33472度 東経145.59861度﻿ / 43.33472; 145.59861;面積: 11.4ヘクタール[1];前身: 開拓使根室牧畜場;開園: 1979年8月1日（一部供用）1982年12月1日（全面供用）;設備・遊具: 遊具、広場、噴水、サイロ、池、園路;駐車場: 100台;告示: 都市計画決定：昭和48年8月18日北海道告示第2604号[2]","日本の歴史公園100選","表形式"
"青森県総合運動公園","5青森県総合運動公園（遺跡区域）県立広域公園青森県青森市三内丸山遺跡","https://ja.wikipedia.org/wiki/青森県総合運動公園","北緯40度48分22.9秒東経140度42分22.2秒","分類: 都市公園（広域公園）;所在地: 日本青森県青森市安田字近野;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯40度48分22.9秒東経140度42分22.2秒﻿ / ﻿北緯40.806361度 東経140.706167度﻿ / 40.806361; 140.706167座標: 北緯40度48分22.9秒東経140度42分22.2秒﻿ / ﻿北緯40.806361度 東経140.706167度﻿ / 40.806361; 140.706167;面積: 66.0 ha;運営者: 青森県（指定管理者：スポルト青い森グループ[1]）;公式サイト: 青森県のサイト","日本の歴史公園100選","表形式"
"合浦公園","6合浦公園市立総合公園青森県青森市三譽の松ほか奥州街道松並木","https://ja.wikipedia.org/wiki/合浦公園","北緯40度49分47.7秒東経140度46分44.5秒","分類: 都市公園（総合公園）;所在地: 日本青森県青森市合浦2丁目86外.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯40度49分47.7秒東経140度46分44.5秒﻿ / ﻿北緯40.829917度 東経140.779028度﻿ / 40.829917; 140.779028;面積: 17.0ha;開園: 1894年;設計者: 長岡安平;運営者: 青森市（指定管理者：パークメンテ青い森グループ[1]）;設備・遊具: C11 167、動物舎など;バリアフリー: 車椅子対応トイレ;アクセス: バスで「合浦公園前」「岡造道一丁目」「合浦公園口」下車;事務所: パークメンテ青い森グループ;事務所所在地: 青森県青森市合浦2丁目17−50;公式サイト: 指定管理者のサイト","日本の歴史公園100選","表形式"
"鷹揚公園","7鷹揚公園市立総合公園青森県弘前市弘前城","https://ja.wikipedia.org/wiki/鷹揚公園","北緯40度36分28.93秒東経140度27分49.7秒","分類: 都市公園（総合公園）;所在地: 日本青森県弘前市大字下白銀町1;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯40度36分28.93秒東経140度27分49.7秒﻿ / ﻿北緯40.6080361度 東経140.463806度﻿ / 40.6080361; 140.463806座標: 北緯40度36分28.93秒東経140度27分49.7秒﻿ / ﻿北緯40.6080361度 東経140.463806度﻿ / 40.6080361; 140.463806;面積: 約48.9ha;前身: 弘前城;開園: 1895年;運営者: 弘前市;設備・遊具: 弘前城天守（史料館）、弘前市立博物館、弘前市民会館、弘前城植物園、弘前市緑の相談所、西濠ボート;アクセス: JR・弘南鉄道弘前駅から弘南バス約15分;公式サイト: 弘前市のサイト","日本の歴史公園100選","表形式"
"三戸町","8城山公園町立総合公園青森県三戸町三戸城","https://ja.wikipedia.org/wiki/三戸町","北緯40度22分42.2秒東経141度15分31.6秒","国: 日本;地方: 東北地方;都道府県: 青森県;郡: 三戸郡;市町村コード: 02441-4;法人番号: 3000020024414;面積: 151.79km2;総人口: 8,792人 [編集]（推計人口、2021年5月1日）;人口密度: 57.9人/km2;隣接自治体: 三戸郡南部町、田子町、新郷村秋田県鹿角市岩手県二戸市;町の木: キリ;町の花: フクジュソウ;村の鳥: コノハズク;町長: [編集]松尾和彦;所在地: 〒039-0198青森県三戸郡三戸町大字在府小路町43北緯40度22分42.2秒東経141度15分31.6秒;外部リンク: 公式ウェブサイト","日本の歴史公園100選","表形式"
"岩手県","9岩手公園市立総合公園岩手県盛岡市盛岡城","https://ja.wikipedia.org/wiki/岩手県","北緯39度42分12.6秒東経141度9分9.8秒","国: 日本;地方: 東北地方;団体コード: 03000-7;ISO 3166-2:JP: JP-03;面積: 15,275.01km2;総人口: 1,201,172人（推計人口、2021年5月1日）;人口密度: 78.6人/km2;隣接都道府県: 青森県、宮城県、秋田県;県の木: ナンブアカマツ;県の花: キリ;県の鳥: キジ;県の魚県の歌: ナンブサケ岩手県民の歌;知事: 達増拓也;法人番号: 4000020030007;所在地: 〒020-8570岩手県盛岡市内丸10番1号北緯39度42分12.6秒東経141度9分9.8秒座標: 北緯39度42分12.6秒 東経141度9分9.8秒;外部リンク: 公式ウェブサイト;ウィキポータル: 日本の都道府県/岩手県;平均気温(°C): 21.1（8月）;最寒月: −1.1（1月）;降水量(mm): 196.4（9月）;最少月: 36.0（12月）;平均気温(°C): 22.0（8月）;最寒月: −1.3（1月）;降水量(mm): 179.2（9月）;最少月: 49.5（2月）;国: 日本;地方: 東北地方;団体コード: 03000-7;ISO 3166-2:JP: JP-03;面積: 15,275.01km2;総人口: 1,201,172人（推計人口、2021年5月1日）;人口密度: 78.6人/km2;隣接都道府県: 青森県、宮城県、秋田県;県の木: ナンブアカマツ;県の花: キリ;県の鳥: キジ;県の魚県の歌: ナンブサケ岩手県民の歌;知事: 達増拓也;法人番号: 4000020030007;所在地: 〒020-8570岩手県盛岡市内丸10番1号北緯39度42分12.6秒東経141度9分9.8秒座標: 北緯39度42分12.6秒 東経141度9分9.8秒;外部リンク: 公式ウェブサイト;ウィキポータル: 日本の都道府県/岩手県;平均気温(°C): 21.1（8月）;最寒月: −1.1（1月）;降水量(mm): 196.4（9月）;最少月: 36.0（12月）;平均気温(°C): 22.0（8月）;最寒月: −1.3（1月）;降水量(mm): 179.2（9月）;最少月: 49.5（2月）","日本の歴史公園100選","表形式"
"高田松原公園 (存在しないページ)","10高田松原公園市立総合公園岩手県陸前高田市高田松原","https://ja.wikipedia.org/w/index.php?title=高田松原公園&amp;action=edit&amp;redlink=1","","","日本の歴史公園100選","表形式"
