"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"沖縄美ら海水族館","「黒潮の海水槽」沖縄県2002年7,500t","https://ja.wikipedia.org/wiki/沖縄美ら海水族館","北緯26度41分41秒東経127度52分41秒","愛称: 美ら海水族館;前身: 沖縄国際海洋博覧会開催期間「沖縄国際海洋博覧会の海洋生物園」博覧会後「国営沖縄海洋博記念公園水族館」「国営沖縄記念公園水族館」;専門分野: 総合;事業主体: 内閣府沖縄総合事務局・都市再生機構;管理運営: 一般財団法人沖縄美ら島財団;最大水槽容量: 7,500t;水槽総容量: 10,400t;開館: （旧館）1979年8月- 2002年8月31日（新館）2002年11月1日;所在地: 〒905-0206沖縄県国頭郡本部町石川424番地;位置: 北緯26度41分41秒東経127度52分41秒﻿ / ﻿北緯26.69472度 東経127.87806度﻿ / 26.69472; 127.87806座標: 北緯26度41分41秒東経127度52分41秒﻿ / ﻿北緯26.69472度 東経127.87806度﻿ / 26.69472; 127.87806","日本の水族館","表形式","完成当初世界最大だった大水槽「黒潮の海」を泳ぐジンベエザメ、ナンヨウマンタなどが人気で、沖縄県の著名な観光地となっている。2005年（平成17年）にアメリカ合衆国のジョージア水族館が開館されるまでは世界最大の水族館であった。"
"大阪海遊館","「太平洋水槽」大阪府1990年5,400t","https://ja.wikipedia.org/wiki/大阪海遊館","北緯34度39分16.1秒東経135度25分44.0秒","専門分野: 総合;事業主体: 株式会社 海遊館;管理運営: 株式会社 海遊館;最大水槽容量: 5,400t;水槽総容量: 11,000t;開館: 1990年;所在地: 〒552-0022大阪府大阪市港区海岸通1丁目1番10号;位置: 北緯34度39分16.1秒東経135度25分44.0秒﻿ / ﻿北緯34.654472度 東経135.428889度﻿ / 34.654472; 135.428889座標: 北緯34度39分16.1秒東経135度25分44.0秒﻿ / ﻿北緯34.654472度 東経135.428889度﻿ / 34.654472; 135.428889","日本の水族館","表形式","大阪港のウォーターフロント再開発プロジェクト「天保山ハーバービレッジ」の中心的施設として1990年7月20日に開館した。"
"葛西臨海水族園","「大洋の航海者水槽」東京都1989年2,200t","https://ja.wikipedia.org/wiki/葛西臨海水族園","北緯35度38分24.3秒東経139度51分43.8秒","専門分野: 総合;事業主体: 東京都;管理運営: 東京動物園協会2011～2015年度指定管理者;館長: 田畑直樹;最大水槽容量: 2,200t;水槽総容量: 3,160t;開館: 1989年10月10日;所在地: 〒134-0086東京都江戸川区臨海町6-2-3;位置: 北緯35度38分24.3秒東経139度51分43.8秒﻿ / ﻿北緯35.640083度 東経139.862167度﻿ / 35.640083; 139.862167座標: 北緯35度38分24.3秒東経139度51分43.8秒﻿ / ﻿北緯35.640083度 東経139.862167度﻿ / 35.640083; 139.862167;公式サイト: http://www.tokyo-zoo.net/zoo/kasai/","日本の水族館","表形式","東京都江戸川区の葛西臨海公園内に位置し、公園内には葛西臨海鳥類園も併設されている。ドーナツ型の大型水槽を回遊するマグロ類をはじめ、47の水槽に約650種の生物が飼育されている。"
"のとじま臨海公園水族館","「ジンベエザメ館 青の世界」石川県2010年1,600t","https://ja.wikipedia.org/wiki/のとじま臨海公園水族館","北緯37度08分57秒東経136度58分56秒","正式名称: のとじま臨海公園水族館;愛称: のとじま水族館;専門分野: 総合;事業主体: 石川県;管理運営: 石川県県民ふれあい公社（指定管理者）;開館: 1982年7月3日;所在地: 〒926-0216石川県七尾市能登島曲町15部40;位置: 北緯37度08分57秒東経136度58分56秒﻿ / ﻿北緯37.14917度 東経136.98222度﻿ / 37.14917; 136.98222座標: 北緯37度08分57秒東経136度58分56秒﻿ / ﻿北緯37.14917度 東経136.98222度﻿ / 37.14917; 136.98222;アクセス: 本文参照;公式サイト: https://www.notoaqua.jp/","日本の水族館","表形式","石川県唯一の水族館であり、のとじま臨海公園の中核施設である。500種、約40,000匹の能登半島近海の魚介類を中心に展示している。"
"アクアマリンふくしま","「潮目の海水槽」福島県2000年1,500t(2,050t)","https://ja.wikipedia.org/wiki/アクアマリンふくしま","北緯36度56分33.9秒東経140度54分05.4秒","正式名称: ふくしま海洋科学館;愛称: アクアマリンふくしま（aquamarine Fukushima）;専門分野: 総合;事業主体: 福島県;管理運営: 公益財団法人ふくしま海洋科学館（指定管理者）;最大水槽容量: 2,050t(潮目の大水槽 黒潮1,500t 親潮550t);水槽総容量: 3,990t;開館: 2000年（平成12年）7月15日;所在地: 〒971-8101福島県いわき市小名浜字辰巳町50;位置: 北緯36度56分33.9秒東経140度54分05.4秒﻿ / ﻿北緯36.942750度 東経140.901500度﻿ / 36.942750; 140.901500;公式サイト: アクアマリンふくしま 公式サイト","日本の水族館","表形式","施設は福島県が所有し、県の外郭団体である公益財団法人ふくしま海洋科学館が指定管理者として運営管理を行う。東北最大級の水族館である。"
"横浜八景島シーパラダイス","「魚類大水槽」神奈川県1993年1,500t","https://ja.wikipedia.org/wiki/横浜八景島シーパラダイス","北緯35度20分9.8秒東経139度38分40.5秒","愛称: シーパラ、八景島;キャッチコピー: 恋する遊び島;事業主体: 株式会社 横浜八景島;管理運営: 株式会社 横浜八景島;面積: 76,385.68m²;来園者数: 4,500,000人;開園: 1993年5月8日;所在地: 〒236-0006神奈川県横浜市金沢区八景島;位置: 北緯35度20分9.8秒東経139度38分40.5秒﻿ / ﻿北緯35.336056度 東経139.644583度﻿ / 35.336056; 139.644583座標: 北緯35度20分9.8秒東経139度38分40.5秒﻿ / ﻿北緯35.336056度 東経139.644583度﻿ / 35.336056; 139.644583;公式サイト: http://www.seaparadise.co.jp/;用途: 遊園地・水族館;設計者: デザインシステム（清家清）;施工: 清水建設、新日本製鐵、東亜建設工業、西武建設、大成建設など;構造形式: 鉄筋コンクリート構造鉄骨構造;敷地面積: 69,461m2 m²;建築面積: 11,172m2 m²;延床面積: 21,835m2 m²;階数: 地上5階（最高）;着工: 1991年8月;竣工: 1993年4月;開館開所: 1993年5月8日;種類: 株式会社;本社所在地:  日本〒236-0006神奈川県横浜市金沢区八景島;設立: 1990年2月1日;業種: サービス業;事業内容: 「横浜・八景島シーパラダイス」、「アクアパーク品川」、「仙台うみの杜水族館」、「羽村市動物公園」、「上越市立水族博物館」、「板橋区立熱帯環境植物館」、「XPark」の経営など;代表者: 布留川信行（代表取締役社長）;資本金: 8億2000万円;売上高: 50億6800万円（2021年03月31日時点）;営業利益: ▲23億0400万円（2021年03月31日時点）;経常利益: ▲23億5500万円（2021年03月31日時点）;純利益: ▲33億4500万円（2021年03月31日時点）;純資産: 31億4900万円（2021年03月31日時点）;総資産: 190億0400万円（2021年03月31日時点）;従業員数: 正社員200名、アルバイト他500名（2016年3月1日現在）;決算期: 3月末日;主要株主: プリンスホテル、京浜急行電鉄、清水建設、東亜建設工業、横浜銀行、みずほ信託銀行、みずほ銀行;外部リンク: http://www.seaparadise.co.jp/company/;正式名称: 横浜・八景島シーパラダイス第1水族館「アクアスタジアム」第2水族館「ドルフィンファンタジー」第3水族館「ふれあいラグーン」第4水族館「うみファーム」;事業主体: 民間（西武不動産→プリンスホテルズ&リゾーツ系）;管理運営: 株式会社横浜八景島;開館: 1993年5月2004年2007年2013年;所在地: 〒236-0006神奈川県横浜市金沢区八景島;愛称: シーパラ、八景島;キャッチコピー: 恋する遊び島;事業主体: 株式会社 横浜八景島;管理運営: 株式会社 横浜八景島;面積: 76,385.68m²;来園者数: 4,500,000人;開園: 1993年5月8日;所在地: 〒236-0006神奈川県横浜市金沢区八景島;位置: 北緯35度20分9.8秒東経139度38分40.5秒﻿ / ﻿北緯35.336056度 東経139.644583度﻿ / 35.336056; 139.644583座標: 北緯35度20分9.8秒東経139度38分40.5秒﻿ / ﻿北緯35.336056度 東経139.644583度﻿ / 35.336056; 139.644583;公式サイト: http://www.seaparadise.co.jp/;用途: 遊園地・水族館;設計者: デザインシステム（清家清）;施工: 清水建設、新日本製鐵、東亜建設工業、西武建設、大成建設など;構造形式: 鉄筋コンクリート構造鉄骨構造;敷地面積: 69,461m2 m²;建築面積: 11,172m2 m²;延床面積: 21,835m2 m²;階数: 地上5階（最高）;着工: 1991年8月;竣工: 1993年4月;開館開所: 1993年5月8日;種類: 株式会社;本社所在地:  日本〒236-0006神奈川県横浜市金沢区八景島;設立: 1990年2月1日;業種: サービス業;事業内容: 「横浜・八景島シーパラダイス」、「アクアパーク品川」、「仙台うみの杜水族館」、「羽村市動物公園」、「上越市立水族博物館」、「板橋区立熱帯環境植物館」、「XPark」の経営など;代表者: 布留川信行（代表取締役社長）;資本金: 8億2000万円;売上高: 50億6800万円（2021年03月31日時点）;営業利益: ▲23億0400万円（2021年03月31日時点）;経常利益: ▲23億5500万円（2021年03月31日時点）;純利益: ▲33億4500万円（2021年03月31日時点）;純資産: 31億4900万円（2021年03月31日時点）;総資産: 190億0400万円（2021年03月31日時点）;従業員数: 正社員200名、アルバイト他500名（2016年3月1日現在）;決算期: 3月末日;主要株主: プリンスホテル、京浜急行電鉄、清水建設、東亜建設工業、横浜銀行、みずほ信託銀行、みずほ銀行;外部リンク: http://www.seaparadise.co.jp/company/;正式名称: 横浜・八景島シーパラダイス第1水族館「アクアスタジアム」第2水族館「ドルフィンファンタジー」第3水族館「ふれあいラグーン」第4水族館「うみファーム」;事業主体: 民間（西武不動産→プリンスホテルズ&リゾーツ系）;管理運営: 株式会社横浜八景島;開館: 1993年5月2004年2007年2013年;所在地: 〒236-0006神奈川県横浜市金沢区八景島;愛称: シーパラ、八景島;キャッチコピー: 恋する遊び島;事業主体: 株式会社 横浜八景島;管理運営: 株式会社 横浜八景島;面積: 76,385.68m²;来園者数: 4,500,000人;開園: 1993年5月8日;所在地: 〒236-0006神奈川県横浜市金沢区八景島;位置: 北緯35度20分9.8秒東経139度38分40.5秒﻿ / ﻿北緯35.336056度 東経139.644583度﻿ / 35.336056; 139.644583座標: 北緯35度20分9.8秒東経139度38分40.5秒﻿ / ﻿北緯35.336056度 東経139.644583度﻿ / 35.336056; 139.644583;公式サイト: http://www.seaparadise.co.jp/;用途: 遊園地・水族館;設計者: デザインシステム（清家清）;施工: 清水建設、新日本製鐵、東亜建設工業、西武建設、大成建設など;構造形式: 鉄筋コンクリート構造鉄骨構造;敷地面積: 69,461m2 m²;建築面積: 11,172m2 m²;延床面積: 21,835m2 m²;階数: 地上5階（最高）;着工: 1991年8月;竣工: 1993年4月;開館開所: 1993年5月8日;種類: 株式会社;本社所在地:  日本〒236-0006神奈川県横浜市金沢区八景島;設立: 1990年2月1日;業種: サービス業;事業内容: 「横浜・八景島シーパラダイス」、「アクアパーク品川」、「仙台うみの杜水族館」、「羽村市動物公園」、「上越市立水族博物館」、「板橋区立熱帯環境植物館」、「XPark」の経営など;代表者: 布留川信行（代表取締役社長）;資本金: 8億2000万円;売上高: 50億6800万円（2021年03月31日時点）;営業利益: ▲23億0400万円（2021年03月31日時点）;経常利益: ▲23億5500万円（2021年03月31日時点）;純利益: ▲33億4500万円（2021年03月31日時点）;純資産: 31億4900万円（2021年03月31日時点）;総資産: 190億0400万円（2021年03月31日時点）;従業員数: 正社員200名、アルバイト他500名（2016年3月1日現在）;決算期: 3月末日;主要株主: プリンスホテル、京浜急行電鉄、清水建設、東亜建設工業、横浜銀行、みずほ信託銀行、みずほ銀行;外部リンク: http://www.seaparadise.co.jp/company/;正式名称: 横浜・八景島シーパラダイス第1水族館「アクアスタジアム」第2水族館「ドルフィンファンタジー」第3水族館「ふれあいラグーン」第4水族館「うみファーム」;事業主体: 民間（西武不動産→プリンスホテルズ&リゾーツ系）;管理運営: 株式会社横浜八景島;開館: 1993年5月2004年2007年2013年;所在地: 〒236-0006神奈川県横浜市金沢区八景島;愛称: シーパラ、八景島;キャッチコピー: 恋する遊び島;事業主体: 株式会社 横浜八景島;管理運営: 株式会社 横浜八景島;面積: 76,385.68m²;来園者数: 4,500,000人;開園: 1993年5月8日;所在地: 〒236-0006神奈川県横浜市金沢区八景島;位置: 北緯35度20分9.8秒東経139度38分40.5秒﻿ / ﻿北緯35.336056度 東経139.644583度﻿ / 35.336056; 139.644583座標: 北緯35度20分9.8秒東経139度38分40.5秒﻿ / ﻿北緯35.336056度 東経139.644583度﻿ / 35.336056; 139.644583;公式サイト: http://www.seaparadise.co.jp/;用途: 遊園地・水族館;設計者: デザインシステム（清家清）;施工: 清水建設、新日本製鐵、東亜建設工業、西武建設、大成建設など;構造形式: 鉄筋コンクリート構造鉄骨構造;敷地面積: 69,461m2 m²;建築面積: 11,172m2 m²;延床面積: 21,835m2 m²;階数: 地上5階（最高）;着工: 1991年8月;竣工: 1993年4月;開館開所: 1993年5月8日;種類: 株式会社;本社所在地:  日本〒236-0006神奈川県横浜市金沢区八景島;設立: 1990年2月1日;業種: サービス業;事業内容: 「横浜・八景島シーパラダイス」、「アクアパーク品川」、「仙台うみの杜水族館」、「羽村市動物公園」、「上越市立水族博物館」、「板橋区立熱帯環境植物館」、「XPark」の経営など;代表者: 布留川信行（代表取締役社長）;資本金: 8億2000万円;売上高: 50億6800万円（2021年03月31日時点）;営業利益: ▲23億0400万円（2021年03月31日時点）;経常利益: ▲23億5500万円（2021年03月31日時点）;純利益: ▲33億4500万円（2021年03月31日時点）;純資産: 31億4900万円（2021年03月31日時点）;総資産: 190億0400万円（2021年03月31日時点）;従業員数: 正社員200名、アルバイト他500名（2016年3月1日現在）;決算期: 3月末日;主要株主: プリンスホテル、京浜急行電鉄、清水建設、東亜建設工業、横浜銀行、みずほ信託銀行、みずほ銀行;外部リンク: http://www.seaparadise.co.jp/company/;正式名称: 横浜・八景島シーパラダイス第1水族館「アクアスタジアム」第2水族館「ドルフィンファンタジー」第3水族館「ふれあいラグーン」第4水族館「うみファーム」;事業主体: 民間（西武不動産→プリンスホテルズ&リゾーツ系）;管理運営: 株式会社横浜八景島;開館: 1993年5月2004年2007年2013年;所在地: 〒236-0006神奈川県横浜市金沢区八景島","日本の水族館","表形式","1988年3月、西武不動産やプリンスホテルなど西武鉄道グループを中心とする九社により事業開始。横浜市が人工島である八景島を造成し、一部を株式会社横浜八景島に貸し付けて、1993年5月8日より営業を開始する。"
"いおワールドかごしま水族館","「黒潮大水槽」鹿児島県1997年1,500t","https://ja.wikipedia.org/wiki/いおワールドかごしま水族館","北緯31度35分45.5秒東経130度33分52秒","正式名称: かごしま水族館;専門分野: 総合;事業主体: 鹿児島市;管理運営: 財団法人鹿児島市水族館公社（指定管理者）;開館: 1997年5月30日;所在地: 〒892-0814鹿児島県鹿児島市本港新町3番地1;位置: 北緯31度35分45.5秒東経130度33分52秒﻿ / ﻿北緯31.595972度 東経130.56444度﻿ / 31.595972; 130.56444座標: 北緯31度35分45.5秒東経130度33分52秒﻿ / ﻿北緯31.595972度 東経130.56444度﻿ / 31.595972; 130.56444","日本の水族館","表形式","1997年5月30日に開館した。黒潮に洗われる鹿児島沿岸・鹿児島湾の海生生物をメインに展示しているが、汽水域や河川の生物も多く取り扱う。名物はジンベエザメ（ユウユウ）とサツマハオリムシ。館名の「いお」とは鹿児島弁で魚のことである。総事業費は約127億円。外観はエイをイメージしたものである。"
"マリンワールド海の中道","「パノラマ大水槽」福岡県1995年1,400t","https://ja.wikipedia.org/wiki/マリンワールド海の中道","北緯33度39分39秒東経130度21分48秒","正式名称: 海の中道海洋生態科学館;愛称: マリンワールド海の中道;専門分野: 総合;事業主体: 国土交通省;管理運営: マリンワールドPFI（代表：株式会社海の中道海洋生態科学館）;館長: 中村　雅之;面積: 48,000m2（敷地）;最大水槽容量: 1,400t(ショープールは2,000t);水槽総容量: 5,400t;主な飼育動物: イルカ、アシカ、ラッコ、スナメリ、サメ(シロワニ、メジロザメ)、ウミガメ、チンアナゴ、イワシ;開館: 1989年4月18日;所在地: 〒811-0321福岡県福岡市東区西戸崎18-28;アクセス: JR九州香椎線海ノ中道駅から徒歩約7分;公式サイト: マリンワールド海の中道;種類: 株式会社;市場情報: 非上場;本社所在地: 日本〒811-0321福岡市東区大字西戸崎18番28号;法人番号: 4290001002681;代表者: 代表取締役社長 東 圭司;資本金: 1億5000万円;純利益: 164万3000円（2020年03月31日時点）;総資産: 14億5806万9000円（2020年03月31日時点）;決算期: 3月末日;正式名称: 海の中道海洋生態科学館;愛称: マリンワールド海の中道;専門分野: 総合;事業主体: 国土交通省;管理運営: マリンワールドPFI（代表：株式会社海の中道海洋生態科学館）;館長: 中村　雅之;面積: 48,000m2（敷地）;最大水槽容量: 1,400t(ショープールは2,000t);水槽総容量: 5,400t;主な飼育動物: イルカ、アシカ、ラッコ、スナメリ、サメ(シロワニ、メジロザメ)、ウミガメ、チンアナゴ、イワシ;開館: 1989年4月18日;所在地: 〒811-0321福岡県福岡市東区西戸崎18-28;アクセス: JR九州香椎線海ノ中道駅から徒歩約7分;公式サイト: マリンワールド海の中道;種類: 株式会社;市場情報: 非上場;本社所在地: 日本〒811-0321福岡市東区大字西戸崎18番28号;法人番号: 4290001002681;代表者: 代表取締役社長 東 圭司;資本金: 1億5000万円;純利益: 164万3000円（2020年03月31日時点）;総資産: 14億5806万9000円（2020年03月31日時点）;決算期: 3月末日","日本の水族館","表形式","1989年4月に開館し、1995年4月に改装・増築された。「対馬暖流」をテーマに熱帯から温帯、寒帯の魚350種類20,000点を暮らしぶりそのままに見ることができる。館内には、魚類の他にイルカ、ゴマフアザラシ、ラッコ、ウミガメなどが展示されている。イルカ・アシカショーや巨大なシロワニが泳ぐパノラマ大水槽が目玉である。2000年より夏休み期間を中心に夜間営業を行っている。1994年に博多湾に漂着したメガマウス(メス)のホルマリン標本が展示されている。"
"名古屋港水族館","愛知県41,529m2分棟型","https://ja.wikipedia.org/wiki/名古屋港水族館","北緯35度5分26.48秒東経136度52分41.67秒","正式名称: 名古屋港水族館;専門分野: 総合;事業主体: 名古屋港管理組合;管理運営: 公益財団法人名古屋みなと振興財団（指定管理者）;館長: 栗田正徳;面積: 41,529 m2;種数: 約500種;水槽総容量: 約24,600 t;開館: 1992年10月;所在地: 〒455-0033愛知県名古屋市港区港町1-3;位置: 北緯35度5分26.48秒東経136度52分41.67秒﻿ / ﻿北緯35.0906889度 東経136.8782417度﻿ / 35.0906889; 136.8782417座標: 北緯35度5分26.48秒東経136度52分41.67秒﻿ / ﻿北緯35.0906889度 東経136.8782417度﻿ / 35.0906889; 136.8782417;アクセス: 名古屋市営地下鉄名港線名古屋港駅から徒歩約10分;公式サイト: 名古屋港水族館","日本の水族館","表形式","館内ではイルカをはじめ、シロイルカ（ベルーガ）、ペンギン、ウミガメなどが飼育・繁殖・研究されている。屋外には世界最大級の野外水槽(13,400t)を保持しており、非常にダイナミックなイルカやシャチのショーを間近で見ることができる。またイベントが豊富であり、ゴマフアザラシ、シャチのトレーニングやマイワシのトルネード等イベントが定期的に開催されている。"
"海遊館","大阪府31,044m2単棟型","https://ja.wikipedia.org/wiki/海遊館","北緯34度39分16.1秒東経135度25分44.0秒","専門分野: 総合;事業主体: 株式会社 海遊館;管理運営: 株式会社 海遊館;最大水槽容量: 5,400t;水槽総容量: 11,000t;開館: 1990年;所在地: 〒552-0022大阪府大阪市港区海岸通1丁目1番10号;位置: 北緯34度39分16.1秒東経135度25分44.0秒﻿ / ﻿北緯34.654472度 東経135.428889度﻿ / 34.654472; 135.428889座標: 北緯34度39分16.1秒東経135度25分44.0秒﻿ / ﻿北緯34.654472度 東経135.428889度﻿ / 34.654472; 135.428889","日本の水族館","表形式","大阪港のウォーターフロント再開発プロジェクト「天保山ハーバービレッジ」の中心的施設として1990年7月20日に開館した。"
