"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"島武意海岸","島武意海岸北海道積丹郡積丹町 ","https://ja.wikipedia.org/wiki/島武意海岸","","","日本の渚百選","表形式"
"江ノ島海岸 (存在しないページ)","江ノ島海岸島牧郡島牧村 ","https://ja.wikipedia.org/w/index.php?title=江ノ島海岸&amp;action=edit&amp;redlink=1","","","日本の渚百選","表形式"
"百人浜 (存在しないページ)","百人浜・襟裳岬幌泉郡えりも町 ","https://ja.wikipedia.org/w/index.php?title=百人浜&amp;action=edit&amp;redlink=1","","","日本の渚百選","表形式"
"トド原","トド原野付郡別海町 ","https://ja.wikipedia.org/wiki/トド原","","","日本の渚百選","表形式"
"イタンキ浜","イタンキ浜室蘭市 ","https://ja.wikipedia.org/wiki/イタンキ浜","","","日本の渚百選","表形式"
"都道府県","都道府県自治体","https://ja.wikipedia.org/wiki/都道府県","","","日本の渚百選","表形式"
"岡崎海岸 (青森県) (存在しないページ)","岡崎海岸青森県西津軽郡深浦町 ","https://ja.wikipedia.org/w/index.php?title=岡崎海岸_(青森県)&amp;action=edit&amp;redlink=1","","","日本の渚百選","表形式"
"椿山海岸 (存在しないページ)","椿山海岸東津軽郡平内町 ","https://ja.wikipedia.org/w/index.php?title=椿山海岸&amp;action=edit&amp;redlink=1","","","日本の渚百選","表形式"
"大須賀海岸","大須賀海岸八戸市 ","https://ja.wikipedia.org/wiki/大須賀海岸","","","日本の渚百選","表形式"
"高田松原","高田松原岩手県陸前高田市 ","https://ja.wikipedia.org/wiki/高田松原","","","日本の渚百選","表形式"
"浄土ヶ浜","浄土ヶ浜宮古市 ","https://ja.wikipedia.org/wiki/浄土ヶ浜","","","日本の渚百選","表形式"
"碁石海岸","碁石海岸大船渡市 ","https://ja.wikipedia.org/wiki/碁石海岸","","","日本の渚百選","表形式"
"奥松島","奥松島宮城県東松島市 ","https://ja.wikipedia.org/wiki/奥松島","","","日本の渚百選","表形式"
"大島 (宮城県気仙沼市)","十八鳴浜気仙沼市 ","https://ja.wikipedia.org/wiki/大島_(宮城県気仙沼市)","北緯38度51分42秒東経141度37分44秒","所在地: 日本（宮城県）;所在海域: 太平洋;座標: 北緯38度51分42秒東経141度37分44秒座標: 北緯38度51分42秒 東経141度37分44秒;面積: 8.50[1]km²;海岸線長: 22 km;最高標高: 235 m","日本の渚百選","表形式"
"象潟海岸 (存在しないページ)","象潟海岸秋田県にかほ市 ","https://ja.wikipedia.org/w/index.php?title=象潟海岸&amp;action=edit&amp;redlink=1","","","日本の渚百選","表形式"
"鵜ノ崎海岸 (存在しないページ)","鵜ノ崎海岸男鹿市 ","https://ja.wikipedia.org/w/index.php?title=鵜ノ崎海岸&amp;action=edit&amp;redlink=1","","","日本の渚百選","表形式"
"荒崎","荒崎山形県酒田市 ","https://ja.wikipedia.org/wiki/荒崎","","","日本の渚百選","表形式"
"由良海岸 (山形県) (存在しないページ)","由良海岸鶴岡市 ","https://ja.wikipedia.org/w/index.php?title=由良海岸_(山形県)&amp;action=edit&amp;redlink=1","","","日本の渚百選","表形式"
"薄磯海水浴場","薄磯海岸福島県いわき市 ","https://ja.wikipedia.org/wiki/薄磯海水浴場","","","日本の渚百選","表形式"
"大洲海岸","大洲海岸相馬市 ","https://ja.wikipedia.org/wiki/大洲海岸","","","日本の渚百選","表形式"
"都道府県","都道府県自治体","https://ja.wikipedia.org/wiki/都道府県","","","日本の渚百選","表形式"
"大洗海岸","大洗海岸茨城県東茨城郡大洗町 ","https://ja.wikipedia.org/wiki/大洗海岸","","","日本の渚百選","表形式"
"五浦海岸","五浦海岸北茨城市 ","https://ja.wikipedia.org/wiki/五浦海岸","","","日本の渚百選","表形式"
"高戸海岸","高戸海岸高萩市 ","https://ja.wikipedia.org/wiki/高戸海岸","","","日本の渚百選","表形式"
"九十九里浜","九十九里浜千葉県旭市、匝瑳市、山武市、山武郡横芝光町、九十九里町、大網白里市、長生郡白子町、長生村、一宮町 ","https://ja.wikipedia.org/wiki/九十九里浜","北緯35度35分56秒東経140度30分51秒","所在地: 日本千葉県旭市、匝瑳市、山武市、大網白里市、いすみ市、横芝光町、九十九里町、白子町、一宮町、長生村;座標: 北緯35度35分56秒東経140度30分51秒（蓮沼海浜公園）;アクセス: 九十九里有料道路など;全長: 約66 km;巡回者: 九十九里ライフセービングクラブ;利用: 参考:九十九里町海水浴場マナー","日本の渚百選","表形式"
"鵜原海岸 (存在しないページ)","鵜原・守谷海岸勝浦市 ","https://ja.wikipedia.org/w/index.php?title=鵜原海岸&amp;action=edit&amp;redlink=1","","","日本の渚百選","表形式"
