"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"礼文島温泉","","https://ja.wikipedia.org/wiki/礼文島温泉","北緯45度18分0.5秒東経141度2分51.1秒","所在地: 北海道礼文郡礼文町大字香深村礼文島温泉北海道地図;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯45度18分0.5秒東経141度2分51.1秒﻿ / ﻿北緯45.300139度 東経141.047528度﻿ / 45.300139; 141.047528座標: 北緯45度18分0.5秒東経141度2分51.1秒﻿ / ﻿北緯45.300139度 東経141.047528度﻿ / 45.300139; 141.047528;交通: 礼文町香深港から徒歩5分ほど;泉質: ナトリウム－塩化物・硫酸塩泉;泉温（摂氏）: 50.2 °C;湧出量: 毎分200ℓ （動力揚湯）;pH: 8.6;液性の分類: アルカリ性;浸透圧の分類: 低張性;特記事項: 温泉分析書[1]","日本の温泉地一覧","参照"
"利尻ふれあい温泉","","https://ja.wikipedia.org/wiki/利尻ふれあい温泉","北緯45度11分5.4秒東経141度8分0.9秒","所在地: 北海道利尻郡利尻町沓形字富士見町利尻ふれあい温泉北海道地図;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯45度11分5.4秒東経141度8分0.9秒﻿ / ﻿北緯45.184833度 東経141.133583度﻿ / 45.184833; 141.133583座標: 北緯45度11分5.4秒東経141度8分0.9秒﻿ / ﻿北緯45.184833度 東経141.133583度﻿ / 45.184833; 141.133583;交通: 沓形フェリーターミナルから徒歩5分;泉質: 含二酸化炭素 - ナトリウム・マグネシウム - 塩化物・炭酸水素塩泉;泉温（摂氏）: 33.8 °C;湧出量: 毎分600Ｌ（掘削自噴）;pH: 6.75;液性の分類: 中性;浸透圧の分類: 高張性;宿泊施設数: 1;外部リンク: ホテル利尻","日本の温泉地一覧","参照"
"利尻富士温泉","","https://ja.wikipedia.org/wiki/利尻富士温泉","北緯45度14分24.1秒東経141度12分58.5秒","所在地: 北海道利尻郡利尻富士町鴛泊字栄町利尻富士温泉北海道地図;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯45度14分24.1秒東経141度12分58.5秒﻿ / ﻿北緯45.240028度 東経141.216250度﻿ / 45.240028; 141.216250座標: 北緯45度14分24.1秒東経141度12分58.5秒﻿ / ﻿北緯45.240028度 東経141.216250度﻿ / 45.240028; 141.216250;交通: ハートランドフェリー鴛泊港フェリーターミナルより車で約3分;泉質: ナトリウム塩化物・炭酸水塩泉;泉温（摂氏）: 40.0 °C;湧出量: 190L/min;pH: 7.5;液性の分類: 弱アルカリ性;浸透圧の分類: 低張性;外部リンク: 利尻富士温泉","日本の温泉地一覧","参照"
"稚内温泉","","https://ja.wikipedia.org/wiki/稚内温泉","北緯45度25分17.1秒東経141度38分16.4秒","所在地: 北海道稚内市富士見4丁目1487稚内温泉北海道地図;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯45度25分17.1秒東経141度38分16.4秒﻿ / ﻿北緯45.421417度 東経141.637889度﻿ / 45.421417; 141.637889座標: 北緯45度25分17.1秒東経141度38分16.4秒﻿ / ﻿北緯45.421417度 東経141.637889度﻿ / 45.421417; 141.637889;交通: JR北海道宗谷本線稚内駅よりバスでおよそ15分;泉質: ナトリウム - 塩化物・炭酸水素塩泉（含重曹強食塩泉）;泉温（摂氏）: 34.4 °C;湧出量: 51L（自噴）;pH: 7.6;液性の分類: 弱アルカリ性;宿泊施設数: 2;外部リンク: 稚内温泉童夢","日本の温泉地一覧","参照"
"豊富温泉","","https://ja.wikipedia.org/wiki/豊富温泉","北緯45度4分25秒東経141度50分23秒","所在地: 北海道天塩郡豊富町字温泉豊富温泉 (北海道);座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯45度4分25秒東経141度50分23秒﻿ / ﻿北緯45.07361度 東経141.83972度﻿ / 45.07361; 141.83972座標: 北緯45度4分25秒東経141度50分23秒﻿ / ﻿北緯45.07361度 東経141.83972度﻿ / 45.07361; 141.83972;交通: 鉄道：JR北海道宗谷本線豊富駅詳細は#アクセス参照;泉質: ナトリウム塩化物泉;泉温（摂氏）: 41 - 42 °C;宿泊施設数: 6件;外部リンク: 豊富町観光協会","日本の温泉地一覧","参照"
"さるふつ温泉","","https://ja.wikipedia.org/wiki/さるふつ温泉","北緯45度19分45.6秒東経142度10分34.7秒","所在地: 北海道宗谷郡猿払村浜鬼志別214さるふつ温泉北海道地図;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯45度19分45.6秒東経142度10分34.7秒﻿ / ﻿北緯45.329333度 東経142.176306度﻿ / 45.329333; 142.176306座標: 北緯45度19分45.6秒東経142度10分34.7秒﻿ / ﻿北緯45.329333度 東経142.176306度﻿ / 45.329333; 142.176306;交通: JR北海道宗谷本線音威子府駅よりバスで約2時間30分または、宗谷本線南稚内駅よりバスで約1時間40分;泉質: ナトリウム - 塩化物泉;泉温（摂氏）: 31.9 °C;pH: 9.9;液性の分類: アルカリ性;宿泊施設数: 1;外部リンク: さるふつ憩いの湯;特記事項: 源泉枯渇により廃湯","日本の温泉地一覧","参照"
"浜頓別温泉","","https://ja.wikipedia.org/wiki/浜頓別温泉","北緯45度7分30.7秒東経142度20分53.5秒","所在地: 北海道枝幸郡浜頓別町クッチャロ湖畔浜頓別温泉北海道地図;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯45度7分30.7秒東経142度20分53.5秒﻿ / ﻿北緯45.125194度 東経142.348194度﻿ / 45.125194; 142.348194座標: 北緯45度7分30.7秒東経142度20分53.5秒﻿ / ﻿北緯45.125194度 東経142.348194度﻿ / 45.125194; 142.348194;交通: JR北海道宗谷本線音威子府駅下車バス約1時間30分または宗谷本線南稚内駅下車バス約2時間10分;泉質: ナトリウム・塩化物・炭酸水素塩泉;泉温（摂氏）: 45.8 °C;湧出量: 130L（動力揚湯）;pH: 8.1;液性の分類: 弱アルカリ性;宿泊施設数: 1;外部リンク: はまとんべつ温泉ウイング","日本の温泉地一覧","参照"
"枝幸温泉","","https://ja.wikipedia.org/wiki/枝幸温泉","北緯44度56分5.1秒東経142度33分59.2秒","所在地: 北海道枝幸郡枝幸町北幸町枝幸温泉北海道地図;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯44度56分5.1秒東経142度33分59.2秒﻿ / ﻿北緯44.934750度 東経142.566444度﻿ / 44.934750; 142.566444座標: 北緯44度56分5.1秒東経142度33分59.2秒﻿ / ﻿北緯44.934750度 東経142.566444度﻿ / 44.934750; 142.566444;交通: JR北海道宗谷本線音威子府駅よりバスで約1時間;泉質: カルシウム・ナトリウム - 硫酸塩泉;泉温（摂氏）: 47.3 °C;液性の分類: アルカリ性;宿泊施設数: 1;総収容人員数: 92 人/日;外部リンク: 枝幸温泉 ホテルニュー幸林","日本の温泉地一覧","参照"
"歌登温泉","","https://ja.wikipedia.org/wiki/歌登温泉","北緯44度47分2.4秒東経142度30分56.8秒","所在地: 北海道枝幸郡枝幸町歌登辺毛内歌登温泉北海道地図;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯44度47分2.4秒東経142度30分56.8秒﻿ / ﻿北緯44.784000度 東経142.515778度﻿ / 44.784000; 142.515778座標: 北緯44度47分2.4秒東経142度30分56.8秒﻿ / ﻿北緯44.784000度 東経142.515778度﻿ / 44.784000; 142.515778;交通: JR北海道宗谷本線音威子府駅より車で約50分;泉質: 含炭酸・土類－重曹泉;泉温（摂氏）: 12.2 °C;湧出量: 100L/min（自然湧出）;pH: 5.9;液性の分類: 弱酸性;浸透圧の分類: 低張性;宿泊施設数: １","日本の温泉地一覧","参照"
"ピンネシリ温泉","","https://ja.wikipedia.org/wiki/ピンネシリ温泉","北緯44度52分35.3秒東経142度12分42.4秒","所在地: 北海道枝幸郡中頓別町敏音知148ピンネシリ温泉北海道地図;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯44度52分35.3秒東経142度12分42.4秒﻿ / ﻿北緯44.876472度 東経142.211778度﻿ / 44.876472; 142.211778座標: 北緯44度52分35.3秒東経142度12分42.4秒﻿ / ﻿北緯44.876472度 東経142.211778度﻿ / 44.876472; 142.211778;交通: JR北海道宗谷本線音威子府駅よりバスで約50分;泉質: ナトリウム・マグネシウム－炭酸水素塩・塩化物泉;泉温（摂氏）: 4.8 °C;pH: 7.0;液性の分類: 中性;浸透圧の分類: 低張性;宿泊施設数: 1;総収容人員数: 30 人/日","日本の温泉地一覧","参照"
"節を編集: 留萌地方","","https://ja.wikipedia.org/w/index.php?title=日本の温泉地一覧&amp;action=edit&amp;section=4","","","日本の温泉地一覧","参照"
"天塩温泉","","https://ja.wikipedia.org/wiki/天塩温泉","北緯44度52分35.6秒東経141度44分38.9秒","所在地: 北海道天塩郡天塩町字サラキシ5807天塩温泉北海道地図;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯44度52分35.6秒東経141度44分38.9秒﻿ / ﻿北緯44.876556度 東経141.744139度﻿ / 44.876556; 141.744139座標: 北緯44度52分35.6秒東経141度44分38.9秒﻿ / ﻿北緯44.876556度 東経141.744139度﻿ / 44.876556; 141.744139;交通: JR北海道宗谷本線幌延駅下車後バスで約20分;泉質: ナトリウム-塩化物強塩泉;泉温（摂氏）: 38.9 °C;宿泊施設数: 1;外部リンク: てしお温泉 夕映","日本の温泉地一覧","参照"
"旭温泉 (北海道)","","https://ja.wikipedia.org/wiki/旭温泉_(北海道)","北緯44度39分35.4秒東経141度51分35.8秒","所在地: 北海道天塩郡遠別町字旭294旭温泉北海道地図;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯44度39分35.4秒東経141度51分35.8秒﻿ / ﻿北緯44.659833度 東経141.859944度﻿ / 44.659833; 141.859944座標: 北緯44度39分35.4秒東経141度51分35.8秒﻿ / ﻿北緯44.659833度 東経141.859944度﻿ / 44.659833; 141.859944;交通: JR北海道宗谷本線幌延駅よりバスで約1時間10分;泉質: 塩化物泉;泉温（摂氏）: 29.4 °C;宿泊施設数: 1","日本の温泉地一覧","参照"
"羽幌温泉","","https://ja.wikipedia.org/wiki/羽幌温泉","北緯44度22分02秒東経141度42分23秒","所在地: 〒078-4113北海道苫前郡羽幌町北3条1丁目29;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯44度22分02秒東経141度42分23秒﻿ / ﻿北緯44.36733度 東経141.70644度﻿ / 44.36733; 141.70644座標: 北緯44度22分02秒東経141度42分23秒﻿ / ﻿北緯44.36733度 東経141.70644度﻿ / 44.36733; 141.70644;登録路線: 国道232号;登録回: 第14回 （01050）;登録日: 1998年4月17日;開駅日: 1998年4月17日;営業時間: 7:00 - 22:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト;所在地: 北海道苫前郡羽幌町;交通: JR北海道宗谷本線峰延駅下車後、バスで約1時間30分または留萌本線留萌駅下車後、バスで約1時間30分;泉質: ナトリウム塩化物強塩泉;泉温（摂氏）: 33 °C;液性の分類: 中性;浸透圧の分類: 高張性;宿泊施設数: 1;外部リンク: 公式ウェブサイト;所在地: 〒078-4113北海道苫前郡羽幌町北3条1丁目29;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯44度22分02秒東経141度42分23秒﻿ / ﻿北緯44.36733度 東経141.70644度﻿ / 44.36733; 141.70644座標: 北緯44度22分02秒東経141度42分23秒﻿ / ﻿北緯44.36733度 東経141.70644度﻿ / 44.36733; 141.70644;登録路線: 国道232号;登録回: 第14回 （01050）;登録日: 1998年4月17日;開駅日: 1998年4月17日;営業時間: 7:00 - 22:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ公式ウェブサイト;所在地: 北海道苫前郡羽幌町;交通: JR北海道宗谷本線峰延駅下車後、バスで約1時間30分または留萌本線留萌駅下車後、バスで約1時間30分;泉質: ナトリウム塩化物強塩泉;泉温（摂氏）: 33 °C;液性の分類: 中性;浸透圧の分類: 高張性;宿泊施設数: 1;外部リンク: 公式ウェブサイト","日本の温泉地一覧","参照"
"苫前温泉","","https://ja.wikipedia.org/wiki/苫前温泉","北緯44度18分48秒東経141度39分25秒","所在地: 〒078-3701北海道苫前郡苫前町字苫前119-1;座標: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯44度18分48秒東経141度39分25秒﻿ / ﻿北緯44.31347度 東経141.65689度﻿ / 44.31347; 141.65689座標: 北緯44度18分48秒東経141度39分25秒﻿ / ﻿北緯44.31347度 東経141.65689度﻿ / 44.31347; 141.65689;登録路線: 国道232号;登録回: 第22回 （01094）;登録日: 2006年8月10日;開駅日: 2006年11月17日;営業時間: 7:00 - 22:00;外部リンク: 国土交通省案内ページ全国道の駅連絡会ページ","日本の温泉地一覧","参照"
