"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"室蘭港","","https://ja.wikipedia.org/wiki/室蘭港","北緯42度20分58.0秒東経140度57分50.0秒","国: 日本;所在地: 北海道室蘭市;座標: 北緯42度20分58.0秒東経140度57分50.0秒﻿ / ﻿北緯42.349444度 東経140.963889度﻿ / 42.349444; 140.963889座標: 北緯42度20分58.0秒東経140度57分50.0秒﻿ / ﻿北緯42.349444度 東経140.963889度﻿ / 42.349444; 140.963889;開港: 1872年;管理者: 室蘭市;種類: 国際拠点港湾;面積: 1,610 ha;埠頭数: 公共：42バース民間：62バース;統計年度: 平成30年（1月〜12月）;発着数: 5,331隻;貨物取扱量: 22,856,000トン;コンテナ数: 5,687TEU","日本の港湾一覧","参照","室蘭港は内浦湾（噴火湾）東端に位置しており、噴火湾に向かって突き出した絵鞆半島によって太平洋から遮蔽し、天然の入り江を形成する良港になっている。港湾区域は1,610 haあり、北海道内最大となる被覆内水域1,401 ha、北日本最大となる本航路の水深（16.5 m）を有している。1872年（明治5年）の開港以来、石炭積出・製鉄・石油精製などを中心とした臨海工業港及び後背地の流通拠点港として北海道工業地域の発展を支えた。近年は環境事業（静脈物流など）や防災拠点港としての機能強化を推進している。港湾取扱貨物量は北海道内3位（平成28年）になっている。"
"苫小牧港","","https://ja.wikipedia.org/wiki/苫小牧港","","国: 日本;所在地: 北海道苫小牧市;開港: 1963年4月25日;管理者: 苫小牧港管理組合;種類: 中核国際港湾;面積: 14,300ヘクタール;係留施設数: 63バース（うち公共38バース）;統計年度: 平成28年（1月〜12月）;発着数: 14,655隻;貨物取扱量: 105,602,779トン;コンテナ数: 201,286TEU（外国貿易）115,671TEU（内国貿易）;貨物総額: 7,121億9,700万円;旅客数: 870,461人（内フェリー870,436人）;公式サイト: 苫小牧港管理組合;国: 日本;所在地: 北海道苫小牧市;開港: 1963年4月25日;管理者: 苫小牧港管理組合;種類: 中核国際港湾;面積: 14,300ヘクタール;係留施設数: 63バース（うち公共38バース）;統計年度: 平成28年（1月〜12月）;発着数: 14,655隻;貨物取扱量: 105,602,779トン;コンテナ数: 201,286TEU（外国貿易）115,671TEU（内国貿易）;貨物総額: 7,121億9,700万円;旅客数: 870,461人（内フェリー870,436人）;公式サイト: 苫小牧港管理組合","日本の港湾一覧","参照","苫小牧港は、1963年（昭和38年）に開港した世界初の内陸掘込港湾である西港区と、1980年（昭和55年）に開港した「苫小牧東部開発計画」による東港区からなる港であり、新千歳空港まで車で約30分、札幌市までトラックや鉄道による移動の1時間圏内に位置しており、高速道路などの交通網によって北海道全域をカバーしている。"
"石狩湾新港","","https://ja.wikipedia.org/wiki/石狩湾新港","北緯43度12分15秒東経141度17分09秒","国: 日本;所在地: 北海道小樽市・石狩市;座標: 北緯43度12分15秒東経141度17分09秒﻿ / ﻿北緯43.20417度 東経141.28583度﻿ / 43.20417; 141.28583座標: 北緯43度12分15秒東経141度17分09秒﻿ / ﻿北緯43.20417度 東経141.28583度﻿ / 43.20417; 141.28583;管理者: 石狩湾新港管理組合;種類: 重点港湾;係留施設数: 20;埠頭数: 5;統計年度: 2015年度;発着数: 1,655（内航 1,057、外航 265、漁船 162、その他 168）;貨物取扱量: 5,624,655 トン;コンテナ数: 45,802 TEU;公式サイト: 石狩湾新港管理組合","日本の港湾一覧","参照","札幌市の中心部まで約15km、車で約30分の距離に位置している。北海道内の人口が集中している札幌圏に位置していることから、災害時における緊急物資輸送拠点としての役割や太平洋側港湾のリダンダンシー機能の確保が求められており、広域的な防災機能強化に向けて連携を図っている。"
"稚内港","","https://ja.wikipedia.org/wiki/稚内港","北緯45度24分41秒東経141度41分34秒","国: 日本;所在地: 北海道稚内市;座標: 北緯45度24分41秒東経141度41分34秒﻿ / ﻿北緯45.41139度 東経141.69278度﻿ / 45.41139; 141.69278座標: 北緯45度24分41秒東経141度41分34秒﻿ / ﻿北緯45.41139度 東経141.69278度﻿ / 45.41139; 141.69278;開港: 1948年;管理者: 稚内市;種類: 重要港湾;面積: 1,800 ha;埠頭数: 5;統計年度: 平成27年;発着数: 6,260;貨物取扱量: 1,577,538トン;旅客数: 333,716人","日本の港湾一覧","参照","道北の産業や生活に関わる物流の拠点であるほか、沿岸漁業や沖合漁業の基地、利尻島・礼文島やロシア・サハリン州との間をフェリーや旅客船で結ぶ連絡港としての役割がある。また、「サハリンプロジェクト」に関する支援基地として活用する動きがある。2007年（平成19年）には北海道第1号のみなとオアシスにみなとオアシスわっかないとして登録されている。"
"函館港","","https://ja.wikipedia.org/wiki/函館港","北緯41度48分26.0秒東経140度42分38.0秒","国: 日本;所在地: 北海道函館市;座標: 北緯41度48分26.0秒東経140度42分38.0秒﻿ / ﻿北緯41.807222度 東経140.710556度﻿ / 41.807222; 140.710556﻿ (函館港)座標: 北緯41度48分26.0秒東経140度42分38.0秒﻿ / ﻿北緯41.807222度 東経140.710556度﻿ / 41.807222; 140.710556﻿ (函館港);開港: 1859年;管理者: 函館市港湾空港部;種類: 重点港湾（重要港湾）;泊地面積: 1,599,031m²;面積: 2,293ha;埠頭数: 公共56、専用18;統計年度: 2017年;発着数: 12,458（内航：12,240、外航：218）;貨物取扱量: 42,657トン;旅客数: 512,337人;公式サイト: 港湾空港部 | 函館市","日本の港湾一覧","参照","函館港は渡島半島南端に位置し、津軽海峡に面した岬によって形成された良港で、海水深く湾入して巴状をなしているため古くは「巴港」といわれた。1859年（安政6年）に横浜港・長崎港とともに日本国内で最初の貿易港（交易港）として開港し、運上所（税関）設けられた。函館港の整備は1801年（享和元年）から江戸幕府や高田屋嘉兵衛などにより埋立が行われたのが始まりとされており、以後北海道と本州を結ぶ交通の要衝、北洋漁業の基地港として発展してきたが、200海里漁業専管水域規則・青函トンネル開通による青函連絡船廃止により港湾計画を改訂、バブル期以降の社会情勢の変化により再び港湾計画を改訂し、道南の流通拠点港、地域の特性を活かした水産・海洋に関する学術・研究拠点、観光都市としてウォーターフロント整備を進めている。"
"小樽港","","https://ja.wikipedia.org/wiki/小樽港","北緯43度12分09秒東経141度00分47秒","国: 日本;所在地: 北海道小樽市;座標: 北緯43度12分09秒東経141度00分47秒﻿ / ﻿北緯43.20250度 東経141.01306度﻿ / 43.20250; 141.01306座標: 北緯43度12分09秒東経141度00分47秒﻿ / ﻿北緯43.20250度 東経141.01306度﻿ / 43.20250; 141.01306;開港: 1899年;管理者: 小樽市産業港湾部;種類: 重要港湾;面積: 5,704 km²;統計年度: 2014年;発着数: 3,518（外航 478、内航 3,040）;貨物取扱量: 10,058,856 トン;コンテナ数: 14,654 TEU;公式サイト: 小樽市：小樽港について","日本の港湾一覧","参照","小樽港は北海道西部の積丹半島東側に位置し、石狩湾に弓状に面する海岸線に建設している。北、西、南の三方が山に囲まれており、天然の良港になっている。札幌市までは約40 kmの距離にあり、高速道路や鉄道までのアクセスが良い。石狩湾新港は海上約20 kmの距離に位置しており、小樽港との機能分担が求められている。"
"釧路港","","https://ja.wikipedia.org/wiki/釧路港","北緯42度59分9.0秒東経144度21分8.0秒","国: 日本;所在地: 北海道釧路市;座標: 北緯42度59分9.0秒東経144度21分8.0秒﻿ / ﻿北緯42.985833度 東経144.352222度﻿ / 42.985833; 144.352222座標: 北緯42度59分9.0秒東経144度21分8.0秒﻿ / ﻿北緯42.985833度 東経144.352222度﻿ / 42.985833; 144.352222;開港: 1899年(明治32年);管理者: 釧路市水産港湾空港部;種類: 重点港湾;泊地面積: 3,920,777m²;面積: 2,695ha;係留施設数: 公共49バース;埠頭数: 9;統計年度: 平成24年;貨物取扱量: 15,538,674トン;コンテナ数: 40082 (R1)　外貿のみ32204（R2）;旅客数: 9,207人","日本の港湾一覧","参照","北海道最大の穀物輸出入港であり、穀物飼料コンビナート（釧路飼料（三井系）、道東飼料（三菱系）、住友アグリその他）を有する。地理的に扇状に広がる東北海道の要、釧路川の河口に位置し同地における港湾物流拠点として古くから発達した大規模不凍港である。欧米から日本アジア各国へ輸送される穀物のファーストポートとして機能している。"
"留萌港","","https://ja.wikipedia.org/wiki/留萌港","北緯43度57分21秒東経141度38分15秒","国: 日本;所在地: 北海道留萌市;座標: 北緯43度57分21秒東経141度38分15秒﻿ / ﻿北緯43.95583度 東経141.63750度﻿ / 43.95583; 141.63750座標: 北緯43度57分21秒東経141度38分15秒﻿ / ﻿北緯43.95583度 東経141.63750度﻿ / 43.95583; 141.63750;管理者: 留萌市;種類: 重要港湾;統計年度: 平成27年;発着数: 815隻;貨物取扱量: 1,274,501トン;公式サイト: 留萌港","日本の港湾一覧","参照","留萌港は留萌市をはじめとする留萌振興局や旭川市を中心とする上川・空知地方の流通拠点港、日本海を漁場とする沿岸漁業の基地としての役割を担っている。南防波堤は激浪による稀有な難工事であり、堤体の移動や改修の歴史などから「留萌港南防波堤」として「土木学会選奨土木遺産」に選定されている。"
"十勝港","","https://ja.wikipedia.org/wiki/十勝港","北緯42度17分55秒東経143度20分05秒","国: 日本;所在地: 北海道広尾郡広尾町;座標: 北緯42度17分55秒東経143度20分05秒﻿ / ﻿北緯42.29861度 東経143.33472度﻿ / 42.29861; 143.33472座標: 北緯42度17分55秒東経143度20分05秒﻿ / ﻿北緯42.29861度 東経143.33472度﻿ / 42.29861; 143.33472;管理者: 広尾町;種類: 重要港湾;統計年度: 平成27年;発着数: 5,568隻;貨物取扱量: 1,232,770トン;公式サイト: 重要港湾十勝港","日本の港湾一覧","参照","十勝港は十勝総合振興局では唯一の港湾法上の「港湾」であり、農業王国・十勝の「アグリポート」として整備が進められている。1984年にはカルビーポテト丸が就航。農繁期にカルビーの工場最寄りの広島港及び鹿児島市の谷山港向けにカルビーポテトのジャガイモを海上輸送する。2011年（平成23年）には輸入原料の保管から配合飼料の製造までを一貫して行う飼料コンビナートが操業開始した。毎年8月に開催する『十勝港まつり・十勝港海上花火大会』の会場になっている。"
"紋別港","","https://ja.wikipedia.org/wiki/紋別港","北緯44度21分16秒東経143度21分27秒","国: 日本;所在地: 北海道紋別市;座標: 北緯44度21分16秒東経143度21分27秒﻿ / ﻿北緯44.35444度 東経143.35750度﻿ / 44.35444; 143.35750座標: 北緯44度21分16秒東経143度21分27秒﻿ / ﻿北緯44.35444度 東経143.35750度﻿ / 44.35444; 143.35750;管理者: 紋別市;種類: 重要港湾;統計年度: 平成27年;発着数: 8,028隻;貨物取扱量: 234,120トン;旅客数: 54,228人;公式サイト: 紋別港","日本の港湾一覧","参照","紋別港はオホーツク海沿岸のほぼ中央部に位置し、北部には自然岩礁の弁天岬、後背地には北西からの風を防ぐ紋別山（大山）などの山々が連なっており、古くから漁業基地として利用していた。戦後の港湾整備により、現在では紋別市や遠軽町を中心とする遠紋地区や上川北部の物流拠点港、沖合漁業や沿岸漁業の基地としての役割がある。また、親水防波堤（クリオネプロムナード）に氷海展望塔（オホーツクタワー）があるほか、人工海水浴場（オホーツクホワイトビーチ）などを整備しており、市民の憩い場や流氷を観光する拠点、『もんべつ流氷まつり』や『遊びたガリヤフェスティバル』、『もんべつ海産まつり』などの各種イベント会場になっている。"
