"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"五稜郭","跡北海道地理院地図Googleマップ.mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯41度47分50秒東経140度45分25秒﻿ / ﻿北緯41.7972度 東経140.7570度﻿ / 41.7972; 140.7570﻿ (五稜郭跡) ","https://ja.wikipedia.org/wiki/五稜郭","","","日本の特別史跡一覧","表形式",""
"三内丸山遺跡","青森県地理院地図Googleマップ北緯40度48分41秒東経140度41分49秒﻿ / ﻿北緯40.8115度 東経140.6969度﻿ / 40.8115; 140.6969﻿ (三内丸山遺跡) ","https://ja.wikipedia.org/wiki/三内丸山遺跡","","","日本の特別史跡一覧","表形式",""
"中尊寺","境内岩手県地理院地図Googleマップ北緯38度59分56秒東経141度06分03秒﻿ / ﻿北緯38.9989度 東経141.1009度﻿ / 38.9989; 141.1009﻿ (中尊寺境内) ","https://ja.wikipedia.org/wiki/中尊寺","","","日本の特別史跡一覧","表形式",""
"無量光院跡","岩手県地理院地図Googleマップ北緯38度59分34秒東経141度06分56秒﻿ / ﻿北緯38.9929度 東経141.1155度﻿ / 38.9929; 141.1155﻿ (無量光院跡) ","https://ja.wikipedia.org/wiki/無量光院跡","","","日本の特別史跡一覧","表形式",""
"毛越寺","境内 附 鎮守社跡岩手県地理院地図Googleマップ北緯38度59分14秒東経141度06分29秒﻿ / ﻿北緯38.9872度 東経141.1081度﻿ / 38.9872; 141.1081﻿ (毛越寺境内 附 鎮守社跡) ","https://ja.wikipedia.org/wiki/毛越寺","","","日本の特別史跡一覧","表形式",""
"多賀城","跡 附 寺跡宮城県地理院地図Googleマップ北緯38度17分59秒東経140度59分45秒﻿ / ﻿北緯38.2996度 東経140.9958度﻿ / 38.2996; 140.9958﻿ (多賀城跡 附 寺跡) ","https://ja.wikipedia.org/wiki/多賀城","","","日本の特別史跡一覧","表形式",""
"大湯環状列石","秋田県地理院地図Googleマップ北緯40度16分17秒東経140度48分15秒﻿ / ﻿北緯40.2714度 東経140.8043度﻿ / 40.2714; 140.8043﻿ (大湯環状列石) ","https://ja.wikipedia.org/wiki/大湯環状列石","","","日本の特別史跡一覧","表形式",""
"弘道館","茨城県地理院地図Googleマップ北緯36度22分31秒東経140度28分37秒﻿ / ﻿北緯36.3753度 東経140.4770度﻿ / 36.3753; 140.4770﻿ (旧弘道館) ","https://ja.wikipedia.org/wiki/弘道館","","","日本の特別史跡一覧","表形式",""
"常陸国分寺跡","茨城県地理院地図Googleマップ北緯36度11分46秒東経140度16分24秒﻿ / ﻿北緯36.196206度 東経140.273358度﻿ / 36.196206; 140.273358﻿ (常陸国分寺跡) ","https://ja.wikipedia.org/wiki/常陸国分寺跡","","","日本の特別史跡一覧","表形式",""
"常陸国分尼寺跡","茨城県地理院地図Googleマップ北緯36度12分06秒東経140度16分04秒﻿ / ﻿北緯36.201656度 東経140.267675度﻿ / 36.201656; 140.267675﻿ (常陸国分尼寺跡) ","https://ja.wikipedia.org/wiki/常陸国分尼寺跡","","","日本の特別史跡一覧","表形式",""
"大谷磨崖仏","栃木県地理院地図Googleマップ北緯36度35分47秒東経139度49分17秒﻿ / ﻿北緯36.5963度 東経139.8214度﻿ / 36.5963; 139.8214﻿ (大谷磨崖仏) ","https://ja.wikipedia.org/wiki/大谷磨崖仏","","","日本の特別史跡一覧","表形式",""
