"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"十和田湖","十和田湖および奥入瀬渓流（とわだこおよびおいらせけいりゅう） 天然記念物との重複指定","https://ja.wikipedia.org/wiki/十和田湖","北緯40度27分53秒東経140度52分38秒","所在地: 日本青森県十和田市秋田県鹿角郡小坂町;位置: 北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ / 40.46472; 140.87722座標: 北緯40度27分53秒東経140度52分38秒﻿ / ﻿北緯40.46472度 東経140.87722度﻿ / 40.46472; 140.87722;面積: 61.11[1]km2;周囲長: 46.0 km;最大水深: 326.8 m;平均水深: 71.0 m;貯水量: 4.19 km3;水面の標高: 400 m;成因: カルデラ湖;淡水・汽水: 淡水;湖沼型: 貧栄養湖;透明度: 9.0 m","日本の特別名勝一覧","箇条書き"
"毛越寺","毛越寺庭園（もうつうじていえん）","https://ja.wikipedia.org/wiki/毛越寺","北緯38度59分14秒東経141度6分27秒","所在地: 岩手県西磐井郡平泉町字大沢58;位置: 北緯38度59分14秒東経141度6分27秒座標: 北緯38度59分14秒 東経141度6分27秒;山号: 医王山（いおうざん）;宗旨: 天台宗;寺格: 別格本山;本尊: 薬師如来;創建年: （伝）嘉祥3年（850年）;開基: （伝）円仁（慈覚大師）;札所等: 奥州三十三観音霊場 番外札所四寺廻廊札所;文化財: 特別史跡特別名勝;公式HP: 天台宗 別格本山 毛越寺;法人番号: 8400505000257","日本の特別名勝一覧","箇条書き"
"松島","松島（まつしま） 日本三景","https://ja.wikipedia.org/wiki/松島","","","日本の特別名勝一覧","箇条書き"
"六義園","六義園（りくぎえん）","https://ja.wikipedia.org/wiki/六義園","北緯35度43分59.0秒東経139度44分48.0秒","分類: 都立庭園・特別名勝;所在地: 東京都文京区本駒込六丁目;座標: 北緯35度43分59.0秒東経139度44分48.0秒﻿ / ﻿北緯35.733056度 東経139.746667度﻿ / 35.733056; 139.746667座標: 北緯35度43分59.0秒東経139度44分48.0秒﻿ / ﻿北緯35.733056度 東経139.746667度﻿ / 35.733056; 139.746667;面積: 87,809.41m2;運営者: 東京都公園協会2011～2015年度指定管理者;設備・遊具: 集会場（心泉亭）、茶室（宣春亭）;告示: 1938年10月13日開園;公式サイト: 公式ホームページ","日本の特別名勝一覧","箇条書き"
"小石川後楽園","小石川後楽園（こいしかわこうらくえん）特別史跡との重複指定","https://ja.wikipedia.org/wiki/小石川後楽園","北緯35度42分18.4秒東経139度44分59.6秒","分類: 都立庭園・特別名勝・特別史跡;所在地: 日本東京都文京区後楽一丁目;座標: 北緯35度42分18.4秒東経139度44分59.6秒﻿ / ﻿北緯35.705111度 東経139.749889度﻿ / 35.705111; 139.749889座標: 北緯35度42分18.4秒東経139度44分59.6秒﻿ / ﻿北緯35.705111度 東経139.749889度﻿ / 35.705111; 139.749889;面積: 7ha;開園: 1938年4月3日;運営者: 東京都公園協会2011～2015年度指定管理者;設備・遊具: 集会場（涵徳亭）;駐車場: なし;告示: 1938年4月3日開園;事務所: 小石川後楽園サービスセンター;事務所所在地: 東京都文京区後楽1-6-6;公式サイト: 小石川後楽園","日本の特別名勝一覧","箇条書き"
"浜離宮恩賜庭園","旧浜離宮庭園（きゅうはまりきゅうていえん） 特別史跡との重複指定","https://ja.wikipedia.org/wiki/浜離宮恩賜庭園","北緯35度39分36秒東経139度45分49秒","分類: 都立庭園・特別名勝・特別史跡;所在地: 東京都中央区浜離宮庭園;座標: 北緯35度39分36秒東経139度45分49秒﻿ / ﻿北緯35.66000度 東経139.76361度﻿ / 35.66000; 139.76361座標: 北緯35度39分36秒東経139度45分49秒﻿ / ﻿北緯35.66000度 東経139.76361度﻿ / 35.66000; 139.76361;面積: 250,215.72m2（約25ヘクタール）;開園: 1946年4月1日;運営者: 東京都公園協会2011 - 2015年度指定管理者;設備・遊具: 集会場（芳梅亭・中島の御茶屋）など;駐車場: 観光バスと障害者の車両のみ可;公式サイト: 公式ホームページ","日本の特別名勝一覧","箇条書き"
"御岳昇仙峡","御岳昇仙峡（みたけしょうせんきょう）","https://ja.wikipedia.org/wiki/御岳昇仙峡","","","日本の特別名勝一覧","箇条書き"
"上高地","上高地（かみこうち）特別天然記念物との重複指定","https://ja.wikipedia.org/wiki/上高地","","","日本の特別名勝一覧","箇条書き"
"富士山 (代表的なトピック)","富士山（ふじさん）","https://ja.wikipedia.org/wiki/富士山_(代表的なトピック)","北緯35度21分45秒東経138度43分50秒","標高: 3,776.12[注釈 1][1][2]m;所在地: 日本静岡県富士宮市裾野市富士市御殿場市駿東郡小山町山梨県富士吉田市南都留郡鳴沢村;位置: 北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ / 35.3625; 138.7306[2]座標: 北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ / 35.3625; 138.7306[2];山系: 独立峰;種類: 成層火山・活火山ランクB[3]・常時観測火山;初登頂: 663年（役小角）;富士山―信仰の対象と芸術の源泉（日本）:;英名: Fujisan, sacred place and source of artistic inspiration;仏名: Fujisan, lieu sacre et source d'inspiration artistique;面積: 20,702 ha（緩衝地域 49,628 ha）;登録区分: 文化遺産;登録基準: (3), (6);登録年: 2013年;公式サイト: 世界遺産センター（英語）;最高気温記録 °C（°F）: −1.7(28.9);平均最高気温 °C（°F）: −15.4(4.3);日平均気温 °C（°F）: −18.4(−1.1);平均最低気温 °C（°F）: −21.7(−7.1);最低気温記録 °C（°F）: −37.3(−35.1);平均気温の推移[注釈 9]: 平均気温の推移[注釈 9]@media all and (max-width:720px){body.skin-minerva .mw-parser-output div.mw-graph{min-width:auto!important;max-width:100%;overflow-x:auto;overflow-y:visible}}.mw-parser-output .mw-graph-img{width:inherit;height:inherit}最高気温・最低気温・湿度の推移平均最高気温[注釈 10]最高気温（最高値）[注釈 11]最高気温（最低値）[注釈 12]平均最低気温[注釈 13]最低気温（最低値）[注釈 14]最低気温（最高値）[注釈 15]各階級の日数[注釈 16]平均湿度の推移[注釈 17];南東麓: 柿田川（日本三大清流）、小浜池;南麓: 吉原湧泉群;西麓: 湧玉池（特別天然記念物）、白糸の滝（国指定の名勝及び天然記念物）、猪之頭湧泉群;北麓: 忍野八海（国指定の天然記念物）;標高: 3,776.12[注釈 1][1][2]m;所在地: 日本静岡県富士宮市裾野市富士市御殿場市駿東郡小山町山梨県富士吉田市南都留郡鳴沢村;位置: 北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ / 35.3625; 138.7306[2]座標: 北緯35度21分45秒東経138度43分50秒﻿ / ﻿北緯35.3625度 東経138.7306度﻿ / 35.3625; 138.7306[2];山系: 独立峰;種類: 成層火山・活火山ランクB[3]・常時観測火山;初登頂: 663年（役小角）;富士山―信仰の対象と芸術の源泉（日本）:;英名: Fujisan, sacred place and source of artistic inspiration;仏名: Fujisan, lieu sacre et source d'inspiration artistique;面積: 20,702 ha（緩衝地域 49,628 ha）;登録区分: 文化遺産;登録基準: (3), (6);登録年: 2013年;公式サイト: 世界遺産センター（英語）;最高気温記録 °C（°F）: −1.7(28.9);平均最高気温 °C（°F）: −15.4(4.3);日平均気温 °C（°F）: −18.4(−1.1);平均最低気温 °C（°F）: −21.7(−7.1);最低気温記録 °C（°F）: −37.3(−35.1);平均気温の推移[注釈 9]: 平均気温の推移[注釈 9]@media all and (max-width:720px){body.skin-minerva .mw-parser-output div.mw-graph{min-width:auto!important;max-width:100%;overflow-x:auto;overflow-y:visible}}.mw-parser-output .mw-graph-img{width:inherit;height:inherit}最高気温・最低気温・湿度の推移平均最高気温[注釈 10]最高気温（最高値）[注釈 11]最高気温（最低値）[注釈 12]平均最低気温[注釈 13]最低気温（最低値）[注釈 14]最低気温（最高値）[注釈 15]各階級の日数[注釈 16]平均湿度の推移[注釈 17];南東麓: 柿田川（日本三大清流）、小浜池;南麓: 吉原湧泉群;西麓: 湧玉池（特別天然記念物）、白糸の滝（国指定の名勝及び天然記念物）、猪之頭湧泉群;北麓: 忍野八海（国指定の天然記念物）","日本の特別名勝一覧","箇条書き"
"黒部峡谷","黒部峡谷附 猿飛ならびに奥鐘山（くろべきょうこく つけたり さるとびならびにおくかねやま） 特別天然記念物との重複指定","https://ja.wikipedia.org/wiki/黒部峡谷","","","日本の特別名勝一覧","箇条書き"
