"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"礼文島","001礼文島北海道","https://ja.wikipedia.org/wiki/礼文島","北緯45度26分 東経141度","所在地: 日本北海道;所在海域: 日本海;座標: 北緯45度26分 東経141度02分座標: 北緯45度26分 東経141度02分;面積: 81.33[1]km²;海岸線長: 72.0[1]km;最高標高: 489.8 m;最高峰: 礼文岳","日本の秘境100選","表形式"
"大雪山","002大雪山北海道","https://ja.wikipedia.org/wiki/大雪山","北緯43度39分48.9秒東経142度51分14.9秒","標高: 旭岳：2,290.93[1][2]m;所在地: 日本・北海道上川郡;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ / 43.663583; 142.854139座標: 北緯43度39分48.9秒東経142度51分14.9秒﻿ / ﻿北緯43.663583度 東経142.854139度﻿ / 43.663583; 142.854139;山系: 石狩山地;種類: 複成火山","日本の秘境100選","表形式"
"北オホーツク海岸","003北オホーツク海岸北海道","https://ja.wikipedia.org/wiki/北オホーツク海岸","","","日本の秘境100選","表形式"
"知床半島","004知床北海道","https://ja.wikipedia.org/wiki/知床半島","","","日本の秘境100選","表形式"
"野付半島","005野付半島北海道","https://ja.wikipedia.org/wiki/野付半島","","","日本の秘境100選","表形式"
"釧路湿原","006釧路湿原北海道","https://ja.wikipedia.org/wiki/釧路湿原","","","日本の秘境100選","表形式"
"然別湖","007然別湖・東雲湖北海道","https://ja.wikipedia.org/wiki/然別湖","","所在地: 日本北海道（十勝総合振興局）;面積: 3.59[1]km2;周囲長: 13.8 km;最大水深: 108 m;平均水深: 57.1 m;水面の標高: 810 m;成因: 堰止湖;淡水・汽水: 淡水;湖沼型: 貧栄養型;透明度: 19.5 m","日本の秘境100選","表形式"
"渡島半島","008渡島半島北西岸北海道","https://ja.wikipedia.org/wiki/渡島半島","","","日本の秘境100選","表形式"
"サロベツ原野","009サロベツ原野北海道","https://ja.wikipedia.org/wiki/サロベツ原野","","","日本の秘境100選","表形式"
"オンネトー","010オンネトー北海道","https://ja.wikipedia.org/wiki/オンネトー","北緯43度23分04.5秒東経143度58分11.7秒","所在地: 日本北海道（十勝総合振興局）;位置: .mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}北緯43度23分04.5秒東経143度58分11.7秒﻿ / ﻿北緯43.384583度 東経143.969917度﻿ / 43.384583; 143.969917座標: 北緯43度23分04.5秒東経143度58分11.7秒﻿ / ﻿北緯43.384583度 東経143.969917度﻿ / 43.384583; 143.969917;面積: 0.23 km2;周囲長: 2.5 km;最大水深: 9.8 m;平均水深: 3.0 m;貯水量: 0.0007 km3;水面の標高: 623 m;成因: 火山による堰止湖;淡水・汽水: 淡水;湖沼型: 酸栄養湖;透明度: 7.1 m","日本の秘境100選","表形式"
