"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"東京国際空港","東京〇〇〇〇◎","https://ja.wikipedia.org/wiki/東京国際空港","北緯35度33分12秒東経139度46分52秒","国・地域: 日本;所在地: 東京都大田区羽田空港;母都市: 東京;種類: 公共;所有者: 国土交通省;運営者: 国土交通大臣;運用時間: 24時間;開港: 1931年8月25日 (89年前) (1931-08-25);ターミナル数: 3;拠点航空会社: 日本航空全日本空輸スカイマークソラシドエアAIRDO;敷地面積: 1,516 ha;標高: 6.4 m(21 ft);座標: 北緯35度33分12秒東経139度46分52秒﻿ / ﻿北緯35.55333度 東経139.78111度﻿ / 35.55333; 139.78111座標: 北緯35度33分12秒東経139度46分52秒﻿ / ﻿北緯35.55333度 東経139.78111度﻿ / 35.55333; 139.78111;公式サイト: tokyo-haneda.com;方向: 方向ILS長さ×幅 (m)表面16R/34LI3000×60舗装04/22I2500×60舗装16L/34RIIIb3360×60舗装05/23I2500×60舗装;旅客数: 84,893,742;貨物取扱量: 1,271,143t;新千歳空港: 約881万人;福岡空港: 約836万人;那覇空港: 約587万人;大阪国際空港: 約529万人;鹿児島空港: 約234万人;広島空港: 約186万人;熊本空港: 約183万人;長崎空港: 約162万人;松山空港: 約146万人;宮崎空港: 約135万人;関西国際空港: 約125万人;高松空港: 約124万人;大分空港: 約118万人;北九州空港: 約116万人;小松空港: 約104万人;函館空港: 約102万人;徳島空港: 約098万人;岡山空港: 約096万人;旭川空港: 約090万人;高知空港: 約090万人;山口宇部空港: 約089万人;秋田空港: 約080万人;神戸空港: 約070万人;帯広空港: 約059万人;長崎空港（神戸経由）: 約057万人;出雲空港: 約055万人;新石垣空港: 約055万人;米子空港: 約054万人;第1ターミナル（T1）: JALグループ・SKY・SFJ;第2ターミナル（T2）: ANAグループ・ADO・SNA;第3ターミナル（T3）: （国際線の航空会社多数）","日本の空港","表形式","成田国際空港と並ぶ、首都圏の「空の玄関」である。2019年の乗降客数は、世界5位となった。"
"成田国際空港","成田〇〇〇〇◎〇","https://ja.wikipedia.org/wiki/成田国際空港","北緯35度45分55秒東経140度23分08秒","国・地域: 日本;所在地: 千葉県成田市・山武郡芝山町・香取郡多古町;母都市: 東京;種類: 民間、商業;所有者: 成田国際空港株式会社（日本国政府出資）;運営者: 成田国際空港株式会社;運用時間: 6:00 - 24:00;開港: 1978年5月20日;ターミナル数: 3（旅客ターミナル）;拠点航空会社: 日本航空全日本空輸日本貨物航空ジェットスター・ジャパンPeach Aviation春秋航空日本ZIPAIR Tokyo;敷地面積: 1,137 ha;標高: 43 m(141 ft);座標: 北緯35度45分55秒東経140度23分08秒﻿ / ﻿北緯35.76528度 東経140.38556度﻿ / 35.76528; 140.38556座標: 北緯35度45分55秒東経140度23分08秒﻿ / ﻿北緯35.76528度 東経140.38556度﻿ / 35.76528; 140.38556;公式サイト: https://www.narita-airport.jp/jp/;方向: 方向ILS長さ×幅 (m)表面16R/34LIIIb4,000×60アスファルト16L/34RI2,500×60アスファルト;旅客数: 44,344,739人;貨物取扱量: 2,039,905t;発着回数: 264,115回;旅客サービス施設使用料（PSFC）: 2,130円;子供: 1,070円;第3ターミナル: 1,040円;子供: 520円;旅客保安サービス料（PSSC）: 530円;新千歳空港: 約182万人;福岡空港: 約123万人;那覇空港: 約066万人;関西国際空港: 約064万人","日本の空港","表形式","東京国際空港とともに首都圏の「空の玄関」である。"
"関西国際空港","関西〇〇〇〇◎〇","https://ja.wikipedia.org/wiki/関西国際空港","北緯34度26分03秒東経135度13分58秒","国・地域: 日本;所在地: 大阪府泉南郡田尻町泉佐野市泉南市;母都市: 大阪市;種類: 商業;運営者: 関西エアポート株式会社;運用時間: 24時間;開港: 1994年9月4日;ターミナル数: 2;敷地面積: 1,067.7ha;標高: 5.30 m(17.4ft);座標: 北緯34度26分03秒東経135度13分58秒﻿ / ﻿北緯34.43417度 東経135.23278度﻿ / 34.43417; 135.23278座標: 北緯34度26分03秒東経135度13分58秒﻿ / ﻿北緯34.43417度 東経135.23278度﻿ / 34.43417; 135.23278;公式サイト: 関西国際空港公式サイト;方向: 方向ILS長さ×幅 (m)表面06R/24LII3,500×60舗装06L/24RII4,000×60舗装;旅客数: 28,762,999人;貨物取扱量: 756,771t;発着回数: 196,022回;国際線: 14万3,092回;国内線: 4万6,566回;合計: 18万9,658回;4階: リムジンバス おりばタクシー・自家用車 おりば;3階:;2階: 関西空港駅・ 駐車場・ エアロプラザ連絡通路;1階: リムジンバス のりばタクシー・自家用車 のりば;旅客サービス施設使用料（PSFC）: 2,780円;子供: 1,390円;第2ターミナル: 1,250円;旅客保安サービス料（PSSC）: 320円;東京国際空港: 約127万人;新千歳空港: 約109万人;那覇空港: 約108万人;成田国際空港: 約070万人;第1駐車場: 立体;第2駐車場: 立体;第3駐車場: 平面;第4駐車場: 平面;第5駐車場: 平面;臨時駐車場(第2ターミナル横): 平面;展望ホール前駐車場: -","日本の空港","表形式","1994年9月4日開港。大阪湾内泉州沖5kmの埋立地（泉南郡田尻町・泉佐野市・泉南市にまたがる）にある世界で初めての完全人工島からなる海上空港である（#空港島を参照）。通称・略称は、関西空港（かんさいくうこう）あるいは関空（かんくう）、空港コードKIXから「キックス」と呼ばれることもある。空港法上の拠点空港であり、成田国際空港、東京国際空港（羽田空港）、中部国際空港（セントレア）とともに日本を代表する国際空港として国際拠点空港のひとつと位置づけられている。成田国際空港とともに大都市圏にある国際線専用空港という傾向が強い。「西日本を中心とする国際拠点空港であり、近畿圏の国内線の基幹空港」と位置づけられており、関西地方の空港で唯一、定期国際線が就航している。また、成田国際空港などと並んでPeach Aviationなどの格安航空会社（LCC）の拠点空港であり、国内やアジア各都市を結んでいる。航空法上の混雑空港に指定されており、国際航空運送協会（IATA）が混雑度レベル2に指定している。本空港建造事業は内閣総理大臣顕彰を授与されており、また、日本国外からも様々な評価を受けている（#日本国外からの評価を参照）。"
"福岡空港","福岡〇〇〇〇◎","https://ja.wikipedia.org/wiki/福岡空港","北緯33度35分04秒東経130度27分06秒","国・地域: 日本;所在地: 福岡県福岡市博多区;種類: 商業;運営者: 福岡国際空港;運用時間: 24時間(但し定期便の運用は通常7:00 - 22:00迄に制限);開港: 1945年;ターミナル数: 2;敷地面積: 353 ha;標高: 9.1 m(30 ft);座標: 北緯33度35分04秒東経130度27分06秒﻿ / ﻿北緯33.58444度 東経130.45167度﻿ / 33.58444; 130.45167座標: 北緯33度35分04秒東経130度27分06秒﻿ / ﻿北緯33.58444度 東経130.45167度﻿ / 33.58444; 130.45167;公式サイト: 福岡空港公式サイト;方向: 方向ILS長さ×幅 (m)表面16/34I2,800×60舗装;旅客数: 23,979,222人;貨物取扱量: 258,559 t;発着回数: 89,261回（着陸回数）;東京国際空港: 約836万人;那覇空港: 約185万人;成田国際空港: 約123万人;中部国際空港: 約091万人;新千歳空港: 約062万人;大阪国際空港: 約058万人","日本の空港","表形式","福岡市街地から5km以内という至近距離に位置しており、アクセスの良い空港として知られる。1993年に福岡市地下鉄空港線が国内線ターミナル直下に乗り入れ、博多駅まで約5分、天神駅・西鉄福岡（天神）駅・まで約11分で結んでいるほか、福岡都市高速のランプも至近に所在し、九州自動車道太宰府インターチェンジへの所要時間は15分から20分程度となっている。新幹線が発着する博多駅に近いため広域のアクセスがよく、九州北部から山口県に渡る広範囲から利用客を集めている。"
"新千歳空港","新千歳〇〇〇〇◎","https://ja.wikipedia.org/wiki/新千歳空港","北緯42度46分30秒東経141度41分32秒","国・地域: 日本;所在地: 北海道千歳市;母都市: 札幌市;種類: 商業;所有者: 国土交通省;運営者: 北海道エアポート;運用時間: 24時間;開港: 1988年7月20日;ターミナル数: 2;敷地面積: 726ha;標高: 21.3m;座標: 北緯42度46分30秒東経141度41分32秒﻿ / ﻿北緯42.77500度 東経141.69222度﻿ / 42.77500; 141.69222座標: 北緯42度46分30秒東経141度41分32秒﻿ / ﻿北緯42.77500度 東経141.69222度﻿ / 42.77500; 141.69222;公式サイト: 新千歳空港;方向: 方向ILS長さ×幅 (m)表面01L/19RI/IIIb3,000×60舗装01R/19LI/I3,000×60舗装;旅客数: 21,545,032;貨物取扱量: 204,693;発着回数: 72,676;国内線: 6万5,041回;国際線: 7,635回;合計: 7万2,676回;4階:;3階: 航空会社ラウンジ;2階: 保安検査場搭乗待合室物販店、飲食店搭乗口;1階: 手荷物受取場;地下1階:;東京国際空港: 約906万人;成田国際空港: 約188万人;中部国際空港: 約151万人;大阪国際空港: 約112万人;関西国際空港: 約109万人;仙台空港: 約081万人;福岡空港: 約061万人;台湾桃園国際空港: 551,682人;仁川国際空港: 488,893人;香港国際空港: 358,770人;スワンナプーム国際空港: 169,783人;上海浦東国際空港: 144,589人;高雄国際空港: 103,546人;北京首都国際空港: 51,977人;ダニエル・K・イノウエ国際空港（ホノルル国際空港）: 38,381人;ドンムアン国際空港: 33,792人;金海国際空港: 28,795人;クアラルンプール国際空港: 26,269人;天津浜海国際空港: 26,138人;グアム国際空港: 16,123人;ホムトヴォ空港: 8,303人","日本の空港","表形式","北海道の経済・文化の中心地・札幌市の南東約40kmに位置する国内線の基幹空港。空港法に基づいて国土交通大臣が設置・管理する国管理空港で、国際線や国内線の拠点空港に区分される。空港の利用者数は国内で5番目に多い。また、旅客数では羽田-新千歳線が世界一位になったこともある。北海道では最大の空港で、鉄道や高速道路もよく整備されているため、実質的に北海道の空の玄関口となっている。"
"那覇空港","那覇〇〇〇〇◎","https://ja.wikipedia.org/wiki/那覇空港","北緯26度12分20秒東経127度39分03秒","国・地域: 日本;所在地: 沖縄県那覇市字鏡水;種類: 軍民共用;運営者: 国土交通大臣;運用時間: 24時間;敷地面積: 327.8ha;標高: 3.3m;座標: 北緯26度12分20秒東経127度39分03秒﻿ / ﻿北緯26.20556度 東経127.65083度﻿ / 26.20556; 127.65083座標: 北緯26度12分20秒東経127度39分03秒﻿ / ﻿北緯26.20556度 東経127.65083度﻿ / 26.20556; 127.65083;公式サイト: 那覇空港旅客ターミナルビル;方向: 方向ILS長さ×幅 (m)表面18L/36RI3,000×45舗装18R/36LI2,700×60舗装;東京国際空港: 約587万人;福岡空港: 約185万人;中部国際空港: 約120万人;関西国際空港: 約115万人;大阪国際空港: 約111万人;宮古空港: 約109万人;新石垣空港: 約107万人;成田国際空港: 約066万人;神戸空港: 約058万人;4階:;3階:;2階: 保安検査場航空会社ラウンジ搭乗待合室物販店、飲食店免税店搭乗口;1階: 手荷物受取所バスラウンジ","日本の空港","表形式","1933年（昭和8年）8月、日本軍は半農半漁の集落として栄えた旧小禄村大嶺（ウフンミ）の土地を強制接収し、海軍の軍用飛行場、小禄飛行場（小禄海軍飛行場・海軍小禄飛行場）を建設した。"
"大阪国際空港","大阪〇◎","https://ja.wikipedia.org/wiki/大阪国際空港","北緯34度47分04秒東経135度26分21秒","国・地域: 日本;所在地: 大阪府豊中市大阪府池田市兵庫県伊丹市;母都市: 大阪市;種類: 商業;運営者: 関西エアポート株式会社;運用時間: 7:00 - 21:00;敷地面積: 311.9ha;標高: 12 m(39 ft);座標: 北緯34度47分04秒東経135度26分21秒﻿ / ﻿北緯34.78444度 東経135.43917度﻿ / 34.78444; 135.43917座標: 北緯34度47分04秒東経135度26分21秒﻿ / ﻿北緯34.78444度 東経135.43917度﻿ / 34.78444; 135.43917;公式サイト: 大阪国際空港（伊丹空港）;方向: 方向ILS長さ×幅 (m)表面14L/32Rなし1,828×45舗装14R/32LI (32L側のみ)3,000×60舗装;東京国際空港: 約548万人;那覇空港: 約115万人;新千歳空港: 約112万人;仙台空港: 約089万人;鹿児島空港: 約069万人;福岡空港: 約058万人;宮崎空港: 約057万人;松山空港: 約057万人;5-8階:;4階: 展望デッキ「ラ・ソーラ」（La Sora）インテリアショップ、子供用遊び場レストラン・売店;3階:;制限区域: ANAラウンジ;2階: 搭乗口（4 - 12番）搭乗バスゲート(9A, 9B, 9C)保安検査場売店・軽食店ANAスイートラウンジ;一般区域: 出発ロビー出発口カフェ・レストラン売店・土産物店;1階: 全日本空輸・アイベックスエアラインズチケットカウンター団体カウンター喫茶・売店ＡＴＭ（現金自動預け払い機）","日本の空港","表形式","大阪市の北北西約12kmにあり、京阪神都市圏のほぼ中心に位置する日本の国内線の基幹空港。空港法上の拠点空港であり、航空法上の混雑空港に指定。国内線用の空港として運用され、国際線の旅客・貨物便は就航せず。"
"中部国際空港","中部〇〇〇〇◎","https://ja.wikipedia.org/wiki/中部国際空港","北緯34度51分30秒東経136度48分19秒","国・地域: 日本;所在地: 愛知県常滑市;母都市: 名古屋市;種類: 商業;運営者: 中部国際空港株式会社;運用時間: 24時間;開港: 2005年2月17日;ターミナル数: 2;拠点航空会社: ANAウイングスジェットスター・ジャパン;敷地面積: 471.3 ha;標高: 3.7m(12.1 ft);座標: 北緯34度51分30秒東経136度48分19秒﻿ / ﻿北緯34.85833度 東経136.80528度﻿ / 34.85833; 136.80528座標: 北緯34度51分30秒東経136度48分19秒﻿ / ﻿北緯34.85833度 東経136.80528度﻿ / 34.85833; 136.80528;公式サイト: 中部国際空港 セントレア;方向: 方向ILS長さ×幅 (m)表面18/36II/III b3,500×60アスファルト、コンクリート;旅客数: 12,257,342人;貨物取扱量: 176,722t;発着回数: 106,008回;4階: スカイタウン;3階: 出発ロビー;2階(24時間開放): 到着ロビー;1階: ウェルカムガーデン(24時間開放);新千歳空港: 約151万人;那覇空港: 約120万人;福岡空港: 約085万人","日本の空港","表形式","愛知県名古屋市の中心部から南へ約35km、知多半島の愛知県常滑市の沖合約1.5kmの伊勢湾海上の人工島に位置し、24時間運用可能な長さ3,500mの滑走路を有する、関西国際空港に次ぐ国内第2の海上国際空港として2005年2月17日に開港した。成田国際空港、東京国際空港、関西国際空港とともに国際航空路線に必要な国際拠点空港としてその航空需要を担うことを国の航空政策上位置づけられている。"
"鹿児島空港","鹿児島〇〇〇〇◎〇","https://ja.wikipedia.org/wiki/鹿児島空港","北緯31度48分00秒東経130度43分18秒","国・地域: 日本;所在地: 鹿児島県霧島市溝辺町麓;種類: 商業;運営者: 国土交通大臣;運用時間: 7:00 - 22:00;標高: 271.9 m(892.1 ft);座標: 北緯31度48分00秒東経130度43分18秒﻿ / ﻿北緯31.80000度 東経130.72167度﻿ / 31.80000; 130.72167座標: 北緯31度48分00秒東経130度43分18秒﻿ / ﻿北緯31.80000度 東経130.72167度﻿ / 31.80000; 130.72167;公式サイト: 鹿児島空港;方向: 方向ILS長さ×幅 (m)表面16/34I3,000×45舗装;東京国際空港: 約234万人;大阪国際空港: 約063万人","日本の空港","表形式","鹿児島市の北東30kmに位置する。鉄道でのアクセスは悪いが、E3九州自動車道溝辺鹿児島空港インターチェンジに近いため高速道路を経由したアクセスは良好である。熊本県南部（人吉市、球磨郡各町村、水俣市）や宮崎県南西部（小林市やえびの市）などの利用者も多い。鹿児島市街地からは空港連絡バス（九州自動車道経由）が日中約10分間隔で運行されており、鹿児島中央駅からの所要時間は38分である。"
"仙台空港","仙台〇〇〇〇〇","https://ja.wikipedia.org/wiki/仙台空港","北緯38度08分13秒東経140度55分21秒","国・地域: 日本;所在地: 宮城県名取市・岩沼市;母都市: 仙台市;種類: 商業;運営者: 仙台国際空港株式会社;運用時間: 7:30 - 21:30;標高: 5 m(16.4 ft);座標: 北緯38度08分13秒東経140度55分21秒﻿ / ﻿北緯38.13694度 東経140.92250度﻿ / 38.13694; 140.92250座標: 北緯38度08分13秒東経140度55分21秒﻿ / ﻿北緯38.13694度 東経140.92250度﻿ / 38.13694; 140.92250;公式サイト: 仙台空港ターミナル;方向: 方向ILS長さ×幅 (m)表面12/30-1,200×45アスファルト09/27I3,000×45アスファルト;R階:;3階:;2階: 仙台空港駅・駐車場連絡通路;M2階:;1階: バス・タクシー乗り場;大阪国際空港: 約89万人;新千歳空港: 約81万人;1: 宮城交通・山交バス;2: 岩手県北自動車;3: 岩沼市民バス;国・地域: 日本;所在地: 宮城県名取市・岩沼市;母都市: 仙台市;種類: 商業;運営者: 仙台国際空港株式会社;運用時間: 7:30 - 21:30;標高: 5 m(16.4 ft);座標: 北緯38度08分13秒東経140度55分21秒﻿ / ﻿北緯38.13694度 東経140.92250度﻿ / 38.13694; 140.92250座標: 北緯38度08分13秒東経140度55分21秒﻿ / ﻿北緯38.13694度 東経140.92250度﻿ / 38.13694; 140.92250;公式サイト: 仙台空港ターミナル;方向: 方向ILS長さ×幅 (m)表面12/30-1,200×45アスファルト09/27I3,000×45アスファルト;R階:;3階:;2階: 仙台空港駅・駐車場連絡通路;M2階:;1階: バス・タクシー乗り場;大阪国際空港: 約89万人;新千歳空港: 約81万人;1: 宮城交通・山交バス;2: 岩手県北自動車;3: 岩沼市民バス","日本の空港","表形式","宮城県中南部の海岸にほど近い、仙台市のJR仙台駅から南南東14kmほどのところに位置し、空港連絡鉄道である仙台空港アクセス線で結ばれている。離着陸の際には、広大な太平洋と仙台湾沿いに続く砂浜や防砂林の松林、南北に流れる貞山運河、そして奥羽山脈に抱かれた仙台平野と市街地のビル群が一望の下になる。"
