"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法"
"札幌市","札幌（文化・スポーツ） - 時計台、中島公園、北大（札幌農学校第2農場、北大植物園）、ウィンタースポーツなど。","https://ja.wikipedia.org/wiki/札幌市","北緯43度3分43.5秒東経141度21分15.8秒","国: 日本;地方: 北海道地方;都道府県: 北海道（石狩振興局）;市町村コード: 01100-2;法人番号: 9000020011002;面積: 1,121.26km2;総人口: 1,960,755人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 1,749人/km2;隣接自治体: 石狩振興局：江別市、北広島市、石狩市、恵庭市、千歳市、石狩郡当別町後志総合振興局：小樽市、虻田郡喜茂別町、虻田郡京極町、余市郡赤井川村胆振総合振興局：伊達市;市の木: ライラック;市の花: スズラン;市の鳥: カッコウ;市長: [編集]秋元克広;所在地: 〒060-8611北海道札幌市中央区北1条西2丁目北緯43度3分43.5秒東経141度21分15.8秒座標: 北緯43度3分43.5秒 東経141度21分15.8秒札幌市役所庁舎;外部リンク: 札幌市 City of Sapporo;最高気温記録 °C（°F）: 11.2(52.2);平均最高気温 °C（°F）: −0.4(31.3);日平均気温 °C（°F）: −3.2(26.2);平均最低気温 °C（°F）: −6.4(20.5);最低気温記録 °C（°F）: −27.0(−16.6);降水量mm （inch）: 108.4(4.268);降雪量cm （inch）: 137(53.9);平均降水日数 （≥0.5mm）: 22.1;平均降雪日数 （≥0cm）: 29.1;% 湿度: 69;平均月間日照時間: 90.4;平均最高気温 °C（°F）: −1.1(30);日平均気温 °C（°F）: −4.6(23.7);平均最低気温 °C（°F）: −8.4(16.9);最高気温記録 °C（°F）: 9.3(48.7);平均最高気温 °C（°F）: −0.8(30.6);日平均気温 °C（°F）: −4.2(24.4);平均最低気温 °C（°F）: −8.4(16.9);最低気温記録 °C（°F）: −20.9(−5.6);降水量mm （inch）: 98.6(3.882);平均月間日照時間: 75.6;平均最高気温 °C（°F）: −1.9(28.6);平均最低気温 °C（°F）: −11.1(12);降水量mm （inch）: 60.8(2.394);降雪量cm （inch）: 64(25.2);平均月間日照時間: 93.9;インペリアル換算: インペリアル換算123456789101112  4.5 3119  3.7 3220  3 3927  2.2 5338  2.1 6347  1.8 7155  3.2 7763  4.9 8066  5.3 7258  4.3 6146  4.1 4734  4.4 3625気温（°F）総降水量（in）;中央区: 01101-1;北区: 01102-9;東区: 01103-7;白石区: 01104-5;豊平区: 01105-3;南区: 01106-1;西区: 01107-0;厚別区: 01108-8;手稲区: 01109-6;清田区: 01110-0;対馬嘉三郎: 初代;加藤寛六郎: 2代;青木定謙: 3代;阿部宇之八: 4代;佐藤友熊: 5代;高岡直吉: 初代;橋本正治: 2代;三沢寛一: 3代;上原六郎: 4代;高田富與: 5代;原田與作: 6代;板垣武四: 7代;桂信雄: 8代;上田文雄: 9代;秋元克広: 10代;年度: 1996;札幌市のランキング: 5;対象都市数: 12;札幌市議会自由民主党議員会: 27;札幌市議会民主市民連合議員会: 20;札幌市議会公明党議員会: 10;日本共産党札幌市議会議員団: 10;札幌市議会市民ネットワーク北海道: 1;国: 日本;地方: 北海道地方;都道府県: 北海道（石狩振興局）;市町村コード: 01100-2;法人番号: 9000020011002;面積: 1,121.26km2;総人口: 1,960,755人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 1,749人/km2;隣接自治体: 石狩振興局：江別市、北広島市、石狩市、恵庭市、千歳市、石狩郡当別町後志総合振興局：小樽市、虻田郡喜茂別町、虻田郡京極町、余市郡赤井川村胆振総合振興局：伊達市;市の木: ライラック;市の花: スズラン;市の鳥: カッコウ;市長: [編集]秋元克広;所在地: 〒060-8611北海道札幌市中央区北1条西2丁目北緯43度3分43.5秒東経141度21分15.8秒座標: 北緯43度3分43.5秒 東経141度21分15.8秒札幌市役所庁舎;外部リンク: 札幌市 City of Sapporo;最高気温記録 °C（°F）: 11.2(52.2);平均最高気温 °C（°F）: −0.4(31.3);日平均気温 °C（°F）: −3.2(26.2);平均最低気温 °C（°F）: −6.4(20.5);最低気温記録 °C（°F）: −27.0(−16.6);降水量mm （inch）: 108.4(4.268);降雪量cm （inch）: 137(53.9);平均降水日数 （≥0.5mm）: 22.1;平均降雪日数 （≥0cm）: 29.1;% 湿度: 69;平均月間日照時間: 90.4;平均最高気温 °C（°F）: −1.1(30);日平均気温 °C（°F）: −4.6(23.7);平均最低気温 °C（°F）: −8.4(16.9);最高気温記録 °C（°F）: 9.3(48.7);平均最高気温 °C（°F）: −0.8(30.6);日平均気温 °C（°F）: −4.2(24.4);平均最低気温 °C（°F）: −8.4(16.9);最低気温記録 °C（°F）: −20.9(−5.6);降水量mm （inch）: 98.6(3.882);平均月間日照時間: 75.6;平均最高気温 °C（°F）: −1.9(28.6);平均最低気温 °C（°F）: −11.1(12);降水量mm （inch）: 60.8(2.394);降雪量cm （inch）: 64(25.2);平均月間日照時間: 93.9;インペリアル換算: インペリアル換算123456789101112  4.5 3119  3.7 3220  3 3927  2.2 5338  2.1 6347  1.8 7155  3.2 7763  4.9 8066  5.3 7258  4.3 6146  4.1 4734  4.4 3625気温（°F）総降水量（in）;中央区: 01101-1;北区: 01102-9;東区: 01103-7;白石区: 01104-5;豊平区: 01105-3;南区: 01106-1;西区: 01107-0;厚別区: 01108-8;手稲区: 01109-6;清田区: 01110-0;対馬嘉三郎: 初代;加藤寛六郎: 2代;青木定謙: 3代;阿部宇之八: 4代;佐藤友熊: 5代;高岡直吉: 初代;橋本正治: 2代;三沢寛一: 3代;上原六郎: 4代;高田富與: 5代;原田與作: 6代;板垣武四: 7代;桂信雄: 8代;上田文雄: 9代;秋元克広: 10代;年度: 1996;札幌市のランキング: 5;対象都市数: 12;札幌市議会自由民主党議員会: 27;札幌市議会民主市民連合議員会: 20;札幌市議会公明党議員会: 10;日本共産党札幌市議会議員団: 10;札幌市議会市民ネットワーク北海道: 1","日本の観光地一覧","箇条書き"
"小樽市","小樽（歴史遺産・町並・文化） - 小樽運河、北のウォール街、手宮線、北一硝子など。","https://ja.wikipedia.org/wiki/小樽市","北緯43度11分26.6秒東経140度59分39.7秒","国: 日本;地方: 北海道地方;都道府県: 北海道（後志総合振興局）;市町村コード: 01203-3;法人番号: 9000020012033;面積: 243.83km2;総人口: 111,645人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 458人/km2;隣接自治体: 後志総合振興局:余市郡余市町、赤井川村石狩振興局:札幌市、石狩市;市の木: シラカンバ（昭和43年5月28日制定）;市の花: ツツジ（昭和43年5月28日制定）;市の鳥: アオバト（昭和61年5月10日制定）;市長: [編集]迫俊哉;所在地: 〒047-8660北海道小樽市花園2丁目12番1号北緯43度11分26.6秒東経140度59分39.7秒;外部リンク: 小樽市;最高気温記録 °C（°F）: 11.0(51.8);平均最高気温 °C（°F）: −0.7(30.7);日平均気温 °C（°F）: −3.3(26.1);平均最低気温 °C（°F）: −6.1(21);最低気温記録 °C（°F）: −18.0(−0.4);降水量mm （inch）: 142.3(5.602);降雪量cm （inch）: 194(76.4);平均降雪日数: 29.4;% 湿度: 70;平均月間日照時間: 66.2;平均最高気温 °C（°F）: −1.0(30.2);日平均気温 °C（°F）: −3.7(25.3);平均最低気温 °C（°F）: −6.6(20.1)","日本の観光地一覧","箇条書き"
"倶知安町","倶知安・ニセコ（保養地・自然） - スキー場、羊蹄山・ニセコアンヌプリなどの山岳、ニセコ温泉郷。","https://ja.wikipedia.org/wiki/倶知安町","北緯42度53分42秒東経140度45分18秒","国: 日本;地方: 北海道地方;都道府県: 北海道（後志総合振興局）;郡: 虻田郡;市町村コード: 01400-1;法人番号: 4000020014001;面積: 261.34km2;総人口: 14,963人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 57.3人/km2;隣接自治体: 虻田郡京極町、虻田郡ニセコ町、余市郡仁木町、余市郡赤井川村、岩内郡共和町、磯谷郡蘭越町;町の木: イタヤカエデ;町の花: キバナシャクナゲ;町長: [編集]文字一志;所在地: 〒044-0001北海道虻田郡倶知安町北1条東3丁目3北緯42度53分42秒東経140度45分18秒;外部リンク: 公式ウェブサイト;最高気温記録 °C（°F）: 8.7(47.7);平均最高気温 °C（°F）: −2.2(28);日平均気温 °C（°F）: −5.7(21.7);平均最低気温 °C（°F）: −10.1(13.8);最低気温記録 °C（°F）: −35.7(−32.3);降水量mm （inch）: 188.9(7.437);降雪量cm （inch）: 291(114.6);% 湿度: 82;平均月間日照時間: 49.4;平均最高気温 °C（°F）: −2.5(27.5);日平均気温 °C（°F）: −6.3(20.7);平均最低気温 °C（°F）: −11.3(11.7);降雪量cm （inch）: 410(161.4);インペリアル換算: インペリアル換算123456789101112  7.4 2813  5.4 2913  3.6 3620  2.8 4831  2.8 6141  2.1 6851  3.2 7560  5.7 7762  5.3 7051  5.8 5839  7 4429  7.6 3219気温（°F）総降水量（in）;国: 日本;地方: 北海道地方;都道府県: 北海道（後志総合振興局）;郡: 虻田郡;市町村コード: 01400-1;法人番号: 4000020014001;面積: 261.34km2;総人口: 14,963人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 57.3人/km2;隣接自治体: 虻田郡京極町、虻田郡ニセコ町、余市郡仁木町、余市郡赤井川村、岩内郡共和町、磯谷郡蘭越町;町の木: イタヤカエデ;町の花: キバナシャクナゲ;町長: [編集]文字一志;所在地: 〒044-0001北海道虻田郡倶知安町北1条東3丁目3北緯42度53分42秒東経140度45分18秒;外部リンク: 公式ウェブサイト;最高気温記録 °C（°F）: 8.7(47.7);平均最高気温 °C（°F）: −2.2(28);日平均気温 °C（°F）: −5.7(21.7);平均最低気温 °C（°F）: −10.1(13.8);最低気温記録 °C（°F）: −35.7(−32.3);降水量mm （inch）: 188.9(7.437);降雪量cm （inch）: 291(114.6);% 湿度: 82;平均月間日照時間: 49.4;平均最高気温 °C（°F）: −2.5(27.5);日平均気温 °C（°F）: −6.3(20.7);平均最低気温 °C（°F）: −11.3(11.7);降雪量cm （inch）: 410(161.4);インペリアル換算: インペリアル換算123456789101112  7.4 2813  5.4 2913  3.6 3620  2.8 4831  2.8 6141  2.1 6851  3.2 7560  5.7 7762  5.3 7051  5.8 5839  7 4429  7.6 3219気温（°F）総降水量（in）","日本の観光地一覧","箇条書き"
"積丹町","積丹（自然・文化） - 神威岬、積丹岬・島武意海岸、積丹温泉、ソーラン節関係など。","https://ja.wikipedia.org/wiki/積丹町","北緯43度17分55.4秒東経140度35分52.8秒","国: 日本;地方: 北海道地方;都道府県: 北海道（後志総合振興局）;郡: 積丹郡;市町村コード: 01405-2;法人番号: 2000020014052;面積: 238.14km2;総人口: 1,916人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 8.05人/km2;隣接自治体: 古平郡古平町、古宇郡神恵内村;町の木: エゾヤマザクラ;町の花: エゾカンゾウ;町長: [編集]松井秀紀;所在地: 〒046-0201北海道積丹郡積丹町大字美国町字船澗48-5北緯43度17分55.4秒東経140度35分52.8秒;外部リンク: 積丹町 公式サイト;最高気温記録 °C（°F）: 8.4(47.1);平均最高気温 °C（°F）: −1.3(29.7);日平均気温 °C（°F）: −4.2(24.4);平均最低気温 °C（°F）: −7.5(18.5);最低気温記録 °C（°F）: −17.1(1.2);降水量mm （inch）: 220.1(8.665);平均降水日数 （≥1.0 mm）: 26.7;平均月間日照時間: 25.9","日本の観光地一覧","箇条書き"
"函館市","函館（文化・自然） - 五稜郭、重要伝統的建造物群保存地区「元町」、世界三大夜景の函館山など。","https://ja.wikipedia.org/wiki/函館市","北緯41度46分7.2秒東経140度43分44.1秒","国: 日本;地方: 北海道地方;都道府県: 北海道（渡島総合振興局）;市町村コード: 01202-5;法人番号: 9000020012025;面積: 677.86km2;総人口: 250,053人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 369人/km2;隣接自治体: 北斗市亀田郡七飯町、茅部郡鹿部町（海上を隔てて隣接）青森県下北郡大間町;市の木: おんこ（いちい）;市の花: つつじ（やまつつじ）;他のシンボル: 市の鳥：ヤマガラ市の魚：イカ;市長: [編集]工藤壽樹;所在地: 〒040-8666北海道函館市東雲町4-13北緯41度46分7.2秒東経140度43分44.1秒座標: 北緯41度46分7.2秒 東経140度43分44.1秒;外部リンク: 函館市公式サイト;インペリアル換算: インペリアル換算123456789101112  3 3321  2.3 3521  2.3 4227  2.8 5337  3.3 6246  2.9 6854  5.1 7462  6.1 7866  6 7357  3.9 6245  4.3 4935  3.3 3826気温（°F）総降水量（in）;最高気温記録 °C（°F）: 12.5(54.5);平均最高気温 °C（°F）: 0.7(33.3);日平均気温 °C（°F）: −2.6(27.3);平均最低気温 °C（°F）: −6.2(20.8);最低気温記録 °C（°F）: −19.0(−2.2);降水量mm （inch）: 77.2(3.039);降雪量cm （inch）: 118(46.5);平均月間日照時間: 103.4;平均最高気温 °C（°F）: 0.1(32.2);日平均気温 °C（°F）: −3.4(25.9);平均最低気温 °C（°F）: −7.4(18.7);国: 日本;地方: 北海道地方;都道府県: 北海道（渡島総合振興局）;市町村コード: 01202-5;法人番号: 9000020012025;面積: 677.86km2;総人口: 250,053人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 369人/km2;隣接自治体: 北斗市亀田郡七飯町、茅部郡鹿部町（海上を隔てて隣接）青森県下北郡大間町;市の木: おんこ（いちい）;市の花: つつじ（やまつつじ）;他のシンボル: 市の鳥：ヤマガラ市の魚：イカ;市長: [編集]工藤壽樹;所在地: 〒040-8666北海道函館市東雲町4-13北緯41度46分7.2秒東経140度43分44.1秒座標: 北緯41度46分7.2秒 東経140度43分44.1秒;外部リンク: 函館市公式サイト;インペリアル換算: インペリアル換算123456789101112  3 3321  2.3 3521  2.3 4227  2.8 5337  3.3 6246  2.9 6854  5.1 7462  6.1 7866  6 7357  3.9 6245  4.3 4935  3.3 3826気温（°F）総降水量（in）;最高気温記録 °C（°F）: 12.5(54.5);平均最高気温 °C（°F）: 0.7(33.3);日平均気温 °C（°F）: −2.6(27.3);平均最低気温 °C（°F）: −6.2(20.8);最低気温記録 °C（°F）: −19.0(−2.2);降水量mm （inch）: 77.2(3.039);降雪量cm （inch）: 118(46.5);平均月間日照時間: 103.4;平均最高気温 °C（°F）: 0.1(32.2);日平均気温 °C（°F）: −3.4(25.9);平均最低気温 °C（°F）: −7.4(18.7)","日本の観光地一覧","箇条書き"
"松前町 (北海道)","松前（歴史遺産・町並） - 松前城と寺町。","https://ja.wikipedia.org/wiki/松前町_(北海道)","北緯41度25分47.8秒東経140度6分37.2秒","国: 日本;地方: 北海道地方;都道府県: 北海道（渡島総合振興局）;郡: 松前郡;市町村コード: 01331-5;法人番号: 6000020013315;面積: 293.25km2;総人口: 6,624人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 22.6人/km2;隣接自治体: 松前郡福島町、檜山郡上ノ国町（海を挟んで隣接）青森県北津軽郡中泊町;町の木: マツ;町の花: サクラ;他のシンボル: -;町長: [編集]石山英雄;所在地: 〒049-1592北海道松前郡松前町字福山248北緯41度25分47.8秒東経140度6分37.2秒;外部リンク: 北海道松前町;平均最高気温 °C（°F）: 1.7(35.1);日平均気温 °C（°F）: −0.7(30.7);平均最低気温 °C（°F）: −3.1(26.4);降水量mm （inch）: 103.0(4.055);平均月間日照時間: 33.7","日本の観光地一覧","箇条書き"
"七飯町","七飯（自然・保養） - 大沼・小沼などの大沼国定公園、流山温泉。","https://ja.wikipedia.org/wiki/七飯町","北緯41度53分44.5秒東経140度41分39.8秒","国: 日本;地方: 北海道地方;都道府県: 北海道（渡島総合振興局）;郡: 亀田郡;市町村コード: 01337-4;法人番号: 4000020013374;面積: 216.75km2;総人口: 27,984人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 129人/km2;隣接自治体: 函館市、北斗市、茅部郡鹿部町、森町;の木: アカマツ;の花: 主花：リンゴの花副花：サルビア;長: [編集]中宮安一;所在地: 〒041-1192北海道亀田郡七飯町本町6丁目1-1北緯41度53分44.5秒東経140度41分39.8秒;外部リンク: 七飯町","日本の観光地一覧","箇条書き"
"江差町","江差（歴史遺産・町並・文化） - 旧中村家住宅などの歴史的建造物、江差追分関係。","https://ja.wikipedia.org/wiki/江差町","北緯41度52分8.9秒東経140度7分38.8秒","国: 日本;地方: 北海道地方;都道府県: 北海道（檜山振興局）;郡: 檜山郡;市町村コード: 01361-7;法人番号: 1000020013617;面積: 109.53km2;総人口: 7,185人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 65.6人/km2;隣接自治体: 檜山郡上ノ国町、厚沢部町、爾志郡乙部町;町の木: ヒノキアスナロ;町の花: ハマナス;町長: [編集]照井誉之介;所在地: 〒043-8560北海道檜山郡江差町字中歌町193-1北緯41度52分8.9秒東経140度7分38.8秒;外部リンク: 江差町;最高気温記録 °C（°F）: 10.6(51.1);平均最高気温 °C（°F）: 1.5(34.7);日平均気温 °C（°F）: −0.8(30.6);平均最低気温 °C（°F）: −3.4(25.9);最低気温記録 °C（°F）: −12.7(9.1);降水量mm （inch）: 85.5(3.366);降雪量cm （inch）: 113(44.5);% 湿度: 68;平均月間日照時間: 32.4","日本の観光地一覧","箇条書き"
"登別市","登別（保養地） - 登別温泉、カルルス温泉など。","https://ja.wikipedia.org/wiki/登別市","北緯42度24分45.9秒東経141度6分23.7秒","国: 日本;地方: 北海道地方;都道府県: 北海道（胆振総合振興局）;市町村コード: 01230-1;法人番号: 5000020012301;面積: 212.21km2;総人口: 46,392人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 219人/km2;隣接自治体: 室蘭市、伊達市、有珠郡壮瞥町、白老郡白老町;市の木: プラタナス;市の花: キク;市の花木: ツツジ;市長: [編集]小笠原春一;所在地: 〒059-8701北海道登別市中央町6丁目11北緯42度24分45.9秒東経141度6分23.7秒;外部リンク: 公式ウェブサイト;会派名: 議員定数19名議会定例会年4回（概ね3月・6月・9月・12月開催）臨時会委員会議会運営委員会常任委員会総務・教育委員会生活・福祉委員会観光・経済委員会広聴・公開編集委員会予算・決算委員会議会運営委員会","日本の観光地一覧","箇条書き"
"洞爺湖町","洞爺湖・壮瞥（自然・保養地） - 洞爺湖、有珠山、昭和新山、洞爺湖温泉など温泉。","https://ja.wikipedia.org/wiki/洞爺湖町","","国: 日本;地方: 北海道地方;都道府県: 北海道（胆振総合振興局）;郡: 虻田郡;市町村コード: 01584-9;法人番号: 5000020015849;面積: 180.81km2;総人口: 8,416人 [編集]（住民基本台帳人口、2021年3月31日）;人口密度: 46.5人/km2;隣接自治体: 伊達市、有珠郡壮瞥町、虻田郡豊浦町、虻田郡真狩村、留寿都村;町の木: サクラ、ナナカマド;町の花: スミレ、ツツジ;町長: [編集]真屋敏春;所在地: 〒049-5692北海道虻田郡洞爺湖町栄町58;外部リンク: 公式ウェブサイト","日本の観光地一覧","箇条書き"
