"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"常磐公園","常磐公園（北海道旭川市）","https://ja.wikipedia.org/wiki/常磐公園","北緯43度46分30秒東経142度21分26秒","分類: 総合公園;所在地: 日本北海道旭川市常磐公園;座標: 北緯43度46分30秒東経142度21分26秒﻿ / ﻿北緯43.77500度 東経142.35722度﻿ / 43.77500; 142.35722座標: 北緯43度46分30秒東経142度21分26秒﻿ / ﻿北緯43.77500度 東経142.35722度﻿ / 43.77500; 142.35722;面積: 15.85ヘクタール;開園: 1916年(大正5年)5月1日;運営者: 旭川市公園緑地協会;設備・遊具: 池、親水デッキ、プール、彫刻、モニュメント、記念碑、旧天文台、図書館、美術館、公会堂、四阿、駐車場、休憩施設、照明施設、トイレ、遊具;駐車場: あり（各施設との併用）;アクセス: 北海道旅客鉄道（JR北海道）旭川駅から車で約5分、徒歩で約15分;告示: 計画決定：昭和24年3月31日建設省告示第551号;事務所: 常磐公園管理事務所","日本の都市公園100選","箇条書き","旭川市で初めて開設された公園。市内中心部に位置し文化芸術の拠点となっているほか、隣接する旭川リベラインパークとともに各種イベントに利用される。なお、付近の地名などは「常盤」と表記するが公園名は「常磐」である。これは、1928年（昭和3年）の園名碑設置時に揮毫した字の間違いがそのまま公園名として決まったという説や、割れることを連想させる「皿」よりも壊れにくい「石」の字を用いたという説、1919年（大正8年）陸地測量部（現在の国土地理院）発行の地図による付近の町名には「常磐通」と書かれているためこれを採用したという説がある。"
"北海道子どもの国","北海道子どもの国（北海道砂川市）","https://ja.wikipedia.org/wiki/北海道子どもの国","北緯43度31分18秒東経141度55分56秒","分類: 都市公園;所在地: 日本北海道砂川市;座標: 北緯43度31分18秒東経141度55分56秒﻿ / ﻿北緯43.52167度 東経141.93222度﻿ / 43.52167; 141.93222座標: 北緯43度31分18秒東経141度55分56秒﻿ / ﻿北緯43.52167度 東経141.93222度﻿ / 43.52167; 141.93222;面積: 232.5ヘクタール;開園: 1979年（一部供用）1991年（全面供用）;運営者: 北海道子どもの国協会;設備・遊具: レストハウス、遊具、キャンプ場、展望台、池、宿泊研修施設、ハイウェイオアシス;駐車場: 南口駐車場359台（障害者用スペース4台分）北口駐車場125台（障害者用スペース4台分）ハイウェイオアシス駐車場417台（障害者用スペース5台分）;事務所: 北海道子どもの国管理事務所;事務所所在地: 北海道砂川市北光401番地の1;公式サイト: 北海道子どもの国","日本の都市公園100選","箇条書き","1974年（昭和49年）に自然に親しみながら児童の夢と希望を育む場として道立公園の適地に認められた。約80科255種の樹木や野草があり、野生小動物もいる公園となっており、1989年（平成元年）には「日本の都市公園100選」に選定されている。"
"大通公園","大通公園（北海道札幌市中央区）","https://ja.wikipedia.org/wiki/大通公園","北緯43度03分35秒東経141度20分47秒","分類: 特殊公園;所在地: 日本札幌市中央区大通西;座標: 北緯43度03分35秒東経141度20分47秒﻿ / ﻿北緯43.05972度 東経141.34639度﻿ / 43.05972; 141.34639座標: 北緯43度03分35秒東経141度20分47秒﻿ / ﻿北緯43.05972度 東経141.34639度﻿ / 43.05972; 141.34639;面積: 7.89ヘクタール;運営者: 札幌市公園緑化協会（指定管理者）;設備・遊具: 壁泉、噴水、広場、遊具、水路、園路;駐車場: 札幌大通地下駐車場（366台）;バリアフリー: ユニバーサルトイレ;アクセス: 札幌市営地下鉄大通駅または東西線西11丁目駅下車;告示: 昭和55年6月6日;事務所: 大通公園管理事務所;事務所所在地: 札幌市中央区大通西7;公式サイト: 大通公園","日本の都市公園100選","箇条書き","札幌市中心部に位置し、東西約1.5 km、面積約7.8 haの特殊公園であり、幅105 m、6車線の都市計画道路3・1・2「大通」の一部になっているほか、札幌市の「風致地区」「景観計画重点区域」に指定されている。芝生や花壇を整備しており、ライラック、ハルニレ、ケヤキをはじめとした92種、約4,700本の樹木がある。また、各種イベント（『さっぽろ雪まつり』『さっぽろライラックまつり』『YOSAKOIソーラン祭り』『さっぽろ夏まつり』『さっぽろオータムフェスト』『さっぽろホワイトイルミネーション』など）が開催されている。"
"中島公園","中島公園（北海道札幌市中央区）","https://ja.wikipedia.org/wiki/中島公園","北緯43度02分39秒東経141度21分18秒","分類: 総合公園;所在地: 日本札幌市中央区中島公園・南14条西5丁目・南15条西4丁目;座標: 北緯43度02分39秒東経141度21分18秒﻿ / ﻿北緯43.04417度 東経141.35500度﻿ / 43.04417; 141.35500座標: 北緯43度02分39秒東経141度21分18秒﻿ / ﻿北緯43.04417度 東経141.35500度﻿ / 43.04417; 141.35500;面積: 23.6ヘクタール;前身: 中島遊園地;運営者: 公園緑化協会・中島公園コンソーシアム（指定管理者）;設備・遊具: 児童館、劇場、茶室、日本庭園、池、西洋館、天文台、コンサートホール、広場、文学館、スポーツ施設、テニスコート;駐車場: なし;バリアフリー: ユニバーサルトイレ、スロープ（一部）;アクセス: 札幌市営地下鉄南北線中島公園駅または幌平橋駅下車札幌市電中島公園通停留場または行啓通停留場下車 徒歩3分北海道中央バス（西岡営業所、新千歳空港連絡バス）「中島公園」「中島公園入口」「幌平橋」バス停下車ジェイ・アール北海道バス（琴似営業所）「中島公園駅前」「中島公園入口」バス停下車;告示: 昭和32年3月23日;事務所: 中島公園管理事務所;事務所所在地: 札幌市中央区中島公園1;備考: 広域避難場所;公式サイト: 中島公園","日本の都市公園100選","箇条書き","札幌の歓楽街・すすきのに隣接しているが、水と緑豊かな公園になっている。国指定の重要文化財である豊平館や八窓庵、人形劇の専門劇場である札幌市こども人形劇場こぐま座、音楽の専用ホールである札幌コンサートホールKitara、札幌市天文台などがある。また、春には「さっぽろ園芸市」、「北海道神宮例祭」（札幌まつり）では屋台や見世物小屋の会場になるほか、年の瀬には「歳の市」を開催している。入口近くの「菖蒲池」は、春から秋までボートの貸し出しを行っている。また、冬には通路がクロスカントリースキー（歩くスキー）のコースになり、スキー道具一式を無料で貸し出している。"
"弘前公園","鷹揚公園（青森県弘前市）","https://ja.wikipedia.org/wiki/弘前公園","北緯40度36分28.93秒東経140度27分49.7秒","分類: 都市公園（総合公園）;所在地: 日本青森県弘前市大字下白銀町1;座標: 北緯40度36分28.93秒東経140度27分49.7秒﻿ / ﻿北緯40.6080361度 東経140.463806度﻿ / 40.6080361; 140.463806座標: 北緯40度36分28.93秒東経140度27分49.7秒﻿ / ﻿北緯40.6080361度 東経140.463806度﻿ / 40.6080361; 140.463806;面積: 約48.9ha;前身: 弘前城;開園: 1895年;運営者: 弘前市;設備・遊具: 弘前城天守（史料館）、弘前市立博物館、弘前市民会館、弘前城植物園、弘前市緑の相談所、西濠ボート;アクセス: JR・弘南鉄道弘前駅から弘南バス約15分;公式サイト: 弘前市のサイト","日本の都市公園100選","箇条書き","春には約50種、2,600本の桜が咲く名所としても知られる。"
"合浦公園","合浦公園（青森県青森市）","https://ja.wikipedia.org/wiki/合浦公園","北緯40度49分47.7秒東経140度46分44.5秒","分類: 都市公園（総合公園）;所在地: 日本青森県青森市合浦2丁目86外北緯40度49分47.7秒東経140度46分44.5秒﻿ / ﻿北緯40.829917度 東経140.779028度﻿ / 40.829917; 140.779028;面積: 17.0ha;開園: 1894年;設計者: 長岡安平;運営者: 青森市（指定管理者：パークメンテ青い森グループ）;設備・遊具: C11 167、動物舎など;バリアフリー: 車椅子対応トイレ;アクセス: バスで「合浦公園前」「岡造道一丁目」「合浦公園口」下車;事務所: パークメンテ青い森グループ;事務所所在地: 青森県青森市合浦2丁目17−50;公式サイト: 指定管理者のサイト","日本の都市公園100選","箇条書き","公園内には石川啄木の歌碑、棟方志功の言葉を刻んだ記念の石碑も建てられている。工藤卓爾の碑もある。青森県民駅伝競走大会の一区と二区の中継地点でもある。積雪期は青森市歩くスキーコースが開設され、用具の無料貸し出しも行っている。"
"岩手公園","岩手公園（岩手県盛岡市）","https://ja.wikipedia.org/wiki/岩手公園","北緯39度41分59.81秒東経141度9分0.4秒","別名: 不来方城;城郭構造: 連郭式平山城;天守構造: 御三階櫓（1842年以降は天守）不明3重（1633年築）独立式層塔型3重3階（1676年再 非現存）;築城主: 南部信直;築城年: 1598年;主な改修者: 南部重直;主な城主: 南部氏;廃城年: 1871年;遺構: 石垣、土塁、堀、移築土蔵・門;指定文化財: 国の史跡;位置: 北緯39度41分59.81秒東経141度9分0.4秒﻿ / ﻿北緯39.6999472度 東経141.150111度﻿ / 39.6999472; 141.150111座標: 北緯39度41分59.81秒東経141度9分0.4秒﻿ / ﻿北緯39.6999472度 東経141.150111度﻿ / 39.6999472; 141.150111;地図: 盛岡城","日本の都市公園100選","箇条書き","「盛岡城」は南部（盛岡）藩南部氏の居城である。西部を流れる北上川と南東部を流れる中津川の合流地、現在の盛岡市中心部にあった花崗岩丘陵に築城された連郭式平山城である。本丸の北側に二の丸が配され、本丸と二の丸の間は空堀で仕切られ現在は朱塗りの橋が架かっているが、存城当時は廊下橋（屋根付橋の一種）が架けられていた。さらにその北側に三の丸が配され、本丸を囲むように腰曲輪、淡路丸、榊山曲輪が配された。本丸には天守台が築かれたが、幕府への遠慮から天守は築かれず、天守台に御三階櫓が建造され代用とされた。後、1842年（天保13年）に12代利済により天守へと改称されている。"
"高田松原","高田松原公園（岩手県陸前高田市）","https://ja.wikipedia.org/wiki/高田松原","北緯39度0分12.4秒東経141度37分30.5秒","","日本の都市公園100選","箇条書き",""
"松島","松島公園（宮城県松島町、塩竈市、七ヶ浜町、利府町、東松島市）","https://ja.wikipedia.org/wiki/松島","北緯38度20分25.9秒東経141度9分7.1秒","","日本の都市公園100選","箇条書き",""
"榴岡公園","榴岡公園（宮城県仙台市宮城野区）","https://ja.wikipedia.org/wiki/榴岡公園","北緯38度15分38.2秒東経140度53分49.1秒","分類: 都市公園> 基幹公園 > 都市基幹公園 > 総合公園;所在地: 日本宮城県仙台市宮城野区榴ヶ岡、五輪1丁目、宮城野1丁目;座標: 北緯38度15分38.2秒東経140度53分49.1秒﻿ / ﻿北緯38.260611度 東経140.896972度﻿ / 38.260611; 140.896972座標: 北緯38度15分38.2秒東経140度53分49.1秒﻿ / ﻿北緯38.260611度 東経140.896972度﻿ / 38.260611; 140.896972;面積: 11.2 ha;前身: （榴ヶ岡）：桜の馬場（五輪）：大日本帝国陸軍歩兵第4連隊営 → 連合国軍キャンプ・ファウラー → 東北管区警察学校;開園: 1695年（元禄8年）：桜の馬場1902年（明治35年）：榴岡公園;運営者: 仙台市;設備・遊具: 歴史民俗資料館、市民センター、軽体育館、公園管理事務所、野外音楽堂噴水、四阿、彫像、ベンチ、水飲み場、植栽、照明灯児童遊具;駐車場: 48台（100円/1時間）;バリアフリー: バリアフリー公衆トイレ;アクセス: JR仙石線・榴ケ岡駅;告示: 1902年（明治35年）;備考: 土地所有者の国から仙台市に無償貸与","日本の都市公園100選","箇条書き","現在の仙台市内には、古来に歌枕として詠まれた地名が3つあった。宮城野と玉田横野と、そして躑躅岡である。"
