"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"笈川駅","笈川駅（おいかわえき）","https://ja.wikipedia.org/wiki/笈川駅","北緯37度34分44.07秒東経139度53分44.06秒","所在地: 福島県河沼郡湯川村大字湊字松前甲北緯37度34分44.07秒東経139度53分44.06秒﻿ / ﻿北緯37.5789083度 東経139.8955722度﻿ / 37.5789083; 139.8955722座標: 北緯37度34分44.07秒東経139度53分44.06秒﻿ / ﻿北緯37.5789083度 東経139.8955722度﻿ / 37.5789083; 139.8955722;所属事業者: 東日本旅客鉄道（JR東日本）;所属路線: ■磐越西線;キロ程: 73.2 km（郡山起点）;電報略号: オイ←ヲイ;駅構造: 地上駅;ホーム: 1面1線;乗車人員-統計年度-: 27人/日（降車客含まず）-2004年-;開業年月日: 1934年（昭和9年）11月1日;備考: 無人駅","日本の鉄道駅一覧_お","箇条書き","朝夕の一部と日中の1本を除き普通列車も通過し、利用できる列車は上下5往復の気動車列車のみである。ただし、日橋川「川の祭典」花火大会開催時に運転される臨時列車は電車で運転され、当駅に停車する。"
"大池遊園駅","大池遊園駅（おいけゆうえんえき）","https://ja.wikipedia.org/wiki/大池遊園駅","北緯34度12分17.01秒東経135度17分7.64秒","所在地: 和歌山県紀の川市貴志川町長山北緯34度12分17.01秒東経135度17分7.64秒﻿ / ﻿北緯34.2047250度 東経135.2854556度﻿ / 34.2047250; 135.2854556座標: 北緯34度12分17.01秒東経135度17分7.64秒﻿ / ﻿北緯34.2047250度 東経135.2854556度﻿ / 34.2047250; 135.2854556;駅番号: ○11;所属事業者: 和歌山電鐵;所属路線: 貴志川線;キロ程: 11.3 km（和歌山起点）;電報略号: オイケ;駅構造: 地上駅;ホーム: 1面1線;乗降人員-統計年度-: 195人/日-2019年-;開業年月日: 1933年（昭和8年）8月18日;備考: 無人駅","日本の鉄道駅一覧_お","箇条書き","大池遊園の最寄り駅で、和歌山市と海南市および紀の川市が接する付近にある。"
"置賜駅","置賜駅（おいたまえき）","https://ja.wikipedia.org/wiki/置賜駅","北緯37度57分15.57秒東経140度8分34.29秒","所在地: 山形県米沢市大字浅川字狐塚633北緯37度57分15.57秒東経140度8分34.29秒﻿ / ﻿北緯37.9543250度 東経140.1428583度﻿ / 37.9543250; 140.1428583座標: 北緯37度57分15.57秒東経140度8分34.29秒﻿ / ﻿北緯37.9543250度 東経140.1428583度﻿ / 37.9543250; 140.1428583;所属事業者: 東日本旅客鉄道（JR東日本）;所属路線: ■奥羽本線（山形線）;キロ程: 45.6 km（福島起点）;電報略号: タマ;駅構造: 地上駅;ホーム: 1面2線;乗車人員-統計年度-: 51人/日（降車客含まず）-2004年-;開業年月日: 1917年（大正6年）12月20日;備考: 無人駅（乗車駅証明書発行機 有）;1・2: ■山形線","日本の鉄道駅一覧_お","箇条書き","島式ホーム1面2線を有する地上駅。かつては2面3線であり、使用されなくなった単式ホームが残っている（跨線橋は当該部分が封鎖されている）。一線スルーとなっており、列車の行き違いがない場合は両方向の列車とも、1番線から発着する。駅舎とホームは跨線橋で連絡している。"
"老津駅","老津駅（おいつえき）","https://ja.wikipedia.org/wiki/老津駅","北緯34度41分32.3秒東経137度20分6秒","所在地: 愛知県豊橋市老津町字西高縄北緯34度41分32.3秒東経137度20分6秒﻿ / ﻿北緯34.692306度 東経137.33500度﻿ / 34.692306; 137.33500座標: 北緯34度41分32.3秒東経137度20分6秒﻿ / ﻿北緯34.692306度 東経137.33500度﻿ / 34.692306; 137.33500;駅番号:  11;所属事業者: 豊橋鉄道;所属路線: 渥美線;キロ程: 10.7 km（新豊橋起点）;駅構造: 地上駅;ホーム: 2面2線;乗車人員-統計年度-: 322人/日（降車客含まず）-2019年-;乗降人員-統計年度-: 635人/日-2019年-;開業年月日: 1924年（大正13年）1月22日;備考: 駅員非配置駅;合 計: 通勤定期;1978年（昭和53年）: 96,540;1979年（昭和54年）: 98,260;1980年（昭和55年）: 93,490;1981年（昭和56年）: 91,590;1982年（昭和57年）: 86,234;1983年（昭和58年）: 85,252;1984年（昭和59年）: 76,613;1985年（昭和60年）: 69,751;1986年（昭和61年）: 70,226;1987年（昭和62年）: 74,398;1988年（昭和63年）: 83,255;1989年（平成元年）: 77,812;1990年（平成2年）: 86,964;1991年（平成3年）: 85,426;1992年（平成4年）: 83,150;1993年（平成5年）: 79,951;1994年（平成6年）: 83,084;1995年（平成7年）: 81,824;1996年（平成8年）: 82,681;1997年（平成9年）: 77,799;1998年（平成10年）: 77,754;1999年（平成11年）: 77,445;2000年（平成12年）: 78,608;2001年（平成13年）: 80,288;2002年（平成14年）: 75,556;2003年（平成15年）: 71,595;2004年（平成16年）: 75,321;2005年（平成17年）:;2006年（平成18年）:;2007年（平成19年）:","日本の鉄道駅一覧_お","箇条書き","相対式ホーム2面2線を有する地上駅である。2つのホームは構内踏切（警報機・遮断機ともなし）で繋がっている。かつては有人駅であったが、現在は無人駅である。留置線1本と、かつて貨物列車が使用していた側線1本があり、車両の搬入や長期留置に使用されることがある。"
"追良瀬駅","追良瀬駅（おいらせえき）","https://ja.wikipedia.org/wiki/追良瀬駅","北緯40度41分9.73秒東経139度58分13.66秒","所属事業者: 東日本旅客鉄道（JR東日本）;所属路線: ■五能線;キロ程: 72.9 km（東能代起点）;電報略号: オラ←ヲラ;駅構造: 地上駅;ホーム: 1面1線;開業年月日: 1934年（昭和9年）12月13日;備考: 無人駅","日本の鉄道駅一覧_お","箇条書き","単式ホーム1面1線を持つ地上駅である。横取線を有する。かつては島式ホーム1面2線であった。"
"追分駅 (北海道)","追分駅 (北海道)（おいわけえき・北海道旅客鉄道室蘭本線・石勝線）","https://ja.wikipedia.org/wiki/追分駅_(北海道)","北緯42度52分23.74秒東経141度48分38.57秒","所在地: 北海道勇払郡安平町追分中央北緯42度52分23.74秒東経141度48分38.57秒﻿ / ﻿北緯42.8732611度 東経141.8107139度﻿ / 42.8732611; 141.8107139﻿ (追分駅);駅番号: ○K15;所属事業者: 北海道旅客鉄道（JR北海道）;電報略号: オイ←ヲイ;駅構造: 地上駅;ホーム: 2面4線;乗降人員-統計年度-: 492人/日-2018年-;開業年月日: 1892年（明治25年）8月1日;所属路線: 室蘭本線;キロ程: 170.8 km（長万部起点）;所属路線: ■石勝線;キロ程: 17.6 km（南千歳起点）;備考: 直営駅（管理駅）みどりの窓口有;1: ■石勝線;2: ■室蘭本線;3: ■室蘭本線;4: （定期列車は降車専用）","日本の鉄道駅一覧_お","箇条書き","室蘭本線を所属線としており、石勝線を加えた2路線が乗り入れている。駅番号は石勝線に準拠したK15が与えられている。かつては夕張線（現：石勝線）からの石炭貨物列車が多く往来して栄え、広々とした構内にその面影を残す。"
"追分駅 (秋田県)","追分駅 (秋田県)（おいわけえき・東日本旅客鉄道奥羽本線・男鹿線）","https://ja.wikipedia.org/wiki/追分駅_(秋田県)","北緯39度48分35.82秒東経140度3分27.88秒","所属事業者: 東日本旅客鉄道（JR東日本）;電報略号: オヒ←ヲヒ;駅構造: 地上駅;ホーム: 2面3線;乗車人員-統計年度-: 1,507人/日（降車客含まず）-2020年-;開業年月日: 1902年（明治35年）10月21日;所属路線: ■奥羽本線;キロ程: 311.7 km（福島起点）;所属路線: ■男鹿線;キロ程: 0.0 km（追分起点）;備考: 業務委託駅;1: ■男鹿線;2: ■男鹿線;3: ■奥羽本線","日本の鉄道駅一覧_お","箇条書き","奥羽本線と男鹿線が乗り入れており、奥羽本線を所属線としている。男鹿線は当駅が路線としての起点であるが、同線のすべての列車は奥羽本線経由で秋田駅まで運転される。"
"追分駅 (三重県)","追分駅 (三重県)（おいわけえき・四日市あすなろう鉄道内部線）","https://ja.wikipedia.org/wiki/追分駅_(三重県)","北緯34度56分3.25秒東経136度35分46.08秒","所在地: 三重県四日市市追分三丁目3-19北緯34度56分3.25秒東経136度35分46.08秒﻿ / ﻿北緯34.9342361度 東経136.5961333度﻿ / 34.9342361; 136.5961333座標: 北緯34度56分3.25秒東経136度35分46.08秒﻿ / ﻿北緯34.9342361度 東経136.5961333度﻿ / 34.9342361; 136.5961333;所属事業者: 四日市あすなろう鉄道;所属路線: 内部線;キロ程: 4.3 km（あすなろう四日市起点）;電報略号: オワケ;駅構造: 地上駅;ホーム: 1面1線;乗車人員-統計年度-: 336人/日（降車客含まず）-2019年-;乗降人員-統計年度-: 617人/日-2019年-;開業年月日: 1922年（大正11年）6月21日;備考: 無人駅（自動券売機 有）;合 計: 通勤定期;1958年（昭和33年）: 456,964;1959年（昭和34年）:;1960年（昭和35年）:;1961年（昭和36年）:;1962年（昭和37年）:;1963年（昭和38年）:;1964年（昭和39年）:;1965年（昭和40年）: 402,420;1966年（昭和41年）: 391,680;1967年（昭和42年）: 403,620;1968年（昭和43年）: 400,470;1969年（昭和44年）: 424,680;1970年（昭和45年）: 425,250;1971年（昭和46年）: 460,800;1972年（昭和47年）: 475,830;1973年（昭和48年）: 514,710;1974年（昭和49年）: 512,700;1975年（昭和50年）: 539,610;1976年（昭和51年）: 499,890;1977年（昭和52年）: 454,200;1978年（昭和53年）: 450,420;1979年（昭和54年）: 417,060;1980年（昭和55年）: 420,000;1981年（昭和56年）: 413,790;1982年（昭和57年）: 401,580;1983年（昭和58年）: 423,570;1984年（昭和59年）: 414,510;1985年（昭和60年）: 390,060;1986年（昭和61年）: 375,840;1987年（昭和62年）: 372,900;1988年（昭和63年）: 368,610;1989年（平成元年）: 363,510;1990年（平成2年）: 389,940;1991年（平成3年）: 370,680;1992年（平成4年）: 359,010;1993年（平成5年）: 348,180;1994年（平成6年）: 364,950;1995年（平成7年）: 377,070;1996年（平成8年）: 382,560;1997年（平成9年）: 357,150;1998年（平成10年）: 356,280;1999年（平成11年）: 349,890;2000年（平成12年）: 347,550;2001年（平成13年）: 310,050;2002年（平成14年）: 296,250;2003年（平成15年）: 286,980;2004年（平成16年）: 278,970;2005年（平成17年）: 277,110;2006年（平成18年）: 258,270;2007年（平成19年）: 248,790;2008年（平成20年）: 228,570;2009年（平成21年）:;2010年（平成22年）:;2011年（平成23年）:;2012年（平成24年）:;2013年（平成25年）:;2014年（平成26年）:;2015年（平成27年）:;2016年（平成28年）:","日本の鉄道駅一覧_お","箇条書き","単式ホーム1面1線を持つ地上駅。ホームは線路西側にある。棒線駅のため、内部行きと四日市行きの双方が同一ホームに発着する。"
"追分駅 (滋賀県)","追分駅 (滋賀県)（おいわけえき・京阪京津線）","https://ja.wikipedia.org/wiki/追分駅_(滋賀県)","北緯34度59分29.52秒東経135度50分13.91秒","所在地: 滋賀県大津市追分町6-26北緯34度59分29.52秒東経135度50分13.91秒﻿ / ﻿北緯34.9915333度 東経135.8371972度﻿ / 34.9915333; 135.8371972座標: 北緯34度59分29.52秒東経135度50分13.91秒﻿ / ﻿北緯34.9915333度 東経135.8371972度﻿ / 34.9915333; 135.8371972;駅番号: OT  33;所属事業者: 京阪電気鉄道;所属路線: ▲京津線;キロ程: 3.4 km（御陵起点）;駅構造: 地上駅;ホーム: 2面2線;乗車人員-統計年度-: 896人/日（降車客含まず）-2019年-;乗降人員-統計年度-: 1,683人/日-2019年-;開業年月日: 1912年（大正元年）8月15日;備考: 無人駅;北側: ▲京津線;南側: 下り","日本の鉄道駅一覧_お","箇条書き","↑四宮駅"
"追分口駅","追分口駅（おいわけぐちえき）","https://ja.wikipedia.org/wiki/追分口駅","北緯36度4分57秒東経136度15分41秒","所在地: 福井県福井市上中町13-1-4北緯36度4分57秒東経136度15分41秒﻿ / ﻿北緯36.08250度 東経136.26139度﻿ / 36.08250; 136.26139座標: 北緯36度4分57秒東経136度15分41秒﻿ / ﻿北緯36.08250度 東経136.26139度﻿ / 36.08250; 136.26139;駅番号: ○E6;所属事業者: えちぜん鉄道;所属路線: ■勝山永平寺線;キロ程: 4.4 km（福井起点）;駅構造: 地上駅;ホーム: 1面2線;乗降人員-統計年度-: 92人/日-2018年-;開業年月日: 1915年（大正4年）5月13日;備考: 無人駅;駅舎側: ■勝山永平寺線;反対側: 下り","日本の鉄道駅一覧_お","箇条書き","島式ホーム1面2線を有する地上駅。無人駅となっている。"
