"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"杭瀬駅","杭瀬駅（くいせえき）","https://ja.wikipedia.org/wiki/杭瀬駅","北緯34度43分6.14秒東経135度26分19.96秒","所在地: 兵庫県尼崎市杭瀬本町一丁目1-1北緯34度43分6.14秒東経135度26分19.96秒﻿ / ﻿北緯34.7183722度 東経135.4388778度﻿ / 34.7183722; 135.4388778﻿ (杭瀬駅)座標: 北緯34度43分6.14秒東経135度26分19.96秒﻿ / ﻿北緯34.7183722度 東経135.4388778度﻿ / 34.7183722; 135.4388778﻿ (杭瀬駅);駅番号: HS07;所属事業者: 阪神電気鉄道;所属路線: 本線;キロ程: 6.8 km（大阪梅田起点）;駅構造: 高架駅;ホーム: 2面2線;乗降人員-統計年次-: 9,189人/日-2019年-;開業年月日: 1905年（明治38年）4月12日;1: ■本線;2: 下り","日本の鉄道駅一覧_く-け","箇条書き","過去には阪神国道線の北杭瀬までの連絡線（旅客営業はなかった）が分岐していたが、国道線とともに廃止され現存しない。"
"くいな橋駅","くいな橋駅（くいなばしえき）","https://ja.wikipedia.org/wiki/くいな橋駅","北緯34度57分45.62秒東経135度45分26.78秒","所在地: 京都市伏見区竹田中島町北緯34度57分45.62秒東経135度45分26.78秒﻿ / ﻿北緯34.9626722度 東経135.7574389度﻿ / 34.9626722; 135.7574389座標: 北緯34度57分45.62秒東経135度45分26.78秒﻿ / ﻿北緯34.9626722度 東経135.7574389度﻿ / 34.9626722; 135.7574389;駅番号: ●K14;所属事業者: 京都市交通局（京都市営地下鉄）;所属路線: 烏丸線;キロ程: 13.0 km（国際会館起点）;駅構造: 地下駅;ホーム: 1面2線;乗降人員-統計年度-: 6,021人/日-2019年-;開業年月日: 1988年（昭和63年）6月11日;1:  烏丸線;2: 上り","日本の鉄道駅一覧_く-け","箇条書き","同線が京都駅以南へ延伸するさい、この区間に新設される駅で唯一駅名の公募が行われ、近くを流れる鴨川にかかる「水鶏橋」（くいなばし）にちなんだ駅名となった（水鶏は鳥の一種）。駅番号はK14。"
"空港第2ビル駅","空港第2ビル駅（くうこうだいにビルえき）","https://ja.wikipedia.org/wiki/空港第2ビル駅","北緯35度46分24.6秒東経140度23分17.9秒","所在地: 千葉県成田市古込1-1北緯35度46分24.6秒東経140度23分17.9秒﻿ / ﻿北緯35.773500度 東経140.388306度﻿ / 35.773500; 140.388306座標: 北緯35度46分24.6秒東経140度23分17.9秒﻿ / ﻿北緯35.773500度 東経140.388306度﻿ / 35.773500; 140.388306;所属事業者: 東日本旅客鉄道（JR東日本）*京成電鉄（京成）;電報略号: クニ（JR東日本）;駅構造: 地下駅;ホーム: 1面1線（JR東日本）1面2線（京成）;乗車人員-統計年度-: （JR東日本）1,894人/日（降車客含まず）-2020年-;乗降人員-統計年度-: （京成電鉄）9,068人/日-2020年-;開業年月日: 1992年（平成4年）12月3日;所属路線: ■JR成田線（空港支線）;駅番号: JO36;キロ程: 9.8 km（成田起点）千葉から39.0 km東京から78.2 km;所属路線: ●京成本線;駅番号: KS41;キロ程: 68.3 km（京成上野起点）;所属路線: ●京成成田空港線（成田スカイアクセス線）;駅番号: KS41;キロ程: 50.4 km（京成高砂起点）;乗換: KS44東成田駅（京成東成田線・芝山鉄道線）;備考: JR東日本業務委託駅みどりの窓口有京成電鉄直営駅;1:  成田線・ 総武線（快速）;1:  成田スカイアクセス線;2: 下り;3:  京成本線;4: 下り","日本の鉄道駅一覧_く-け","箇条書き","←京成成田駅左側：京成 ↑成田湯川駅右側：JR 成田駅↑"
"空港通り駅","空港通り駅（くうこうどおりえき）","https://ja.wikipedia.org/wiki/空港通り駅","北緯34度16分51.6秒東経134度2分0.3秒","駅番号:  K07;所属事業者: 高松琴平電気鉄道;所属路線: ■琴平線;キロ程: 9.0 km（高松築港起点）;駅構造: 地上駅;ホーム: 単式ホーム1面1線;乗降人員-統計年度-: 1,330人/日-2018年-;開業年月日: 2006年（平成18年）7月29日;備考: 無人駅","日本の鉄道駅一覧_く-け","箇条書き","↑仏生山駅"
"身延山","久遠寺駅（くおんじえき）","https://ja.wikipedia.org/wiki/身延山#身延山ロープウェイ","北緯35度23分51秒東経138度24分59秒","標高: 1,153 m;所在地: 山梨県南巨摩郡身延町・早川町;位置: 北緯35度23分51秒東経138度24分59秒﻿ / ﻿北緯35.39750度 東経138.41639度﻿ / 35.39750; 138.41639;山系: 身延山地","日本の鉄道駅一覧_く-け","箇条書き","山麓の標高400m付近に日蓮宗総本山である身延山久遠寺があり、山頂にも日蓮が父母を偲んで建立したと言われる奥之院思親閣がある。身延山の参拝客のほか、頂上からの眺望がよいため観光客も多く訪れる。"
"玖珂駅","玖珂駅（くがえき）","https://ja.wikipedia.org/wiki/玖珂駅","北緯34度5分49.47秒東経132度4分55.83秒","所在地: 山口県岩国市玖珂町581-3北緯34度5分49.47秒東経132度4分55.83秒﻿ / ﻿北緯34.0970750度 東経132.0821750度﻿ / 34.0970750; 132.0821750座標: 北緯34度5分49.47秒東経132度4分55.83秒﻿ / ﻿北緯34.0970750度 東経132.0821750度﻿ / 34.0970750; 132.0821750;所属事業者: 西日本旅客鉄道（JR西日本）;所属路線: ■岩徳線;キロ程: 17.1 km（岩国起点）;電報略号: クカ;駅構造: 地上駅;ホーム: 1面1線;乗車人員-統計年度-: 366人/日（降車客含まず）-2019年-;開業年月日: 1934年（昭和9年）12月1日;備考: 簡易委託駅POS端末設置","日本の鉄道駅一覧_く-け","箇条書き","岩国駅管理の地上駅で簡易委託駅。出札窓口にはPOS端末が設置されている。"
"久が原駅","久が原駅（くがはらえき・東急池上線）","https://ja.wikipedia.org/wiki/久が原駅","北緯35度34分47.4秒東経139度41分7.2秒","所在地: 東京都大田区南久が原二丁目6番10号北緯35度34分47.4秒東経139度41分7.2秒﻿ / ﻿北緯35.579833度 東経139.685333度﻿ / 35.579833; 139.685333座標: 北緯35度34分47.4秒東経139度41分7.2秒﻿ / ﻿北緯35.579833度 東経139.685333度﻿ / 35.579833; 139.685333;駅番号: IK11;所属事業者: 東急電鉄;所属路線: ■池上線;キロ程: 7.1 km（五反田起点）;駅構造: 地上駅;ホーム: 2面2線;乗降人員-統計年度-: 12,146人/日-2020年-;開業年月日: 1923年（大正12年）5月4日;1:  池上線;2: 上り","日本の鉄道駅一覧_く-け","箇条書き","相対式ホーム2面2線を有する地上駅。スロープ、車椅子用トイレがありバリアフリー構造となっている。改札は上下線別々にあり、改札内でのホーム間移動はできない。"
"久我原駅","久我原駅（くがはらえき・いすみ鉄道いすみ線）","https://ja.wikipedia.org/wiki/久我原駅","北緯35度15分1.0秒東経140度14分51.7秒","所在地: 千葉県夷隅郡大多喜町久我原1026北緯35度15分1.0秒東経140度14分51.7秒﻿ / ﻿北緯35.250278度 東経140.247694度﻿ / 35.250278; 140.247694座標: 北緯35度15分1.0秒東経140度14分51.7秒﻿ / ﻿北緯35.250278度 東経140.247694度﻿ / 35.250278; 140.247694;所属事業者: いすみ鉄道;所属路線: いすみ線;キロ程: 20.8 km（大原起点）;電報略号: クカ;駅構造: 地上駅;ホーム: 1面1線;乗車人員-統計年度-: 3人/日（降車客含まず）-2018年-;開業年月日: 1960年（昭和35年）6月20日;備考: 無人駅","日本の鉄道駅一覧_く-け","箇条書き","2009年（平成21年）7月より三育学院大学が命名権を取得し、三育学院大学を冠した愛称が付与され、各種表記に反映されている。駅名標におけるローマ字表記は"Saniku Gakuin Kugahara"。駅舎（待合室）のローマ字表記は"SANIKU GAKUIN COLLEGE KUGAHARA STATION"。当初の契約期間は2012年（平成24年）3月末までとなっていたが、2017年（平成29年）現在もそのままである。"
"久我山駅","久我山駅（くがやまえき）","https://ja.wikipedia.org/wiki/久我山駅","北緯35度41分16.1秒東経139度35分59秒","所在地: 東京都杉並区久我山四丁目1番11号北緯35度41分16.1秒東経139度35分59秒﻿ / ﻿北緯35.687806度 東経139.59972度﻿ / 35.687806; 139.59972座標: 北緯35度41分16.1秒東経139度35分59秒﻿ / ﻿北緯35.687806度 東経139.59972度﻿ / 35.687806; 139.59972;駅番号: IN14;所属事業者: 京王電鉄;所属路線: ■井の頭線;キロ程: 10.2 km（渋谷起点）;駅構造: 地上駅（橋上駅）;ホーム: 1面2線;乗降人員-統計年度-: 30,329人/日-2020年-;開業年月日: 1933年（昭和8年）8月1日;1:  井の頭線;2: 上り","日本の鉄道駅一覧_く-け","箇条書き","島式ホーム1面2線を有する地上駅であり、橋上駅舎を持つ。"
"久喜駅","久喜駅（くきえき・東日本旅客鉄道東北本線・東武伊勢崎線）","https://ja.wikipedia.org/wiki/久喜駅","北緯36度3分56.69秒東経139度40分38.34秒","所在地: 埼玉県久喜市久喜中央二丁目;所属事業者: 東日本旅客鉄道（JR東日本・駅詳細）東武鉄道（駅詳細）;所在地: 埼玉県久喜市久喜中央二丁目1-1北緯36度3分56.69秒東経139度40分38.34秒﻿ / ﻿北緯36.0657472度 東経139.6773167度﻿ / 36.0657472; 139.6773167﻿ (JR 久喜駅)座標: 北緯36度3分56.69秒東経139度40分38.34秒﻿ / ﻿北緯36.0657472度 東経139.6773167度﻿ / 36.0657472; 139.6773167﻿ (JR 久喜駅);所属事業者: 東日本旅客鉄道（JR東日本）;所属路線: ■東北本線（宇都宮線）;キロ程: 48.9km（東京起点）東京から尾久経由で49.1 km;電報略号: クキ;駅構造: 地上駅（橋上駅）;ホーム: 2面3線;乗車人員-統計年度-: 25,483人/日（降車客含まず）-2020年-;開業年月日: 1885年（明治18年）7月16日;備考: 直営駅（管理駅）みどりの窓口有;1: ■宇都宮線（東北線）;3: 上り;所在地: 埼玉県久喜市久喜中央二丁目1-1北緯36度3分56.43秒東経139度40分39.65秒﻿ / ﻿北緯36.0656750度 東経139.6776806度﻿ / 36.0656750; 139.6776806﻿ (東武 久喜駅);駅番号: TI02;所属事業者: 東武鉄道;所属路線: ■伊勢崎線;キロ程: 47.7 km（浅草起点）;電報略号: クキ;駅構造: 地上駅（橋上駅）;ホーム: 2面4線;乗降人員-統計年度-: 51,656人/日-2019年-;開業年月日: 1899年（明治32年）8月27日;備考: 業務委託駅;1:  伊勢崎線;2: 館林・足利市・太田方面（一部  東武スカイツリーライン北千住・とうきょうスカイツリー・浅草方面）;3:  東武スカイツリーライン;所在地: 埼玉県久喜市久喜中央二丁目;所属事業者: 東日本旅客鉄道（JR東日本・駅詳細）東武鉄道（駅詳細）;所在地: 埼玉県久喜市久喜中央二丁目1-1北緯36度3分56.69秒東経139度40分38.34秒﻿ / ﻿北緯36.0657472度 東経139.6773167度﻿ / 36.0657472; 139.6773167﻿ (JR 久喜駅)座標: 北緯36度3分56.69秒東経139度40分38.34秒﻿ / ﻿北緯36.0657472度 東経139.6773167度﻿ / 36.0657472; 139.6773167﻿ (JR 久喜駅);所属事業者: 東日本旅客鉄道（JR東日本）;所属路線: ■東北本線（宇都宮線）;キロ程: 48.9km（東京起点）東京から尾久経由で49.1 km;電報略号: クキ;駅構造: 地上駅（橋上駅）;ホーム: 2面3線;乗車人員-統計年度-: 25,483人/日（降車客含まず）-2020年-;開業年月日: 1885年（明治18年）7月16日;備考: 直営駅（管理駅）みどりの窓口有;1: ■宇都宮線（東北線）;3: 上り;所在地: 埼玉県久喜市久喜中央二丁目1-1北緯36度3分56.43秒東経139度40分39.65秒﻿ / ﻿北緯36.0656750度 東経139.6776806度﻿ / 36.0656750; 139.6776806﻿ (東武 久喜駅);駅番号: TI02;所属事業者: 東武鉄道;所属路線: ■伊勢崎線;キロ程: 47.7 km（浅草起点）;電報略号: クキ;駅構造: 地上駅（橋上駅）;ホーム: 2面4線;乗降人員-統計年度-: 51,656人/日-2019年-;開業年月日: 1899年（明治32年）8月27日;備考: 業務委託駅;1:  伊勢崎線;2: 館林・足利市・太田方面（一部  東武スカイツリーライン北千住・とうきょうスカイツリー・浅草方面）;3:  東武スカイツリーライン;所在地: 埼玉県久喜市久喜中央二丁目;所属事業者: 東日本旅客鉄道（JR東日本・駅詳細）東武鉄道（駅詳細）;所在地: 埼玉県久喜市久喜中央二丁目1-1北緯36度3分56.69秒東経139度40分38.34秒﻿ / ﻿北緯36.0657472度 東経139.6773167度﻿ / 36.0657472; 139.6773167﻿ (JR 久喜駅)座標: 北緯36度3分56.69秒東経139度40分38.34秒﻿ / ﻿北緯36.0657472度 東経139.6773167度﻿ / 36.0657472; 139.6773167﻿ (JR 久喜駅);所属事業者: 東日本旅客鉄道（JR東日本）;所属路線: ■東北本線（宇都宮線）;キロ程: 48.9km（東京起点）東京から尾久経由で49.1 km;電報略号: クキ;駅構造: 地上駅（橋上駅）;ホーム: 2面3線;乗車人員-統計年度-: 25,483人/日（降車客含まず）-2020年-;開業年月日: 1885年（明治18年）7月16日;備考: 直営駅（管理駅）みどりの窓口有;1: ■宇都宮線（東北線）;3: 上り;所在地: 埼玉県久喜市久喜中央二丁目1-1北緯36度3分56.43秒東経139度40分39.65秒﻿ / ﻿北緯36.0656750度 東経139.6776806度﻿ / 36.0656750; 139.6776806﻿ (東武 久喜駅);駅番号: TI02;所属事業者: 東武鉄道;所属路線: ■伊勢崎線;キロ程: 47.7 km（浅草起点）;電報略号: クキ;駅構造: 地上駅（橋上駅）;ホーム: 2面4線;乗降人員-統計年度-: 51,656人/日-2019年-;開業年月日: 1899年（明治32年）8月27日;備考: 業務委託駅;1:  伊勢崎線;2: 館林・足利市・太田方面（一部  東武スカイツリーライン北千住・とうきょうスカイツリー・浅草方面）;3:  東武スカイツリーライン","日本の鉄道駅一覧_く-け","箇条書き","JR東日本の東北本線と、東武鉄道の伊勢崎線の2路線が乗り入れて、接続駅となっている。東北本線は旅客案内上の愛称「宇都宮線」の設定区間に含まれ、上野駅発着系統、新宿駅経由で横須賀線に直通する湘南新宿ライン、および上野駅・東京駅経由で東海道線に直通する上野東京ラインが停車する。"
