"タイトル","コメント","URLアドレス","座標","詳細情報","親リスト","一覧抽出方法","前文"
"関西電力黒部専用鉄道","志合谷駅（しあいだにえき）","https://ja.wikipedia.org/wiki/関西電力黒部専用鉄道","","","日本の鉄道駅一覧_し-しも","箇条書き",""
"思案橋停留場","思案橋停留場（しあんばしていりゅうじょう）","https://ja.wikipedia.org/wiki/思案橋停留場","北緯32度44分33.83秒東経129度52分48.8秒","所在地: 長崎県長崎市油屋町1番1号先北緯32度44分33.83秒東経129度52分48.8秒﻿ / ﻿北緯32.7427306度 東経129.880222度﻿ / 32.7427306; 129.880222﻿ (思案橋停留場);駅番号: 34;所属事業者: 長崎電気軌道;所属路線: 本線（■1号系統・■4号系統）;キロ程: 6.8km（住吉起点）赤迫から7.0 km;駅構造: 地上駅;ホーム: 2面2線;乗降人員-統計年度-: 1,600人/日-2015年-;開業年月日: 1921年（大正10年）4月30日","日本の鉄道駅一覧_し-しも","箇条書き","思案橋停留場は1921年（大正10年）、西浜町- 思案橋間の第3期線開通と同時に開業した。当時の終点であり、停留場には2階に食堂を備えたモダンな建物が建っていた。"
"志井駅 (JR九州)","志井駅 (JR九州)（しいえき・九州旅客鉄道日田彦山線）","https://ja.wikipedia.org/wiki/志井駅_(JR九州)","北緯33度48分12.77秒東経130度52分28.87秒","所在地: 北九州市小倉南区大字志井北緯33度48分12.77秒東経130度52分28.87秒﻿ / ﻿北緯33.8035472度 東経130.8746861度﻿ / 33.8035472; 130.8746861;駅番号: JI  07;所属事業者: 九州旅客鉄道（JR九州）;所属路線: JI日田彦山線;キロ程: 6.8 km（城野起点）;電報略号: シイ;駅構造: 地上駅;乗車人員-統計年度-: 83人/日（降車客含まず）-2016年-;乗降人員-統計年度-: 165人/日-2016年-;開業年月日: 1943年（昭和18年）2月25日;備考: 無人駅北九州市内駅;1: JI日田彦山線;2: 上り","日本の鉄道駅一覧_し-しも","箇条書き","小倉南区志井一丁目に所在する北九州高速鉄道（北九州モノレール）小倉線の志井駅へは、直線距離で2km以上の距離がある。日田彦山線とモノレールは、隣の志井公園駅とモノレール企救丘駅が約200mと近接している。"
"志井駅 (北九州高速鉄道)","志井駅 (北九州高速鉄道)（しいえき・北九州高速鉄道小倉線）","https://ja.wikipedia.org/wiki/志井駅_(北九州高速鉄道)","北緯33度49分21.3秒東経130度52分16.7秒","所在地: 北九州市小倉南区志井四丁目北緯33度49分21.3秒東経130度52分16.7秒﻿ / ﻿北緯33.822583度 東経130.871306度﻿ / 33.822583; 130.871306;駅番号: 12;所属事業者: 北九州高速鉄道（モノレール）;所属路線: ■小倉線;キロ程: 8.2 km（小倉起点）;駅構造: 高架駅;ホーム: 2面2線;乗降人員-統計年度-: 2,335人/日-2019年-;開業年月日: 1985年（昭和60年）1月9日;1: ■小倉線;2: 北方・旦過・小倉方面","日本の鉄道駅一覧_し-しも","箇条書き","小倉南区大字志井に九州旅客鉄道（JR九州）日田彦山線の志井駅が存在するが、直線距離で2km以上離れた別の駅である。モノレールと日田彦山線は隣の企救丘駅と九州旅客鉄道（JR九州）日田彦山線の志井公園駅が約200mと近接している。"
"志井公園駅","志井公園駅（しいこうえんえき）","https://ja.wikipedia.org/wiki/志井公園駅","北緯33度49分6.56秒東経130度52分47.06秒","所在地: 北九州市小倉南区志井六丁目55-1北緯33度49分6.56秒東経130度52分47.06秒﻿ / ﻿北緯33.8184889度 東経130.8797389度﻿ / 33.8184889; 130.8797389;駅番号: JI  06;所属事業者: 九州旅客鉄道（JR九州）;所属路線: JI日田彦山線;キロ程: 5.1 km（城野起点）;電報略号: イコ;駅構造: 地上駅;ホーム: 1面1線;乗車人員-統計年度-: 860人/日（降車客含まず）-2019年-;開業年月日: 1989年（平成元年）3月11日;乗換: 企救丘駅（北九州高速鉄道小倉線）;備考: 業務委託駅POS端末設置北九州市内駅","日本の鉄道駅一覧_し-しも","箇条書き","すぐそばに北九州モノレールの企救丘駅がある。開業はモノレールのほうが先であり、小倉までの運賃はJRのほうがモノレールより安いため、JRに乗客を奪われることを懸念した北九州市当局は当初この駅の設置に反対した。JR側は一旦は駅新設申請書からこの駅を削除したが、その後北九州市側が折れ、再びJR側が追加申請して駅設置にこぎ着けた。"
"志比堺駅","志比堺駅（しいざかいえき）","https://ja.wikipedia.org/wiki/志比堺駅","北緯36度5分52.5秒東経136度18分40秒","所在地: 福井県吉田郡永平寺町松岡志比堺12-32北緯36度5分52.5秒東経136度18分40秒﻿ / ﻿北緯36.097917度 東経136.31111度﻿ / 36.097917; 136.31111座標: 北緯36度5分52.5秒東経136度18分40秒﻿ / ﻿北緯36.097917度 東経136.31111度﻿ / 36.097917; 136.31111;駅番号: ○E11;所属事業者: えちぜん鉄道;所属路線: ■勝山永平寺線;キロ程: 9.3 km（福井起点）;駅構造: 地上駅;ホーム: 1面1線;乗降人員-統計年度-: 35人/日-2018年-;開業年月日: 1914年（大正3年）2月11日;備考: 無人駅","日本の鉄道駅一覧_し-しも","箇条書き","駅所在地の公式のかな表記は駅名と異なる「しひざかい」であるが、地元では駅名のかな表記と同じ「しいざかい」と発音される場合が少なくない。"
"椎柴駅","椎柴駅（しいしばえき）","https://ja.wikipedia.org/wiki/椎柴駅","北緯35度45分55.13秒東経140度45分31.68秒","所在地: 千葉県銚子市野尻町169北緯35度45分55.13秒東経140度45分31.68秒﻿ / ﻿北緯35.7653139度 東経140.7588000度﻿ / 35.7653139; 140.7588000座標: 北緯35度45分55.13秒東経140度45分31.68秒﻿ / ﻿北緯35.7653139度 東経140.7588000度﻿ / 35.7653139; 140.7588000;所属事業者: 東日本旅客鉄道（JR東日本）;所属路線: ■成田線;キロ程: 71.0 km（佐倉起点）千葉から87.1 km;電報略号: シイ;駅構造: 地上駅;ホーム: 2面2線;乗車人員-統計年度-: 511人/日（降車客含まず）-2006年-;開業年月日: 1933年（昭和8年）3月11日;備考: 無人駅（乗車駅証明書発行機 有）;1: ■成田線;2: 上り","日本の鉄道駅一覧_し-しも","箇条書き","旧駅舎（2006年3月）"
"椎田駅","椎田駅（しいだえき）","https://ja.wikipedia.org/wiki/椎田駅","北緯33度39分12.33秒東経131度3分28.62秒","所在地: 福岡県築上郡築上町大字椎田959-1北緯33度39分12.33秒東経131度3分28.62秒﻿ / ﻿北緯33.6534250度 東経131.0579500度﻿ / 33.6534250; 131.0579500;所属事業者: 九州旅客鉄道（JR九州）;所属路線: ■日豊本線;キロ程: 36.9 km（小倉起点）;電報略号: シタ;駅構造: 地上駅;ホーム: 2面2線;乗車人員-統計年度-: 826人/日（降車客含まず）-2019年-;開業年月日: 1897年（明治30年）9月25日;備考: 業務委託駅POS端末設置;1: ■日豊本線;2: ■日豊本線","日本の鉄道駅一覧_し-しも","箇条書き","単式ホーム2面2線を有する地上駅。互いのホームは跨線橋で連絡している。日豊本線の東側に駅本屋が存在し本屋に面したホーム（1番線）が下り線のりば、跨線橋を渡った先の島式ホーム（2番線）が上り線のりばである。かつては1番線と島式ホームの間に中線があった。ホームは2006年に嵩上げされている。"
"椎津駅","椎津駅（しいづえき）","https://ja.wikipedia.org/wiki/椎津駅","北緯35度28分24.0秒東経140度1分42.8秒","所在地: 千葉県市原市姉崎海岸北緯35度28分24.0秒東経140度1分42.8秒﻿ / ﻿北緯35.473333度 東経140.028556度﻿ / 35.473333; 140.028556座標: 北緯35度28分24.0秒東経140度1分42.8秒﻿ / ﻿北緯35.473333度 東経140.028556度﻿ / 35.473333; 140.028556;所属事業者: 京葉臨海鉄道;駅構造: 地上駅;開業年月日: 1965年（昭和40年）6月1日;所属路線: ■臨海本線;キロ程: 17.7 km（蘇我起点）;所属路線: ■臨海本線（支線）","日本の鉄道駅一覧_し-しも","箇条書き","車扱貨物の取扱駅であるが、貨物列車の発着はなくなっている。"
"椎名町駅","椎名町駅（しいなまちえき）","https://ja.wikipedia.org/wiki/椎名町駅","北緯35度43分35.7秒東経139度41分41.4秒","所在地: 東京都豊島区長崎一丁目1番22号北緯35度43分35.7秒東経139度41分41.4秒﻿ / ﻿北緯35.726583度 東経139.694833度﻿ / 35.726583; 139.694833座標: 北緯35度43分35.7秒東経139度41分41.4秒﻿ / ﻿北緯35.726583度 東経139.694833度﻿ / 35.726583; 139.694833;駅番号: SI02;所属事業者: 西武鉄道;所属路線: ■池袋線（■豊島線直通含む）;キロ程: 1.9 km（池袋起点）;駅構造: 地上駅;ホーム: 2面2線;乗降人員-統計年度-: 15,934人/日-2020年-;開業年月日: 1924年（大正13年）6月11日;1:  池袋線;2:  池袋線・豊島線","日本の鉄道駅一覧_し-しも","箇条書き","練馬駅から分岐する豊島線の列車も利用可能である。"
